Date,Actual Closing Price,Forecast Closing Price
2017-12-08,248500,195972
2017-12-11,235000,247144
2017-12-12,235000,234734
2017-12-13,234000,234734
2017-12-14,236500,233806
2017-12-15,238000,236123
2017-12-18,227000,237510
2017-12-19,225500,227283
2017-12-20,220500,225879
2017-12-21,219500,221183
2017-12-22,219000,220241
2017-12-26,212500,219769
2017-12-27,210000,213624
2017-12-28,210500,211252
2018-01-02,202500,211726
2018-01-03,200500,204108
2018-01-04,200000,202197
2018-01-05,199000,201719
2018-01-08,206000,200763
2018-01-09,210500,207446
2018-01-10,208500,211726
2018-01-11,201500,209826
2018-01-12,206000,203153
2018-01-15,210000,207446
2018-01-16,218000,211252
2018-01-17,221000,218826
2018-01-18,215000,221653
2018-01-19,209000,215992
2018-01-22,214000,210301
2018-01-23,219000,215045
2018-01-24,218500,219769
2018-01-25,220000,219298
2018-01-26,227000,220712
2018-01-29,217500,227283
2018-01-30,220000,218354
2018-01-31,218000,220712
2018-02-01,214000,218826
2018-02-02,212000,215045
2018-02-05,209500,213150
2018-02-06,206500,210776
2018-02-07,206000,207923
2018-02-08,210500,207446
2018-02-09,210500,211726
2018-02-12,199000,211726
2018-02-13,187000,200763
2018-02-14,188000,189247
2018-02-19,186000,190209
2018-02-20,187000,188285
2018-02-21,178000,189247
2018-02-22,178000,180577
2018-02-23,172000,180577
2018-02-26,170000,174788
2018-02-27,174000,172857
2018-02-28,169000,176718
2018-03-02,167000,171892
2018-03-05,161500,169961
2018-03-06,157000,164652
2018-03-07,158500,160310
2018-03-08,163500,161757
2018-03-09,167500,166582
2018-03-12,168500,170444
2018-03-13,164500,171409
2018-03-14,167500,167548
2018-03-15,169500,170444
2018-03-16,164000,172375
2018-03-19,162500,167065
2018-03-20,163000,165617
2018-03-21,165500,166100
2018-03-22,161500,168513
2018-03-23,155500,164652
2018-03-26,155000,158863
2018-03-27,154500,158381
2018-03-28,152500,157899
2018-03-29,169000,155971
2018-03-30,169500,171892
2018-04-02,179000,172375
2018-04-03,176500,181541
2018-04-04,171500,179130
2018-04-05,174500,174305
2018-04-06,186500,177201
2018-04-09,178000,188766
2018-04-10,179000,180577
2018-04-11,179000,181541
2018-04-12,176500,181541
2018-04-13,175000,179130
2018-04-16,174500,177683
2018-04-17,177500,177201
2018-04-18,171500,180095
2018-04-19,177000,174305
2018-04-20,186500,179613
2018-04-23,181500,188766
2018-04-24,185500,183951
2018-04-25,182500,187804
2018-04-26,179000,184915
2018-04-27,191000,181541
2018-04-30,206500,193093
2018-05-02,200000,207923
2018-05-03,199000,201719
2018-05-04,200000,200763
2018-05-08,200500,201719
2018-05-09,204500,202197
2018-05-10,196500,206017
2018-05-11,191500,198369
2018-05-14,189000,193573
2018-05-15,186000,191171
2018-05-16,181500,188285
2018-05-17,186500,183951
2018-05-18,185500,188766
2018-05-21,179000,187804
2018-05-23,187000,181541
2018-05-24,185500,189247
2018-05-25,180000,187804
2018-05-28,183500,182505
2018-05-29,177500,185878
2018-05-30,182500,180095
2018-05-31,184500,184915
2018-06-01,188000,186841
2018-06-04,182500,190209
2018-06-05,193500,184915
2018-06-07,196000,195493
2018-06-08,195500,197890
2018-06-11,203500,197411
2018-06-12,199000,205063
2018-06-14,192500,200763
2018-06-15,201000,194533
2018-06-18,209000,202675
2018-06-19,196000,210301
2018-06-20,192000,197890
2018-06-21,195500,194053
2018-06-22,197500,197411
2018-06-25,197000,199327
2018-06-26,188500,198848
2018-06-27,197000,190690
2018-06-28,195000,198848
2018-06-29,187500,196931
2018-07-02,179000,189728
2018-07-03,182000,181541
