종목명,코드
삼성바이오로직스,207940
삼성SDI,006400
고려아연,010130
LG화학,051910
POSCO홀딩스,005490
LG에너지솔루션,373220
LG생활건강,051900
한미약품,128940
삼성화재,000810
포스코퓨처엠,003670
CJ제일제당,097950
현대모비스,012330
크래프톤,259960
현대차,005380
하이브,352820
한화에어로스페이스 ,012450
엔씨소프트,036570
LG이노텍,011070
셀트리온,068270
NAVER,035420
SK하이닉스,000660
SK,034730
현대글로비스,086280
삼성SDS,018260
삼성물산,028260
삼성전기,009150
금호석유,011780
에코프로머티리얼즈,450080
아모레퍼시픽,090430
롯데케미칼,011170
HD한국조선해양,009540
HD현대중공업,329180
BGF리테일,282330
SK이노베이션,096770
금양,001570
SKC,011790
기아,000270
LG전자,066570
DB손해보험,005830
KT&G,033780
삼성생명,032830
SK 바이오팜 ,326030
오리온,271560
LG,003550
삼성전자,005930
메리츠금융지주,138040
SK스퀘어,402340
S-oil,010950
유한양행,000100
SK아이이테크놀리지,361610
HD현대,267250
F&F,383220
KB금융,105560
이마트,139480
한국금융지주,071050
넷마블,251270
SK바이오사이언스,302440
호텔신라,008770
한진칼,180640
하나금융지주,086790
코웨이,021240
한국타이어앤테크놀로지,161390
카카오,035720
두산밥캣,241560
포스코인터내셔널,047050
SK텔레콤,017670
한국항공우주,047810
포스코DX,022100
GS,078930
신한지주,055550
삼성증권,016360
카카오페이,377300
한미사이언스,008930
삼성카드,029780
KT,030200
현대건설,000720
현대제철,004020
한화솔루션,009830
한화오션,042660
카카오뱅크,323410
롯데지주,004990
한국가스공사,036460
아모레G,002790
삼성엔지니어링,028050
한국전력,015760
대한항공,003490
GS리테일,007070
제일기획,030000
두산에너빌리티,034020
강원랜드,035250
HMM,011200
우리금융지주,316140
기업은행,024110
NH투자증권,005940
LG디스플레이,034220
LG유플러스,032640
삼성중공업,010140
미래에셋증권,006800
쌍용C&E,003410
한온시스템,018880
