Date,Actual Closing Price,Forecast Closing Price
2017-12-11,248500,195675
2017-12-12,235000,246921
2017-12-13,235000,234545
2017-12-14,234000,234545
2017-12-15,236500,233618
2017-12-18,238000,235932
2017-12-19,227000,237317
2017-12-20,225500,227097
2017-12-21,220500,225692
2017-12-22,219500,220990
2017-12-26,219000,220046
2017-12-27,212500,219574
2017-12-28,210000,213412
2018-01-02,210500,211031
2018-01-03,202500,211508
2018-01-04,200500,203856
2018-01-05,200000,201936
2018-01-08,199000,201455
2018-01-09,206000,200494
2018-01-10,210500,207210
2018-01-11,208500,211508
2018-01-12,201500,209600
2018-01-15,206000,202896
2018-01-16,210000,207210
2018-01-17,218000,211031
2018-01-18,221000,218629
2018-01-19,215000,221461
2018-01-22,209000,215787
2018-01-23,214000,210077
2018-01-24,219000,214837
2018-01-25,218500,219574
2018-01-26,220000,219101
2018-01-29,227000,220518
2018-01-30,217500,227097
2018-01-31,220000,218156
2018-02-01,218000,220518
2018-02-02,214000,218629
2018-02-05,212000,214837
2018-02-06,209500,212936
2018-02-07,206500,210554
2018-02-08,206000,207689
2018-02-09,210500,207210
2018-02-12,210500,211508
2018-02-13,199000,211508
2018-02-14,187000,200494
2018-02-19,188000,188906
2018-02-20,186000,189874
2018-02-21,187000,187937
2018-02-22,178000,188906
2018-02-23,178000,180171
2018-02-26,172000,180171
2018-02-27,170000,174335
2018-02-28,174000,172389
2018-03-02,169000,176281
2018-03-05,167000,171415
2018-03-06,161500,169468
2018-03-07,157000,164114
2018-03-08,158500,159734
2018-03-09,163500,161193
2018-03-12,167500,166061
2018-03-13,168500,169955
2018-03-14,164500,170929
2018-03-15,167500,167034
2018-03-16,169500,169955
2018-03-19,164000,171902
2018-03-20,162500,166547
2018-03-21,163000,165087
2018-03-22,165500,165574
2018-03-23,161500,168008
2018-03-26,155500,164114
2018-03-27,155000,158274
2018-03-28,154500,157788
2018-03-29,152500,157302
2018-03-30,169000,155357
2018-04-02,169500,171415
2018-04-03,179000,171902
2018-04-04,176500,181143
2018-04-05,171500,178713
2018-04-06,174500,173849
2018-04-09,186500,176768
2018-04-10,178000,188421
2018-04-11,179000,180171
2018-04-12,179000,181143
2018-04-13,176500,181143
2018-04-16,175000,178713
2018-04-17,174500,177254
2018-04-18,177500,176768
2018-04-19,171500,179685
2018-04-20,177000,173849
2018-04-23,186500,179199
2018-04-24,181500,188421
2018-04-25,185500,183571
2018-04-26,182500,187452
2018-04-27,179000,184542
2018-04-30,191000,181143
2018-05-02,206500,192777
2018-05-03,200000,207689
2018-05-04,199000,201455
2018-05-08,200000,200494
2018-05-09,200500,201455
2018-05-10,204500,201936
2018-05-11,196500,205774
2018-05-14,191500,198086
2018-05-15,189000,193260
2018-05-16,186000,190842
2018-05-17,181500,187937
2018-05-18,186500,183571
2018-05-21,185500,188421
2018-05-23,179000,187452
2018-05-24,187000,181143
2018-05-25,185500,188906
2018-05-28,180000,187452
2018-05-29,183500,182114
2018-05-30,177500,185512
2018-05-31,182500,179685
2018-06-01,184500,184542
2018-06-04,188000,186482
2018-06-05,182500,189874
2018-06-07,193500,184542
2018-06-08,196000,195192
2018-06-11,195500,197604
2018-06-12,203500,197122
2018-06-14,199000,204816
2018-06-15,192500,200494
2018-06-18,201000,194227
2018-06-19,209000,202416
2018-06-20,196000,210077
2018-06-21,192000,197604
2018-06-22,195500,193744
2018-06-25,197500,197122
2018-06-26,197000,199050
2018-06-27,188500,198568
2018-06-28,197000,190358
2018-06-29,195000,198568
2018-07-02,187500,196640
2018-07-03,179000,189390
2018-07-04,182000,181143
2018-07-05,176500,184057
2018-07-06,178500,178713
2018-07-09,178500,180657
2018-07-10,179000,180657
2018-07-11,177500,181143
2018-07-12,178500,179685
2018-07-13,179500,180657
2018-07-16,165500,181629
2018-07-17,170000,168008
2018-07-18,163000,172389
2018-07-19,159000,165574
2018-07-20,149500,161680
2018-07-23,150500,152442
2018-07-24,157500,153414
2018-07-25,161000,160220
2018-07-26,165000,163627
2018-07-27,164000,167521
2018-07-30,164500,166547
2018-07-31,169000,167034
2018-08-01,166500,171415
2018-08-02,165500,168982
2018-08-03,164500,168008
2018-08-06,168000,167034
2018-08-07,167500,170442
2018-08-08,166000,169955
2018-08-09,169500,168495
2018-08-10,171500,171902
2018-08-13,166500,173849
2018-08-14,162500,168982
2018-08-16,161000,165087
2018-08-17,161500,163627
2018-08-20,165500,164114
2018-08-21,165000,168008
2018-08-22,161000,167521
2018-08-23,159000,163627
2018-08-24,159000,161680
2018-08-27,166500,161680
2018-08-28,180000,168982
2018-08-29,176500,182114
2018-08-30,170000,178713
2018-08-31,171500,172389
2018-09-03,175500,173849
2018-09-04,174500,177740
2018-09-05,176000,176768
2018-09-06,172500,178227
2018-09-07,181500,174822
2018-09-10,191000,183571
2018-09-11,194500,192777
2018-09-12,193500,196158
2018-09-13,198500,195192
2018-09-14,197500,200012
2018-09-17,195000,199050
2018-09-18,195500,196640
2018-09-19,198000,197122
2018-09-20,195000,199531
2018-09-21,201000,196640
2018-09-27,212500,202416
2018-09-28,205500,213412
2018-10-01,195000,206732
2018-10-02,195000,196640
2018-10-04,198000,196640
2018-10-05,200000,199531
2018-10-08,201000,201455
2018-10-10,210000,202416
2018-10-11,205000,211031
2018-10-12,198000,206253
2018-10-15,195500,199531
2018-10-16,198500,197122
2018-10-17,200500,200012
2018-10-18,198500,201936
2018-10-19,195500,200012
2018-10-22,194500,197122
2018-10-23,191500,196158
2018-10-24,196500,193260
2018-10-25,185500,198086
2018-10-26,176500,187452
2018-10-29,177500,178713
2018-10-30,176000,179685
2018-10-31,168500,178227
2018-11-01,173500,170929
2018-11-02,175500,175795
2018-11-05,170500,177740
2018-11-06,170000,172876
2018-11-07,167000,172389
2018-11-08,171500,169468
2018-11-09,170500,173849
2018-11-12,167000,172876
2018-11-13,166000,169468
2018-11-14,169000,168495
2018-11-15,172000,171415
2018-11-16,169500,174335
2018-11-19,177500,171902
2018-11-20,180500,179685
2018-11-21,182000,182600
2018-11-22,189500,184057
2018-11-23,183000,191326
2018-11-26,192000,185027
2018-11-27,194500,193744
2018-11-28,196500,196158
2018-11-29,193000,198086
2018-11-30,194500,194710
2018-12-03,192000,196158
2018-12-04,190500,193744
2018-12-05,190500,192294
2018-12-06,197000,192294
2018-12-07,194000,198568
2018-12-10,195000,195675
2018-12-11,201000,196640
