Date,Actual Closing Price,Forecast Closing Price
1990-01-04,1020,3388
1990-01-05,1030,3379
1990-01-06,1040,3388
1990-01-08,1050,3398
1990-01-09,1060,3407
1990-01-10,1070,3417
1990-01-11,1080,3426
1990-01-12,1090,3435
1990-01-13,1100,3445
1990-01-15,1100,3454
1990-01-16,1090,3454
1990-01-17,1090,3445
1990-01-18,1100,3445
1990-01-19,1110,3454
1990-01-20,1120,3464
1990-01-22,1130,3473
1990-01-23,1140,3482
1990-01-24,1150,3492
1990-01-25,1160,3501
1990-01-29,1170,3511
1990-01-30,1180,3520
1990-01-31,1190,3529
1990-02-01,1200,3539
1990-02-02,1200,3548
1990-02-03,1200,3548
1990-02-05,1200,3548
1990-02-06,1210,3548
1990-02-07,1220,3558
1990-02-08,1230,3567
1990-02-09,1240,3576
1990-02-10,1250,3586
1990-02-12,1260,3595
1990-02-13,1270,3605
1990-02-14,1280,3614
1990-02-15,1290,3623
1990-02-16,1290,3633
1990-02-17,1280,3633
1990-02-19,1270,3623
1990-02-20,1260,3614
1990-02-21,1250,3605
1990-02-22,1240,3595
1990-02-23,1230,3586
1990-02-24,1220,3576
1990-02-26,1210,3567
1990-02-27,1200,3558
1990-02-28,1190,3548
1990-03-02,1080,3539
1990-03-03,1071,3435
1990-03-05,1080,3427
1990-03-06,1071,3435
1990-03-07,1061,3427
1990-03-08,1052,3417
1990-03-09,1043,3409
1990-03-12,1034,3401
1990-03-13,1043,3392
1990-03-14,1034,3401
1990-03-15,1043,3392
1990-03-16,1034,3401
1990-03-17,1025,3392
1990-03-19,1016,3384
1990-03-20,1006,3375
1990-03-21,1006,3366
1990-03-22,1016,3366
1990-03-23,1025,3375
1990-03-24,1016,3384
1990-03-26,1006,3375
1990-03-27,997,3366
1990-03-28,1006,3357
1990-03-29,1016,3366
1990-03-30,1025,3375
1990-03-31,1034,3384
1990-04-02,1043,3392
1990-04-03,1052,3401
1990-04-04,1061,3409
1990-04-06,1052,3417
1990-04-07,1043,3409
1990-04-09,1052,3401
1990-04-10,1043,3409
1990-04-11,1034,3401
1990-04-12,1025,3392
1990-04-13,1016,3384
1990-04-14,1006,3375
1990-04-16,997,3366
1990-04-17,988,3357
1990-04-18,979,3349
1990-04-19,970,3340
1990-04-20,961,3332
1990-04-21,952,3324
1990-04-23,942,3315
1990-04-24,933,3306
1990-04-25,924,3297
1990-04-26,915,3289
1990-04-27,906,3280
1990-04-28,897,3272
1990-04-30,887,3264
1990-05-01,878,3254
1990-05-03,887,3246
1990-05-04,897,3254
1990-05-07,906,3264
1990-05-08,915,3272
1990-05-09,924,3280
1990-05-10,924,3289
1990-05-11,915,3289
1990-05-12,906,3280
1990-05-14,897,3272
1990-05-15,887,3264
1990-05-16,897,3254
1990-05-17,906,3264
1990-05-18,897,3272
1990-05-19,887,3264
1990-05-21,887,3254
1990-05-22,897,3254
1990-05-23,906,3264
1990-05-24,915,3272
1990-05-25,906,3280
1990-05-26,897,3272
1990-05-28,906,3264
1990-05-29,897,3272
1990-05-30,887,3264
1990-05-31,897,3254
1990-06-01,906,3264
1990-06-02,915,3272
1990-06-04,924,3280
1990-06-05,933,3289
1990-06-07,924,3297
1990-06-08,915,3289
1990-06-09,906,3280
1990-06-11,897,3272
1990-06-12,887,3264
1990-06-13,878,3254
1990-06-14,887,3246
1990-06-15,897,3254
1990-06-16,906,3264
1990-06-18,897,3272
1990-06-19,887,3264
1990-06-20,878,3254
1990-06-21,869,3246
1990-06-22,860,3237
1990-06-23,860,3229
1990-06-25,851,3229
1990-06-26,842,3220
1990-06-27,833,3212
1990-06-28,823,3204
1990-06-29,814,3194
1990-06-30,805,3186
1990-07-02,796,3177
1990-07-03,805,3169
1990-07-04,814,3177
1990-07-05,805,3186
1990-07-06,796,3177
1990-07-07,787,3169
1990-07-09,778,3160
1990-07-10,768,3152
1990-07-11,759,3143
1990-07-12,750,3134
1990-07-13,741,3126
1990-07-14,732,3117
1990-07-16,723,3109
1990-07-18,714,3100
1990-07-19,704,3092
1990-07-20,695,3083
1990-07-21,686,3074
1990-07-23,677,3066
1990-07-24,668,3057
1990-07-25,659,3049
1990-07-26,649,3041
1990-07-27,649,3031
1990-07-28,649,3031
1990-07-30,649,3031
1990-07-31,649,3031
1990-08-01,659,3031
1990-08-02,668,3041
1990-08-03,668,3049
1990-08-04,677,3049
1990-08-06,668,3057
1990-08-07,659,3049
1990-08-08,649,3041
1990-08-09,640,3031
1990-08-10,649,3023
1990-08-11,649,3031
1990-08-13,659,3031
1990-08-14,649,3041
1990-08-16,640,3031
1990-08-17,631,3023
1990-08-18,622,3014
1990-08-20,631,3006
1990-08-21,622,3014
1990-08-22,613,3006
1990-08-23,604,2997
1990-08-24,595,2989
1990-08-25,585,2981
1990-08-27,595,2971
1990-08-28,604,2981
1990-08-29,613,2989
1990-08-30,622,2997
1990-08-31,613,3006
1990-09-01,604,2997
1990-09-03,613,2989
1990-09-04,606,2997
1990-09-05,613,2991
1990-09-06,613,2997
1990-09-07,606,2997
