Date,Actual Closing Price,Forecast Closing Price
2021-05-24,89000,77680
2021-05-25,86000,82984
2021-05-26,87300,80532
2021-05-27,87300,81593
2021-05-28,89400,81593
2021-05-31,89900,83312
2021-06-01,98500,83721
2021-06-02,96600,90796
2021-06-03,99400,89228
2021-06-04,97000,91540
2021-06-07,96600,89558
2021-06-08,97500,89228
2021-06-09,101600,89971
2021-06-10,106400,93360
2021-06-11,103200,97341
2021-06-14,101000,94685
2021-06-15,103200,92863
2021-06-16,100600,94685
2021-06-17,98500,92532
2021-06-18,103800,90796
2021-06-21,105000,95183
2021-06-22,110000,96178
2021-06-23,113400,100337
2021-06-24,108800,103173
2021-06-25,107600,99337
2021-06-28,110600,98339
2021-06-29,112400,100837
2021-06-30,112000,102338
2021-07-01,108800,102004
2021-07-02,106200,99337
2021-07-05,105000,97175
2021-07-06,105000,96178
2021-07-07,104000,96178
2021-07-08,101600,95348
2021-07-09,105400,93360
2021-07-12,107000,96510
2021-07-13,109600,97840
2021-07-14,109800,100004
2021-07-15,109000,100170
2021-07-16,105000,99504
2021-07-19,107800,96178
2021-07-20,115400,98505
2021-07-21,118800,104844
2021-07-22,119800,107690
2021-07-23,122800,108528
2021-07-26,123400,111045
2021-07-27,120600,111549
2021-07-28,117200,109199
2021-07-29,120200,106350
2021-07-30,120000,108863
2021-08-02,122600,108696
2021-08-03,122800,110877
2021-08-04,123600,111045
2021-08-05,127000,111717
2021-08-06,125600,114575
2021-08-09,126800,113398
2021-08-10,124800,114407
2021-08-11,127200,112725
2021-08-12,131000,114744
2021-08-13,132000,117944
2021-08-17,137000,118787
2021-08-18,145000,123006
2021-08-19,140600,129770
2021-08-20,135800,126048
2021-08-23,136600,121993
2021-08-24,140200,122668
2021-08-25,143200,125710
2021-08-26,147200,128247
2021-08-27,148400,131631
2021-08-30,148400,132647
2021-08-31,144600,132647
2021-09-01,143400,129431
2021-09-02,146400,128416
2021-09-03,148200,130954
2021-09-06,145600,132478
2021-09-07,149600,130277
2021-09-08,151000,133663
2021-09-09,150400,134849
2021-09-10,154600,134340
2021-09-13,151800,137897
2021-09-14,147000,135526
2021-09-15,147800,131462
2021-09-16,144600,132139
2021-09-17,142400,129431
2021-09-23,139600,127570
2021-09-24,146200,125203
2021-09-27,144800,130785
2021-09-28,140000,129600
2021-09-29,135600,125541
2021-09-30,141800,121824
2021-10-01,145800,127063
2021-10-05,152400,130447
2021-10-06,150000,136034
2021-10-07,153000,134002
2021-10-08,160000,136542
2021-10-12,165000,142470
2021-10-13,168200,146703
2021-10-14,177600,149411
2021-10-15,177400,157352
2021-10-18,173600,157183
