Date,Actual Closing Price,Forecast Closing Price
1999-08-24,51706,80898
1999-08-25,55303,64608
1999-08-26,53205,67787
1999-08-27,52531,65931
1999-08-30,50956,65336
1999-08-31,49608,63946
1999-09-01,49608,62759
1999-09-02,46235,62759
1999-09-03,44588,59794
1999-09-06,46835,58350
1999-09-07,47060,60321
1999-09-08,45561,60518
1999-09-09,45861,59203
1999-09-10,47135,59466
1999-09-13,46461,60584
1999-09-14,45861,59992
1999-09-15,45337,59466
1999-09-16,44212,59007
1999-09-17,43763,58021
1999-09-20,44062,57628
1999-09-21,43913,57890
1999-09-22,42189,57759
1999-09-27,40840,56252
1999-09-28,41290,55075
1999-09-29,41664,55467
1999-09-30,40840,55794
1999-10-01,39717,55075
1999-10-04,38142,54096
1999-10-05,33721,52725
1999-10-06,35595,48889
1999-10-07,39717,50513
1999-10-08,39641,54096
1999-10-11,39341,54029
1999-10-12,39867,53768
1999-10-13,39717,54226
1999-10-14,39717,54096
1999-10-15,39341,54096
1999-10-18,37918,53768
1999-10-19,37169,52530
1999-10-20,37468,51879
1999-10-21,38667,52139
1999-10-22,37843,53181
1999-10-25,35932,52465
1999-10-26,35895,50805
1999-10-27,35595,50773
1999-10-28,36719,50513
1999-10-29,35969,51488
1999-11-01,37243,50837
1999-11-02,38142,51943
1999-11-03,38068,52725
1999-11-04,39641,52660
1999-11-05,42564,54029
1999-11-08,40273,56580
1999-11-09,40273,54580
1999-11-10,38536,54580
1999-11-11,38694,53067
1999-11-12,37825,53205
1999-11-15,36798,52449
1999-11-16,35772,51557
1999-11-17,34587,50666
1999-11-18,36325,49639
1999-11-19,37904,51146
1999-11-22,39800,52518
1999-11-23,39562,54168
1999-11-24,38141,53961
1999-11-25,36325,52724
1999-11-26,36167,51146
1999-11-29,36206,51009
1999-11-30,38378,51043
1999-12-01,38299,52930
1999-12-02,36798,52861
1999-12-03,36759,51557
1999-12-06,37904,51523
1999-12-07,36641,52518
1999-12-08,37430,51420
1999-12-09,38260,52106
1999-12-10,37785,52827
1999-12-13,36798,52414
1999-12-14,35614,51557
1999-12-15,34982,50529
1999-12-16,34193,49981
1999-12-17,35062,49298
1999-12-20,36245,50051
1999-12-21,34520,51077
1999-12-22,32430,49581
1999-12-23,33793,47773
1999-12-24,38834,48952
1999-12-27,37245,53327
1999-12-28,39062,51945
2000-01-04,39516,53525
2000-01-05,39335,53920
2000-01-06,37245,53763
2000-01-07,36245,51945
2000-01-10,36337,51077
2000-01-11,35610,51156
2000-01-12,33657,50526
2000-01-13,33157,48834
2000-01-14,32703,48401
2000-01-17,32430,48009
2000-01-18,34156,47773
2000-01-19,32612,49266
2000-01-20,31704,47930
2000-01-21,31749,47146
2000-01-24,31749,47185
2000-01-25,30887,47185
2000-01-26,30887,46441
2000-01-27,32340,46441
2000-01-28,32885,47695
2000-01-31,33066,48166
2000-02-01,33157,48323
2000-02-02,35019,48401
2000-02-03,35883,50013
2000-02-07,35883,50763
2000-02-08,34974,50763
2000-02-09,32658,49974
2000-02-10,30887,47970
2000-02-11,30523,46441
2000-02-14,30341,46127
2000-02-15,29069,45970
2000-02-16,29069,44874
2000-02-17,28525,44874
2000-02-18,28706,44406
2000-02-21,28525,44562
2000-02-22,28570,44406
2000-02-23,29932,44445
2000-02-24,28115,45617
2000-02-25,27525,44053
2000-02-28,27889,43546
2000-02-29,28615,43859
2000-03-02,29750,44483
2000-03-03,29069,45461
2000-03-06,29887,44874
2000-03-07,30159,45579
2000-03-08,31340,45813
2000-03-09,30841,46832
2000-03-10,32249,46401
2000-03-13,31658,47616
2000-03-14,32885,47106
2000-03-15,32975,48166
2000-03-16,33021,48244
2000-03-17,34293,48284
2000-03-20,33975,49384
2000-03-21,33611,49109
2000-03-22,33611,48794
2000-03-23,33248,48794
2000-03-24,31613,48480
2000-03-27,29932,47067
2000-03-28,28843,45617
2000-03-29,29614,44680
2000-03-30,28887,45343
2000-03-31,29342,44717
2000-04-03,29296,45109
2000-04-04,31840,45070
2000-04-06,31295,47263
2000-04-07,33157,46793
2000-04-10,33157,48401
2000-04-11,31658,48401
2000-04-12,28615,47106
2000-04-14,29069,44483
2000-04-17,24709,44874
2000-04-18,25345,41130
2000-04-19,24618,41675
2000-04-20,24799,41052
2000-04-21,25618,41207
2000-04-24,24618,41909
2000-04-25,23346,41052
2000-04-26,21757,39964
2000-04-27,19985,38606
2000-04-28,20712,37096
2000-05-02,20530,37715
2000-05-03,21030,37560
2000-05-04,21121,37986
2000-05-08,20894,38064
2000-05-09,20258,37870
2000-05-10,22620,37328
2000-05-12,22710,39343
2000-05-15,20894,39420
2000-05-16,20530,37870
2000-05-17,18532,37560
2000-05-18,17987,35859
2000-05-19,18532,35396
2000-05-22,18532,35859
2000-05-23,18668,35859
2000-05-24,18168,35975
2000-05-25,20167,35550
2000-05-26,17214,37251
2000-05-29,15806,34740
2000-05-30,16715,33545
2000-05-31,19168,34316
2000-06-01,18804,36400
2000-06-02,19803,36091
2000-06-05,20803,36941
2000-06-07,20212,37793
2000-06-08,18895,37289
2000-06-09,19894,36168
2000-06-12,21166,37018
2000-06-13,20803,38102
2000-06-14,20258,37793
2000-06-15,18532,37328
2000-06-16,18305,35859
2000-06-19,18123,35666
2000-06-20,18441,35512
2000-06-21,18441,35782
2000-06-22,18895,35782
2000-06-23,19077,36168
2000-06-26,19168,36323
2000-06-27,20394,36400
2000-06-28,19622,37444
2000-06-29,19077,36787
2000-06-30,19077,36323
2000-07-03,19258,36323
2000-07-04,18895,36477
2000-07-05,18804,36168
2000-07-06,18713,36091
2000-07-07,20167,36013
2000-07-10,20439,37251
2000-07-11,19531,37482
2000-07-12,19077,36709
2000-07-13,19077,36323
2000-07-14,18804,36323
2000-07-18,19077,36091
2000-07-19,18668,36323
2000-07-20,18441,35975
2000-07-21,18259,35782
2000-07-24,17260,35627
2000-07-25,16806,34779
2000-07-26,16351,34393
2000-07-27,17169,34007
2000-07-28,18441,34701
2000-07-31,18168,35782
2000-08-01,19077,35550
2000-08-02,20621,36323
2000-08-03,21530,37638
2000-08-04,20803,38413
2000-08-07,19349,37793
2000-08-08,19168,36554
2000-08-09,22029,36400
2000-08-10,21802,38839
2000-08-11,21256,38645
2000-08-14,20621,38179
2000-08-16,20712,37638
2000-08-17,19803,37715
2000-08-18,19803,36941
2000-08-21,19213,36941
2000-08-22,19486,36439
2000-08-23,18986,36671
2000-08-24,19077,36245
2000-08-25,19531,36323
2000-08-28,19531,36709
2000-08-29,20258,36709
2000-08-30,20258,37328
2000-08-31,19985,37328
2000-09-01,19985,37096
2000-09-04,19985,37096
2000-09-05,20167,37096
2000-09-06,19985,37251
2000-09-07,19622,37096
2000-09-08,19894,36787
2000-09-14,19077,37018
2000-09-15,19258,36323
2000-09-18,18077,36477
2000-09-19,17715,35473
2000-09-20,17850,35165
2000-09-21,17214,35280
2000-09-22,16033,34740
2000-09-25,17169,33738
2000-09-26,17078,34701
2000-09-27,17987,34624
2000-09-28,17805,35396
2000-09-29,18168,35241
2000-10-02,17715,35550
2000-10-04,17850,35165
2000-10-05,17896,35280
2000-10-06,17896,35319
2000-10-09,17896,35319
2000-10-10,18441,35319
2000-10-11,18577,35782
2000-10-12,18123,35898
2000-10-13,17578,35512
2000-10-16,18123,35049
2000-10-17,17759,35512
2000-10-18,17441,35202
2000-10-19,16351,34932
2000-10-20,16896,34007
2000-10-23,17078,34470
2000-10-24,18168,34624
2000-10-25,18123,35550
2000-10-26,17715,35512
2000-10-27,17896,35165
2000-10-30,17896,35319
2000-10-31,18032,35319
2000-11-01,18032,35434
2000-11-02,17715,35434
2000-11-03,17715,35165
2000-11-06,17532,35165
2000-11-07,17441,35010
2000-11-08,17260,34932
2000-11-09,17169,34779
2000-11-10,17260,34701
2000-11-13,16942,34779
2000-11-14,17260,34509
2000-11-15,16987,34779
2000-11-16,16896,34547
2000-11-17,16987,34470
2000-11-20,16896,34547
2000-11-21,16987,34470
2000-11-22,17397,34547
2000-11-23,17260,34895
2000-11-24,17351,34779
2000-11-27,17896,34856
2000-11-28,17305,35319
2000-11-29,17078,34817
2000-11-30,16806,34624
2000-12-01,16896,34393
2000-12-04,16488,34470
2000-12-05,16806,34124
2000-12-06,16896,34393
2000-12-07,17124,34470
2000-12-08,17033,34663
2000-12-11,17351,34586
2000-12-12,17214,34856
2000-12-13,17260,34740
2000-12-14,15988,34779
2000-12-15,16261,33700
2000-12-18,16397,33931
2000-12-19,16124,34046
2000-12-20,14625,33815
2000-12-21,15125,32545
2000-12-22,15806,32969
2000-12-26,16806,33545
2001-01-02,16624,34393
2001-01-03,17078,34239
2001-01-04,18895,34624
2001-01-05,18895,36168
2001-01-08,19349,36168
2001-01-09,19349,36554
2001-01-10,17759,36554
2001-01-11,17351,35202
2001-01-12,17896,34856
2001-01-15,20167,35319
2001-01-16,21530,37251
2001-01-17,20894,38413
2001-01-18,22529,37870
2001-01-19,24437,39266
2001-01-22,24437,40897
2001-01-26,22256,40897
2001-01-29,22892,39032
2001-01-30,23165,39576
2001-01-31,23982,39809
2001-02-01,25572,40508
2001-02-02,25527,41870
2001-02-05,25254,41831
2001-02-06,25481,41597
2001-02-07,24346,41792
2001-02-08,25799,40820
2001-02-09,25435,42065
2001-02-12,25435,41752
2001-02-13,25254,41752
2001-02-14,24936,41597
2001-02-15,25163,41325
2001-02-16,24799,41519
2001-02-19,24300,41207
2001-02-20,25345,40780
2001-02-21,24982,41675
2001-02-22,24346,41364
2001-02-23,24709,40820
2001-02-26,24618,41130
2001-02-27,24346,41052
2001-02-28,24437,40820
2001-03-02,24164,40897
2001-03-05,23437,40664
2001-03-06,24073,40042
2001-03-07,23801,40586
2001-03-08,24755,40353
2001-03-09,24755,41170
2001-03-12,24845,41170
2001-03-13,24481,41247
2001-03-14,24891,40935
2001-03-15,24982,41286
2001-03-16,24346,41364
2001-03-19,24346,40820
2001-03-20,24527,40820
2001-03-21,24799,40975
2001-03-22,24527,41207
2001-03-23,26708,40975
2001-03-26,27071,42844
2001-03-27,26253,43156
2001-03-28,25618,42454
2001-03-29,25708,41909
2001-03-30,25435,41986
2001-04-02,24982,41752
2001-04-03,25072,41364
2001-04-04,25572,41441
2001-04-06,25435,41870
2001-04-09,25163,41752
2001-04-10,24982,41519
2001-04-11,24572,41364
2001-04-12,23801,41013
2001-04-13,20258,40353
2001-04-16,20303,37328
2001-04-17,20803,37367
2001-04-18,21393,37793
2001-04-19,21256,38296
2001-04-20,21302,38179
2001-04-23,22029,38218
2001-04-24,22347,38839
2001-04-25,22620,39110
2001-04-26,22529,39343
2001-04-27,22256,39266
2001-04-30,22892,39032
2001-05-02,24073,39576
2001-05-03,23801,40586
2001-05-04,24799,40353
2001-05-07,24845,41207
2001-05-08,24982,41247
2001-05-09,23528,41364
2001-05-10,23392,40120
2001-05-11,22620,40003
2001-05-14,22665,39343
2001-05-15,23165,39382
2001-05-16,22529,39809
2001-05-17,22710,39266
2001-05-18,23028,39420
2001-05-21,23982,39692
2001-05-22,23664,40508
2001-05-23,23801,40236
2001-05-24,24437,40353
2001-05-25,24437,40897
2001-05-28,24209,40897
2001-05-29,24346,40702
2001-05-30,24164,40820
2001-05-31,24119,40664
2001-06-01,23891,40625
2001-06-04,23846,40430
2001-06-05,23891,40392
2001-06-07,24618,40430
2001-06-08,24709,41052
2001-06-11,24391,41130
2001-06-12,24618,40858
2001-06-13,26163,41052
2001-06-14,25572,42377
2001-06-15,25890,41870
2001-06-18,26253,42143
2001-06-19,26799,42454
2001-06-20,27706,42923
2001-06-21,27889,43702
2001-06-22,28161,43859
2001-06-25,28797,44093
2001-06-26,29069,44640
2001-06-27,28797,44874
2001-06-28,27980,44640
2001-06-29,27889,43937
2001-07-02,27344,43859
2001-07-03,28115,43391
2001-07-04,28843,44053
2001-07-05,28525,44680
2001-07-06,28070,44406
2001-07-09,28070,44015
2001-07-10,28161,44015
2001-07-11,27026,44093
2001-07-12,26843,43117
2001-07-13,25845,42960
2001-07-16,26843,42104
2001-07-18,26481,42960
2001-07-19,26799,42650
2001-07-20,26435,42923
2001-07-23,26071,42610
2001-07-24,25618,42298
2001-07-25,25618,41909
2001-07-26,26071,41909
2001-07-27,26026,42298
2001-07-30,25435,42259
2001-07-31,26071,41752
2001-08-01,26163,42298
2001-08-02,25254,42377
2001-08-03,24845,41597
2001-08-06,25618,41247
2001-08-07,25935,41909
2001-08-08,25662,42181
2001-08-09,25072,41947
2001-08-10,25618,41441
2001-08-13,24982,41909
2001-08-14,25209,41364
2001-08-16,24209,41559
2001-08-17,24209,40702
