Date,Actual Closing Price,Forecast Closing Price
2021-09-23,99100,112417
2021-09-24,99200,100228
2021-09-27,97000,100326
2021-09-28,100000,98169
2021-09-29,107500,101111
2021-09-30,115500,108481
2021-10-01,113500,116353
2021-10-05,104500,114385
2021-10-06,107000,105531
2021-10-07,109500,107989
2021-10-08,104500,110449
2021-10-12,101000,105531
2021-10-13,102000,102092
2021-10-14,102000,103074
2021-10-15,105000,103074
2021-10-18,101500,106022
2021-10-19,101500,102583
2021-10-20,100500,102583
2021-10-21,100500,101601
2021-10-22,101000,101601
2021-10-25,106000,102092
2021-10-26,108500,107006
2021-10-27,113500,109465
2021-10-28,112000,114385
2021-10-29,117000,112909
2021-11-01,118500,117829
2021-11-02,116000,119304
2021-11-03,116500,116845
2021-11-04,112500,117337
2021-11-05,113500,113401
2021-11-08,112000,114385
2021-11-09,109500,112909
2021-11-10,111000,110449
2021-11-11,112000,111925
2021-11-12,112000,112909
2021-11-15,114000,112909
2021-11-16,111500,114877
2021-11-17,108500,112417
2021-11-18,106000,109465
2021-11-19,109000,107006
2021-11-22,109000,109957
2021-11-23,111000,109957
2021-11-24,112500,111925
2021-11-25,114000,113401
2021-11-26,111500,114877
2021-11-29,108500,112417
2021-11-30,106500,109465
2021-12-01,108000,107497
2021-12-02,113500,108973
2021-12-03,111000,114385
2021-12-06,112500,111925
2021-12-07,110000,113401
2021-12-08,108000,110941
2021-12-09,107000,108973
2021-12-10,107500,107989
2021-12-13,106000,108481
2021-12-14,101000,107006
2021-12-15,98900,102092
2021-12-16,95700,100031
2021-12-17,91500,96895
2021-12-20,91900,92789
2021-12-21,94000,93179
2021-12-22,92700,95232
2021-12-23,92300,93961
2021-12-24,92700,93570
2021-12-27,92700,93961
2021-12-28,92700,93961
2021-12-29,93700,93961
2021-12-30,95200,94938
2022-01-03,97600,96406
2022-01-04,101500,98757
2022-01-05,104000,102583
2022-01-06,111000,105039
2022-01-07,112000,111925
2022-01-10,111500,112909
2022-01-11,107000,112417
2022-01-12,108500,107989
2022-01-13,105500,109465
2022-01-14,106000,106514
2022-01-17,102000,107006
2022-01-18,103000,103074
2022-01-19,102000,104057
2022-01-20,103500,103074
2022-01-21,105500,104548
2022-01-24,101500,106514
2022-01-25,97700,102583
2022-01-26,96600,98855
2022-01-27,93400,97777
2022-01-28,99300,94645
2022-02-03,102000,100424
2022-02-04,102000,103074
2022-02-07,101500,103074
2022-02-08,98000,102583
2022-02-09,103000,99149
2022-02-10,101000,104057
2022-02-11,97800,102092
2022-02-14,95600,98953
2022-02-15,96200,96797
2022-02-16,98000,97385
2022-02-17,98300,99149
2022-02-18,99200,99443
2022-02-21,99900,100326
2022-02-22,102000,101012
2022-02-23,109500,103074
2022-02-24,105500,110449
2022-02-25,109500,106514
2022-02-28,109500,110449
2022-03-02,116500,110449
2022-03-03,113000,117337
2022-03-04,114000,113893
2022-03-07,116500,114877
2022-03-08,113500,117337
2022-03-10,112000,114385
2022-03-11,112000,112909
2022-03-14,113500,112909
2022-03-15,109500,114385
2022-03-16,110000,110449
2022-03-17,108000,110941
2022-03-18,108500,108973
2022-03-21,108500,109465
2022-03-22,114000,109465
2022-03-23,115500,114877
2022-03-24,117000,116353
2022-03-25,117500,117829
2022-03-28,122500,118321
2022-03-29,123000,123236
2022-03-30,117500,123727
2022-03-31,119500,118321
2022-04-01,119000,120288
2022-04-04,121000,119796
2022-04-05,126500,121762
2022-04-06,127000,127162
2022-04-07,121500,127652
2022-04-08,124000,122254
2022-04-11,127500,124709
2022-04-12,129500,128142
2022-04-13,136500,130101
2022-04-14,139000,136935
2022-04-15,148000,139365
2022-04-18,142500,148061
2022-04-19,153500,142758
2022-04-20,149000,153325
2022-04-21,145500,149021
2022-04-22,140000,145655
2022-04-25,139500,140336
2022-04-26,140500,139851
2022-04-27,144000,140821
2022-04-28,144000,144208
2022-04-29,140000,144208
2022-05-02,140000,140336
2022-05-03,137500,140336
2022-05-04,133500,137908
2022-05-06,133500,134010
2022-05-09,131500,134010
2022-05-10,130500,132057
2022-05-11,125000,131079
2022-05-12,124000,125691
2022-05-13,125500,124709
2022-05-16,127000,126181
2022-05-17,121500,127652
2022-05-18,117000,122254
2022-05-19,114500,117829
2022-05-20,115000,115369
2022-05-23,115000,115861
2022-05-24,113000,115861
2022-05-25,113000,113893
2022-05-26,119000,113893
2022-05-27,123000,119796
2022-05-30,119500,123727
2022-05-31,119000,120288
2022-06-02,119500,119796
