Date,Actual Closing Price,Forecast Closing Price
2008-10-13,49556,43233
2008-10-14,51902,46927
2008-10-15,49850,49314
2008-10-16,42421,47227
2008-10-17,37143,39644
2008-10-20,38169,34324
2008-10-21,38316,35349
2008-10-22,37632,35497
2008-10-23,35970,34812
2008-10-24,35970,33159
2008-10-27,39098,33159
2008-10-28,36752,36282
2008-10-29,31278,33935
2008-10-30,34211,28581
2008-10-31,31278,31426
2008-11-03,32305,28581
2008-11-04,34992,29570
2008-11-05,35677,32193
2008-11-06,30398,32869
2008-11-07,31229,27740
2008-11-10,32842,28534
2008-11-11,31962,30090
2008-11-12,31376,29239
2008-11-13,29763,28675
2008-11-14,31425,27137
2008-11-17,31669,28722
2008-11-18,29421,28957
2008-11-19,28199,26813
2008-11-20,23996,25665
2008-11-21,24436,21816
2008-11-24,22286,22211
2008-11-25,23459,20297
2008-11-26,26977,21336
2008-11-27,29323,24529
2008-11-28,29519,26721
2008-12-01,28346,26906
2008-12-02,27368,25802
2008-12-03,28639,24891
2008-12-04,28541,26077
2008-12-05,29763,25985
2008-12-08,32256,27137
2008-12-09,32451,29523
2008-12-10,34699,29711
2008-12-11,35872,31904
2008-12-12,30545,33061
2008-12-15,32256,27880
2008-12-16,33380,29523
2008-12-17,35432,30614
2008-12-18,35432,32627
2008-12-19,34992,32627
2008-12-22,35726,32193
2008-12-23,33771,32917
2008-12-24,32256,30995
2008-12-26,33380,29523
2008-12-29,33722,30614
2008-12-30,33700,30947
2009-01-02,33135,30926
2009-01-05,37925,30375
2009-01-06,39098,35105
2009-01-07,39195,36282
2009-01-08,37338,36379
2009-01-09,36165,34519
2009-01-12,34797,33352
2009-01-13,36019,32001
2009-01-14,37876,33207
2009-01-15,34406,35056
2009-01-16,34553,31617
2009-01-19,34797,31761
2009-01-20,32940,32001
2009-01-21,31376,30186
2009-01-22,32695,28675
2009-01-23,31180,29948
2009-01-28,34602,28487
2009-01-29,35970,31809
2009-01-30,36165,33159
2009-02-02,34357,33352
2009-02-03,35188,31569
2009-02-04,34992,32386
2009-02-05,33233,32193
2009-02-06,34748,30470
2009-02-09,34944,31953
2009-02-10,35090,32145
2009-02-11,33771,32289
2009-02-12,31962,30995
2009-02-13,32647,29239
2009-02-16,31425,29901
2009-02-17,29910,28722
2009-02-18,27857,27276
2009-02-19,27662,25346
2009-02-20,26733,25164
2009-02-23,27808,24304
2009-02-24,26538,25300
2009-02-25,27026,24125
2009-02-26,27173,24575
2009-02-27,28737,24711
2009-03-02,27466,26169
2009-03-03,27417,24982
2009-03-04,28248,24937
2009-03-05,27368,25711
2009-03-06,26293,24891
2009-03-09,26244,23900
2009-03-10,29323,23855
2009-03-11,31474,26721
2009-03-12,31278,28769
2009-03-13,30887,28581
2009-03-16,31767,28207
2009-03-17,33917,29051
2009-03-18,33135,31138
2009-03-19,31376,30375
2009-03-20,31180,28675
2009-03-23,32744,28487
2009-03-24,34259,29995
2009-03-25,34406,31473
2009-03-26,35872,31617
2009-03-27,35383,33061
2009-03-30,33038,32578
2009-03-31,32207,30281
2009-04-01,33673,29475
2009-04-02,35970,30899
2009-04-03,36947,33159
2009-04-06,37045,34129
2009-04-07,36214,34226
2009-04-08,34553,33400
2009-04-09,37045,31761
2009-04-10,37289,34226
2009-04-13,38218,34470
2009-04-14,38365,35398
2009-04-15,36654,35546
2009-04-16,36165,33837
2009-04-17,36165,33352
2009-04-20,37632,33352
2009-04-21,36459,34812
2009-04-22,36898,33643
2009-04-23,36605,34080
2009-04-24,37143,33789
2009-04-27,36165,34324
2009-04-28,34602,33352
2009-04-29,36605,31809
2009-04-30,38853,33789
2009-05-04,44669,36036
2009-05-06,44327,41935
2009-05-07,45256,41586
2009-05-08,44523,42534
2009-05-11,44914,41786
2009-05-12,42812,42185
2009-05-13,43643,40042
2009-05-14,41541,40888
2009-05-15,43301,38750
2009-05-18,43985,40540
2009-05-19,46722,41237
2009-05-20,45940,44033
2009-05-21,45744,43233
2009-05-22,44376,43033
2009-05-25,43985,41636
2009-05-26,42128,41237
2009-05-27,41883,39346
2009-05-28,40662,39097
2009-05-29,39098,37860
2009-06-01,41688,36282
2009-06-02,42030,38899
2009-06-03,41395,39247
2009-06-04,39391,38602
2009-06-05,40320,36577
2009-06-08,39244,37514
2009-06-09,38120,36429
2009-06-10,40564,35300
2009-06-11,41541,37761
2009-06-12,41346,38750
2009-06-15,41053,38553
2009-06-16,40857,38256
2009-06-17,39391,38057
2009-06-18,38462,36577
2009-06-19,39098,35643
2009-06-22,41492,36282
2009-06-23,39977,38701
2009-06-24,40662,37168
2009-06-25,41786,37860
2009-06-26,41786,38999
2009-06-29,41297,38999
2009-06-30,41835,38503
2009-07-01,45451,39049
2009-07-02,45109,42734
2009-07-03,45109,42384
2009-07-06,44180,42384
2009-07-07,43447,41436
2009-07-08,43203,40689
2009-07-09,44669,40440
2009-07-10,45891,41935
2009-07-13,43643,43183
2009-07-14,44767,40888
2009-07-15,47895,42035
2009-07-16,48628,45231
2009-07-17,49165,45980
2009-07-20,52195,46528
2009-07-21,52586,49611
2009-07-22,52000,50007
2009-07-23,52000,49413
2009-07-24,50800,49413
2009-07-27,53000,48194
2009-07-28,54800,50425
2009-07-29,55400,52238
2009-07-30,54500,52839
2009-07-31,53100,51937
2009-08-03,53600,50526
2009-08-04,52700,51031
2009-08-05,53900,50122
2009-08-06,55200,51333
2009-08-07,56500,52639
2009-08-10,56200,53937
2009-08-11,55800,53638
2009-08-12,53600,53239
2009-08-13,52600,51031
2009-08-14,54000,50021
2009-08-17,51400,51434
2009-08-18,50700,48804
2009-08-19,50700,48092
2009-08-20,53800,48092
2009-08-21,54500,51233
2009-08-24,56000,51937
2009-08-25,54400,53439
2009-08-26,54700,51837
2009-08-27,53800,52138
2009-08-28,53200,51233
2009-08-31,51500,50627
2009-09-01,53000,48906
2009-09-02,52900,50425
2009-09-03,55000,50324
2009-09-04,55800,52439
2009-09-07,54300,53239
2009-09-08,54400,51736
2009-09-09,54400,51837
2009-09-10,56500,51837
2009-09-11,58800,53937
2009-09-14,58200,56209
2009-09-15,59000,55620
2009-09-16,61000,56405
2009-09-17,61900,58350
2009-09-18,60500,59216
2009-09-21,61000,57867
2009-09-22,60500,58350
2009-09-23,61400,57867
2009-09-24,60600,58736
2009-09-25,59500,57964
2009-09-28,58300,56894
2009-09-29,59800,55718
2009-09-30,60500,57187
2009-10-01,60600,57867
2009-10-05,58600,57964
2009-10-06,57700,56013
2009-10-07,59700,55126
2009-10-08,60500,57089
2009-10-09,61600,57867
2009-10-12,60300,58928
2009-10-13,60100,57673
2009-10-14,60400,57479
2009-10-15,61000,57770
2009-10-16,61200,58350
2009-10-19,61900,58543
2009-10-20,63000,59216
2009-10-21,62900,60265
2009-10-22,61700,60170
2009-10-23,62000,59024
2009-10-26,62400,59311
2009-10-27,62500,59694
2009-10-28,61300,59789
2009-10-29,59700,58639
2009-10-30,58800,57089
2009-11-02,58400,56209
2009-11-03,57100,55816
2009-11-04,58100,54533
2009-11-05,57900,55521
2009-11-06,58900,55324
2009-11-09,59000,56307
2009-11-10,59300,56405
2009-11-11,59200,56699
2009-11-12,57800,56601
2009-11-13,59500,55225
2009-11-16,59700,56894
2009-11-17,60600,57089
2009-11-18,61300,57964
2009-11-19,62400,58639
2009-11-20,62300,59694
2009-11-23,63200,59598
2009-11-24,62800,60454
2009-11-25,61700,60075
2009-11-26,60700,59024
2009-11-27,56400,58060
2009-11-30,58000,53837
2009-12-01,59000,55423
2009-12-02,60300,56405
2009-12-03,60800,57673
2009-12-04,60700,58157
2009-12-07,61000,58060
2009-12-08,61000,58350
2009-12-09,60800,58350
2009-12-10,62600,58157
2009-12-11,61700,59884
2009-12-14,61200,59024
2009-12-15,62400,58543
2009-12-16,62200,59694
2009-12-17,60800,59503
2009-12-18,59000,58157
2009-12-21,58400,56405
2009-12-22,58900,55816
2009-12-23,58700,56307
2009-12-24,59700,56111
2009-12-28,60300,57089
2009-12-29,59500,57673
2009-12-30,59700,56894
2010-01-04,59400,57089
2010-01-05,58700,56797
2010-01-06,58500,56111
2010-01-07,57800,55915
2010-01-08,57900,55225
2010-01-11,59100,55324
2010-01-12,58800,56503
2010-01-13,57700,56209
2010-01-14,57400,55126
2010-01-15,57300,54830
2010-01-18,55900,54731
2010-01-19,56500,53339
2010-01-20,55900,53937
2010-01-21,56200,53339
2010-01-22,54100,53638
2010-01-25,52700,51535
2010-01-26,51800,50122
2010-01-27,49650,49210
2010-01-28,52300,47023
2010-01-29,50600,49717
2010-02-01,51900,47991
2010-02-02,52200,49311
2010-02-03,52100,49616
2010-02-04,50400,49514
2010-02-05,47000,47787
2010-02-08,45900,44317
2010-02-09,48350,43192
2010-02-10,48850,45696
2010-02-11,51000,46207
2010-02-12,51000,48397
2010-02-16,50000,48397
2010-02-17,52500,47380
2010-02-18,52000,49920
2010-02-19,50200,49413
2010-02-22,51600,47583
2010-02-23,51700,49007
2010-02-24,51000,49109
2010-02-25,48950,48397
2010-02-26,48750,46309
2010-03-02,49100,46105
2010-03-03,49900,46462
2010-03-04,50500,47278
2010-03-05,50700,47889
2010-03-08,52500,48092
2010-03-09,52800,49920
2010-03-10,52100,50223
2010-03-11,51900,49514
2010-03-12,52000,49311
2010-03-15,51100,49413
2010-03-16,51300,48499
2010-03-17,53300,48702
2010-03-18,52600,50728
2010-03-19,52900,50021
2010-03-22,52000,50324
2010-03-23,52400,49413
2010-03-24,52000,49818
2010-03-25,52800,49413
2010-03-26,53400,50223
2010-03-29,52800,50829
2010-03-30,54300,50223
2010-03-31,54600,51736
2010-04-01,54900,52037
2010-04-02,54800,52339
2010-04-05,54400,52238
2010-04-06,54600,51837
2010-04-07,53000,52037
2010-04-08,52300,50425
2010-04-09,52300,49717
2010-04-12,53600,49717
2010-04-13,53300,51031
2010-04-14,55700,50728
2010-04-15,57400,53139
2010-04-16,57500,54830
2010-04-19,56300,54929
2010-04-20,56100,53738
2010-04-21,56700,53539
2010-04-22,55300,54136
2010-04-23,55500,52739
2010-04-26,56900,52939
2010-04-27,56500,54334
2010-04-28,54600,53937
2010-04-29,54000,52037
2010-04-30,54500,51434
2010-05-03,54700,51937
2010-05-04,54000,52138
2010-05-06,51200,51434
2010-05-07,48600,48601
2010-05-10,51200,45951
2010-05-11,49750,48601
2010-05-12,49000,47125
2010-05-13,51200,46360
2010-05-14,50600,48601
2010-05-17,47950,47991
2010-05-18,48700,45287
2010-05-19,49450,46053
2010-05-20,49450,46819
2010-05-24,50900,46819
2010-05-25,48350,48296
2010-05-26,46750,45696
2010-05-27,48000,44061
2010-05-28,49000,45339
2010-05-31,49300,46360
2010-06-01,49200,46666
2010-06-03,52800,46564
2010-06-04,51800,50223
2010-06-07,50100,49210
2010-06-08,51400,47481
2010-06-09,51600,48804
2010-06-10,51500,49007
2010-06-11,52400,48906
2010-06-14,52800,49818
2010-06-15,51200,50223
2010-06-16,49750,48601
2010-06-17,49350,47125
2010-06-18,49700,46717
2010-06-21,50700,47074
2010-06-22,49200,48092
2010-06-23,49050,46564
2010-06-24,49450,46411
2010-06-25,49550,46819
2010-06-28,49400,46921
2010-06-29,48150,46768
2010-06-30,47500,45492
2010-07-01,46550,44828
2010-07-02,47000,43857
2010-07-05,46750,44317
2010-07-06,47500,44061
2010-07-07,46550,44828
2010-07-08,48750,43857
2010-07-09,50900,46105
2010-07-12,50700,48296
2010-07-13,51300,48092
2010-07-14,52100,48702
2010-07-15,51500,49514
2010-07-16,49700,48906
2010-07-19,49100,47074
2010-07-20,49150,46462
2010-07-21,48300,46513
2010-07-22,47800,45645
2010-07-23,51500,45134
2010-07-26,51000,48906
2010-07-27,50500,48397
2010-07-28,52000,47889
2010-07-29,52300,49413
2010-07-30,51500,49717
2010-08-02,52200,48906
2010-08-03,52500,49616
2010-08-04,51200,49920
2010-08-05,50500,48601
2010-08-06,50600,47889
2010-08-09,51300,47991
2010-08-10,51200,48702
2010-08-11,50100,48601
2010-08-12,48750,47481
2010-08-13,48750,46105
2010-08-16,48000,46105
2010-08-17,48200,45339
2010-08-18,48350,45543
2010-08-19,48950,45696
2010-08-20,48150,46309
2010-08-23,48100,45492
2010-08-24,47850,45441
2010-08-25,47200,45185
2010-08-26,47000,44521
2010-08-27,48000,44317
2010-08-30,49500,45339
2010-08-31,48600,46870
2010-09-01,49050,45951
2010-09-02,48400,46411
2010-09-03,48300,45747
2010-09-06,48900,45645
2010-09-07,48800,46258
2010-09-08,48100,46156
2010-09-09,48500,45441
2010-09-10,49100,45849
2010-09-13,49400,46462
2010-09-14,50000,46768
2010-09-15,50400,47380
2010-09-16,49800,47787
2010-09-17,49950,47176
2010-09-20,51200,47329
2010-09-24,51100,48601
2010-09-27,49950,48499
2010-09-28,49500,47329
2010-09-29,49500,46870
2010-09-30,49000,46870
2010-10-01,49950,46360
