Date,Actual Closing Price,Forecast Closing Price
1990-01-04,23747,24452
1990-01-05,23315,24452
1990-01-06,22969,24016
1990-01-08,22969,23667
1990-01-09,23056,23667
1990-01-10,22883,23755
1990-01-11,22624,23580
1990-01-12,22710,23319
1990-01-13,22451,23405
1990-01-15,22192,23144
1990-01-16,22365,22883
1990-01-17,22020,23057
1990-01-18,21933,22709
1990-01-19,21933,22621
1990-01-20,21933,22621
1990-01-22,22365,22621
1990-01-23,22279,23057
1990-01-24,22883,22970
1990-01-25,23142,23580
1990-01-29,23142,23842
1990-01-30,23056,23842
1990-01-31,23315,23755
1990-02-01,23056,24016
1990-02-02,22451,23755
1990-02-03,22538,23144
1990-02-05,22365,23232
1990-02-06,22624,23057
1990-02-07,22365,23319
1990-02-08,22710,23057
1990-02-09,22797,23405
1990-02-10,22624,23493
1990-02-12,22538,23319
1990-02-13,22279,23232
1990-02-14,22365,22970
1990-02-15,22451,23057
1990-02-16,22538,23144
1990-02-17,22451,23232
1990-02-19,22538,23144
1990-02-20,22538,23232
1990-02-21,22365,23232
1990-02-22,22020,23057
1990-02-23,22279,22709
1990-02-24,22192,22970
1990-02-26,22020,22883
1990-02-27,22451,22709
1990-02-28,22106,23144
1990-03-02,22538,22796
1990-03-03,22451,23232
1990-03-05,22279,23144
1990-03-06,22106,22970
1990-03-07,22279,22796
1990-03-08,22451,22970
1990-03-09,22451,23144
1990-03-12,22279,23144
1990-03-13,22020,22970
1990-03-14,21329,22709
1990-03-15,21329,22011
1990-03-16,21501,22011
1990-03-17,21329,22185
1990-03-19,21415,22011
1990-03-20,21588,22098
1990-03-21,21588,22273
1990-03-22,21501,22273
1990-03-23,21415,22185
1990-03-24,21242,22098
1990-03-26,21329,21924
1990-03-27,21070,22011
1990-03-28,20983,21750
1990-03-29,21070,21662
1990-03-30,21674,21750
1990-03-31,21933,22360
1990-04-02,21501,22621
1990-04-03,21329,22185
1990-04-04,21156,22011
1990-04-06,21156,21837
1990-04-07,21070,21837
1990-04-09,21156,21750
1990-04-10,20811,21837
1990-04-11,20811,21489
1990-04-12,20465,21489
1990-04-13,20120,21139
1990-04-14,19688,20791
1990-04-16,19256,20355
1990-04-17,19688,19920
1990-04-18,19343,20355
1990-04-19,18825,20007
1990-04-20,18738,19485
1990-04-21,18997,19397
1990-04-23,18997,19658
1990-04-24,18911,19658
1990-04-25,18652,19572
1990-04-26,17788,19310
1990-04-27,18306,18440
1990-04-28,17702,18962
1990-04-30,16838,18353
1990-05-01,17529,17483
1990-05-03,18393,18179
1990-05-04,19256,19049
1990-05-07,19429,19920
1990-05-08,19602,20094
1990-05-09,19602,20269
1990-05-10,18997,20269
1990-05-11,18479,19658
1990-05-12,18306,19136
1990-05-14,17875,18962
1990-05-15,17702,18527
1990-05-16,18565,18353
1990-05-17,18997,19223
1990-05-18,19170,19658
1990-05-19,18997,19833
1990-05-21,18911,19658
1990-05-22,19170,19572
1990-05-23,19170,19833
1990-05-24,19084,19833
1990-05-25,19343,19746
1990-05-26,19084,20007
1990-05-28,18911,19746
1990-05-29,18911,19572
1990-05-30,19515,19572
1990-05-31,20379,20181
1990-06-01,21070,21053
1990-06-02,20897,21750
1990-06-04,21760,21575
1990-06-05,21329,22446
1990-06-07,21760,22011
1990-06-08,21674,22446
1990-06-09,21501,22360
1990-06-11,21156,22185
1990-06-12,20897,21837
1990-06-13,20897,21575
1990-06-14,20638,21575
1990-06-15,20724,21314
1990-06-16,20897,21401
1990-06-18,20552,21575
1990-06-19,20120,21227
1990-06-20,19947,20791
1990-06-21,19947,20617
1990-06-22,20033,20617
1990-06-23,20206,20703
1990-06-25,19947,20878
1990-06-26,19774,20617
1990-06-27,19602,20442
1990-06-28,19256,20269
1990-06-29,19343,19920
1990-06-30,19429,20007
1990-07-02,19256,20094
1990-07-03,20120,19920
1990-07-04,19688,20791
1990-07-05,19256,20355
1990-07-06,18825,19920
1990-07-07,18911,19485
1990-07-09,19084,19572
1990-07-10,19170,19746
1990-07-11,19256,19833
1990-07-12,18825,19920
1990-07-13,18393,19485
1990-07-14,18134,19049
1990-07-16,18134,18788
1990-07-18,18479,18788
1990-07-19,18306,19136
1990-07-20,18393,18962
1990-07-21,18220,19049
1990-07-23,18047,18875
1990-07-24,18047,18701
1990-07-25,18134,18701
1990-07-26,17875,18788
1990-07-27,17788,18527
1990-07-28,17788,18440
1990-07-30,17616,18440
1990-07-31,17616,18266
1990-08-01,18220,18266
1990-08-02,18047,18875
1990-08-03,17788,18701
1990-08-04,17616,18440
1990-08-06,17184,18266
1990-08-07,17098,17831
1990-08-08,16752,17744
1990-08-09,16752,17396
1990-08-10,16752,17396
1990-08-11,16579,17396
1990-08-13,16493,17222
1990-08-14,16148,17135
1990-08-16,15543,16788
1990-08-17,15370,16179
1990-08-18,15457,16005
1990-08-20,14766,16093
1990-08-21,14852,15398
1990-08-22,15111,15485
1990-08-23,15370,15745
1990-08-24,15457,16005
1990-08-25,15370,16093
1990-08-27,16061,16005
1990-08-28,16752,16700
1990-08-29,16493,17396
1990-08-30,15802,17135
1990-08-31,15716,16440
1990-09-01,15802,16353
1990-09-03,16493,16440
1990-09-04,16148,17135
1990-09-05,16234,16788
1990-09-06,15889,16875
1990-09-07,15889,16527
1990-09-08,15543,16527
1990-09-10,15630,16179
1990-09-11,15543,16267
1990-09-12,15370,16179
1990-09-13,15370,16005
1990-09-14,15111,16005
1990-09-15,14680,15745
1990-09-17,13989,15312
1990-09-18,14680,14618
1990-09-19,14680,15312
1990-09-20,14507,15312
1990-09-21,14680,15138
1990-09-22,14680,15312
1990-09-24,14766,15312
1990-09-25,14852,15398
1990-09-26,14939,15485
1990-09-27,15025,15572
1990-09-28,15111,15659
1990-09-29,15198,15745
1990-10-05,15716,15832
1990-10-06,15543,16353
1990-10-08,15630,16179
1990-10-10,15630,16267
1990-10-11,15630,16267
1990-10-12,15802,16267
1990-10-13,15543,16440
1990-10-15,16148,16179
1990-10-16,15716,16788
1990-10-17,15889,16353
1990-10-18,15889,16527
1990-10-19,16579,16527
1990-10-20,16838,17222
1990-10-22,17443,17483
1990-10-23,18306,18092
1990-10-24,18911,18962
1990-10-25,18047,19572
1990-10-26,17184,18701
1990-10-27,16838,17831
1990-10-29,16838,17483
1990-10-30,16838,17483
1990-10-31,16320,17483
1990-11-01,17011,16961
1990-11-02,16838,17657
1990-11-03,16493,17483
1990-11-05,16493,17135
1990-11-06,16579,17135
1990-11-07,16752,17222
1990-11-08,16234,17396
1990-11-09,16234,16875
1990-11-10,16320,16875
1990-11-12,16234,16961
1990-11-13,16320,16875
1990-11-14,16320,16961
1990-11-15,16320,16961
1990-11-16,16407,16961
1990-11-17,16148,17049
1990-11-19,15889,16788
1990-11-20,15716,16527
1990-11-21,15630,16353
1990-11-22,15543,16267
1990-11-23,15543,16179
1990-11-24,15630,16179
1990-11-26,15543,16267
1990-11-27,15975,16179
1990-11-28,16148,16614
1990-11-29,15975,16788
1990-11-30,16061,16614
1990-12-01,16579,16700
1990-12-03,17098,17222
1990-12-04,16752,17744
1990-12-05,17011,17396
1990-12-06,16838,17657
1990-12-07,17184,17483
1990-12-08,17098,17831
1990-12-10,17184,17744
1990-12-11,17098,17831
1990-12-12,17098,17744
1990-12-13,16666,17744
1990-12-14,16407,17309
1990-12-15,16407,17049
1990-12-17,16320,17049
1990-12-18,16407,16961
1990-12-19,16320,17049
1990-12-20,16320,16961
1990-12-21,16407,16961
1990-12-22,16493,17049
1990-12-24,16493,17135
1990-12-26,16666,17135
1991-01-03,15889,17309
1991-01-04,16234,16527
1991-01-05,16925,16875
1991-01-07,17098,17570
1991-01-08,16493,17744
1991-01-09,16234,17135
1991-01-10,15630,16875
1991-01-11,15975,16267
1991-01-12,16407,16614
1991-01-14,16407,17049
1991-01-15,15716,17049
1991-01-16,15370,16353
1991-01-17,16061,16005
1991-01-18,16752,16700
1991-01-19,16407,17396
1991-01-21,15716,17049
1991-01-22,15630,16353
1991-01-23,15370,16267
1991-01-24,15630,16005
1991-01-25,15284,16267
1991-01-26,15284,15919
1991-01-28,15284,15919
1991-01-29,15457,15919
1991-01-30,15370,16093
1991-01-31,15370,16005
1991-02-01,15198,16005
1991-02-02,15370,15832
1991-02-04,15284,16005
1991-02-05,15284,15919
1991-02-06,15457,15919
1991-02-07,15457,16093
1991-02-08,15370,16093
1991-02-09,15370,16005
1991-02-11,15284,16005
1991-02-12,15716,15919
1991-02-13,15543,16353
1991-02-18,16234,16179
1991-02-19,16493,16875
1991-02-20,16493,17135
1991-02-21,16493,17135
1991-02-22,16407,17135
1991-02-23,16666,17049
1991-02-25,16666,17309
1991-02-26,16234,17309
1991-02-27,16234,16875
1991-02-28,16407,16875
