Date,Actual Closing Price,Forecast Closing Price
2004-07-26,31010,30332
2004-07-27,30779,31041
2004-07-28,31241,30820
2004-07-29,30733,31262
2004-07-30,30871,30776
2004-08-02,29993,30908
2004-08-03,29393,30065
2004-08-04,29393,29486
2004-08-05,31195,29486
2004-08-06,31888,31218
2004-08-09,31565,31879
2004-08-10,32027,31571
2004-08-11,32812,32012
2004-08-12,32535,32757
2004-08-13,32350,32494
2004-08-16,31842,32319
2004-08-17,32258,31835
2004-08-18,33367,32231
2004-08-19,35031,33281
2004-08-20,34106,34842
2004-08-23,33413,33976
2004-08-24,33829,33325
2004-08-25,33506,33716
2004-08-26,34106,33412
2004-08-27,33875,33976
2004-08-30,31981,33760
2004-08-31,31657,31968
2004-09-01,32258,31659
2004-09-02,31888,32231
2004-09-03,30964,31879
2004-09-06,30594,30997
2004-09-07,30409,30642
2004-09-08,30640,30465
2004-09-09,30594,30686
2004-09-10,32812,30642
2004-09-13,32674,32757
2004-09-14,32720,32626
2004-09-15,32581,32670
2004-09-16,31842,32538
2004-09-17,31195,31835
2004-09-20,31703,31218
2004-09-21,31657,31703
2004-09-22,31426,31659
2004-09-23,31426,31439
2004-09-24,32212,31439
2004-09-30,32443,32187
2004-10-01,32812,32407
2004-10-04,34291,32757
2004-10-05,34661,34150
2004-10-06,35123,34496
2004-10-07,34106,34927
2004-10-08,34060,33976
2004-10-11,33275,33933
2004-10-12,29808,33194
2004-10-13,29762,29887
2004-10-14,29577,29842
2004-10-15,30455,29664
2004-10-18,30640,30509
2004-10-19,31842,30686
2004-10-20,31426,31835
2004-10-21,31334,31439
2004-10-22,31842,31351
2004-10-25,30825,31835
2004-10-26,30086,30864
2004-10-27,28838,30154
2004-10-28,29485,28950
2004-10-29,28838,29575
2004-11-01,27729,28950
2004-11-02,28653,27874
2004-11-03,29670,28771
2004-11-04,28653,29754
2004-11-05,29947,28771
2004-11-08,30455,30021
2004-11-09,30502,30509
2004-11-10,30779,30554
2004-11-11,31241,30820
2004-11-12,31888,31262
2004-11-15,32258,31879
2004-11-16,31703,32231
