Date,Actual Closing Price,Forecast Closing Price
2022-01-28,450000,506977
2022-02-03,477000,452306
2022-02-04,504000,479212
2022-02-07,548000,505989
2022-02-08,542000,549164
2022-02-09,511000,543319
2022-02-10,474500,512901
2022-02-11,482000,476726
2022-02-14,463000,484183
2022-02-15,451500,465273
2022-02-16,455500,453803
2022-02-17,454500,457794
2022-02-18,454500,456797
2022-02-21,453000,456797
2022-02-22,440000,455300
2022-02-23,442000,442322
2022-02-24,416500,444319
2022-02-25,420000,418846
2022-02-28,412000,422342
2022-03-02,434000,414351
2022-03-03,437000,436329
2022-03-04,428500,439325
2022-03-07,414000,430834
2022-03-08,410500,416348
2022-03-10,417500,412853
2022-03-11,391000,419844
2022-03-14,363500,393393
2022-03-15,359500,366029
2022-03-16,363500,362060
2022-03-17,376000,366029
2022-03-18,382000,378452
2022-03-21,386000,384425
2022-03-22,397500,388409
2022-03-23,407000,399876
2022-03-24,408000,409358
2022-03-25,439000,410356
2022-03-28,436500,441323
2022-03-29,441000,438826
2022-03-30,440500,443320
2022-03-31,442000,442821
2022-04-01,428000,444319
2022-04-04,438500,430334
2022-04-05,449000,440824
2022-04-06,444500,451308
2022-04-07,436500,446815
2022-04-08,439500,438826
2022-04-11,425000,441822
2022-04-12,411000,427337
2022-04-13,431000,413352
2022-04-14,441000,433332
2022-04-15,435000,443320
2022-04-18,433000,437327
2022-04-19,435500,435330
2022-04-20,436500,437827
2022-04-21,437000,438826
2022-04-22,436500,439325
2022-04-25,433000,438826
2022-04-26,423500,435330
2022-04-27,418000,425839
2022-04-28,417500,420344
2022-04-29,417000,419844
2022-05-02,408500,419345
2022-05-03,407500,410855
2022-05-04,401500,409857
2022-05-06,401500,403867
2022-05-09,394000,403867
2022-05-10,393500,396384
2022-05-11,391500,395886
2022-05-12,388000,393891
2022-05-13,400500,390402
2022-05-16,400500,402869
2022-05-17,408500,402869
2022-05-18,410000,410855
2022-05-19,415500,412353
2022-05-20,434000,417847
2022-05-23,438000,436329
2022-05-24,438500,440324
2022-05-25,426500,440824
2022-05-26,430500,428836
2022-05-27,430500,432832
2022-05-30,439500,432832
2022-05-31,444000,441822
2022-06-02,440500,446316
2022-06-03,437500,442821
2022-06-07,432000,439825
2022-06-08,425500,434331
2022-06-09,422500,427837
2022-06-10,425000,424839
2022-06-13,415000,427337
2022-06-14,426500,417347
2022-06-15,420000,428836
2022-06-16,427000,422342
2022-06-17,425500,429335
2022-06-20,411500,427837
2022-06-21,413000,413851
2022-06-22,401000,415350
2022-06-23,400000,403368
2022-06-24,405000,402370
2022-06-27,412000,407361
2022-06-28,410500,414351
2022-06-29,391500,412853
2022-06-30,371000,393891
2022-07-01,356500,373480
2022-07-04,356000,359086
2022-07-05,361500,358590
2022-07-06,370500,364044
2022-07-07,373500,372983
2022-07-08,388000,375965
2022-07-11,395000,390402
2022-07-12,401000,397382
2022-07-13,400000,403368
2022-07-14,399500,402370
2022-07-15,400000,401871
2022-07-18,393000,402370
2022-07-19,383000,395387
2022-07-20,384000,385420
2022-07-21,390500,386416
2022-07-22,382000,392894
2022-07-25,391000,384425
2022-07-26,394000,393393
2022-07-27,393500,396384
2022-07-28,415500,395886
2022-07-29,422000,417847
2022-08-01,419500,424340
2022-08-02,417000,421842
2022-08-03,437000,419345
2022-08-04,443000,439325
2022-08-05,446000,445318
2022-08-08,447000,448313
2022-08-09,457500,449311
2022-08-10,458000,459789
2022-08-11,472000,460288
2022-08-12,460500,474238
2022-08-16,460500,462781
2022-08-17,453500,462781
2022-08-18,452000,455799
2022-08-19,447000,454302
2022-08-22,442500,449311
2022-08-23,445000,444818
2022-08-24,451000,447315
2022-08-25,459000,453304
2022-08-26,465500,461285
2022-08-29,459500,467764
2022-08-30,465500,461784
2022-08-31,462500,467764
2022-09-01,463000,464774
2022-09-02,482000,465273
2022-09-05,483000,484183
2022-09-06,483500,485176
2022-09-07,488000,485673
2022-09-08,486500,490141
2022-09-13,497000,488652
