Date,Actual Closing Price,Forecast Closing Price
2000-09-22,6400,6779
2000-09-25,7160,7269
2000-09-26,8010,7862
2000-09-27,8970,8575
2000-09-28,10000,9438
2000-09-29,11200,10416
2000-10-02,12500,11604
2000-10-04,14000,12917
2000-10-05,15650,14429
2000-10-06,16600,16047
2000-10-09,15400,16947
2000-10-10,14600,15806
2000-10-11,12850,15024
2000-10-12,13250,13271
2000-10-13,12500,13676
2000-10-16,13050,12917
2000-10-17,11500,13474
2000-10-18,10400,11905
2000-10-19,10900,10808
2000-10-20,10950,11303
2000-10-23,9730,11353
2000-10-24,9580,10155
2000-10-25,9060,10012
2000-10-26,8100,9521
2000-10-27,7350,8654
2000-10-30,6950,8017
2000-10-31,7780,7693
2000-11-01,8710,8377
2000-11-02,8700,9199
2000-11-03,8650,9190
2000-11-06,8680,9144
2000-11-07,8290,9172
2000-11-08,7940,8821
2000-11-09,7820,8515
2000-11-10,7680,8411
2000-11-13,7170,8292
2000-11-14,7350,7870
2000-11-15,7380,8017
2000-11-16,7240,8041
2000-11-17,7240,7926
2000-11-20,7000,7926
2000-11-21,6800,7733
2000-11-22,6650,7575
2000-11-23,6080,7459
2000-11-24,6250,7034
2000-11-27,6270,7158
2000-11-28,6060,7172
2000-11-29,5580,7019
2000-11-30,5680,6683
2000-12-01,5600,6751
2000-12-04,5530,6696
2000-12-05,5530,6649
2000-12-06,5940,6649
2000-12-07,5930,6933
2000-12-08,5990,6926
2000-12-11,6700,6969
2000-12-12,6920,7498
2000-12-13,6940,7670
2000-12-14,6800,7685
2000-12-15,5990,7575
2000-12-18,5280,6969
2000-12-19,4650,6482
2000-12-20,4180,6087
2000-12-21,4110,5815
2000-12-22,3620,5776
2000-12-26,3490,5515
2001-01-02,3810,5450
2001-01-03,3870,5614
2001-01-04,4150,5646
2001-01-05,4640,5798
2001-01-08,5190,6081
2001-01-09,5400,6424
2001-01-10,5000,6562
2001-01-11,5600,6303
2001-01-12,6270,6696
2001-01-15,7020,7172
2001-01-16,6950,7749
2001-01-17,6460,7693
2001-01-18,6100,7314
2001-01-19,6800,7048
2001-01-22,7610,7575
2001-01-26,7870,8233
2001-01-29,7230,8454
2001-01-30,7720,7918
2001-01-31,7900,8326
2001-02-01,7430,8480
2001-02-02,7310,8083
2001-02-05,6510,7984
2001-02-06,6530,7352
2001-02-07,6140,7367
2001-02-08,6350,7077
2001-02-09,6290,7232
2001-02-12,6170,7187
2001-02-13,6220,7099
2001-02-14,6650,7136
2001-02-15,6800,7459
2001-02-16,6560,7575
2001-02-19,6380,7390
2001-02-20,6680,7254
2001-02-21,6550,7482
2001-02-22,6140,7382
2001-02-23,6000,7077
2001-02-26,5600,6976
2001-02-27,5130,6696
2001-02-28,4820,6385
2001-03-02,4300,6191
2001-03-05,4620,5883
2001-03-06,4450,6069
2001-03-07,4480,5969
2001-03-08,4610,5987
2001-03-09,4670,6063
2001-03-12,4520,6099
2001-03-13,4170,6010
2001-03-14,4270,5809
2001-03-15,4160,5866
2001-03-16,4170,5804
2001-03-19,4230,5809
2001-03-20,4200,5843
2001-03-21,4180,5826
2001-03-22,4270,5815
2001-03-23,4220,5866
2001-03-26,4720,5837
2001-03-27,5280,6130
2001-03-28,5440,6482
2001-03-29,5000,6588
2001-03-30,4750,6303
2001-04-02,4800,6148
2001-04-03,4460,6178
2001-04-04,4990,5975
2001-04-06,5140,6296
2001-04-09,4990,6392
2001-04-10,4850,6296
2001-04-11,4860,6209
2001-04-12,4700,6215
2001-04-13,4800,6117
2001-04-16,4600,6178
2001-04-17,4560,6057
2001-04-18,4880,6034
2001-04-19,5080,6228
2001-04-20,4830,6353
2001-04-23,5020,6197
2001-04-24,4980,6315
2001-04-25,5230,6290
2001-04-26,5160,6450
2001-04-27,5300,6405
2001-04-30,5780,6496
2001-05-02,5720,6821
2001-05-03,5540,6779
2001-05-04,5610,6656
2001-05-07,5630,6703
2001-05-08,5900,6717
2001-05-09,5560,6905
2001-05-10,6220,6669
2001-05-11,6300,7136
2001-05-14,7050,7195
2001-05-15,6980,7773
2001-05-16,6350,7717
2001-05-17,6560,7232
2001-05-18,6840,7390
2001-05-21,6900,7607
2001-05-22,6830,7654
2001-05-23,6660,7599
2001-05-24,6900,7467
2001-05-25,7120,7654
2001-05-28,7470,7829
2001-05-29,7450,8116
2001-05-30,7450,8099
2001-05-31,7380,8099
2001-06-01,7200,8041
2001-06-04,7050,7894
2001-06-05,7190,7773
2001-06-07,7390,7886
2001-06-08,7490,8050
2001-06-11,7510,8133
2001-06-12,7410,8149
2001-06-13,7450,8066
2001-06-14,7720,8099
2001-06-15,7530,8326
2001-06-18,6790,8166
2001-06-19,6400,7567
2001-06-20,6230,7269
2001-06-21,6300,7143
2001-06-22,6320,7195
2001-06-25,6130,7209
2001-06-26,5770,7070
2001-06-27,5740,6814
2001-06-28,5990,6793
2001-06-29,6080,6969
2001-07-02,6450,7034
2001-07-03,6850,7307
2001-07-04,6970,7614
2001-07-05,6690,7709
2001-07-06,6360,7490
2001-07-09,6540,7239
2001-07-10,6400,7375
2001-07-11,6200,7269
2001-07-12,6440,7121
2001-07-13,6160,7299
2001-07-16,6040,7092
2001-07-18,5850,7005
2001-07-19,5800,6870
2001-07-20,5790,6835
2001-07-23,5540,6828
2001-07-24,5400,6656
2001-07-25,5490,6562
2001-07-26,5720,6622
2001-07-27,5840,6779
2001-07-30,5650,6863
2001-07-31,5790,6731
2001-08-01,6010,6828
2001-08-02,6050,6983
2001-08-03,6020,7012
2001-08-06,6150,6990
2001-08-07,6270,7084
2001-08-08,6100,7172
2001-08-09,5800,7048
2001-08-10,5850,6835
2001-08-13,5790,6870
2001-08-14,5930,6828
2001-08-16,6030,6926
2001-08-17,6030,6998
2001-08-20,5970,6998
2001-08-21,5950,6955
2001-08-22,5930,6940
2001-08-23,5990,6926
2001-08-24,6000,6969
2001-08-27,6340,6976
2001-08-28,6050,7224
2001-08-29,5750,7012
2001-08-30,5660,6800
2001-08-31,5390,6737
2001-09-03,5400,6555
2001-09-04,5700,6562
2001-09-05,5710,6765
2001-09-06,5660,6772
2001-09-07,5550,6737
2001-09-10,5450,6662
2001-09-11,5410,6595
2001-09-12,4770,6568
2001-09-13,4800,6160
2001-09-14,4250,6178
2001-09-17,3740,5854
2001-09-18,4140,5577
2001-09-19,4300,5793
2001-09-20,4300,5883
2001-09-21,4290,5883
2001-09-24,4500,5877
2001-09-25,4430,5998
2001-09-26,4400,5957
2001-09-27,4410,5940
2001-09-28,4490,5946
2001-10-04,4810,5992
2001-10-05,4660,6184
2001-10-08,4550,6093
2001-10-09,4650,6028
2001-10-10,4640,6087
2001-10-11,4790,6081
2001-10-12,4850,6172
2001-10-15,5010,6209
2001-10-16,5230,6309
2001-10-17,5220,6450
2001-10-18,5150,6443
2001-10-19,5530,6398
2001-10-22,5510,6649
2001-10-23,5390,6635
2001-10-24,5430,6555
2001-10-25,5310,6582
2001-10-26,5470,6502
2001-10-29,5490,6608
2001-10-30,5260,6622
2001-10-31,5340,6469
2001-11-01,5450,6522
2001-11-02,5620,6595
2001-11-05,5700,6710
2001-11-06,5680,6765
2001-11-07,5610,6751
2001-11-08,5600,6703
2001-11-09,5830,6696
2001-11-12,6120,6856
2001-11-13,5950,7063
2001-11-14,5940,6940
2001-11-15,5800,6933
2001-11-16,5830,6835
2001-11-19,5820,6856
2001-11-20,5800,6849
2001-11-21,5580,6835
2001-11-22,5650,6683
2001-11-23,6110,6731
2001-11-26,6550,7055
2001-11-27,6500,7382
2001-11-28,6000,7344
2001-11-29,6000,6976
2001-11-30,6000,6976
2001-12-03,5800,6976
2001-12-04,5820,6835
2001-12-05,6510,6849
2001-12-06,7290,7352
2001-12-07,7400,7967
2001-12-10,7260,8058
2001-12-11,7700,7943
2001-12-12,8620,8309
2001-12-13,8450,9117
2001-12-14,7890,8964
2001-12-17,7500,8471
2001-12-18,7250,8141
2001-12-19,7350,7935
2001-12-20,7950,8017
2001-12-21,7720,8523
2001-12-24,7580,8326
2001-12-26,7670,8208
2001-12-27,7760,8284
2001-12-28,8240,8360
2002-01-02,8400,8777
2002-01-03,8470,8919
2002-01-04,8350,8982
2002-01-07,8340,8874
2002-01-08,8290,8866
2002-01-09,8480,8821
2002-01-10,8350,8991
2002-01-11,7870,8874
2002-01-14,7750,8454
2002-01-15,7340,8352
2002-01-16,7220,8008
2002-01-17,7150,7910
2002-01-18,7250,7853
2002-01-21,7370,7935
2002-01-22,7480,8033
2002-01-23,7480,8124
2002-01-24,7760,8124
2002-01-25,7880,8360
2002-01-28,7910,8463
2002-01-29,7610,8489
2002-01-30,7260,8233
2002-01-31,7370,7943
2002-02-01,7190,8033
2002-02-04,6940,7886
2002-02-05,6900,7685
2002-02-06,6920,7654
2002-02-07,6630,7670
2002-02-08,6720,7444
2002-02-14,6950,7513
2002-02-15,7060,7693
2002-02-18,7220,7781
2002-02-19,7370,7910
2002-02-20,7150,8033
2002-02-21,7290,7853
2002-02-22,7900,7967
2002-02-25,7930,8480
2002-02-26,7780,8506
2002-02-27,8000,8377
2002-02-28,7700,8567
2002-03-04,8180,8309
2002-03-05,8070,8724
2002-03-06,8120,8628
2002-03-07,8000,8671
2002-03-08,7900,8567
2002-03-11,7910,8480
2002-03-12,8000,8489
2002-03-13,8450,8567
2002-03-14,8450,8964
2002-03-15,9460,8964
2002-03-18,10050,9897
2002-03-19,10150,10465
2002-03-20,10150,10562
2002-03-21,10000,10562
2002-03-22,11200,10416
2002-03-25,10900,11604
2002-03-26,12000,11303
2002-03-27,11300,12410
2002-03-28,10300,11704
2002-03-29,10550,10709
2002-04-01,9750,10956
2002-04-02,9870,10175
2002-04-03,9650,10290
2002-04-04,9300,10079
2002-04-08,9250,9746
2002-04-09,9510,9699
2002-04-10,9610,9945
2002-04-11,9500,10040
2002-04-12,10000,9935
2002-04-15,9950,10416
2002-04-16,9670,10368
2002-04-17,9920,10098
2002-04-18,9930,10339
2002-04-19,9600,10348
2002-04-22,9300,10031
2002-04-23,9110,9746
2002-04-24,9000,9568
2002-04-25,8390,9466
2002-04-26,8210,8910
2002-04-29,7750,8750
2002-04-30,7670,8352
2002-05-02,7940,8284
2002-05-03,7660,8515
2002-05-06,7400,8275
2002-05-07,7180,8058
2002-05-08,7580,7878
2002-05-09,7660,8208
2002-05-10,7430,8275
2002-05-13,7710,8083
2002-05-14,7570,8318
2002-05-15,7920,8199
2002-05-16,7900,8497
