Date,Actual Closing Price,Forecast Closing Price
2002-04-23,57464,64145
2002-04-24,55705,58763
2002-04-25,51209,57048
2002-04-26,53555,52702
2002-04-29,51014,54963
2002-04-30,49841,52515
2002-05-02,53652,51390
2002-05-03,55705,55057
2002-05-06,53750,57048
2002-05-07,54239,55151
2002-05-08,56682,55625
2002-05-09,57170,57999
2002-05-10,53164,58476
2002-05-13,52773,54585
2002-05-14,50720,54207
2002-05-15,52577,52232
2002-05-16,50818,54018
2002-05-17,52284,52326
2002-05-20,53164,53736
2002-05-21,50818,54585
2002-05-22,52577,52326
2002-05-23,51795,54018
2002-05-24,52675,53265
2002-05-27,51600,54113
2002-05-28,51307,53078
2002-05-29,50330,52796
2002-05-30,47593,51859
2002-05-31,44759,49247
2002-06-03,47202,46567
2002-06-04,47886,48876
2002-06-05,50330,49526
2002-06-07,50623,51859
2002-06-10,51893,52139
2002-06-11,53164,53359
2002-06-12,53750,54585
2002-06-14,51405,55151
2002-06-17,51502,52890
2002-06-18,51698,52983
2002-06-19,48961,53172
2002-06-20,48864,50550
2002-06-21,50623,50457
2002-06-24,49450,52139
2002-06-25,47789,51017
2002-06-26,43147,49434
2002-06-27,44368,45053
2002-06-28,46909,46199
2002-07-02,48082,48598
2002-07-03,49157,49712
2002-07-04,48131,50737
2002-07-05,49743,49759
2002-07-08,50330,51297
2002-07-09,51111,51859
2002-07-10,50036,52608
2002-07-11,47740,51577
2002-07-12,47935,49387
2002-07-15,46274,49572
2002-07-16,45297,47997
2002-07-18,44466,47074
2002-07-19,45150,46291
2002-07-22,42316,46935
2002-07-23,43977,44276
2002-07-24,44466,45832
2002-07-25,43880,46291
2002-07-26,41632,45741
2002-07-29,41241,43638
2002-07-30,43684,43274
2002-07-31,43684,45557
2002-08-01,42902,45557
2002-08-02,41925,44824
2002-08-05,39433,43911
2002-08-06,38114,41597
2002-08-07,38407,40381
2002-08-08,38211,40651
2002-08-09,38798,40470
2002-08-12,39335,41011
2002-08-13,42023,41507
2002-08-14,42707,44003
2002-08-16,42609,44642
2002-08-19,41730,44550
2002-08-20,43195,43730
2002-08-21,43782,45098
2002-08-22,44564,45649
2002-08-23,43880,46383
2002-08-26,42511,45741
2002-08-27,42511,44458
2002-08-28,42023,44458
2002-08-29,41730,44003
2002-08-30,43880,43730
2002-09-02,44417,45741
2002-09-03,43293,46245
2002-09-04,42707,45190
2002-09-05,42218,44642
2002-09-06,41436,44185
2002-09-09,40850,43456
2002-09-10,42072,42911
2002-09-11,43195,44048
2002-09-12,43977,45098
2002-09-13,43586,45832
2002-09-16,42511,45465
2002-09-17,44710,44458
2002-09-18,43440,46521
