Date,Actual Closing Price,Forecast Closing Price
2002-10-30,2588,1440
2002-10-31,2459,1697
2002-11-01,2305,1577
2002-11-04,2191,1434
2002-11-05,2188,1328
2002-11-06,2141,1325
2002-11-07,2142,1282
2002-11-08,2102,1282
2002-11-11,2153,1245
2002-11-12,2037,1293
2002-11-13,1932,1185
2002-11-14,1923,1087
2002-11-15,2020,1079
2002-11-18,1990,1169
2002-11-19,2028,1141
2002-11-20,2110,1177
2002-11-21,2075,1253
2002-11-22,2119,1220
2002-11-25,2138,1261
2002-11-26,2102,1279
2002-11-27,1979,1245
2002-11-28,2070,1131
2002-11-29,2316,1216
2002-12-02,2379,1444
2002-12-03,2421,1503
2002-12-04,2453,1542
2002-12-05,2680,1571
2002-12-06,2721,1783
2002-12-09,2664,1821
2002-12-10,2736,1768
2002-12-11,2816,1835
2002-12-12,3031,1909
2002-12-13,3031,2109
2002-12-16,2968,2109
2002-12-17,2953,2051
2002-12-18,2942,2037
2002-12-20,2832,2026
2002-12-23,2732,1924
2002-12-24,2810,1831
2002-12-26,2627,1903
2002-12-27,2584,1733
2002-12-30,2338,1693
2003-01-02,2616,1465
2003-01-03,2926,1723
2003-01-06,2964,2011
2003-01-07,2837,2047
2003-01-08,2989,1929
2003-01-09,3047,2070
2003-01-10,2906,2124
2003-01-13,2979,1993
2003-01-14,2921,2061
2003-01-15,2921,2007
2003-01-16,2841,2007
2003-01-17,2763,1932
2003-01-20,2716,1860
2003-01-21,2752,1816
2003-01-22,2727,1850
2003-01-23,2948,1826
2003-01-24,2821,2032
2003-01-27,2705,1914
2003-01-28,2700,1806
2003-01-29,2573,1801
2003-01-30,2700,1683
2003-02-03,2763,1801
2003-02-04,2758,1860
2003-02-05,2758,1855
2003-02-06,2685,1855
2003-02-07,2631,1787
2003-02-10,2653,1737
2003-02-11,2685,1757
2003-02-12,2769,1787
2003-02-13,2721,1865
2003-02-14,2732,1821
2003-02-17,2874,1831
2003-02-18,2837,1963
2003-02-19,2832,1929
2003-02-20,2832,1924
2003-02-21,2821,1924
2003-02-24,2953,1914
2003-02-25,2821,2037
2003-02-26,2921,1914
2003-02-27,2968,2007
2003-02-28,2937,2051
2003-03-03,2953,2022
2003-03-04,2848,2037
2003-03-05,2743,1939
2003-03-06,2732,1841
2003-03-07,2653,1831
2003-03-10,2616,1757
2003-03-11,2558,1723
2003-03-12,2758,1669
2003-03-13,2705,1855
2003-03-14,2826,1806
2003-03-17,2705,1918
2003-03-18,3026,1806
2003-03-19,3047,2105
2003-03-20,3142,2124
2003-03-21,3127,2213
2003-03-24,3036,2199
2003-03-25,2979,2114
2003-03-26,3111,2061
2003-03-27,3362,2184
2003-03-28,3467,2417
2003-03-31,3362,2515
2003-04-01,3426,2417
2003-04-02,3599,2477
2003-04-03,3573,2638
2003-04-04,3719,2614
2003-04-07,3667,2750
2003-04-08,3725,2702
2003-04-09,3873,2756
2003-04-10,3757,2894
2003-04-11,3678,2786
2003-04-14,3978,2712
2003-04-15,4083,2992
2003-04-16,4572,3090
2003-04-17,4902,3547
2003-04-18,4939,3855
2003-04-21,5113,3890
2003-04-22,5065,4053
2003-04-23,5018,4008
2003-04-24,4628,3964
2003-04-25,4634,3599
2003-04-28,4939,3605
2003-04-29,5517,3890
2003-04-30,5727,4431
2003-05-02,6200,4628
2003-05-06,5622,5071
2003-05-07,5570,4529
2003-05-09,5700,4481
2003-05-12,6332,4602
2003-05-13,5937,5195
2003-05-14,6147,4825
2003-05-15,6042,5022
2003-05-16,5832,4923
2003-05-19,5754,4726
2003-05-20,6279,4653
2003-05-21,6042,5145
2003-05-22,6725,4923
2003-05-23,6830,5564
2003-05-26,7067,5663
2003-05-27,6830,5886
2003-05-28,6357,5663
2003-05-29,6805,5219
2003-05-30,6830,5639
2003-06-02,6515,5663
2003-06-03,5754,5367
2003-06-04,6095,4653
2003-06-05,5885,4973
2003-06-09,6569,4776
2003-06-10,6647,5418
2003-06-11,7172,5491
2003-06-12,7594,5984
2003-06-13,7409,6382
2003-06-16,7724,6207
2003-06-17,7594,6504
2003-06-18,7567,6382
2003-06-19,7225,6356
2003-06-20,7277,6034
2003-06-23,6910,6083
2003-06-24,7040,5738
2003-06-25,7304,5860
2003-06-26,7147,6109
2003-06-27,7882,5961
2003-06-30,7750,6653
2003-07-01,8119,6528
2003-07-02,8329,6876
2003-07-03,8565,7074
2003-07-04,8775,7297
2003-07-07,9274,7495
2003-07-08,9117,7966
2003-07-09,9039,7818
2003-07-10,8670,7744
2003-07-11,8854,7396
2003-07-14,9615,7570
2003-07-15,9827,8289
2003-07-16,10982,8490
2003-07-18,10562,9584
2003-07-21,10615,9186
2003-07-22,9564,9236
2003-07-23,8880,8241
2003-07-24,8907,7594
2003-07-25,9568,7620
2003-07-28,10562,8244
2003-07-29,10089,9186
2003-07-30,10299,8738
2003-07-31,10095,8936
2003-08-01,9932,8743
2003-08-04,9144,8589
2003-08-05,9117,7844
2003-08-06,9300,7818
2003-08-07,9148,7991
2003-08-08,8880,7847
2003-08-11,8733,7594
2003-08-12,8880,7455
2003-08-13,8854,7594
2003-08-14,9144,7570
2003-08-18,9159,7844
2003-08-19,8827,7858
2003-08-20,8360,7544
2003-08-21,8239,7103
2003-08-22,7882,6989
2003-08-25,8601,6653
2003-08-26,8371,7331
2003-08-27,8407,7114
2003-08-28,8470,7148
2003-08-29,9249,7207
2003-09-01,9521,7943
2003-09-02,9564,8200
2003-09-03,9253,8241
2003-09-04,8896,7947
2003-09-05,9006,7609
2003-09-08,8507,7713
2003-09-09,8833,7242
2003-09-15,9327,7550
2003-09-16,9405,8017
2003-09-17,9249,8090
2003-09-18,8891,7943
2003-09-19,8869,7605
2003-09-22,8302,7584
2003-09-23,8429,7049
2003-09-24,8355,7168
2003-09-25,8275,7099
2003-09-26,8197,7023
2003-09-29,8092,6950
2003-09-30,8092,6851
2003-10-01,8565,6851
2003-10-02,9079,7297
2003-10-06,9064,7782
2003-10-07,8865,7768
2003-10-08,8775,7580
2003-10-09,8802,7495
2003-10-10,8854,7521
2003-10-13,9090,7570
2003-10-14,9249,7793
2003-10-15,9242,7943
2003-10-16,9380,7936
2003-10-17,8927,8067
2003-10-20,8728,7639
2003-10-21,8496,7451
2003-10-22,8402,7232
2003-10-23,8040,7143
2003-10-24,8460,6802
2003-10-27,8333,7198
2003-10-28,8329,7078
2003-10-29,8097,7074
2003-10-30,8161,6855
2003-10-31,7960,6916
2003-11-03,7887,6726
2003-11-04,7666,6658
2003-11-05,6973,6449
2003-11-06,6989,5797
2003-11-07,6830,5812
2003-11-10,6857,5663
2003-11-11,6725,5688
2003-11-12,7241,5564
2003-11-13,7277,6049
2003-11-14,7319,6083
2003-11-17,7819,6123
2003-11-18,7772,6593
2003-11-19,7382,6549
2003-11-20,7424,6182
2003-11-21,7178,6222
2003-11-24,6783,5990
2003-11-25,7040,5619
2003-11-26,7178,5860
2003-11-27,7040,5990
2003-11-28,7178,5860
2003-12-01,7960,5990
2003-12-02,7918,6726
2003-12-03,7934,6687
2003-12-04,7960,6702
2003-12-05,7913,6726
2003-12-08,7761,6682
2003-12-09,7761,6539
2003-12-10,7672,6539
2003-12-11,7661,6455
2003-12-12,7413,6445
2003-12-15,7509,6211
2003-12-16,7094,6302
2003-12-17,7194,5911
2003-12-18,7109,6005
2003-12-19,6910,5925
2003-12-22,6658,5738
2003-12-23,6515,5501
2003-12-24,6594,5367
2003-12-26,6752,5441
2003-12-29,7172,5590
2003-12-30,7261,5984
2004-01-02,7246,6068
2004-01-05,7261,6054
2004-01-06,7277,6068
2004-01-07,7199,6083
2004-01-08,7047,6010
2004-01-09,7603,5867
2004-01-12,7956,6390
2004-01-13,7909,6723
2004-01-14,7777,6678
2004-01-15,7277,6554
2004-01-16,7377,6083
2004-01-19,7241,6177
2004-01-20,7194,6049
2004-01-26,7393,6005
2004-01-27,6879,6192
2004-01-28,6935,5709
2004-01-29,6989,5762
2004-01-30,7225,5812
2004-02-02,7257,6034
2004-02-03,7083,6064
2004-02-04,7056,5901
2004-02-05,7902,5875
2004-02-06,7882,6672
2004-02-09,7645,6653
2004-02-10,7619,6430
2004-02-11,7525,6405
2004-02-12,7835,6317
2004-02-13,8128,6609
2004-02-16,8065,6885
2004-02-17,7893,6825
2004-02-18,8050,6663
2004-02-19,8050,6811
2004-02-20,8197,6811
2004-02-23,8076,6950
2004-02-24,7882,6836
2004-02-25,7677,6653
2004-02-26,7562,6460
2004-02-27,7699,6351
2004-03-02,7520,6480
2004-03-03,7614,6312
2004-03-04,7824,6400
2004-03-05,8003,6598
2004-03-08,7982,6767
2004-03-09,7982,6747
2004-03-10,7982,6747
2004-03-11,8507,6747
2004-03-12,8653,7242
2004-03-15,8664,7380
2004-03-16,8717,7390
2004-03-17,9095,7440
2004-03-18,10071,7797
2004-03-19,9924,8721
2004-03-22,8948,8581
2004-03-23,8822,7658
2004-03-24,8927,7539
2004-03-25,8633,7639
2004-03-26,8675,7361
2004-03-29,9021,7401
2004-03-30,8800,7727
2004-03-31,8854,7519
2004-04-01,8948,7570
2004-04-02,9285,7658
2004-04-06,9515,7977
2004-04-07,9683,8194
2004-04-08,9567,8353
2004-04-09,9736,8244
2004-04-12,9819,8403
2004-04-13,9924,8482
2004-04-14,9609,8581
2004-04-16,9745,8283
2004-04-19,9924,8412
2004-04-20,10208,8581
2004-04-21,10650,8850
2004-04-22,11510,9269
2004-04-23,11521,10086
2004-04-26,11184,10096
2004-04-27,11700,9776
2004-04-28,11447,10266
2004-04-29,10985,10026
2004-04-30,10985,9587
2004-05-03,11079,9587
2004-05-04,11237,9676
2004-05-06,10670,9826
2004-05-07,10869,9288
2004-05-10,10187,9477
2004-05-11,9557,8830
2004-05-12,10701,8234
2004-05-13,10576,9318
2004-05-14,9756,9199
2004-05-17,8590,8422
2004-05-18,9042,7320
2004-05-19,9662,7747
2004-05-20,9694,8333
2004-05-21,10082,8364
2004-05-24,9977,8731
2004-05-25,9872,8632
2004-05-27,10585,8532
2004-05-28,11342,9208
2004-05-31,11595,9926
2004-06-01,11501,10166
2004-06-02,11553,10077
2004-06-03,10491,10126
2004-06-04,10440,9118
2004-06-07,10943,9070
2004-06-08,10828,9547
2004-06-09,11038,9438
2004-06-10,11079,9637
2004-06-11,10817,9676
2004-06-14,11132,9428
2004-06-15,11184,9727
2004-06-16,10911,9776
2004-06-17,11101,9517
2004-06-18,11678,9697
2004-06-21,11553,10245
2004-06-22,11416,10126
2004-06-23,11269,9996
2004-06-24,11468,9857
2004-06-25,11458,10046
2004-06-28,11553,10036
2004-06-29,11857,10126
2004-06-30,12078,10415
2004-07-01,12046,10626
2004-07-02,11604,10595
2004-07-05,11553,10175
2004-07-06,11374,10126
2004-07-07,11342,9956
2004-07-08,10838,9926
2004-07-09,10838,9448
2004-07-12,11079,9448
2004-07-13,11016,9676
2004-07-14,10449,9616
2004-07-15,10545,9079
2004-07-16,10607,9170
2004-07-19,11175,9228
2004-07-20,10965,9767
2004-07-21,11501,9568
2004-07-22,11143,10077
2004-07-23,10965,9737
2004-07-26,10491,9568
2004-07-27,10491,9118
2004-07-28,10397,9118
2004-07-29,9662,9029
2004-07-30,10176,8333
2004-08-02,9977,8820
2004-08-03,9872,8632
2004-08-04,9736,8532
2004-08-05,9977,8403
2004-08-06,9872,8632
2004-08-09,9777,8532
2004-08-10,10009,8442
2004-08-11,9819,8662
2004-08-12,9882,8482
2004-08-13,10145,8542
2004-08-16,10440,8791
2004-08-17,10071,9070
2004-08-18,10082,8721
2004-08-19,10261,8731
2004-08-20,10239,8900
2004-08-23,10292,8880
2004-08-24,10324,8930
2004-08-25,10534,8960
2004-08-26,10607,9159
2004-08-27,10607,9228
2004-08-30,10344,9228
2004-08-31,10344,8979
2004-09-01,11374,8979
2004-09-02,11437,9956
2004-09-03,11447,10016
2004-09-06,11437,10026
2004-09-07,11184,10016
2004-09-08,10723,9776
2004-09-09,10712,9338
2004-09-10,10502,9328
