Date,Actual Closing Price,Forecast Closing Price
1990-01-04,35800,34672
1990-01-05,35200,34938
1990-01-06,35100,34405
1990-01-08,35000,34316
1990-01-09,34800,34227
1990-01-10,34400,34048
1990-01-11,34300,33689
1990-01-12,34200,33599
1990-01-13,33800,33509
1990-01-15,33500,33147
1990-01-16,33500,32875
1990-01-17,33200,32875
1990-01-18,25700,32601
1990-01-19,25500,25497
1990-01-20,25700,25302
1990-01-22,26700,25497
1990-01-23,26500,26471
1990-01-24,26400,26276
1990-01-25,26100,26179
1990-01-29,25500,25887
1990-01-30,25000,25302
1990-01-31,25600,24813
1990-02-01,25100,25400
1990-02-02,24900,24911
1990-02-03,25000,24714
1990-02-05,25200,24813
1990-02-06,25200,25008
1990-02-07,25100,25008
1990-02-08,24900,24911
1990-02-09,24500,24714
1990-02-10,24300,24322
1990-02-12,23700,24125
1990-02-13,23800,23533
1990-02-14,24100,23632
1990-02-15,24100,23928
1990-02-16,23800,23928
1990-02-17,23400,23632
1990-02-19,22800,23237
1990-02-20,22800,22643
1990-02-21,22700,22643
1990-02-22,22600,22543
1990-02-23,22400,22444
1990-02-24,22000,22246
1990-02-26,21600,21848
1990-02-27,22600,21450
1990-02-28,23600,22444
1990-03-02,17994,23434
1990-03-03,18652,17841
1990-03-05,17994,18502
1990-03-06,17628,17841
1990-03-07,17116,17474
1990-03-08,17336,16960
1990-03-09,17701,17181
1990-03-12,17775,17547
1990-03-13,17555,17621
1990-03-14,17409,17401
1990-03-15,17336,17254
1990-03-16,17189,17181
1990-03-17,16896,17033
1990-03-19,17043,16739
1990-03-20,17116,16886
1990-03-21,17262,16960
1990-03-22,17116,17106
1990-03-23,16970,16960
1990-03-24,16896,16813
1990-03-26,16677,16739
1990-03-27,16385,16519
1990-03-28,16165,16226
1990-03-29,16604,16005
1990-03-30,16092,16446
1990-03-31,15873,15931
1990-04-02,16019,15712
1990-04-03,15873,15858
1990-04-04,15580,15712
1990-04-06,15945,15417
1990-04-07,15360,15784
1990-04-09,15360,15197
1990-04-10,15288,15197
1990-04-11,15288,15124
1990-04-12,15288,15124
1990-04-13,15068,15124
1990-04-14,14775,14904
1990-04-16,14483,14610
1990-04-17,15068,14317
1990-04-18,14629,14904
1990-04-19,14556,14463
1990-04-20,14775,14390
1990-04-21,15068,14610
1990-04-23,14922,14904
1990-04-24,14775,14757
1990-04-25,14483,14610
1990-04-26,13898,14317
1990-04-27,14409,13731
1990-04-28,13824,14243
1990-04-30,13239,13657
1990-05-01,13824,13072
1990-05-03,14409,13657
1990-05-04,14995,14243
1990-05-07,15580,14830
1990-05-08,16092,15417
1990-05-09,15873,15931
1990-05-10,15360,15712
1990-05-11,15214,15197
1990-05-12,14995,15050
1990-05-14,14702,14830
1990-05-15,14775,14537
1990-05-16,15507,14610
1990-05-17,15726,15344
1990-05-18,15360,15564
1990-05-19,15360,15197
1990-05-21,15434,15197
1990-05-22,15726,15271
1990-05-23,15726,15564
1990-05-24,15653,15564
1990-05-25,15726,15491
1990-05-26,15434,15564
1990-05-28,15214,15271
1990-05-29,15214,15050
1990-05-30,15360,15050
1990-05-31,15434,15197
1990-06-01,15434,15271
1990-06-02,15434,15271
1990-06-04,15653,15271
1990-06-05,15507,15491
1990-06-07,15288,15344
1990-06-08,15288,15124
1990-06-09,15360,15124
1990-06-11,15068,15197
1990-06-12,14849,14904
1990-06-13,14629,14684
1990-06-14,14263,14463
1990-06-15,14117,14097
1990-06-16,14117,13950
1990-06-18,13752,13950
1990-06-19,13605,13585
1990-06-20,13386,13438
1990-06-21,13313,13219
1990-06-22,13313,13146
1990-06-23,13313,13146
1990-06-25,12947,13146
1990-06-26,12947,12780
1990-06-27,13093,12780
1990-06-28,12801,12926
1990-06-29,12508,12634
1990-06-30,12288,12341
1990-07-02,12508,12122
1990-07-03,13093,12341
1990-07-04,12947,12926
1990-07-05,12508,12780
1990-07-06,12288,12341
1990-07-07,12215,12122
1990-07-09,12362,12049
1990-07-10,12435,12196
1990-07-11,12288,12269
1990-07-12,12142,12122
1990-07-13,11922,11976
1990-07-14,11922,11757
1990-07-16,11777,11757
1990-07-18,12069,11613
1990-07-19,11996,11904
1990-07-20,12142,11831
1990-07-21,12069,11976
1990-07-23,11922,11904
1990-07-24,11922,11757
1990-07-25,12069,11757
1990-07-26,11922,11904
1990-07-27,11850,11757
1990-07-28,11996,11686
1990-07-30,11850,11831
1990-07-31,11850,11686
1990-08-01,11996,11686
1990-08-02,11922,11831
1990-08-03,11703,11757
1990-08-04,11411,11539
1990-08-06,10972,11249
1990-08-07,10826,10813
1990-08-08,10386,10668
1990-08-09,10386,10232
1990-08-10,10606,10232
1990-08-11,10533,10450
1990-08-13,10386,10377
1990-08-14,10021,10232
1990-08-16,10021,9871
1990-08-17,10094,9871
1990-08-18,10240,9943
1990-08-20,10167,10087
1990-08-21,9948,10015
1990-08-22,10021,9798
1990-08-23,10021,9871
1990-08-24,9948,9871
1990-08-25,9729,9798
1990-08-27,10167,9582
1990-08-28,10606,10015
1990-08-29,11045,10450
1990-08-30,10752,10885
1990-08-31,10314,10594
1990-09-01,10314,10160
1990-09-03,10752,10160
1990-09-04,10752,10594
1990-09-05,10533,10594
1990-09-06,10533,10377
1990-09-07,10386,10377
1990-09-08,10314,10232
1990-09-10,10240,10160
1990-09-11,10314,10087
1990-09-12,10314,10160
1990-09-13,10240,10160
1990-09-14,10240,10087
1990-09-15,9801,10087
1990-09-17,9363,9653
1990-09-18,9801,9221
1990-09-19,9948,9653
1990-09-20,9875,9798
1990-09-21,9948,9726
1990-09-22,9948,9798
1990-09-24,10094,9798
1990-09-25,10167,9943
1990-09-26,10240,10015
1990-09-27,10167,10087
