Date,Actual Closing Price,Forecast Closing Price
1997-07-19,22267,25707
1997-07-21,21407,26353
1997-07-22,19783,25522
1997-07-23,18540,23951
1997-07-24,19974,22745
1997-07-25,20069,24136
1997-07-26,21025,24228
1997-07-28,20643,25153
1997-07-29,19783,24783
1997-07-30,21312,23951
1997-07-31,19974,25430
1997-08-01,19687,24136
1997-08-02,19591,23858
1997-08-04,19496,23765
1997-08-05,19114,23672
1997-08-06,18827,23302
1997-08-07,19400,23024
1997-08-08,19400,23579
1997-08-09,19400,23579
1997-08-11,19974,23579
1997-08-12,19114,24136
1997-08-13,18827,23302
1997-08-14,18922,23024
1997-08-16,18540,23116
1997-08-18,18445,22745
1997-08-19,18158,22653
1997-08-20,18158,22375
1997-08-21,17680,22375
1997-08-22,19018,21911
1997-08-23,18540,23209
1997-08-25,18158,22745
1997-08-26,19591,22375
1997-08-27,18158,23765
1997-08-28,17967,22375
1997-08-29,18158,22189
1997-08-30,17584,22375
1997-09-01,17011,21817
1997-09-02,17298,21261
1997-09-03,17011,21540
1997-09-04,16820,21261
1997-09-05,16820,21076
1997-09-06,16629,21076
1997-09-08,16629,20890
1997-09-09,16342,20890
1997-09-10,16533,20611
1997-09-11,17202,20797
1997-09-12,17107,21447
1997-09-13,17202,21354
1997-09-18,17011,21447
1997-09-19,16820,21261
1997-09-20,17107,21076
1997-09-22,16246,21354
1997-09-23,16055,20518
1997-09-24,16055,20333
1997-09-25,16055,20333
1997-09-26,16055,20333
1997-09-27,16055,20333
1997-09-29,15577,20333
1997-09-30,16151,19868
1997-10-01,15482,20426
1997-10-02,15482,19776
1997-10-04,15864,19776
1997-10-06,15482,20147
1997-10-07,15769,19776
1997-10-08,15960,20055
1997-10-09,15769,20240
1997-10-10,15960,20055
1997-10-11,15864,20240
1997-10-13,15100,20147
1997-10-14,15386,19405
1997-10-15,15769,19683
1997-10-16,15195,20055
1997-10-17,14431,19497
1997-10-18,14526,18756
1997-10-20,13475,18848
1997-10-21,13379,17828
1997-10-22,13475,17735
1997-10-23,13762,17828
1997-10-24,13188,18106
1997-10-25,12902,17550
1997-10-27,12041,17273
1997-10-28,11468,16439
1997-10-29,11946,15884
1997-10-30,11181,16347
1997-10-31,10990,15607
1997-11-01,11850,15422
1997-11-03,11850,16254
1997-11-04,12424,16254
1997-11-05,13379,16809
1997-11-06,13284,17735
1997-11-07,12233,17643
1997-11-08,11468,16624
1997-11-10,12041,15884
1997-11-11,12997,16439
1997-11-12,12328,17365
1997-11-13,12615,16716
1997-11-14,12615,16994
1997-11-15,12615,16994
1997-11-17,11659,16994
1997-11-18,11181,16069
1997-11-19,11468,15607
1997-11-20,11277,15884
1997-11-21,11086,15699
1997-11-22,11086,15515
1997-11-24,10512,15515
1997-11-25,10512,14960
1997-11-26,10226,14960
1997-11-27,10799,14684
1997-11-28,10703,15237
1997-11-29,11086,15145
1997-12-01,10226,15515
1997-12-02,9461,14684
1997-12-03,8706,13947
1997-12-04,9394,13220
1997-12-05,10130,13882
1997-12-06,9461,14592
1997-12-08,9432,13947
1997-12-09,8696,13919
1997-12-10,8601,13211
1997-12-11,7913,13120
1997-12-12,7349,12459
1997-12-13,7349,11919
1997-12-15,7932,11919
1997-12-16,8563,12477
1997-12-17,9165,13083
1997-12-19,8438,13662
1997-12-20,7932,12963
1997-12-22,7645,12477
1997-12-23,7033,12202
1997-12-24,6489,11616
1997-12-26,7005,11097
1997-12-27,7120,11590
1998-01-03,7510,11700
1998-01-05,8110,12073
1998-01-06,8400,12648
1998-01-07,9070,12926
1998-01-08,9790,13570
1998-01-09,10500,14264
1998-01-10,11300,14949
1998-01-12,12200,15722
1998-01-13,12900,16592
1998-01-14,13500,17271
1998-01-15,13500,17852
1998-01-16,12500,17852
1998-01-17,13000,16883
1998-01-19,14000,17368
1998-01-20,14500,18337
1998-01-21,13400,18823
1998-01-22,13500,17755
1998-01-23,13700,17852
1998-01-24,14500,18046
1998-01-26,14500,18823
1998-01-30,15600,18823
1998-01-31,15800,19891
1998-02-02,14600,20085
1998-02-03,15300,18920
1998-02-04,15800,19599
1998-02-05,14600,20085
1998-02-06,14800,18920
1998-02-07,14800,19114
1998-02-09,14600,19114
1998-02-10,14000,18920
1998-02-11,14300,18337
1998-02-12,14200,18629
1998-02-13,13900,18531
1998-02-14,12800,18240
1998-02-16,12400,17174
1998-02-17,12200,16786
1998-02-18,12600,16592
1998-02-19,13600,16980
1998-02-20,14600,17949
1998-02-21,15000,18920
1998-02-23,14600,19308
1998-02-24,14400,18920
1998-02-25,13300,18726
1998-02-26,13600,17658
1998-02-27,14000,17949
1998-02-28,13900,18337
1998-03-02,13500,18240
1998-03-03,13000,17852
1998-03-04,13000,17368
1998-03-05,13000,17368
1998-03-06,12500,17368
1998-03-07,12700,16883
1998-03-09,11700,17077
1998-03-10,12200,16108
1998-03-11,11900,16592
1998-03-12,13100,16302
1998-03-13,13900,17464
1998-03-14,13500,18240
1998-03-16,12900,17852
