Date,Actual Closing Price,Forecast Closing Price
1990-01-04,571,14870
1990-01-05,593,14880
1990-01-06,615,14891
1990-01-08,607,14903
1990-01-09,590,14899
1990-01-10,590,14890
1990-01-11,613,14890
1990-01-12,628,14902
1990-01-13,613,14910
1990-01-15,607,14902
1990-01-16,600,14899
1990-01-17,590,14895
1990-01-18,579,14890
1990-01-19,568,14884
1990-01-20,579,14878
1990-01-22,596,14884
1990-01-23,601,14893
1990-01-24,624,14896
1990-01-25,621,14908
1990-01-29,621,14906
1990-01-30,620,14906
1990-01-31,621,14906
1990-02-01,613,14906
1990-02-02,600,14902
1990-02-03,586,14895
1990-02-05,597,14888
1990-02-06,620,14893
1990-02-07,600,14906
1990-02-08,606,14895
1990-02-09,608,14898
1990-02-10,615,14899
1990-02-12,628,14903
1990-02-13,632,14910
1990-02-14,654,14912
1990-02-15,659,14923
1990-02-16,642,14926
1990-02-17,656,14917
1990-02-19,656,14925
1990-02-20,650,14925
1990-02-21,656,14921
1990-02-22,653,14925
1990-02-23,649,14923
1990-02-24,649,14921
1990-02-26,638,14921
1990-02-27,638,14915
1990-02-28,635,14915
1990-03-02,628,14913
1990-03-03,628,14910
1990-03-05,628,14910
1990-03-06,632,14910
1990-03-07,628,14912
1990-03-08,628,14910
1990-03-09,632,14910
1990-03-12,632,14912
1990-03-13,632,14912
1990-03-14,632,14912
1990-03-15,632,14912
1990-03-16,639,14912
1990-03-17,635,14916
1990-03-19,641,14913
1990-03-20,656,14917
1990-03-21,656,14925
1990-03-22,656,14925
1990-03-23,656,14925
1990-03-24,656,14925
1990-03-26,656,14925
1990-03-27,659,14925
1990-03-28,659,14926
1990-03-29,657,14926
1990-03-30,680,14925
1990-03-31,689,14937
1990-04-02,688,14942
1990-04-03,688,14941
1990-04-04,684,14941
1990-04-06,677,14939
1990-04-07,677,14936
1990-04-09,670,14936
1990-04-10,670,14932
1990-04-11,677,14932
1990-04-12,677,14936
1990-04-13,675,14936
1990-04-14,675,14935
1990-04-16,670,14935
1990-04-17,671,14932
1990-04-18,663,14932
1990-04-19,656,14928
1990-04-20,649,14925
1990-04-21,639,14921
1990-04-23,642,14916
1990-04-24,635,14917
1990-04-25,618,14913
1990-04-26,604,14904
1990-04-27,617,14897
1990-04-28,610,14904
1990-04-30,587,14900
1990-05-01,603,14888
1990-05-03,625,14897
1990-05-04,639,14908
1990-05-07,628,14916
1990-05-08,621,14910
1990-05-09,614,14906
1990-05-10,608,14902
1990-05-11,615,14899
1990-05-12,614,14903
1990-05-14,610,14902
1990-05-15,600,14900
1990-05-16,622,14895
1990-05-17,628,14907
1990-05-18,621,14910
1990-05-19,620,14906
1990-05-21,620,14906
1990-05-22,618,14906
1990-05-23,621,14904
1990-05-24,625,14906
1990-05-25,628,14908
1990-05-26,624,14910
1990-05-28,621,14908
1990-05-29,621,14906
1990-05-30,621,14906
1990-05-31,622,14906
1990-06-01,628,14907
1990-06-02,635,14910
1990-06-04,635,14913
1990-06-05,634,14913
1990-06-07,635,14913
1990-06-08,639,14913
1990-06-09,636,14916
1990-06-11,627,14914
1990-06-12,621,14909
1990-06-13,621,14906
1990-06-14,621,14906
1990-06-15,620,14906
1990-06-16,614,14906
1990-06-18,614,14902
1990-06-19,611,14902
1990-06-20,607,14901
1990-06-21,600,14899
1990-06-22,607,14895
1990-06-23,614,14899
1990-06-25,604,14902
1990-06-26,603,14897
1990-06-27,599,14897
1990-06-28,599,14894
1990-06-29,593,14894
1990-06-30,586,14891
