Date,Actual Closing Price,Forecast Closing Price
2001-10-26,15300,20719
2001-10-29,17100,21967
2001-10-30,17100,23359
2001-10-31,16650,23359
2001-11-01,16150,23012
2001-11-02,15350,22626
2001-11-05,16100,22006
2001-11-06,15750,22587
2001-11-07,16000,22316
2001-11-08,15850,22510
2001-11-09,15500,22394
2001-11-12,15300,22123
2001-11-13,15000,21967
2001-11-14,15000,21734
2001-11-15,15350,21734
2001-11-16,15200,22006
2001-11-19,15100,21890
2001-11-20,15000,21812
2001-11-21,14350,21734
2001-11-22,14000,21228
2001-11-23,14250,20954
2001-11-26,14100,21150
2001-11-27,13450,21032
2001-11-28,12500,20524
2001-11-29,13200,19777
2001-11-30,13300,20327
2001-12-03,14500,20406
2001-12-04,14600,21345
2001-12-05,14200,21423
2001-12-06,14150,21110
2001-12-07,14000,21071
2001-12-10,13700,20954
2001-12-11,13500,20719
2001-12-12,13700,20563
2001-12-13,13500,20719
2001-12-14,13350,20563
2001-12-17,13050,20445
2001-12-18,12600,20210
2001-12-19,12300,19856
2001-12-20,12400,19619
2001-12-21,12450,19698
2001-12-24,13200,19738
2001-12-26,13300,20327
2001-12-27,12950,20406
2001-12-28,13250,20131
2002-01-02,14000,20367
2002-01-03,14350,20954
2002-01-04,14450,21228
2002-01-07,14550,21306
2002-01-08,15050,21384
2002-01-09,15100,21773
2002-01-10,15850,21812
2002-01-11,16000,22394
2002-01-14,16100,22510
2002-01-15,15350,22587
2002-01-16,15000,22006
2002-01-17,15000,21734
2002-01-18,14600,21734
2002-01-21,15650,21423
2002-01-22,15850,22239
2002-01-23,16400,22394
2002-01-24,16250,22819
2002-01-25,18200,22703
2002-01-28,18600,24203
2002-01-29,18900,24508
2002-01-30,17400,24737
2002-01-31,18000,23590
2002-02-01,17750,24050
2002-02-04,17150,23858
2002-02-05,17250,23398
2002-02-06,18800,23474
2002-02-07,18050,24661
2002-02-08,18450,24088
2002-02-14,19000,24394
2002-02-15,18500,24813
2002-02-18,18000,24432
2002-02-19,17950,24050
2002-02-20,18550,24012
2002-02-21,18400,24470
2002-02-22,18150,24356
2002-02-25,18600,24165
2002-02-26,18150,24508
2002-02-27,17900,24165
2002-02-28,18100,23973
2002-03-04,18850,24126
2002-03-05,18850,24699
2002-03-06,18750,24699
2002-03-07,18800,24623
2002-03-08,18900,24661
2002-03-11,19950,24737
2002-03-12,20100,25534
2002-03-13,20300,25647
2002-03-14,20950,25798
2002-03-15,21600,26286
2002-03-18,21500,26772
2002-03-19,21500,26698
2002-03-20,20650,26698
2002-03-21,20650,26061
2002-03-22,20900,26061
2002-03-25,21200,26249
2002-03-26,21100,26474
2002-03-27,20400,26399
2002-03-28,20350,25873
2002-03-29,20900,25835
2002-04-01,18550,26249
2002-04-02,18700,24470
2002-04-03,19000,24585
2002-04-04,19000,24813
2002-04-08,18700,24813
2002-04-09,18450,24585
2002-04-10,17750,24394
2002-04-11,17800,23858
2002-04-12,18450,23897
2002-04-15,19050,24394
2002-04-16,19000,24851
2002-04-17,18950,24813
2002-04-18,19350,24775
2002-04-19,18900,25079
2002-04-22,18150,24737
2002-04-23,17700,24165
2002-04-24,17750,23820
2002-04-25,16900,23858
2002-04-26,17050,23205
2002-04-29,16200,23321
2002-04-30,15050,22665
2002-05-02,16100,21773
2002-05-03,17000,22587
2002-05-06,17000,23282
2002-05-07,17200,23282
2002-05-08,18150,23436
2002-05-09,18900,24165
2002-05-10,18600,24737
2002-05-13,18050,24508
2002-05-14,17600,24088
2002-05-15,18600,23743
2002-05-16,19000,24508
2002-05-17,18950,24813
2002-05-20,18700,24775
2002-05-21,17950,24585
2002-05-22,18200,24012
2002-05-23,18100,24203
