Date,Actual Closing Price,Forecast Closing Price
1990-01-04,2750,2815
1990-01-05,2700,2906
1990-01-06,2700,2860
1990-01-08,2690,2860
1990-01-09,2720,2851
1990-01-10,2720,2878
1990-01-11,2750,2878
1990-01-12,2800,2906
1990-01-13,2800,2951
1990-01-15,2750,2951
1990-01-16,2700,2906
1990-01-17,2680,2860
1990-01-18,2660,2842
1990-01-19,2690,2824
1990-01-20,2700,2851
1990-01-22,2750,2860
1990-01-23,2660,2906
1990-01-24,2700,2824
1990-01-25,2720,2860
1990-01-29,2700,2878
1990-01-30,2650,2860
1990-01-31,2670,2815
1990-02-01,2700,2833
1990-02-02,2710,2860
1990-02-03,2710,2869
1990-02-05,2700,2869
1990-02-06,2720,2860
1990-02-07,2760,2878
1990-02-08,2730,2915
1990-02-09,2750,2888
1990-02-10,2750,2906
1990-02-12,2730,2906
1990-02-13,2830,2888
1990-02-14,2910,2978
1990-02-15,2850,3050
1990-02-16,2830,2996
1990-02-17,2850,2978
1990-02-19,2850,2996
1990-02-20,2800,2996
1990-02-21,2820,2951
1990-02-22,2810,2969
1990-02-23,2820,2960
1990-02-24,2800,2969
1990-02-26,2760,2951
1990-02-27,2760,2915
1990-02-28,2730,2915
1990-03-02,3309,2888
1990-03-03,3261,3412
1990-03-05,3225,3368
1990-03-06,3202,3336
1990-03-07,3202,3315
1990-03-08,3213,3315
1990-03-09,3166,3325
1990-03-12,3106,3282
1990-03-13,3118,3228
1990-03-14,3106,3239
1990-03-15,3142,3228
1990-03-16,3118,3260
1990-03-17,3118,3239
1990-03-19,3106,3239
1990-03-20,3118,3228
1990-03-21,3142,3239
1990-03-22,3130,3260
1990-03-23,3130,3250
1990-03-24,3118,3250
1990-03-26,3118,3239
1990-03-27,3106,3239
1990-03-28,3118,3228
1990-03-29,3106,3239
1990-03-30,3166,3228
1990-03-31,3142,3282
1990-04-02,3106,3260
1990-04-03,3142,3228
1990-04-04,3154,3260
1990-04-06,3202,3271
1990-04-07,3190,3315
1990-04-09,3190,3304
1990-04-10,3166,3304
1990-04-11,3237,3282
1990-04-12,3178,3347
1990-04-13,3166,3293
1990-04-14,3166,3282
1990-04-16,3154,3282
1990-04-17,3202,3271
1990-04-18,3142,3315
1990-04-19,3082,3260
1990-04-20,3058,3206
1990-04-21,3058,3184
1990-04-23,3022,3184
1990-04-24,2986,3152
1990-04-25,2915,3119
1990-04-26,2795,3055
1990-04-27,2795,2946
1990-04-28,2711,2946
1990-04-30,2592,2870
1990-05-01,2711,2763
1990-05-03,2831,2870
1990-05-04,2950,2979
1990-05-07,2986,3086
1990-05-08,3010,3119
1990-05-09,2986,3141
1990-05-10,2950,3119
1990-05-11,2891,3086
1990-05-12,2891,3033
1990-05-14,2831,3033
1990-05-15,2867,2979
1990-05-16,2986,3011
1990-05-17,2926,3119
1990-05-18,2903,3065
1990-05-19,2903,3044
