Date,Actual Closing Price,Forecast Closing Price
1990-01-04,19000,27451
1990-01-05,18700,27922
1990-01-06,18700,27687
1990-01-08,18900,27687
1990-01-09,19100,27844
1990-01-10,18700,28001
1990-01-11,18300,27687
1990-01-12,18000,27373
1990-01-13,18000,27138
1990-01-15,17900,27138
1990-01-16,18400,27060
1990-01-17,17900,27451
1990-01-18,17700,27060
1990-01-19,17500,26903
1990-01-20,17700,26747
1990-01-22,18000,26903
1990-01-23,17900,27138
1990-01-24,18100,27060
1990-01-25,18000,27216
1990-01-29,18100,27138
1990-01-30,18200,27216
1990-01-31,19000,27295
1990-02-01,18600,27922
1990-02-02,18200,27608
1990-02-03,18400,27295
1990-02-05,18400,27451
1990-02-06,18600,27451
1990-02-07,18200,27608
1990-02-08,18400,27295
1990-02-09,18200,27451
1990-02-10,18300,27295
1990-02-12,18100,27373
1990-02-13,17900,27216
1990-02-14,18300,27060
1990-02-15,18100,27373
1990-02-16,18000,27216
1990-02-17,18000,27138
1990-02-19,18000,27138
1990-02-20,17800,27138
1990-02-21,18600,26982
1990-02-22,18700,27608
1990-02-23,18400,27687
1990-02-24,18400,27451
1990-02-26,18100,27451
1990-02-27,18500,27216
1990-02-28,18300,27530
1990-03-02,9874,27373
1990-03-03,9660,20844
1990-03-05,9660,20680
1990-03-06,9552,20680
1990-03-07,9552,20597
1990-03-08,9391,20597
1990-03-09,9445,20474
1990-03-12,9445,20516
1990-03-13,9338,20516
1990-03-14,9338,20434
1990-03-15,9499,20434
1990-03-16,9552,20557
1990-03-17,9338,20597
1990-03-19,9391,20434
1990-03-20,9499,20474
1990-03-21,9499,20557
1990-03-22,9606,20557
1990-03-23,9606,20639
1990-03-24,9660,20639
1990-03-26,9552,20680
1990-03-27,9391,20597
1990-03-28,9284,20474
1990-03-29,9338,20392
1990-03-30,9660,20434
1990-03-31,9499,20680
1990-04-02,9445,20557
1990-04-03,9391,20516
1990-04-04,9391,20474
1990-04-06,9391,20474
1990-04-07,9284,20474
1990-04-09,9284,20392
1990-04-10,9069,20392
1990-04-11,9230,20228
1990-04-12,9123,20351
1990-04-13,9177,20269
1990-04-14,9069,20311
1990-04-16,8962,20228
1990-04-17,9177,20146
1990-04-18,8855,20311
1990-04-19,8586,20064
1990-04-20,8586,19859
1990-04-21,8747,19859
1990-04-23,8640,19982
1990-04-24,8747,19900
1990-04-25,8640,19982
1990-04-26,8318,19900
1990-04-27,8479,19655
1990-04-28,8157,19777
1990-04-30,7728,19532
1990-05-01,8050,19205
1990-05-03,8479,19450
1990-05-04,8908,19777
1990-05-07,8855,20105
1990-05-08,8747,20064
1990-05-09,8586,19982
1990-05-10,8318,19859
1990-05-11,8211,19655
1990-05-12,8050,19573
1990-05-14,7781,19450
1990-05-15,7620,19245
1990-05-16,7942,19123
1990-05-17,8157,19368
1990-05-18,8211,19532
1990-05-19,7996,19573
1990-05-21,8211,19409
1990-05-22,8586,19573
1990-05-23,8640,19859
1990-05-24,8586,19900
1990-05-25,8479,19859
1990-05-26,8425,19777
1990-05-28,8425,19736
1990-05-29,8425,19736
1990-05-30,8425,19736
1990-05-31,8586,19736
1990-06-01,8747,19859
1990-06-02,8747,19982
1990-06-04,9177,19982
1990-06-05,8962,20311
1990-06-07,9123,20146
1990-06-08,9016,20269
1990-06-09,8855,20188
1990-06-11,8694,20064
1990-06-12,8586,19942
1990-06-13,8586,19859
1990-06-14,8479,19859
1990-06-15,8586,19777
1990-06-16,8533,19859
1990-06-18,8318,19819
1990-06-19,8372,19655
1990-06-20,8372,19696
1990-06-21,8586,19696
1990-06-22,8801,19859
1990-06-23,8855,20023
1990-06-25,8908,20064
1990-06-26,8694,20105
1990-06-27,8694,19942
1990-06-28,8694,19942
1990-06-29,8372,19942
1990-06-30,7942,19696
1990-07-02,8211,19368
1990-07-03,8640,19573
1990-07-04,8586,19900
1990-07-05,8640,19859
1990-07-06,8425,19900
1990-07-07,8533,19736
1990-07-09,8586,19819
1990-07-10,8694,19859
1990-07-11,8479,19942
1990-07-12,8050,19777
1990-07-13,7406,19450
1990-07-14,7352,18960
1990-07-16,7406,18919
1990-07-18,7567,18960
1990-07-19,7406,19082
1990-07-20,7406,18960
1990-07-21,7352,18960
1990-07-23,7191,18919
1990-07-24,7191,18796
1990-07-25,7298,18796
1990-07-26,7191,18878
1990-07-27,6976,18796
1990-07-28,6976,18633
1990-07-30,6976,18633
1990-07-31,6976,18633
1990-08-01,7084,18633
1990-08-02,7191,18715
1990-08-03,7191,18796
1990-08-04,7191,18796
1990-08-06,7245,18796
1990-08-07,7352,18837
1990-08-08,7245,18919
1990-08-09,7352,18837
1990-08-10,7352,18919
1990-08-11,7245,18919
1990-08-13,6976,18837
1990-08-14,6815,18633
1990-08-16,6654,18511
1990-08-17,6654,18388
1990-08-18,6708,18388
1990-08-20,6654,18429
1990-08-21,6493,18388
1990-08-22,6332,18266
1990-08-23,6064,18144
1990-08-24,5742,17941
1990-08-25,5635,17697
1990-08-27,5957,17616
1990-08-28,6279,17860
1990-08-29,6440,18104
1990-08-30,6225,18226
1990-08-31,6279,18063
1990-09-01,6332,18104
1990-09-03,6654,18144
1990-09-04,6601,18388
1990-09-05,6654,18348
1990-09-06,6493,18388
1990-09-07,6493,18266
1990-09-08,6547,18266
1990-09-10,6489,18307
1990-09-11,6605,18263
1990-09-12,6664,18351
1990-09-13,6722,18396
1990-09-14,6489,18440
1990-09-15,6372,18263
1990-09-17,6021,18174
1990-09-18,6372,17908
1990-09-19,6196,18174
1990-09-20,6196,18041
1990-09-21,6255,18041
1990-09-22,6313,18086
1990-09-24,6489,18130
1990-09-25,6547,18263
1990-09-26,6547,18307
1990-09-27,6605,18307
1990-09-28,6664,18351
1990-09-29,6781,18396
1990-10-05,6956,18485
1990-10-06,7015,18618
1990-10-08,6781,18663
1990-10-10,6781,18485
1990-10-11,6722,18485
1990-10-12,7015,18440
1990-10-13,6898,18663
1990-10-15,7015,18574
1990-10-16,6898,18663
1990-10-17,7015,18574
1990-10-18,7307,18663
1990-10-19,7658,18885
1990-10-20,7892,19152
1990-10-22,8242,19330
1990-10-23,8593,19597
1990-10-24,8944,19864
1990-10-25,8476,20132
1990-10-26,8125,19775
1990-10-27,7775,19507
1990-10-29,8067,19241
1990-10-30,7892,19463
1990-10-31,7541,19330
1990-11-01,7892,19063
1990-11-02,7658,19330
1990-11-03,7716,19152
1990-11-05,7482,19196
1990-11-06,7424,19018
1990-11-07,7658,18974
1990-11-08,7424,19152
1990-11-09,7424,18974
1990-11-10,7424,18974
1990-11-12,7424,18974
1990-11-13,7541,18974
1990-11-14,7424,19063
1990-11-15,7424,18974
1990-11-16,7190,18974
1990-11-17,7132,18796
1990-11-19,6839,18752
1990-11-20,6722,18529
1990-11-21,6898,18440
1990-11-22,7015,18574
1990-11-23,7015,18663
1990-11-24,7073,18663
1990-11-26,7015,18707
1990-11-27,7132,18663
1990-11-28,7190,18752
1990-11-29,7190,18796
1990-11-30,7132,18796
1990-12-01,7249,18752
1990-12-03,7424,18840
1990-12-04,7482,18974
