Date,Actual Closing Price,Forecast Closing Price
1990-01-04,26000,28371
1990-01-05,25600,28724
1990-01-06,25400,28371
1990-01-08,25800,28195
1990-01-09,26300,28547
1990-01-10,26100,28988
1990-01-11,25600,28812
1990-01-12,25400,28371
1990-01-13,25000,28195
1990-01-15,24600,27842
1990-01-16,25000,27490
1990-01-17,24600,27842
1990-01-18,24700,27490
1990-01-19,24700,27578
1990-01-20,24900,27578
1990-01-22,25500,27754
1990-01-23,25100,28283
1990-01-24,25600,27930
1990-01-25,25600,28371
1990-01-29,25300,28371
1990-01-30,25000,28107
1990-01-31,24800,27842
1990-02-01,24500,27666
1990-02-02,24500,27402
1990-02-03,24300,27402
1990-02-05,24500,27226
1990-02-06,25500,27402
1990-02-07,25200,28283
1990-02-08,25300,28019
1990-02-09,25000,28107
1990-02-10,24900,27842
1990-02-12,24700,27754
1990-02-13,24600,27578
1990-02-14,24700,27490
1990-02-15,25400,27578
1990-02-16,25300,28195
1990-02-17,25000,28107
1990-02-19,25100,27842
1990-02-20,25000,27930
1990-02-21,25000,27842
1990-02-22,25000,27842
1990-02-23,24900,27842
1990-02-24,24700,27754
1990-02-26,24900,27578
1990-02-27,25600,27754
1990-02-28,25100,28371
1990-03-02,199185,27930
1990-03-03,197623,182967
1990-03-05,195280,181705
1990-03-06,194499,179804
1990-03-07,193717,179168
1990-03-08,192155,178530
1990-03-09,191374,177253
1990-03-12,190593,176612
1990-03-13,189031,175971
1990-03-14,189031,174684
1990-03-15,188250,174684
1990-03-16,190593,174039
1990-03-17,189812,175971
1990-03-19,191374,175328
1990-03-20,195280,176612
1990-03-21,192936,179804
1990-03-22,194499,177892
1990-03-23,192155,179168
1990-03-24,190593,177253
1990-03-26,191374,175971
1990-03-27,189812,176612
1990-03-28,186687,175328
1990-03-29,186687,172745
1990-03-30,193717,172745
1990-03-31,193717,178530
1990-04-02,193717,178530
1990-04-03,192936,178530
1990-04-04,190593,177892
1990-04-06,188250,175971
1990-04-07,188250,174039
1990-04-09,185906,174039
1990-04-10,185125,172097
1990-04-11,185906,171448
1990-04-12,183563,172097
1990-04-13,182001,170146
1990-04-14,179657,168841
1990-04-16,174971,166873
1990-04-17,181220,162913
1990-04-18,177314,168186
1990-04-19,175752,164897
1990-04-20,174189,163575
1990-04-21,177314,162248
1990-04-23,175752,164897
1990-04-24,172627,163575
1990-04-25,167159,160918
1990-04-26,159348,156232
1990-04-27,164035,149462
1990-04-28,149975,153535
1990-04-30,143726,141229
1990-05-01,149975,135681
1990-05-03,156224,141229
1990-05-04,164035,146731
1990-05-07,167940,153535
1990-05-08,169503,156904
1990-05-09,166378,158247
1990-05-10,160129,155559
1990-05-11,157786,150143
1990-05-12,155443,148098
1990-05-14,154661,146046
1990-05-15,152318,145359
1990-05-16,158567,143298
1990-05-17,164035,148780
1990-05-18,164816,153535
1990-05-19,164816,154211
1990-05-21,164816,154211
1990-05-22,167159,154211
1990-05-23,168722,156232
1990-05-24,168722,157576
1990-05-25,170284,157576
1990-05-26,167940,158916
1990-05-28,165597,156904
1990-05-29,166378,154885
1990-05-30,167159,155559
1990-05-31,168722,156232
1990-06-01,168722,157576
1990-06-02,167940,157576
1990-06-04,171065,156904
1990-06-05,169503,159584
1990-06-07,170284,158247
1990-06-08,170284,158916
1990-06-09,169503,158916
1990-06-11,165597,158247
1990-06-12,164816,154885
1990-06-13,164035,154211
1990-06-14,161691,153535
1990-06-15,160910,151502
1990-06-16,162473,150823
1990-06-18,159348,152181
1990-06-19,157005,149462
1990-06-20,156224,147415
1990-06-21,157005,146731
1990-06-22,157786,147415
1990-06-23,157005,148098
1990-06-25,155443,147415
1990-06-26,155443,146046
1990-06-27,154661,146046
1990-06-28,150756,145359
1990-06-29,150756,141919
1990-06-30,149975,141919
1990-07-02,151537,141229
1990-07-03,157786,142609
1990-07-04,157786,148098
1990-07-05,155443,148098
1990-07-06,154661,146046
1990-07-07,155443,145359
1990-07-09,155443,146046
1990-07-10,157005,146046
1990-07-11,154661,147415
1990-07-12,149975,145359
1990-07-13,146069,141229
1990-07-14,146069,137767
1990-07-16,146069,137767
1990-07-18,147631,137767
1990-07-19,146069,139153
1990-07-20,146850,137767
1990-07-21,143726,138460
1990-07-23,142163,135681
1990-07-24,139820,134287
1990-07-25,142163,132192
1990-07-26,139820,134287
1990-07-27,139039,132192
1990-07-28,139039,131492
1990-07-30,135915,131492
1990-07-31,137477,128688
1990-08-01,142163,130091
1990-08-02,140601,134287
1990-08-03,137477,132891
1990-08-04,135133,130091
1990-08-06,132790,127985
1990-08-07,131228,125874
1990-08-08,128103,124464
1990-08-09,129666,121637
1990-08-10,133571,123052
1990-08-11,133571,126578
1990-08-13,128103,126578
1990-08-14,124198,121637
1990-08-16,122635,118095
1990-08-17,123417,116674
1990-08-18,122635,117385
1990-08-20,122635,116674
1990-08-21,120292,116674
1990-08-22,117168,114541
1990-08-23,117168,111692
1990-08-24,117168,111692
1990-08-25,119511,111692
1990-08-27,125760,113829
1990-08-28,132009,119513
1990-08-29,131228,125169
1990-08-30,124979,124464
1990-08-31,120292,118804
1990-09-01,120292,114541
1990-09-03,126541,114541
1990-09-04,126541,120222
1990-09-05,123417,120222
1990-09-06,121073,117385
1990-09-07,121073,115252
1990-09-08,121073,115252
1990-09-10,121073,115252
1990-09-11,121854,115252
1990-09-12,121854,115963
1990-09-13,121854,115963
1990-09-14,121073,115963
1990-09-15,121073,115252
1990-09-17,114824,115252
1990-09-18,119511,109550
1990-09-19,120292,113829
1990-09-20,120292,114541
1990-09-21,120292,114541
1990-09-22,121073,114541
1990-09-24,122635,115252
1990-09-25,124198,116674
1990-09-26,124979,118095
1990-09-27,125760,118804
1990-09-28,127322,119513
1990-09-29,129666,120930
1990-10-05,135915,123052
1990-10-06,134352,128688
1990-10-08,134352,127282
1990-10-10,136696,127282
1990-10-11,137477,129390
1990-10-12,139820,130091
1990-10-13,136696,132192
1990-10-15,141382,129390
1990-10-16,138258,133589
1990-10-17,139820,130792
1990-10-18,139039,132192
1990-10-19,145288,131492
1990-10-20,146850,137072
1990-10-22,152318,138460
1990-10-23,158567,143298
1990-10-24,166378,148780
1990-10-25,158567,155559
1990-10-26,150756,148780
1990-10-27,152318,141919
1990-10-29,146850,143298
1990-10-30,147631,138460
1990-10-31,141382,139153
1990-11-01,147631,133589
1990-11-02,143726,139153
1990-11-03,140601,135681
1990-11-05,143726,132891
1990-11-06,141382,135681
1990-11-07,144507,133589
1990-11-08,141382,136377
1990-11-09,140601,133589
1990-11-10,140601,132891
1990-11-12,142163,132891
1990-11-13,141382,134287
1990-11-14,139039,133589
1990-11-15,139039,131492
1990-11-16,136696,131492
1990-11-17,135133,129390
1990-11-19,135133,127985
1990-11-20,132790,127985
1990-11-21,132790,125874
1990-11-22,134352,125874
1990-11-23,134352,127282
1990-11-24,134352,127282
1990-11-26,132790,127282
1990-11-27,135915,125874
1990-11-28,135915,128688
1990-11-29,135915,128688
1990-11-30,137477,128688
1990-12-01,140601,130091
1990-12-03,143726,132891
1990-12-04,141382,135681
1990-12-05,142163,133589
1990-12-06,139039,134287
1990-12-07,142163,131492
1990-12-08,141382,134287
1990-12-10,142163,133589
1990-12-11,139039,134287
1990-12-12,139820,131492
1990-12-13,139820,132192
1990-12-14,140601,132192
1990-12-15,139820,132891
1990-12-17,139820,132192
1990-12-18,139820,132192
1990-12-19,135133,132192
1990-12-20,135915,127985
1990-12-21,139820,128688
1990-12-22,139820,132192
1990-12-24,139820,132192
1990-12-26,140601,132192
1991-01-03,132790,132891
1991-01-04,135915,125874
1991-01-05,134352,128688
1991-01-07,131228,127282
1991-01-08,128103,124464
1991-01-09,128103,121637
1991-01-10,121854,121637
1991-01-11,117949,115963
1991-01-12,121854,112404
1991-01-14,121854,115963
1991-01-15,115605,115963
1991-01-16,114824,110264
1991-01-17,119511,109550
1991-01-18,125760,113829
1991-01-19,124198,119513
1991-01-21,117949,118095
1991-01-22,117949,112404
1991-01-23,116386,112404
1991-01-24,120292,110978
1991-01-25,121073,114541
1991-01-26,119511,115252
1991-01-28,120292,113829
1991-01-29,119511,114541
1991-01-30,119511,113829
1991-01-31,117949,113829
1991-02-01,117168,112404
1991-02-02,118730,111692
1991-02-04,117949,113117
1991-02-05,117168,112404
1991-02-06,117949,111692
1991-02-07,118730,112404
1991-02-08,117168,113117
1991-02-09,118730,111692
1991-02-11,118730,113117
1991-02-12,123417,113117
1991-02-13,122635,117385
1991-02-18,128884,116674
1991-02-19,135133,122345
1991-02-20,139820,127985
1991-02-21,139820,132192
