Date,Actual Closing Price,Forecast Closing Price
2017-05-15,160000,166322
2017-05-16,156000,164285
2017-05-17,144000,160199
2017-05-18,148000,147878
2017-05-19,143500,151995
2017-05-22,140000,147363
2017-05-23,143500,143754
2017-05-24,145000,147363
2017-05-25,144000,148908
2017-05-26,142000,147878
2017-05-29,147000,145817
2017-05-30,149500,150967
2017-05-31,152000,153536
2017-06-01,151500,156102
2017-06-02,158500,155590
2017-06-05,161000,162754
2017-06-07,160500,165304
2017-06-08,153500,164794
2017-06-09,149000,157640
2017-06-12,141500,153023
2017-06-13,145500,145301
2017-06-14,143000,149423
2017-06-15,147500,146848
2017-06-16,152000,151481
2017-06-19,150500,156102
2017-06-20,153500,154563
2017-06-21,153000,157640
2017-06-22,151500,157128
2017-06-23,153500,155590
2017-06-26,152500,157640
2017-06-27,150000,156615
2017-06-28,149000,154050
2017-06-29,155000,153023
2017-06-30,155000,159176
2017-07-03,152500,159176
2017-07-04,152500,156615
2017-07-05,149500,156615
2017-07-06,148000,153536
2017-07-07,155000,151995
2017-07-10,151000,159176
2017-07-11,148500,155076
2017-07-12,145000,152509
2017-07-13,145000,148908
2017-07-14,145500,148908
2017-07-17,145500,149423
2017-07-18,145000,149423
2017-07-19,145000,148908
2017-07-20,148500,148908
2017-07-21,148000,152509
2017-07-24,149000,151995
2017-07-25,146500,153023
2017-07-26,146000,150452
2017-07-27,146000,149938
2017-07-28,144500,149938
2017-07-31,143000,148393
2017-08-01,141500,146848
2017-08-02,141500,145301
2017-08-03,136500,145301
2017-08-04,130500,140140
2017-08-07,134500,133935
2017-08-08,135500,138072
2017-08-09,134500,139106
2017-08-10,130500,138072
2017-08-11,127500,133935
2017-08-14,131000,130829
2017-08-16,136500,134452
2017-08-17,135500,140140
2017-08-18,138500,139106
2017-08-21,142500,142206
2017-08-22,144500,146333
2017-08-23,143500,148393
2017-08-24,155500,147363
2017-08-25,150000,159688
2017-08-28,148500,154050
2017-08-29,145500,152509
2017-08-30,152500,149423
2017-08-31,154500,156615
2017-09-01,154500,158664
2017-09-04,150000,158664
2017-09-05,150500,154050
2017-09-06,157000,154563
2017-09-07,158000,161222
2017-09-08,150500,162244
2017-09-11,150000,154563
2017-09-12,147000,154050
2017-09-13,149000,150967
2017-09-14,149500,153023
2017-09-15,150500,153536
2017-09-18,154500,154563
2017-09-19,154500,158664
2017-09-20,156500,158664
2017-09-21,156000,160711
2017-09-22,151500,160199
2017-09-25,150000,155590
2017-09-26,150000,154050
2017-09-27,149500,154050
2017-09-28,148000,153536
2017-09-29,151500,151995
2017-10-10,151500,155590
2017-10-11,152500,155590
2017-10-12,149000,156615
2017-10-13,162000,153023
2017-10-16,161000,166322
2017-10-17,169500,165304
2017-10-18,176500,173933
2017-10-19,173000,180986
2017-10-20,173500,177466
2017-10-23,171000,177969
2017-10-24,177000,175448
2017-10-25,175000,181487
2017-10-26,175500,179479
2017-10-27,177500,179981
2017-10-30,170500,181989
2017-10-31,174000,174944
2017-11-01,172000,178473
2017-11-02,177500,176458
2017-11-03,175000,181989
2017-11-06,186500,179479
2017-11-07,185500,190965
2017-11-08,184500,189972
2017-11-09,186000,188979
2017-11-10,189500,190469
2017-11-13,185500,193934
2017-11-14,186500,189972
2017-11-15,192500,190965
2017-11-16,191000,196891
2017-11-17,185000,195414
2017-11-20,183500,189476
2017-11-21,191000,187984
2017-11-22,185000,195414
2017-11-23,187500,189476
2017-11-24,188500,191956
2017-11-27,186000,192945
2017-11-28,178000,190469
2017-11-29,179000,182490
2017-11-30,169000,183492
2017-12-01,183000,173427
2017-12-04,186000,187486
2017-12-05,182500,190469
2017-12-06,183000,186988
2017-12-07,182000,187486
2017-12-08,185500,186489
2017-12-11,188000,189972
2017-12-12,192500,192451
2017-12-13,198500,196891
2017-12-14,199500,202767
2017-12-15,191000,203741
2017-12-18,190500,195414
2017-12-19,188000,194921
2017-12-20,181000,192451
2017-12-21,178500,185491
2017-12-22,183000,182991
2017-12-26,184500,187486
2017-12-27,189500,188979
2017-12-28,188500,193934
2018-01-02,188500,192945
2018-01-03,181000,192945
2018-01-04,171500,185491
2018-01-05,166500,175953
2018-01-08,165500,170895
2018-01-09,168500,169880
2018-01-10,168000,172921
2018-01-11,166000,172415
2018-01-12,161500,170388
2018-01-15,163500,165813
2018-01-16,166500,167849
2018-01-17,168500,170895
2018-01-18,166500,172921
2018-01-19,167500,170895
2018-01-22,164000,171909
2018-01-23,167500,168357
2018-01-24,167500,171909
2018-01-25,165500,171909
2018-01-26,175500,169880
2018-01-29,172000,179981
2018-01-30,170000,176458
2018-01-31,174000,174438
2018-02-01,173500,178473
2018-02-02,169500,177969
2018-02-05,161000,173933
2018-02-06,153000,165304
2018-02-07,140500,157128
2018-02-08,140500,144270
2018-02-09,136000,144270
2018-02-12,142500,139623
2018-02-13,146000,146333
2018-02-14,142500,149938
2018-02-19,147500,146333
2018-02-20,144000,151481
2018-02-21,148500,147878
2018-02-22,151500,152509
2018-02-23,158000,155590
2018-02-26,159000,162244
2018-02-27,156000,163264
2018-02-28,147500,160199
2018-03-02,150000,151481
2018-03-05,143000,154050
2018-03-06,144000,146848
2018-03-07,142000,147878
2018-03-08,145000,145817
2018-03-09,151500,148908
2018-03-12,151500,155590
2018-03-13,148500,155590
2018-03-14,147000,152509
2018-03-15,147500,150967
