Date,Actual Closing Price,Forecast Closing Price
2000-10-26,3283,3210
2000-10-27,3286,2801
2000-10-30,3309,2803
2000-10-31,3213,2820
2000-11-01,3328,2749
2000-11-02,3328,2834
2000-11-03,3343,2834
2000-11-06,3313,2845
2000-11-07,3252,2823
2000-11-08,3229,2778
2000-11-09,3186,2761
2000-11-10,3137,2729
2000-11-13,3083,2692
2000-11-14,3114,2652
2000-11-15,3114,2675
2000-11-16,3094,2675
2000-11-17,3030,2660
2000-11-20,2995,2613
2000-11-21,2930,2587
2000-11-22,3060,2539
2000-11-23,3034,2635
2000-11-24,3037,2616
2000-11-27,3018,2618
2000-11-28,3037,2604
2000-11-29,2999,2618
2000-11-30,3007,2590
2000-12-01,3037,2596
2000-12-04,2983,2618
2000-12-05,2983,2578
2000-12-06,2983,2578
2000-12-07,2907,2578
2000-12-08,2892,2522
2000-12-11,2907,2510
2000-12-12,2907,2522
2000-12-13,3343,2522
2000-12-14,3519,2845
2000-12-15,3362,2976
2000-12-18,3229,2859
2000-12-19,3183,2761
2000-12-20,2831,2726
2000-12-21,2968,2465
2000-12-22,2677,2567
2000-12-26,2892,2351
2001-01-02,2870,2510
2001-01-03,2796,2494
2001-01-04,2865,2439
2001-01-05,2946,2490
2001-01-08,3060,2550
2001-01-09,3266,2635
2001-01-10,3060,2788
2001-01-11,3060,2635
2001-01-12,3053,2635
2001-01-15,3041,2630
2001-01-16,3065,2621
2001-01-17,2946,2639
2001-01-18,3007,2550
2001-01-19,2907,2596
2001-01-22,2983,2522
2001-01-26,2946,2578
2001-01-29,2946,2550
2001-01-30,2946,2550
2001-01-31,2960,2550
2001-02-01,2954,2561
2001-02-02,2930,2556
2001-02-05,2804,2539
2001-02-06,2838,2445
2001-02-07,2831,2470
2001-02-08,2823,2465
2001-02-09,2843,2459
2001-02-12,2907,2474
2001-02-13,2899,2522
2001-02-14,2954,2516
2001-02-15,2960,2556
2001-02-16,2983,2561
2001-02-19,2991,2578
2001-02-20,3175,2584
2001-02-21,3289,2720
2001-02-22,3332,2805
2001-02-23,3262,2837
2001-02-26,3229,2785
2001-02-27,3289,2761
2001-02-28,3306,2805
2001-03-02,3297,2818
2001-03-05,3359,2811
2001-03-06,3367,2857
2001-03-07,3595,2863
2001-03-08,3818,3033
2001-03-09,3733,3199
2001-03-12,3595,3136
2001-03-13,3595,3033
2001-03-14,3722,3033
2001-03-15,3649,3128
2001-03-16,3710,3073
2001-03-19,3741,3119
2001-03-20,3733,3142
2001-03-21,3757,3136
2001-03-22,3825,3154
2001-03-23,3749,3204
2001-03-26,3749,3148
2001-03-27,3825,3148
2001-03-28,3786,3204
2001-03-29,3665,3175
2001-03-30,3634,3085
2001-04-02,3557,3062
2001-04-03,3313,3005
2001-04-04,3420,2823
2001-04-06,3512,2903
2001-04-09,3496,2971
2001-04-10,3496,2959
2001-04-11,3519,2959
2001-04-12,3515,2976
2001-04-13,3542,2973
2001-04-16,3519,2993
2001-04-17,3519,2976
2001-04-18,3557,2976
2001-04-19,3634,3005
2001-04-20,3702,3062
2001-04-23,3673,3113
2001-04-24,3710,3091
2001-04-25,3642,3119
2001-04-26,3656,3068
2001-04-27,3679,3078
2001-04-30,3710,3095
2001-05-02,3679,3119
2001-05-03,3679,3095
2001-05-04,3696,3095
2001-05-07,3665,3108
2001-05-08,3642,3085
2001-05-09,3702,3068
2001-05-10,3722,3113
2001-05-11,3719,3128
2001-05-14,3848,3125
2001-05-15,3955,3222
2001-05-16,3863,3302
2001-05-17,3856,3233
2001-05-18,3795,3228
2001-05-21,3902,3182
2001-05-22,3940,3262
2001-05-23,4529,3290
2001-05-24,5201,3731
2001-05-25,5401,4237
2001-05-28,6204,4388
2001-05-29,7130,4997
2001-05-30,6442,5703
2001-05-31,6847,5178
2001-06-01,6825,5487
2001-06-04,6679,5470
2001-06-05,6212,5358
2001-06-07,6350,5003
2001-06-08,6694,5108
2001-06-11,6702,5370
2001-06-12,6732,5376
2001-06-13,6656,5399
2001-06-14,6580,5341
2001-06-15,6671,5283
2001-06-18,7139,5352
2001-06-19,8186,5710
2001-06-20,8874,6515
2001-06-21,7995,7047
2001-06-22,8568,6368
2001-06-25,9831,6810
2001-06-26,8798,7792
2001-06-27,9716,6988
2001-06-28,9410,7702
2001-06-29,9180,7464
2001-07-02,9066,7285
2001-07-03,8760,7196
2001-07-04,8377,6959
2001-07-05,8874,6662
2001-07-06,8530,7047
2001-07-09,7804,6781
2001-07-10,7245,6220
2001-07-11,7268,5791
2001-07-12,7558,5809
2001-07-13,7015,6031
2001-07-16,7153,5615
2001-07-18,6977,5721
2001-07-19,7995,5586
2001-07-20,7804,6368
2001-07-23,7574,6220
2001-07-24,7260,6044
2001-07-25,7085,5803
2001-07-26,7108,5669
2001-07-27,7184,5686
2001-07-30,7322,5744
2001-07-31,7398,5850
2001-08-01,7574,5909
2001-08-02,8684,6044
2001-08-03,8416,6900
2001-08-06,8607,6692
2001-08-07,8644,6840
2001-08-08,8416,6869
2001-08-09,8416,6692
2001-08-10,8492,6692
2001-08-13,8684,6751
2001-08-14,8684,6900
2001-08-16,8568,6900
2001-08-17,9027,6810
2001-08-20,8684,7166
2001-08-21,8760,6900
2001-08-22,8644,6959
2001-08-23,8874,6869
2001-08-24,8836,7047
2001-08-27,9027,7018
2001-08-28,9180,7166
