Date,Actual Closing Price,Forecast Closing Price
1990-01-04,45700,46301
1990-01-05,44200,46488
1990-01-06,44500,45090
1990-01-08,44500,45370
1990-01-09,44200,45370
1990-01-10,43900,45090
1990-01-11,43200,44811
1990-01-12,43300,44160
1990-01-13,42600,44253
1990-01-15,42000,43602
1990-01-16,42000,43045
1990-01-17,41200,43045
1990-01-18,41500,42302
1990-01-19,41100,42581
1990-01-20,42500,42210
1990-01-22,43500,43509
1990-01-23,42600,44439
1990-01-24,42900,43602
1990-01-25,43000,43881
1990-01-29,42700,43974
1990-01-30,42000,43695
1990-01-31,42500,43045
1990-02-01,42000,43509
1990-02-02,41500,43045
1990-02-03,41700,42581
1990-02-05,41500,42766
1990-02-06,42500,42581
1990-02-07,42000,43509
1990-02-08,43000,43045
1990-02-09,42700,43974
1990-02-10,42000,43695
1990-02-12,42200,43045
1990-02-13,41900,43231
1990-02-14,42100,42952
1990-02-15,43700,43138
1990-02-16,44400,44625
1990-02-17,43900,45276
1990-02-19,45000,44811
1990-02-20,45000,45835
1990-02-21,44700,45835
1990-02-22,44700,45556
1990-02-23,44500,45556
1990-02-24,44100,45370
1990-02-26,43400,44997
1990-02-27,44500,44346
1990-02-28,43900,45370
1990-03-02,21127,44811
1990-03-03,20889,23936
1990-03-05,20794,23721
1990-03-06,20604,23636
1990-03-07,20652,23465
1990-03-08,20699,23508
1990-03-09,20604,23550
1990-03-12,20462,23465
1990-03-13,20177,23337
1990-03-14,20130,23080
1990-03-15,19940,23038
1990-03-16,20177,22867
1990-03-17,20177,23080
1990-03-19,20557,23080
1990-03-20,21269,23422
1990-03-21,21269,24064
1990-03-22,21364,24064
1990-03-23,21032,24150
1990-03-24,21079,23850
1990-03-26,20984,23893
1990-03-27,21079,23807
1990-03-28,21032,23893
1990-03-29,21222,23850
1990-03-30,21981,24022
1990-03-31,22219,24706
1990-04-02,22124,24921
1990-04-03,22124,24836
1990-04-04,21744,24836
1990-04-06,21459,24492
1990-04-07,21412,24235
1990-04-09,21459,24193
1990-04-10,21317,24235
1990-04-11,21507,24107
1990-04-12,21364,24279
1990-04-13,21364,24150
1990-04-14,21079,24150
1990-04-16,20842,23893
1990-04-17,21127,23679
1990-04-18,20984,23936
1990-04-19,20699,23807
1990-04-20,20367,23550
1990-04-21,20462,23251
1990-04-23,20367,23337
1990-04-24,20177,23251
1990-04-25,20082,23080
1990-04-26,19323,22995
1990-04-27,19370,22312
1990-04-28,18610,22354
1990-04-30,17993,21671
1990-05-01,18231,21118
1990-05-03,18848,21331
1990-05-04,19465,21885
1990-05-07,19465,22440
1990-05-08,19038,22440
1990-05-09,19180,22056
1990-05-10,18753,22183
1990-05-11,18610,21800
1990-05-12,18326,21671
1990-05-14,17803,21416
1990-05-15,17661,20947
1990-05-16,18278,20820
1990-05-17,18610,21373
1990-05-18,18943,21671
1990-05-19,19180,21970
1990-05-21,19275,22183
1990-05-22,19275,22269
1990-05-23,19512,22269
1990-05-24,19702,22482
1990-05-25,19845,22653
1990-05-26,19797,22781
1990-05-28,19797,22738
1990-05-29,19892,22738
1990-05-30,19892,22824
1990-05-31,19892,22824
1990-06-01,20652,22824
1990-06-02,21364,23508
1990-06-04,21174,24150
1990-06-05,20937,23978
1990-06-07,20842,23765
1990-06-08,20889,23679
1990-06-09,20699,23721
1990-06-11,18515,23550
1990-06-12,18515,21586
1990-06-13,18563,21586
1990-06-14,18326,21629
1990-06-15,18421,21416
1990-06-16,18515,21502
1990-06-18,17946,21586
1990-06-19,17946,21075
1990-06-20,18088,21075
1990-06-21,18136,21203
1990-06-22,18231,21246
1990-06-23,18326,21331
1990-06-25,18231,21416
1990-06-26,17993,21331
1990-06-27,17993,21118
1990-06-28,17993,21118
1990-06-29,17803,21118
1990-06-30,17566,20947
1990-07-02,17708,20735
1990-07-03,18326,20862
1990-07-04,18231,21416
1990-07-05,17803,21331
1990-07-06,17613,20947
1990-07-07,17708,20777
1990-07-09,17851,20862
1990-07-10,17851,20990
1990-07-11,17566,20990
1990-07-12,17613,20735
1990-07-13,17091,20777
1990-07-14,17281,20309
1990-07-16,17091,20479
1990-07-18,17329,20309
1990-07-19,17044,20522
1990-07-20,17044,20267
1990-07-21,16949,20267
1990-07-23,16569,20182
1990-07-24,16426,19842
1990-07-25,16569,19714
1990-07-26,16142,19842
1990-07-27,15667,19460
1990-07-28,15809,19035
1990-07-30,15809,19162
1990-07-31,15857,19162
1990-08-01,16284,19205
1990-08-02,16284,19587
1990-08-03,15904,19587
1990-08-04,15382,19247
1990-08-06,15192,18781
1990-08-07,14907,18611
1990-08-08,14812,18356
1990-08-09,14860,18272
1990-08-10,15477,18315
1990-08-11,15572,18865
1990-08-13,15572,18950
1990-08-14,15192,18950
1990-08-16,14575,18611
1990-08-17,14575,18060
1990-08-18,14717,18060
1990-08-20,14717,18187
1990-08-21,14100,18187
1990-08-22,14100,17637
1990-08-23,13625,17637
1990-08-24,13246,17214
1990-08-25,13246,16876
1990-08-27,13720,16876
1990-08-28,14195,17298
1990-08-29,14100,17721
1990-08-30,14100,17637
1990-08-31,14100,17637
1990-09-01,14100,17637
1990-09-03,14575,17637
1990-09-04,14575,18060
1990-09-05,14575,18060
1990-09-06,14100,18060
1990-09-07,14243,17637
1990-09-08,14148,17764
1990-09-10,14148,17680
1990-09-11,14148,17680
1990-09-12,14148,17680
1990-09-13,14243,17680
1990-09-14,14243,17764
1990-09-15,14005,17764
1990-09-17,13768,17552
1990-09-18,14243,17341
1990-09-19,13815,17764
1990-09-20,13768,17383
1990-09-21,13768,17341
1990-09-22,13768,17341
1990-09-24,13815,17341
1990-09-25,13863,17383
1990-09-26,14005,17426
1990-09-27,14005,17552
1990-09-28,14243,17552
1990-09-29,14243,17764
1990-10-05,14480,17764
1990-10-06,14480,17976
1990-10-08,14575,17976
1990-10-10,14717,18060
1990-10-11,15192,18187
1990-10-12,15714,18611
1990-10-13,15809,19077
1990-10-15,16047,19162
1990-10-16,15999,19375
1990-10-17,15809,19332
1990-10-18,15667,19162
1990-10-19,16284,19035
1990-10-20,16284,19587
1990-10-22,16711,19587
1990-10-23,17329,19969
1990-10-24,17898,20522
1990-10-25,17518,21032
1990-10-26,16901,20692
1990-10-27,16284,20139
1990-10-29,16284,19587
1990-10-30,16142,19587
1990-10-31,16094,19460
1990-11-01,16569,19417
1990-11-02,15952,19842
1990-11-03,15667,19290
1990-11-05,15429,19035
1990-11-06,15192,18823
1990-11-07,15477,18611
1990-11-08,15619,18865
1990-11-09,15809,18992
1990-11-10,15999,19162
1990-11-12,16142,19332
1990-11-13,16142,19460
1990-11-14,15904,19460
1990-11-15,15904,19247
1990-11-16,15904,19247
1990-11-17,15857,19247
1990-11-19,15667,19205
1990-11-20,15429,19035
1990-11-21,15429,18823
1990-11-22,15572,18823
1990-11-23,15572,18950
1990-11-24,15619,18950
1990-11-26,15619,18992
1990-11-27,16094,18992
1990-11-28,16094,19417
1990-11-29,16094,19417
1990-11-30,15667,19417
1990-12-01,15714,19035
1990-12-03,16047,19077
1990-12-04,15667,19375
1990-12-05,15714,19035
1990-12-06,15809,19077
1990-12-07,15667,19162
1990-12-08,15572,19035
1990-12-10,15572,18950
1990-12-11,15857,18950
1990-12-12,15762,19205
1990-12-13,15619,19120
1990-12-14,15667,18992
1990-12-15,15667,19035
1990-12-17,15809,19035
1990-12-18,15809,19162
1990-12-19,15335,19162
1990-12-20,14860,18739
1990-12-21,14717,18315
1990-12-22,15192,18187
1990-12-24,14860,18611
1990-12-26,14907,18315
1991-01-03,14432,18356
1991-01-04,14575,17933
1991-01-05,14670,18060
1991-01-07,14338,18145
1991-01-08,13863,17849
1991-01-09,13435,17426
1991-01-10,12961,17044
1991-01-11,12961,16623
1991-01-12,13246,16623
1991-01-14,13720,16876
1991-01-15,13293,17298
1991-01-16,13103,16918
1991-01-17,13578,16749
1991-01-18,13768,17172
1991-01-19,13673,17341
1991-01-21,13625,17256
1991-01-22,13578,17214
1991-01-23,13530,17172
1991-01-24,13673,17129
1991-01-25,13720,17256
1991-01-26,13578,17298
1991-01-28,13293,17172
1991-01-29,13293,16918
1991-01-30,13435,16918
1991-01-31,13435,17044
1991-02-01,13673,17044
1991-02-02,14148,17256
1991-02-04,14622,17680
1991-02-05,14338,18102
1991-02-06,14195,17849
1991-02-07,14243,17721
1991-02-08,14100,17764
1991-02-09,14195,17637
1991-02-11,14005,17721
1991-02-12,14195,17552
1991-02-13,14338,17721
1991-02-18,14907,17849
1991-02-19,14812,18356
1991-02-20,14527,18272
1991-02-21,14907,18017
1991-02-22,14717,18356
1991-02-23,14812,18187
1991-02-25,15097,18272
1991-02-26,15335,18526
1991-02-27,15619,18739
1991-02-28,15809,18992
1991-03-02,15857,19162
1991-03-04,15667,19205
1991-03-05,15809,19035
1991-03-06,15857,19162
1991-03-07,15809,19205
1991-03-08,16284,19162
1991-03-09,16426,19587
1991-03-11,16759,19714
1991-03-12,16521,20012
1991-03-13,16332,19799
1991-03-14,16332,19630
1991-03-15,16711,19630
1991-03-16,16616,19969
1991-03-18,16189,19884
1991-03-19,16142,19502
1991-03-20,16189,19460
1991-03-21,16426,19502
1991-03-22,16332,19714
1991-03-23,16332,19630
1991-03-25,16616,19630
1991-03-27,16521,19884
1991-03-28,16426,19799
1991-03-29,16426,19714
1991-03-30,16521,19714
1991-04-01,16094,19799
1991-04-02,16094,19417
1991-04-03,15999,19417
1991-04-04,16189,19332
1991-04-06,16189,19502
1991-04-08,16189,19502
1991-04-09,16047,19502
1991-04-10,16047,19375
1991-04-11,15999,19375
1991-04-12,15904,19332
1991-04-13,15904,19247
1991-04-15,15952,19247
1991-04-16,15952,19290
1991-04-17,15904,19290
1991-04-18,16284,19247
1991-04-19,16284,19587
1991-04-20,16237,19587
1991-04-22,16142,19545
1991-04-23,16142,19460
1991-04-24,16142,19460
1991-04-25,16142,19460
1991-04-26,16379,19460
1991-04-27,16237,19672
1991-04-29,16332,19545
1991-04-30,16332,19630
1991-05-01,16237,19630
1991-05-02,16426,19545
1991-05-03,16284,19714
1991-05-04,16237,19587
1991-05-06,16237,19545
1991-05-07,16142,19545
1991-05-08,16047,19460
1991-05-09,16047,19375
1991-05-10,16047,19375
1991-05-11,16047,19375
1991-05-13,15952,19375
1991-05-14,16047,19290
1991-05-15,15952,19375
1991-05-16,16284,19290
1991-05-17,16332,19587
1991-05-18,16237,19630
1991-05-20,15994,19545
1991-05-22,16140,19327
1991-05-23,16237,19458
1991-05-24,16140,19545
1991-05-25,16140,19458
1991-05-27,16091,19458
1991-05-28,15994,19414
1991-05-29,15606,19327
1991-05-30,15897,18981
1991-05-31,15558,19241
1991-06-01,15994,18938
1991-06-03,15994,19327
1991-06-04,15752,19327
1991-06-05,15897,19111
1991-06-07,15800,19241
1991-06-08,15897,19154
1991-06-10,15897,19241
1991-06-11,15897,19241
1991-06-12,15897,19241
1991-06-13,15897,19241
1991-06-14,16091,19241
1991-06-15,16576,19414
1991-06-17,16382,19848
1991-06-18,16382,19674
1991-06-19,16382,19674
1991-06-21,16479,19674
1991-06-22,16576,19761
1991-06-24,16479,19848
1991-06-25,16479,19761
1991-06-26,16964,19761
1991-06-27,17442,20195
1991-06-28,17549,20624
1991-06-29,17974,20720
1991-07-01,18665,21101
1991-07-02,18772,21721
1991-07-03,18825,21817
1991-07-04,18878,21864
1991-07-05,18931,21912
1991-07-06,18878,21960
1991-07-08,19197,21912
1991-07-09,18931,22199
1991-07-10,18878,21960
1991-07-11,19569,21912
1991-07-12,19995,22533
1991-07-13,19729,22916
1991-07-15,19888,22677
1991-07-16,19835,22820
1991-07-18,19835,22772
1991-07-19,20208,22772
1991-07-20,20473,23108
1991-07-22,20473,23347
1991-07-23,20473,23347
1991-07-24,20473,23347
1991-07-25,20633,23347
1991-07-26,20580,23491
1991-07-27,20899,23443
1991-07-29,20846,23730
1991-07-30,20899,23683
1991-07-31,20686,23730
1991-08-01,21005,23539
1991-08-02,21218,23826
1991-08-03,20686,24018
1991-08-05,20473,23539
1991-08-06,20473,23347
1991-08-07,19942,23347
1991-08-08,19676,22869
1991-08-09,19729,22629
1991-08-10,19463,22677
1991-08-12,19144,22438
1991-08-13,19038,22151
1991-08-14,19091,22056
1991-08-16,19623,22103
1991-08-17,19835,22582
1991-08-19,19303,22772
1991-08-20,19410,22294
1991-08-21,19463,22390
1991-08-22,19995,22438
1991-08-23,19942,22916
1991-08-24,19782,22869
1991-08-26,20208,22725
1991-08-27,20048,23108
1991-08-28,20048,22964
1991-08-29,19995,22964
1991-08-30,19676,22916
1991-08-31,19942,22629
1991-09-02,19835,22869
1991-09-03,19623,22772
1991-09-04,19782,22582
1991-09-05,19782,22725
1991-09-06,19942,22725
1991-09-07,20048,22869
1991-09-09,20208,22964
1991-09-10,20208,23108
1991-09-11,20208,23108
1991-09-12,20154,23108
1991-09-13,20154,23059
1991-09-14,20314,23059
1991-09-16,20314,23204
1991-09-17,20208,23204
1991-09-18,20367,23108
1991-09-19,20261,23251
1991-09-20,20367,23156
1991-09-24,20367,23251
1991-09-25,20208,23251
1991-09-26,20048,23108
1991-09-27,20208,22964
1991-09-28,19995,23108
1991-09-30,20208,22916
1991-10-01,20048,23108
1991-10-02,20367,22964
1991-10-04,20208,23251
1991-10-05,20208,23108
1991-10-07,20048,23108
1991-10-08,19835,22964
1991-10-09,19676,22772
1991-10-10,19782,22629
1991-10-11,19516,22725
1991-10-12,19516,22485
1991-10-14,19516,22485
1991-10-15,19516,22485
1991-10-16,19250,22485
1991-10-17,19357,22246
1991-10-18,19569,22343
1991-10-19,19729,22533
1991-10-21,20420,22677
1991-10-22,20154,23299
1991-10-23,20101,23059
1991-10-24,20208,23012
1991-10-25,19729,23108
1991-10-26,19303,22677
1991-10-28,19197,22294
1991-10-29,18719,22199
1991-10-30,18612,21769
1991-10-31,18612,21673
1991-11-01,18134,21673
1991-11-02,18134,21244
1991-11-04,18293,21244
1991-11-05,18293,21387
1991-11-06,18453,21387
1991-11-07,18453,21530
1991-11-08,18134,21530
1991-11-09,18080,21244
1991-11-11,17868,21196
1991-11-12,17868,21006
1991-11-13,18080,21006
1991-11-14,18080,21196
1991-11-15,18080,21196
1991-11-16,17549,21196
1991-11-18,17549,20720
1991-11-19,17549,20720
1991-11-20,17549,20720
1991-11-21,17442,20720
1991-11-22,17389,20624
1991-11-23,17442,20576
1991-11-25,17549,20624
1991-11-26,17495,20720
1991-11-27,16857,20671
1991-11-28,16857,20100
1991-11-29,16804,20100
1991-11-30,16591,20052
1991-12-02,16751,19861
1991-12-03,16485,20005
1991-12-04,16219,19767
1991-12-05,16219,19529
1991-12-06,16485,19529
1991-12-07,16910,19767
1991-12-09,16485,20147
1991-12-10,16751,19767
1991-12-11,17283,20005
1991-12-12,17549,20481
1991-12-13,17549,20720
1991-12-14,17549,20720
1991-12-16,17549,20720
1991-12-17,17549,20720
1991-12-18,17442,20720
1991-12-19,17442,20624
1991-12-20,17442,20624
1991-12-21,17549,20624
1991-12-23,17549,20720
1991-12-24,17814,20720
1991-12-26,18080,20957
1992-01-03,18346,21196
1992-01-04,19038,21434
1992-01-06,19569,22056
1992-01-07,19676,22533
1992-01-08,18984,22629
1992-01-09,19144,22007
1992-01-10,18984,22151
1992-01-11,18612,22007
1992-01-13,18346,21673
1992-01-14,18559,21434
1992-01-15,18346,21626
1992-01-16,18612,21434
1992-01-17,19197,21673
1992-01-18,19144,22199
1992-01-20,19144,22151
1992-01-21,19144,22151
1992-01-22,19410,22151
1992-01-23,19516,22390
1992-01-24,18878,22485
1992-01-25,18878,21912
1992-01-27,19569,21912
1992-01-28,19569,22533
1992-01-29,19038,22533
1992-01-30,18878,22056
1992-01-31,19569,21912
1992-02-01,20261,22533
1992-02-06,19676,23156
1992-02-07,19676,22629
1992-02-08,19676,22629
1992-02-10,19144,22629
1992-02-11,18878,22151
1992-02-12,18612,21912
1992-02-13,18612,21673
1992-02-14,18399,21673
1992-02-15,18187,21482
1992-02-17,18187,21292
1992-02-18,18719,21292
1992-02-19,19038,21769
1992-02-20,19038,22056
1992-02-21,18825,22056
1992-02-22,18825,21864
1992-02-24,19144,21864
1992-02-25,18612,22151
1992-02-26,18878,21673
1992-02-27,18878,21912
1992-02-28,18346,21912
1992-02-29,17868,21434
1992-03-02,17974,21006
1992-03-03,17761,21101
1992-03-04,18080,20910
1992-03-05,18080,21196
1992-03-06,17814,21196
1992-03-07,17495,20957
1992-03-09,17814,20671
1992-03-11,17336,20957
1992-03-12,17176,20529
1992-03-13,17708,20385
1992-03-14,17283,20862
1992-03-16,17389,20481
1992-03-17,17655,20576
1992-03-18,17708,20815
1992-03-19,17708,20862
1992-03-20,18399,20862
1992-03-21,19091,21482
1992-03-23,19410,22103
1992-03-25,18719,22390
1992-03-26,18772,21769
1992-03-27,18984,21817
1992-03-28,18346,22007
1992-03-30,18878,21434
1992-03-31,19463,21912
1992-04-01,19197,22438
1992-04-02,18665,22199
1992-04-03,18719,21721
1992-04-04,18612,21769
1992-04-06,18293,21673
1992-04-07,17868,21387
1992-04-08,17814,21006
1992-04-09,17549,20957
1992-04-10,17336,20720
1992-04-11,17549,20529
1992-04-13,17814,20720
1992-04-14,18027,20957
1992-04-15,17974,21148
1992-04-16,17814,21101
1992-04-17,18506,20957
1992-04-18,18346,21578
1992-04-20,18293,21434
1992-04-21,18240,21387
1992-04-22,18080,21339
1992-04-23,18080,21196
1992-04-24,17921,21196
1992-04-25,18187,21053
1992-04-27,17921,21292
1992-04-28,17708,21053
1992-04-29,17761,20862
1992-04-30,17655,20910
1992-05-01,18346,20815
1992-05-02,17761,21434
1992-05-04,17549,20910
1992-05-06,17017,20720
1992-05-07,17176,20243
1992-05-08,17336,20385
1992-05-09,17336,20529
1992-05-11,17389,20529
1992-05-12,17495,20576
1992-05-13,17495,20671
1992-05-14,17495,20671
1992-05-15,17495,20671
1992-05-16,17283,20671
1992-05-18,17017,20481
1992-05-19,17017,20243
1992-05-20,17230,20243
1992-05-21,17336,20434
1992-05-22,17549,20529
1992-05-23,17495,20720
1992-05-25,17549,20671
1992-05-26,17495,20720
1992-05-27,17549,20671
1992-05-28,18240,20720
1992-05-29,17974,21339
1992-05-30,18080,21101
1992-06-01,18080,21196
1992-06-02,18027,21196
1992-06-03,18080,21148
1992-06-04,18453,21196
1992-06-05,19144,21530
1992-06-08,19303,22151
1992-06-09,18878,22294
1992-06-10,19516,21912
1992-06-11,19942,22485
1992-06-12,19888,22869
1992-06-13,20473,22820
1992-06-15,19927,23347
1992-06-16,19927,22855
1992-06-17,19764,22855
1992-06-18,19600,22709
1992-06-19,19654,22561
1992-06-20,19163,22610
1992-06-22,18999,22168
1992-06-23,19381,22021
1992-06-24,19163,22364
1992-06-25,18945,22168
1992-06-26,19381,21972
1992-06-27,19381,22364
1992-06-29,19163,22364
1992-06-30,19491,22168
1992-07-01,19381,22463
1992-07-02,19381,22364
1992-07-03,19327,22364
1992-07-04,19108,22316
1992-07-06,18945,22119
1992-07-07,18726,21972
1992-07-08,18508,21776
1992-07-09,18399,21580
1992-07-10,18399,21482
1992-07-11,18344,21482
1992-07-13,18017,21433
1992-07-14,18017,21139
1992-07-15,17744,21139
1992-07-16,17416,20894
1992-07-18,17143,20600
1992-07-20,17361,20356
1992-07-21,17361,20551
1992-07-22,18071,20551
1992-07-23,18017,21188
1992-07-24,18563,21139
1992-07-25,18235,21629
1992-07-27,18126,21335
1992-07-28,17907,21237
1992-07-29,17416,21041
1992-07-30,17580,20600
1992-07-31,17907,20747
1992-08-01,17853,21041
1992-08-03,17962,20992
1992-08-04,18235,21090
1992-08-05,17907,21335
1992-08-06,18017,21041
1992-08-07,18017,21139
1992-08-08,18017,21139
1992-08-10,18071,21139
1992-08-11,18071,21188
1992-08-12,18017,21188
1992-08-13,17634,21139
1992-08-14,17034,20796
1992-08-17,16379,20258
1992-08-18,16706,19672
1992-08-19,17143,19964
1992-08-20,17088,20356
1992-08-21,16379,20306
1992-08-22,16488,19672
1992-08-24,16706,19769
1992-08-25,17416,19964
1992-08-26,18126,20600
1992-08-27,18836,21237
1992-08-28,19272,21874
1992-08-29,19654,22266
1992-08-31,20364,22610
1992-09-01,19654,23249
1992-09-02,19218,22610
1992-09-03,19381,22218
1992-09-04,18836,22364
1992-09-05,18290,21874
1992-09-07,18999,21384
1992-09-08,18945,22021
1992-09-09,18563,21972
1992-09-14,18563,21629
1992-09-15,18563,21629
1992-09-16,18290,21629
1992-09-17,18235,21384
1992-09-18,18235,21335
1992-09-19,18344,21335
1992-09-21,17689,21433
1992-09-22,17689,20845
1992-09-23,18126,20845
1992-09-24,18508,21237
1992-09-25,18235,21580
1992-09-26,18235,21335
1992-09-28,18017,21335
1992-09-29,18017,21139
1992-09-30,17798,21139
1992-10-01,17853,20943
1992-10-02,18126,20992
1992-10-05,18071,21237
1992-10-06,18235,21188
1992-10-07,18399,21335
1992-10-08,18399,21482
1992-10-09,18344,21482
1992-10-10,18180,21433
1992-10-12,18071,21285
1992-10-13,18290,21188
1992-10-14,18999,21384
1992-10-15,18563,22021
1992-10-16,18290,21629
1992-10-17,18399,21384
1992-10-19,18836,21482
1992-10-20,18999,21874
1992-10-21,19163,22021
1992-10-22,19163,22168
1992-10-23,18836,22168
1992-10-24,18563,21874
1992-10-26,19272,21629
1992-10-27,19381,22266
1992-10-28,19381,22364
1992-10-29,19927,22364
1992-10-30,20310,22855
1992-10-31,20310,23200
1992-11-02,20310,23200
1992-11-03,19709,23200
1992-11-04,19927,22659
1992-11-05,20091,22855
1992-11-06,19654,23003
1992-11-07,20364,22610
