Date,Actual Closing Price,Forecast Closing Price
1996-12-26,13040,19030
1996-12-27,13040,19030
1997-01-03,12985,19030
1997-01-04,12762,19006
1997-01-06,11761,18909
1997-01-07,10844,18476
1997-01-08,10566,18085
1997-01-09,11400,17967
1997-01-10,12290,18322
1997-01-11,13263,18704
1997-01-13,14320,19128
1997-01-14,14431,19595
1997-01-15,14625,19644
1997-01-16,15793,19731
1997-01-17,15849,20257
1997-01-18,16127,20282
1997-01-20,16321,20409
1997-01-21,15042,20497
1997-01-22,15432,19918
1997-01-23,15154,20093
1997-01-24,15154,19968
1997-01-25,15571,19968
1997-01-27,15237,20156
1997-01-28,15042,20005
1997-01-29,14792,19918
1997-01-30,15960,19806
1997-01-31,16405,20333
1997-02-01,15849,20536
1997-02-03,15571,20282
1997-02-04,16266,20156
1997-02-05,16405,20472
1997-02-06,16405,20536
1997-02-10,16043,20536
1997-02-11,15821,20371
1997-02-12,15765,20270
1997-02-13,15765,20244
1997-02-14,16015,20244
1997-02-15,16683,20358
1997-02-17,16822,20663
1997-02-18,16377,20727
1997-02-19,16071,20523
1997-02-20,15598,20383
1997-02-21,14375,20168
1997-02-22,14097,19619
1997-02-24,13764,19496
1997-02-25,13903,19348
1997-02-26,13374,19410
1997-02-27,13457,19177
1997-02-28,13764,19213
1997-03-03,13735,19348
1997-03-04,13485,19336
1997-03-05,13068,19225
1997-03-06,13764,19043
1997-03-07,13263,19348
1997-03-08,13124,19128
1997-03-10,12540,19067
1997-03-11,12651,18813
1997-03-12,12929,18861
1997-03-13,12651,18982
1997-03-14,12095,18861
1997-03-15,11817,18620
1997-03-17,12762,18500
1997-03-18,12957,18909
1997-03-19,12762,18994
1997-03-20,12623,18909
1997-03-21,12123,18849
1997-03-22,11956,18632
1997-03-24,11289,18560
1997-03-25,11817,18274
1997-03-26,11817,18500
1997-03-27,11872,18500
1997-03-28,12039,18524
1997-03-29,12178,18596
1997-03-31,12178,18656
1997-04-01,11956,18656
1997-04-02,12095,18560
1997-04-03,11956,18620
1997-04-04,11956,18560
1997-04-07,12345,18560
1997-04-08,12234,18728
1997-04-09,12290,18680
1997-04-10,12345,18704
1997-04-11,12345,18728
1997-04-12,12651,18728
1997-04-14,12651,18861
1997-04-15,12373,18861
1997-04-16,12373,18740
1997-04-17,12234,18740
1997-04-18,12095,18680
1997-04-19,12234,18620
1997-04-21,12345,18680
1997-04-22,12067,18728
1997-04-23,12234,18608
1997-04-24,11984,18680
1997-04-25,12012,18572
1997-04-26,11817,18584
1997-04-28,12373,18500
1997-04-29,12401,18740
1997-04-30,12123,18752
1997-05-02,12178,18632
1997-05-03,12679,18656
1997-05-06,12234,18873
1997-05-07,12123,18680
1997-05-08,12178,18632
1997-05-09,12429,18656
1997-05-10,12178,18764
1997-05-12,12123,18656
1997-05-13,12317,18632
1997-05-15,12651,18716
1997-05-16,12679,18861
1997-05-17,13346,18873
1997-05-19,13207,19164
1997-05-20,13318,19103
1997-05-21,13068,19152
1997-05-22,12762,19043
1997-05-23,12901,18909
1997-05-24,12790,18970
1997-05-26,13012,18921
1997-05-27,12846,19018
1997-05-28,12623,18946
1997-05-29,12345,18849
1997-05-30,12540,18728
1997-05-31,12373,18813
1997-06-02,12524,18740
1997-06-03,12222,18806
1997-06-04,12071,18675
1997-06-05,11920,18610
1997-06-07,12071,18545
1997-06-09,12192,18610
1997-06-10,12161,18662
1997-06-11,12041,18648
1997-06-12,12222,18597
1997-06-13,12071,18675
1997-06-14,12102,18610
1997-06-16,12132,18623
1997-06-17,12615,18636
1997-06-18,12826,18845
1997-06-19,12554,18937
1997-06-20,12524,18819
1997-06-21,12554,18806
1997-06-23,12373,18819
1997-06-24,12313,18740
1997-06-25,11981,18714
1997-06-26,11981,18571
1997-06-27,11920,18571
1997-06-28,11800,18545
1997-06-30,11800,18493
1997-07-01,11920,18493
1997-07-02,12071,18545
1997-07-03,11920,18610
1997-07-04,11951,18545
1997-07-05,12071,18558
1997-07-07,12464,18610
1997-07-08,12252,18780
1997-07-09,12222,18688
1997-07-10,12222,18675
1997-07-11,12161,18675
1997-07-12,12071,18648
1997-07-14,11951,18610
1997-07-15,11951,18558
1997-07-16,11648,18558
1997-07-18,11800,18428
1997-07-19,11890,18493
1997-07-21,12373,18532
1997-07-22,12011,18740
1997-07-23,12071,18584
1997-07-24,11862,18610
1997-07-25,11549,18520
1997-07-26,11410,18385
1997-07-28,11480,18326
1997-07-29,11306,18356
1997-07-30,11236,18281
1997-07-31,11201,18252
1997-08-01,11132,18237
1997-08-02,11340,18207
1997-08-04,11375,18296
1997-08-05,11306,18311
1997-08-06,11132,18281
1997-08-07,11167,18207
1997-08-08,11584,18222
1997-08-09,11514,18400
1997-08-11,11688,18370
1997-08-12,11549,18445
1997-08-13,11549,18385
1997-08-14,11445,18385
1997-08-16,11201,18341
1997-08-18,11201,18237
1997-08-19,11306,18237
1997-08-20,11097,18281
1997-08-21,10889,18192
1997-08-22,10262,18104
1997-08-23,10367,17839
1997-08-25,10158,17883
1997-08-26,9740,17795
1997-08-27,9914,17620
1997-08-28,9984,17693
1997-08-29,9671,17722
1997-08-30,9358,17591
1997-09-01,9497,17461
1997-09-02,9775,17519
1997-09-03,9914,17635
1997-09-04,10019,17693
1997-09-05,10506,17737
1997-09-06,10784,17942
1997-09-08,10645,18059
1997-09-09,10436,18001
1997-09-10,10193,17912
1997-09-11,10297,17810
1997-09-12,10297,17854
1997-09-13,10402,17854
1997-09-18,10436,17898
1997-09-19,10193,17912
1997-09-20,10019,17810
1997-09-22,9740,17737
1997-09-23,9636,17620
1997-09-24,9671,17577
1997-09-25,9392,17591
1997-09-26,9253,17475
1997-09-27,9253,17418
1997-09-29,8975,17418
1997-09-30,9323,17303
1997-10-01,9288,17447
1997-10-02,9184,17432
1997-10-04,9392,17389
1997-10-06,9706,17475
1997-10-07,9497,17606
1997-10-08,9149,17519
1997-10-09,9218,17375
1997-10-10,9184,17403
1997-10-11,9288,17389
1997-10-13,9184,17432
1997-10-14,9218,17389
1997-10-15,8940,17403
1997-10-16,8245,17288
1997-10-17,8245,17003
1997-10-18,8419,17003
1997-10-20,7757,17074
1997-10-21,7583,16804
1997-10-22,8175,16733
1997-10-23,8349,16974
1997-10-24,7792,17045
1997-10-25,7340,16818
1997-10-27,7027,16635
1997-10-28,6471,16509
1997-10-29,6784,16286
1997-10-30,6366,16411
1997-10-31,6192,16244
1997-11-01,6679,16175
1997-11-03,7131,16369
1997-11-04,7688,16551
1997-11-05,7862,16776
1997-11-06,7862,16846
1997-11-07,7236,16846
1997-11-08,6679,16593
1997-11-10,7201,16369
1997-11-11,7270,16579
1997-11-12,7097,16607
1997-11-13,7270,16537
1997-11-14,7236,16607
1997-11-15,7340,16593
1997-11-17,6853,16635
1997-11-18,6958,16439
1997-11-19,7062,16481
1997-11-20,6784,16523
1997-11-21,7236,16411
1997-11-22,6888,16593
1997-11-24,6366,16453
1997-11-25,5949,16244
1997-11-26,5914,16079
1997-11-27,6018,16065
1997-11-28,5566,16106
1997-11-29,5148,15928
1997-12-01,4766,15764
1997-12-02,4418,15614
1997-12-03,4070,15479
1997-12-04,4383,15345
1997-12-05,4731,15466
1997-12-06,4557,15601
1997-12-08,4209,15533
1997-12-09,3896,15399
1997-12-10,3792,15278
1997-12-11,3513,15238
1997-12-12,3235,15131
1997-12-13,2978,15025
1997-12-15,3214,14927
1997-12-16,3468,15017
1997-12-17,3722,15114
1997-12-19,3548,15211
1997-12-20,3618,15145
1997-12-22,3896,15171
1997-12-23,3618,15278
1997-12-24,3339,15171
1997-12-26,3583,15065
1997-12-27,3305,15158
1998-01-03,3404,15052
1998-01-05,3617,15090
1998-01-06,3892,15171
1998-01-07,3672,15276
1998-01-08,3782,15192
1998-01-09,3488,15234
1998-01-10,3745,15122
1998-01-12,4039,15220
1998-01-13,4333,15333
1998-01-14,4663,15446
1998-01-15,5031,15574
1998-01-16,5398,15718
1998-01-17,5802,15862
1998-01-19,6242,16021
1998-01-20,6720,16195
1998-01-21,6206,16386
1998-01-22,5728,16181
1998-01-23,5398,15991
1998-01-24,5802,15862
1998-01-26,6242,16021
1998-01-30,6720,16195
1998-01-31,6977,16386
1998-02-02,6426,16489
1998-02-03,6610,16268
1998-02-04,6242,16342
1998-02-05,6242,16195
1998-02-06,6132,16195
1998-02-07,6169,16151
1998-02-09,6389,16166
1998-02-10,6022,16253
1998-02-11,5691,16108
1998-02-12,5949,15977
1998-02-13,5582,16079
1998-02-14,5141,15934
1998-02-16,4774,15761
1998-02-17,4811,15618
1998-02-18,4957,15632
1998-02-19,5324,15689
1998-02-20,5141,15833
1998-02-21,5324,15761
1998-02-23,5728,15833
1998-02-24,6169,15991
1998-02-25,5691,16166
1998-02-26,5875,15977
1998-02-27,6169,16050
1998-02-28,5875,16166
1998-03-02,5986,16050
1998-03-03,6610,16093
1998-03-04,6866,16342
1998-03-05,6059,16444
1998-03-06,5691,16122
1998-03-07,5582,15977
1998-03-09,5324,15934
1998-03-10,5728,15833
1998-03-11,5545,15991
1998-03-12,5747,15919
1998-03-13,5655,15999
1998-03-14,5728,15963
1998-03-16,5618,15991
1998-03-17,5508,15948
1998-03-18,5435,15905
1998-03-19,5435,15876
1998-03-20,5471,15876
1998-03-21,5508,15890
1998-03-23,5324,15905
1998-03-24,5251,15833
1998-03-25,5141,15804
1998-03-26,4847,15761
1998-03-27,5031,15646
1998-03-28,4957,15718
1998-03-30,4737,15689
1998-03-31,4700,15603
1998-04-01,4370,15589
1998-04-02,4186,15461
1998-04-03,3856,15390
1998-04-04,4186,15263
1998-04-06,4186,15390
1998-04-07,4682,15390
1998-04-08,4425,15582
1998-04-09,4516,15482
1998-04-10,4480,15517
1998-04-11,4847,15503
1998-04-13,4811,15646
1998-04-14,4443,15632
1998-04-15,4516,15489
1998-04-16,4314,15517
1998-04-17,4370,15439
1998-04-18,4223,15461
1998-04-20,4149,15404
1998-04-21,4260,15375
1998-04-22,4076,15418
1998-04-23,3856,15347
1998-04-24,3856,15263
1998-04-25,3819,15263
1998-04-27,3672,15248
1998-04-28,3599,15192
1998-04-29,3910,15164
1998-04-30,3892,15283
1998-05-02,3708,15276
1998-05-04,3617,15206
1998-05-06,3364,15171
1998-05-07,3452,15074
1998-05-08,3341,15108
1998-05-09,3316,15066
1998-05-11,3213,15056
1998-05-12,2974,15017
1998-05-13,2864,14926
1998-05-14,2956,14884
1998-05-15,2754,14919
1998-05-16,2754,14843
1998-05-18,2974,14843
1998-05-19,3011,14926
1998-05-20,3048,14940
1998-05-21,2930,14954
1998-05-22,2849,14909
1998-05-23,2923,14879
1998-05-25,2681,14907
1998-05-26,2497,14815
1998-05-27,2497,14746
1998-05-28,2626,14746
1998-05-29,2644,14794
1998-05-30,2622,14801
1998-06-01,2644,14793
1998-06-02,2570,14801
1998-06-03,2607,14773
1998-06-05,2717,14787
1998-06-08,2717,14829
1998-06-09,2699,14829
1998-06-10,2578,14822
1998-06-11,2566,14776
1998-06-12,2460,14772
1998-06-13,2358,14732
1998-06-15,2075,14693
1998-06-16,1873,14587
1998-06-17,2086,14512
1998-06-18,2335,14591
1998-06-19,2295,14685
1998-06-20,2244,14670
1998-06-22,2240,14651
1998-06-23,2057,14649
1998-06-24,2057,14580
1998-06-25,2023,14580
1998-06-26,1983,14568
1998-06-27,1950,14553
1998-06-29,2020,14540
1998-06-30,2020,14567
1998-07-01,2262,14567
1998-07-02,2203,14657
1998-07-03,2166,14635
1998-07-04,2148,14621
1998-07-06,2166,14615
1998-07-07,2424,14621
1998-07-08,2714,14718
1998-07-09,2662,14828
1998-07-10,2424,14808
1998-07-11,2570,14718
1998-07-13,2508,14773
1998-07-14,2527,14750
1998-07-15,2537,14757
1998-07-16,2611,14761
1998-07-18,2875,14789
1998-07-20,3217,14888
1998-07-21,3242,15018
1998-07-22,3268,15028
1998-07-23,2901,15038
1998-07-24,2853,14898
1998-07-25,2607,14880
1998-07-27,2681,14787
1998-07-28,2717,14815
1998-07-29,2864,14829
1998-07-30,2901,14884
1998-07-31,2974,14898
1998-08-01,2912,14926
1998-08-03,2710,14902
1998-08-04,2743,14826
1998-08-05,2644,14839
1998-08-06,2570,14801
1998-08-07,2578,14773
1998-08-08,2467,14776
1998-08-10,2424,14734
1998-08-11,2424,14718
1998-08-12,2350,14718
1998-08-13,2350,14690
1998-08-14,2574,14690
1998-08-17,2578,14775
1998-08-18,2391,14776
1998-08-19,2457,14706
1998-08-20,2533,14731
1998-08-21,2515,14759
1998-08-22,2424,14752
1998-08-24,2442,14718
1998-08-25,2464,14725
1998-08-26,2438,14733
1998-08-27,2387,14723
1998-08-28,2335,14704
1998-08-29,2277,14685
1998-08-31,2331,14663
1998-09-01,2387,14683
1998-09-02,2354,14704
1998-09-03,2354,14692
1998-09-04,2383,14692
1998-09-05,2412,14703
1998-09-07,2519,14714
1998-09-08,2486,14754
1998-09-09,2479,14742
1998-09-10,2446,14739
1998-09-11,2424,14726
1998-09-12,2494,14718
1998-09-14,2596,14745
1998-09-15,2552,14783
1998-09-16,2515,14766
1998-09-17,2494,14752
1998-09-18,2387,14745
1998-09-19,2383,14704
1998-09-21,2464,14703
1998-09-22,2464,14733
1998-09-23,2313,14733
1998-09-24,2391,14676
1998-09-25,2277,14706
1998-09-26,2277,14663
1998-09-28,2255,14663
1998-09-29,2280,14655
