Date,Actual Closing Price,Forecast Closing Price
1990-01-04,45300,44110
1990-01-05,44300,44512
1990-01-06,44500,43707
1990-01-08,44000,43868
1990-01-09,44300,43464
1990-01-10,43800,43707
1990-01-11,43200,43301
1990-01-12,43400,42812
1990-01-13,43000,42975
1990-01-15,42300,42648
1990-01-16,42300,42073
1990-01-17,41800,42073
1990-01-18,41800,41659
1990-01-19,41300,41659
1990-01-20,41400,41244
1990-01-22,42900,41327
1990-01-23,42900,42566
1990-01-24,43600,42566
1990-01-25,43700,43138
1990-01-29,43500,43220
1990-01-30,43000,43057
1990-01-31,42800,42648
1990-02-01,42400,42484
1990-02-02,41700,42155
1990-02-03,41500,41576
1990-02-05,41700,41410
1990-02-06,43000,41576
1990-02-07,43000,42648
1990-02-08,43400,42648
1990-02-09,43400,42975
1990-02-10,43100,42975
1990-02-12,42900,42730
1990-02-13,42200,42566
1990-02-14,42500,41990
1990-02-15,44100,42237
1990-02-16,44300,43545
1990-02-17,44000,43707
1990-02-19,44300,43464
1990-02-20,44500,43707
1990-02-21,44000,43868
1990-02-22,44000,43464
1990-02-23,43900,43464
1990-02-24,43800,43382
1990-02-26,43100,43301
1990-02-27,43900,42730
1990-02-28,43500,43382
1990-03-02,423,43057
1990-03-03,420,2562
1990-03-05,417,2559
1990-03-06,419,2556
1990-03-07,417,2558
1990-03-08,416,2556
1990-03-09,416,2555
1990-03-12,414,2555
1990-03-13,410,2553
1990-03-14,410,2549
1990-03-15,408,2549
1990-03-16,412,2547
1990-03-17,413,2551
1990-03-19,414,2552
1990-03-20,427,2553
1990-03-21,428,2566
1990-03-22,428,2567
1990-03-23,430,2567
1990-03-24,426,2569
1990-03-26,423,2565
1990-03-27,420,2562
1990-03-28,415,2559
1990-03-29,419,2554
1990-03-30,434,2558
1990-03-31,438,2573
1990-04-02,434,2577
1990-04-03,433,2573
1990-04-04,430,2572
1990-04-06,426,2569
1990-04-07,426,2565
1990-04-09,426,2565
1990-04-10,422,2565
1990-04-11,425,2561
1990-04-12,421,2564
1990-04-13,420,2560
1990-04-14,415,2559
1990-04-16,408,2554
1990-04-17,414,2547
1990-04-18,409,2553
1990-04-19,398,2548
1990-04-20,384,2537
1990-04-21,391,2523
1990-04-23,390,2530
1990-04-24,390,2529
1990-04-25,384,2529
1990-04-26,369,2523
1990-04-27,377,2508
1990-04-28,364,2516
1990-04-30,352,2503
1990-05-01,364,2491
1990-05-03,377,2503
1990-05-04,389,2516
1990-05-07,389,2528
1990-05-08,385,2528
1990-05-09,385,2524
1990-05-10,379,2524
1990-05-11,369,2518
1990-05-12,366,2508
1990-05-14,359,2505
1990-05-15,353,2498
1990-05-16,365,2492
1990-05-17,372,2504
1990-05-18,375,2511
1990-05-19,375,2514
1990-05-21,377,2514
1990-05-22,384,2516
1990-05-23,388,2523
1990-05-24,388,2527
1990-05-25,391,2527
1990-05-26,390,2530
1990-05-28,381,2529
1990-05-29,383,2520
1990-05-30,389,2522
1990-05-31,391,2528
1990-06-01,406,2530
1990-06-02,422,2545
1990-06-04,422,2561
1990-06-05,418,2561
1990-06-07,417,2557
1990-06-08,418,2556
1990-06-09,416,2557
1990-06-11,407,2555
1990-06-12,409,2546
1990-06-13,405,2548
1990-06-14,399,2544
1990-06-15,399,2538
1990-06-16,399,2538
1990-06-18,389,2538
1990-06-19,385,2528
1990-06-20,382,2524
1990-06-21,382,2521
1990-06-22,383,2521
1990-06-23,385,2522
1990-06-25,385,2524
1990-06-26,383,2524
1990-06-27,380,2522
1990-06-28,380,2519
1990-06-29,379,2519
1990-06-30,374,2518
1990-07-02,377,2513
1990-07-03,389,2516
1990-07-04,384,2528
1990-07-05,379,2523
1990-07-06,377,2518
1990-07-07,378,2516
1990-07-09,379,2517
1990-07-10,380,2518
1990-07-11,380,2519
1990-07-12,374,2519
1990-07-13,369,2513
1990-07-14,371,2508
1990-07-16,365,2510
1990-07-18,368,2504
1990-07-19,366,2507
1990-07-20,366,2505
1990-07-21,362,2505
1990-07-23,359,2501
1990-07-24,359,2498
1990-07-25,359,2498
1990-07-26,355,2498
1990-07-27,355,2494
1990-07-28,359,2494
1990-07-30,356,2498
1990-07-31,358,2495
1990-08-01,364,2497
1990-08-02,366,2503
1990-08-03,357,2505
1990-08-04,354,2496
1990-08-06,349,2493
1990-08-07,345,2488
1990-08-08,342,2484
1990-08-09,343,2481
1990-08-10,350,2482
1990-08-11,350,2489
1990-08-13,347,2489
1990-08-14,334,2486
1990-08-16,329,2473
1990-08-17,328,2468
1990-08-18,327,2467
1990-08-20,319,2466
1990-08-21,307,2458
1990-08-22,307,2446
1990-08-23,306,2446
1990-08-24,306,2445
1990-08-25,303,2445
1990-08-27,315,2442
1990-08-28,328,2454
1990-08-29,322,2467
1990-08-30,310,2461
1990-08-31,303,2449
1990-09-01,303,2442
1990-09-03,315,2442
1990-09-04,311,2454
1990-09-05,311,2450
1990-09-06,311,2450
1990-09-07,311,2450
1990-09-08,307,2450
1990-09-10,307,2446
1990-09-11,307,2446
1990-09-12,303,2446
1990-09-13,303,2442
1990-09-14,303,2442
1990-09-15,299,2442
1990-09-17,288,2438
1990-09-18,300,2427
1990-09-19,300,2439
1990-09-20,301,2439
1990-09-21,301,2440
1990-09-22,302,2440
1990-09-24,303,2441
1990-09-25,304,2442
1990-09-26,307,2443
1990-09-27,308,2446
1990-09-28,309,2447
1990-09-29,311,2448
1990-10-05,324,2450
1990-10-06,323,2463
1990-10-08,324,2462
1990-10-10,329,2463
1990-10-11,334,2468
1990-10-12,337,2473
1990-10-13,336,2476
1990-10-15,340,2475
1990-10-16,331,2479
1990-10-17,334,2470
1990-10-18,334,2473
1990-10-19,347,2473
1990-10-20,345,2486
1990-10-22,355,2484
1990-10-23,367,2494
1990-10-24,380,2506
