Date,Actual Closing Price,Forecast Closing Price
1994-01-29,13666,12253
1994-01-31,14136,12694
1994-02-01,14750,13136
1994-02-02,15363,13716
1994-02-03,15975,14299
1994-02-04,16587,14883
1994-02-05,17201,15470
1994-02-07,17812,16061
1994-02-08,18425,16651
1994-02-12,19038,17245
1994-02-14,19791,17841
1994-02-15,20546,18575
1994-02-16,21300,19312
1994-02-17,20970,20050
1994-02-18,21723,19727
1994-02-19,21347,20464
1994-02-21,21111,20096
1994-02-22,21866,19865
1994-02-23,22619,20604
1994-02-24,23373,21343
1994-02-25,23562,22082
1994-02-26,23091,22267
1994-02-28,22337,21805
1994-03-02,21582,21066
1994-03-03,20829,20326
1994-03-04,20734,19589
1994-03-05,21488,19496
1994-03-07,21205,20234
1994-03-08,21300,19957
1994-03-09,20782,20050
1994-03-10,20829,19543
1994-03-11,21582,19589
1994-03-12,21582,20326
1994-03-14,21253,20326
1994-03-15,21064,20004
1994-03-16,20829,19819
1994-03-17,20546,19589
1994-03-18,20640,19312
1994-03-19,20734,19404
1994-03-21,20640,19496
1994-03-22,20782,19404
1994-03-23,21017,19543
1994-03-24,20404,19773
1994-03-25,20357,19173
1994-03-26,20357,19127
1994-03-28,20357,19127
1994-03-29,20168,19127
1994-03-30,19414,18943
1994-03-31,19414,18207
1994-04-01,18708,18207
1994-04-02,18095,17520
1994-04-04,18472,16925
1994-04-06,18048,17291
1994-04-07,18143,16880
1994-04-08,18614,16972
1994-04-09,18850,17429
1994-04-11,19603,17658
1994-04-12,19273,18391
1994-04-13,19462,18070
1994-04-14,19462,18254
1994-04-15,19791,18254
1994-04-16,20168,18575
1994-04-18,20357,18943
1994-04-19,20357,19127
1994-04-20,20263,19127
1994-04-21,20027,19036
1994-04-22,20027,18805
1994-04-23,20546,18805
1994-04-25,20452,19312
1994-04-26,20357,19220
1994-04-27,20546,19127
1994-04-28,21205,19312
1994-04-29,20546,19957
1994-04-30,20923,19312
1994-05-02,20687,19681
1994-05-03,20829,19450
1994-05-04,20593,19589
1994-05-06,20593,19358
1994-05-07,20546,19358
1994-05-09,20263,19312
1994-05-10,20027,19036
1994-05-11,20168,18805
1994-05-12,20263,18943
1994-05-13,20121,19036
1994-05-14,19933,18897
1994-05-16,19698,18713
1994-05-17,20452,18484
1994-05-19,20310,19220
1994-05-20,20357,19081
1994-05-21,19603,19127
1994-05-23,20263,18391
1994-05-24,20263,19036
1994-05-25,20075,19036
1994-05-26,20121,18852
1994-05-27,20075,18897
1994-05-28,20263,18852
1994-05-30,20075,19036
1994-05-31,19698,18852
1994-06-01,19650,18484
1994-06-02,19650,18437
1994-06-03,19556,18437
1994-06-04,19462,18346
1994-06-07,19179,18254
1994-06-08,19179,17978
1994-06-09,19273,17978
1994-06-10,19084,18070
1994-06-11,18896,17886
1994-06-13,18708,17703
1994-06-14,18378,17520
1994-06-15,18284,17200
1994-06-16,18614,17108
1994-06-17,18850,17429
1994-06-18,18708,17658
1994-06-20,19273,17520
1994-06-21,18943,18070
1994-06-22,18896,17749
1994-06-23,18850,17703
1994-06-24,18802,17658
1994-06-25,18802,17611
1994-06-27,18802,17611
1994-06-28,18566,17611
1994-06-29,18850,17382
1994-06-30,18850,17658
1994-07-01,18756,17658
1994-07-02,18519,17567
1994-07-04,19132,17336
1994-07-05,18943,17932
1994-07-06,18661,17749
1994-07-07,18614,17474
1994-07-08,18566,17429
1994-07-09,18756,17382
1994-07-11,18850,17567
1994-07-12,18850,17658
