Date,Actual Closing Price,Forecast Closing Price
2001-09-11,11181,23929
2001-09-12,9694,24069
2001-09-13,10366,23356
2001-09-14,9742,23675
2001-09-17,9550,23379
2001-09-18,9838,23288
2001-09-19,9790,23424
2001-09-20,9790,23401
2001-09-21,9166,23401
2001-09-24,9233,23109
2001-09-25,9022,23140
2001-09-26,9310,23042
2001-09-27,9550,23176
2001-09-28,9483,23288
2001-10-04,9694,23257
2001-10-05,9790,23356
2001-10-08,9886,23401
2001-10-09,10414,23447
2001-10-10,10750,23698
2001-10-11,10798,23860
2001-10-12,10846,23883
2001-10-15,10941,23906
2001-10-16,10941,23952
2001-10-17,10750,23952
2001-10-18,10606,23860
2001-10-19,10270,23790
2001-10-22,10366,23629
2001-10-23,10366,23675
2001-10-24,10750,23675
2001-10-25,11229,23860
2001-10-26,10941,24093
2001-10-29,10941,23952
2001-10-30,10654,23952
2001-10-31,10702,23813
2001-11-01,10702,23837
2001-11-02,10894,23837
2001-11-05,11373,23929
2001-11-06,11613,24163
2001-11-07,11421,24281
2001-11-08,12141,24187
2001-11-09,12189,24543
2001-11-12,12477,24567
2001-11-13,12477,24712
2001-11-14,12285,24712
2001-11-15,12477,24615
2001-11-16,12477,24712
2001-11-19,12477,24712
2001-11-20,12189,24712
2001-11-21,13341,24567
2001-11-22,14061,25151
2001-11-23,14397,25523
2001-11-26,15980,25699
2001-11-27,15644,26545
2001-11-28,15021,26363
2001-11-29,14637,26029
2001-11-30,15213,25826
2001-12-03,15069,26132
2001-12-04,15261,26055
2001-12-05,15452,26158
2001-12-06,15117,26260
2001-12-07,15740,26081
2001-12-10,15356,26415
2001-12-11,14925,26209
2001-12-12,15213,25978
2001-12-13,15213,26132
2001-12-14,15261,26132
2001-12-17,14829,26158
2001-12-18,14877,25927
2001-12-19,14589,25953
2001-12-20,15261,25800
2001-12-21,14973,26158
2001-12-24,14877,26004
2001-12-26,15692,25953
2001-12-27,16316,26389
2001-12-28,16844,26729
2002-01-02,17468,27019
2002-01-03,18620,27366
2002-01-04,19388,28018
2002-01-07,19628,28460
2002-01-08,18332,28600
2002-01-09,19196,27854
2002-01-10,17900,28349
2002-01-11,16892,27609
2002-01-14,17468,27046
2002-01-15,16364,27366
2002-01-16,16028,26755
2002-01-17,16988,26572
2002-01-18,17228,27099
2002-01-21,17948,27232
2002-01-22,17276,27636
2002-01-23,17468,27259
2002-01-24,18140,27366
2002-01-25,19100,27745
2002-01-28,19196,28294
2002-01-29,18428,28349
2002-01-30,17276,27908
2002-01-31,16940,27259
2002-02-01,16700,27072
2002-02-04,16076,26940
2002-02-05,16988,26598
2002-02-06,16460,27099
2002-02-07,16316,26808
2002-02-08,16556,26729
2002-02-14,17756,26860
2002-02-15,17132,27528
2002-02-18,16940,27179
2002-02-19,16892,27072
2002-02-20,16460,27046
2002-02-21,16796,26808
2002-02-22,16892,26992
2002-02-25,17324,27046
2002-02-26,17036,27286
2002-02-27,17420,27125
2002-02-28,17180,27339
2002-03-04,16892,27205
2002-03-05,16940,27046
2002-03-06,17036,27072
2002-03-07,16460,27125
2002-03-08,15740,26808
2002-03-11,15644,26415
2002-03-12,16076,26363
2002-03-13,16748,26598
2002-03-14,16988,26966
2002-03-15,16940,27099
2002-03-18,16796,27072
2002-03-19,17084,26992
2002-03-20,16940,27152
2002-03-21,16796,27072
2002-03-22,17708,26992
2002-03-25,16892,27501
2002-03-26,16796,27046
2002-03-27,16556,26992
2002-03-28,16748,26860
2002-03-29,16556,26966
2002-04-01,15644,26860
2002-04-02,15788,26363
2002-04-03,16556,26441
2002-04-04,17756,26860
2002-04-08,18044,27528
2002-04-09,17852,27690
2002-04-10,17180,27582
2002-04-11,18284,27205
2002-04-12,18908,27826
2002-04-15,18908,28183
2002-04-16,18860,28183
2002-04-17,19052,28155
2002-04-18,19771,28266
2002-04-19,19244,28683
2002-04-22,19244,28377
2002-04-23,19052,28377
2002-04-24,19196,28266
2002-04-25,18044,28349
2002-04-26,18044,27690
2002-04-29,17276,27690
2002-04-30,16796,27259
2002-05-02,17852,26992
2002-05-03,18140,27582
2002-05-06,17660,27745
2002-05-07,17228,27474
2002-05-08,17708,27232
2002-05-09,17564,27501
2002-05-10,17756,27420
2002-05-13,18092,27528
2002-05-14,18092,27717
2002-05-15,18812,27717
2002-05-16,18428,28128
2002-05-17,18332,27908
2002-05-20,18332,27854
2002-05-21,17756,27854
2002-05-22,19148,27528
2002-05-23,18812,28321
2002-05-24,18812,28128
2002-05-27,18812,28128
2002-05-28,18668,28128
2002-05-29,18092,28045
2002-05-30,18284,27717
2002-05-31,17468,27826
2002-06-03,17660,27366
2002-06-04,17948,27474
2002-06-05,18332,27636
2002-06-07,18332,27854
2002-06-10,18428,27854
2002-06-11,17948,27908
2002-06-12,18140,27636
2002-06-14,18236,27745
2002-06-17,17756,27799
2002-06-18,17708,27528
2002-06-19,17228,27501
2002-06-20,17468,27232
2002-06-21,17276,27366
2002-06-24,17468,27259
2002-06-25,16796,27366
2002-06-26,15932,26992
2002-06-27,15500,26519
2002-06-28,16316,26286
2002-07-02,15884,26729
2002-07-03,16028,26493
2002-07-04,16124,26572
2002-07-05,16412,26624
2002-07-08,16220,26781
2002-07-09,16796,26676
2002-07-10,16748,26992
2002-07-11,16220,26966
2002-07-12,16652,26676
2002-07-15,16700,26913
2002-07-16,16508,26940
2002-07-18,16652,26834
2002-07-19,16172,26913
2002-07-22,15452,26650
2002-07-23,16220,26260
2002-07-24,15980,26676
2002-07-25,16412,26545
2002-07-26,15836,26781
2002-07-29,15836,26467
2002-07-30,16604,26467
2002-07-31,16124,26887
2002-08-01,15596,26624
2002-08-02,15452,26338
2002-08-05,15165,26260
2002-08-06,17420,26106
2002-08-07,15404,27339
2002-08-08,15548,26234
2002-08-09,15500,26312
2002-08-12,15069,26286
2002-08-13,15261,26055
2002-08-14,15213,26158
2002-08-16,15740,26132
2002-08-19,15404,26415
2002-08-20,15644,26234
2002-08-21,15932,26363
2002-08-22,16220,26519
2002-08-23,16412,26676
2002-08-26,16556,26781
2002-08-27,16316,26860
2002-08-28,16316,26729
2002-08-29,16172,26729
2002-08-30,16220,26650
2002-09-02,16268,26676
2002-09-03,15836,26702
2002-09-04,15213,26467
2002-09-05,15117,26132
2002-09-06,14973,26081
2002-09-09,15069,26004
2002-09-10,15788,26055
2002-09-11,15932,26441
2002-09-12,16220,26519
2002-09-13,15740,26676
2002-09-16,15117,26415
2002-09-17,15213,26081
2002-09-18,14109,26132
