Date,Actual Closing Price,Forecast Closing Price
1990-01-04,20038,16669
1990-01-05,19514,16326
1990-01-06,19318,15932
1990-01-08,19383,15784
1990-01-09,19383,15833
1990-01-10,19383,15833
1990-01-11,19252,15833
1990-01-12,19645,15735
1990-01-13,19514,16031
1990-01-15,19383,15932
1990-01-16,19449,15833
1990-01-17,19514,15883
1990-01-18,19580,15932
1990-01-19,19383,15982
1990-01-20,19645,15833
1990-01-22,20497,16031
1990-01-23,20627,16669
1990-01-24,21479,16765
1990-01-25,21675,17397
1990-01-29,21741,17541
1990-01-30,21675,17589
1990-01-31,21675,17541
1990-02-01,21544,17541
1990-02-02,21086,17445
1990-02-03,20955,17106
1990-02-05,21086,17009
1990-02-06,21151,17106
1990-02-07,21020,17154
1990-02-08,21151,17057
1990-02-09,21020,17154
1990-02-10,20955,17057
1990-02-12,20889,17009
1990-02-13,20627,16960
1990-02-14,20693,16765
1990-02-15,20824,16814
1990-02-16,21020,16912
1990-02-17,20955,17057
1990-02-19,20824,17009
1990-02-20,20824,16912
1990-02-21,20824,16912
1990-02-22,20758,16912
1990-02-23,20627,16863
1990-02-24,20693,16765
1990-02-26,20824,16814
1990-02-27,21086,16912
1990-02-28,20889,17106
1990-03-02,21086,16960
1990-03-03,20824,17106
1990-03-05,20497,16912
1990-03-06,20562,16669
1990-03-07,20562,16717
1990-03-08,20431,16717
1990-03-09,20169,16619
1990-03-12,20235,16424
1990-03-13,19973,16473
1990-03-14,19973,16277
1990-03-15,19973,16277
1990-03-16,20169,16277
1990-03-17,20169,16424
1990-03-19,20497,16424
1990-03-20,20759,16669
1990-03-21,20562,16864
1990-03-22,20300,16717
1990-03-23,20104,16521
1990-03-24,19842,16375
1990-03-26,19711,16179
1990-03-27,19645,16080
1990-03-28,20169,16031
1990-03-29,20628,16424
1990-03-30,21152,16766
1990-03-31,20824,17155
1990-04-02,20562,16912
1990-04-03,20759,16717
1990-04-04,20235,16864
1990-04-06,20104,16473
1990-04-07,20104,16375
1990-04-09,19973,16375
1990-04-10,19776,16277
1990-04-11,19842,16129
1990-04-12,19907,16179
1990-04-13,19842,16227
1990-04-14,19580,16179
1990-04-16,18925,15982
1990-04-17,19449,15488
1990-04-18,19252,15883
1990-04-19,18794,15735
1990-04-20,18794,15388
1990-04-21,19383,15388
1990-04-23,20038,15833
1990-04-24,19580,16326
1990-04-25,19122,15982
1990-04-26,18467,15636
1990-04-27,18990,15140
1990-04-28,18336,15537
1990-04-30,17681,15041
1990-05-01,18336,14542
1990-05-03,18990,15041
1990-05-04,19645,15537
1990-05-07,19515,16031
1990-05-08,19187,15933
1990-05-09,18990,15686
1990-05-10,18598,15537
1990-05-11,18532,15240
1990-05-12,18467,15190
1990-05-14,18336,15140
1990-05-15,18008,15041
1990-05-16,18663,14791
1990-05-17,18990,15289
1990-05-18,18990,15537
1990-05-19,18990,15537
1990-05-21,19122,15537
1990-05-22,19515,15636
1990-05-23,18205,15933
1990-05-24,18401,14941
1990-05-25,18532,15090
1990-05-26,18532,15190
1990-05-28,18598,15190
1990-05-29,18729,15240
1990-05-30,19122,15339
1990-05-31,18990,15636
1990-06-01,18925,15537
1990-06-02,18860,15488
1990-06-04,18860,15438
1990-06-05,18925,15438
1990-06-07,18794,15488
1990-06-08,18925,15388
1990-06-09,18729,15488
1990-06-11,18532,15339
1990-06-12,18532,15190
1990-06-13,18598,15190
1990-06-14,18532,15240
1990-06-15,18532,15190
1990-06-16,18598,15190
1990-06-18,18336,15240
1990-06-19,18336,15041
1990-06-20,18008,15041
1990-06-21,18008,14791
1990-06-22,18008,14791
1990-06-23,17877,14791
1990-06-25,17877,14692
1990-06-26,17877,14692
1990-06-27,17812,14692
1990-06-28,17615,14642
1990-06-29,17157,14492
1990-06-30,16961,14141
1990-07-02,16829,13991
1990-07-03,17484,13890
1990-07-04,17223,14392
1990-07-05,17091,14192
1990-07-06,17157,14091
1990-07-07,16895,14141
1990-07-09,17026,13941
1990-07-10,17091,14041
1990-07-11,17026,14091
1990-07-12,17026,14041
1990-07-13,16699,14041
1990-07-14,16699,13790
1990-07-16,16699,13790
1990-07-18,16699,13790
1990-07-19,16371,13790
1990-07-20,16502,13539
1990-07-21,16044,13639
1990-07-23,15913,13287
1990-07-24,15782,13186
1990-07-25,15847,13086
1990-07-26,15716,13136
1990-07-27,15716,13035
1990-07-28,15782,13035
1990-07-30,15716,13086
1990-07-31,15782,13035
1990-08-01,15978,13086
1990-08-02,15847,13236
1990-08-03,15585,13136
1990-08-04,15454,12934
