Date,Actual Closing Price,Forecast Closing Price
1990-01-04,1238,43999
1990-01-05,1209,44043
1990-01-06,1209,44015
1990-01-08,1203,44015
1990-01-09,1244,44009
1990-01-10,1215,44048
1990-01-11,1203,44021
1990-01-12,1192,44009
1990-01-13,1180,43999
1990-01-15,1163,43988
1990-01-16,1192,43971
1990-01-17,1163,43999
1990-01-18,1163,43971
1990-01-19,1139,43971
1990-01-20,1145,43949
1990-01-22,1180,43954
1990-01-23,1186,43988
1990-01-24,1203,43993
1990-01-25,1233,44009
1990-01-29,1238,44038
1990-01-30,1203,44043
1990-01-31,1244,44009
1990-02-01,1227,44048
1990-02-02,1209,44032
1990-02-03,1209,44015
1990-02-05,1215,44015
1990-02-06,1215,44021
1990-02-07,1198,44021
1990-02-08,1209,44005
1990-02-09,1203,44015
1990-02-10,1186,44009
1990-02-12,1192,43993
1990-02-13,1186,43999
1990-02-14,1186,43993
1990-02-15,1198,43993
1990-02-16,1198,44005
1990-02-17,1180,44005
1990-02-19,1192,43988
1990-02-20,1186,43999
1990-02-21,1186,43993
1990-02-22,1180,43993
1990-02-23,1168,43988
1990-02-24,1163,43976
1990-02-26,1151,43971
1990-02-27,1192,43960
1990-02-28,1163,43999
1990-03-02,1192,43971
1990-03-03,1163,43999
1990-03-05,1157,43971
1990-03-06,1157,43966
1990-03-07,1157,43966
1990-03-08,1134,43966
1990-03-09,1134,43944
1990-03-12,1134,43944
1990-03-13,1128,43944
1990-03-14,1134,43938
1990-03-15,1139,43944
1990-03-16,1139,43949
1990-03-17,1122,43949
1990-03-19,1134,43933
1990-03-20,1134,43944
1990-03-21,1139,43944
1990-03-22,1139,43949
1990-03-23,1145,43949
1990-03-24,1145,43954
1990-03-26,1128,43954
1990-03-27,1139,43938
1990-03-28,1134,43949
1990-03-29,1122,43944
1990-03-30,1139,43933
1990-03-31,1139,43949
1990-04-02,1134,43949
1990-04-03,1134,43944
1990-04-04,1139,43944
1990-04-06,1151,43949
1990-04-07,1104,43960
1990-04-09,1128,43915
1990-04-10,1122,43938
1990-04-11,1122,43933
1990-04-12,1122,43933
1990-04-13,1116,43933
1990-04-14,1110,43927
1990-04-16,1082,43921
1990-04-17,1104,43895
1990-04-18,1104,43915
1990-04-19,1070,43915
1990-04-20,1070,43883
1990-04-21,1070,43883
1990-04-23,1047,43883
1990-04-24,1024,43861
1990-04-25,1006,43839
1990-04-26,960,43822
1990-04-27,971,43779
1990-04-28,925,43789
1990-04-30,878,43745
1990-05-01,925,43701
1990-05-03,971,43745
1990-05-04,1018,43789
1990-05-07,1000,43834
1990-05-08,971,43817
1990-05-09,971,43789
1990-05-10,960,43789
1990-05-11,954,43779
1990-05-12,960,43773
1990-05-14,913,43779
1990-05-15,878,43734
1990-05-16,925,43701
1990-05-17,925,43745
1990-05-18,907,43745
1990-05-19,907,43728
1990-05-21,931,43728
1990-05-22,960,43751
1990-05-23,966,43779
1990-05-24,960,43784
1990-05-25,983,43779
1990-05-26,954,43800
1990-05-28,954,43773
1990-05-29,954,43773
1990-05-30,966,43773
1990-05-31,1012,43784
1990-06-01,1059,43828
1990-06-02,1059,43873
1990-06-04,1093,43873
1990-06-05,1082,43905
1990-06-07,1104,43895
1990-06-08,1082,43915
1990-06-09,1065,43895
1990-06-11,1035,43878
1990-06-12,1030,43850
1990-06-13,1024,43845
1990-06-14,1030,43839
1990-06-15,1030,43845
1990-06-16,1035,43845
1990-06-18,1012,43850
1990-06-19,1006,43828
1990-06-20,995,43822
1990-06-21,995,43812
1990-06-22,1000,43812
1990-06-23,1006,43817
1990-06-25,1000,43822
1990-06-26,983,43817
1990-06-27,971,43800
1990-06-28,960,43789
1990-06-29,936,43779
1990-06-30,907,43756
1990-07-02,907,43728
1990-07-03,954,43728
1990-07-04,948,43773
1990-07-05,948,43767
1990-07-06,954,43767
1990-07-07,954,43773
1990-07-09,942,43773
1990-07-10,942,43762
1990-07-11,931,43762
1990-07-12,907,43751
1990-07-13,901,43728
1990-07-14,901,43723
1990-07-16,878,43723
1990-07-18,890,43701
1990-07-19,890,43712
1990-07-20,878,43712
1990-07-21,866,43701
1990-07-23,884,43689
1990-07-24,878,43706
1990-07-25,890,43701
1990-07-26,872,43712
1990-07-27,878,43695
1990-07-28,890,43701
1990-07-30,890,43712
1990-07-31,896,43712
1990-08-01,919,43718
1990-08-02,931,43740
1990-08-03,919,43751
1990-08-04,901,43740
1990-08-06,872,43723
1990-08-07,866,43695
1990-08-08,866,43689
1990-08-09,872,43689
1990-08-10,901,43695
1990-08-11,890,43723
1990-08-13,884,43712
1990-08-14,849,43706
1990-08-16,849,43673
1990-08-17,843,43673
1990-08-18,849,43668
1990-08-20,820,43673
1990-08-21,826,43646
1990-08-22,843,43651
1990-08-23,861,43668
1990-08-24,872,43685
1990-08-25,855,43695
1990-08-27,890,43679
1990-08-28,936,43712
1990-08-29,931,43756
1990-08-30,919,43751
1990-08-31,872,43740
1990-09-01,872,43695
1990-09-03,919,43695
1990-09-04,890,43740
1990-09-05,872,43712
1990-09-06,884,43695
1990-09-07,866,43706
1990-09-08,861,43689
1990-09-10,861,43685
1990-09-11,861,43685
1990-09-12,861,43685
1990-09-13,872,43685
1990-09-14,878,43695
1990-09-15,843,43701
1990-09-17,808,43668
1990-09-18,837,43634
1990-09-19,837,43662
1990-09-20,814,43662
1990-09-21,820,43640
1990-09-22,820,43646
1990-09-24,831,43646
1990-09-25,843,43656
1990-09-26,843,43668
1990-09-27,837,43668
1990-09-28,837,43662
1990-09-29,826,43662
1990-10-05,855,43651
1990-10-06,831,43679
1990-10-08,831,43656
1990-10-10,826,43656
1990-10-11,826,43651
1990-10-12,849,43651
1990-10-13,855,43673
1990-10-15,866,43679
1990-10-16,849,43689
1990-10-17,872,43673
1990-10-18,878,43695
1990-10-19,925,43701
1990-10-20,925,43745
1990-10-22,948,43745
1990-10-23,995,43767
1990-10-24,1024,43812
1990-10-25,977,43839
1990-10-26,931,43795
1990-10-27,884,43751
1990-10-29,872,43706
1990-10-30,872,43695
1990-10-31,861,43695
1990-11-01,890,43685
1990-11-02,866,43712
1990-11-03,855,43689
1990-11-05,861,43679
1990-11-06,872,43685
1990-11-07,878,43695
1990-11-08,861,43701
1990-11-09,884,43685
1990-11-10,890,43706
1990-11-12,890,43712
1990-11-13,890,43712
1990-11-14,884,43712
1990-11-15,884,43706
1990-11-16,872,43706
1990-11-17,866,43695
1990-11-19,837,43689
1990-11-20,837,43662
1990-11-21,831,43662
1990-11-22,837,43656
1990-11-23,831,43662
1990-11-24,843,43656
1990-11-26,861,43668
1990-11-27,884,43685
1990-11-28,884,43706
1990-11-29,872,43706
1990-11-30,872,43695
1990-12-01,878,43695
1990-12-03,913,43701
1990-12-04,878,43734
1990-12-05,896,43701
1990-12-06,901,43718
1990-12-07,919,43723
1990-12-08,913,43740
1990-12-10,919,43734
1990-12-11,919,43740
1990-12-12,925,43740
1990-12-13,890,43745
1990-12-14,890,43712
1990-12-15,872,43712
1990-12-17,866,43695
1990-12-18,872,43689
1990-12-19,849,43695
1990-12-20,866,43673
1990-12-21,884,43689
1990-12-22,890,43706
1990-12-24,866,43712
1990-12-26,878,43689
1991-01-03,837,43701
1991-01-04,861,43662
1991-01-05,872,43685
1991-01-07,861,43695
1991-01-08,826,43685
1991-01-09,820,43651
1991-01-10,802,43646
1991-01-11,773,43629
1991-01-12,808,43601
1991-01-14,808,43634
1991-01-15,773,43634
1991-01-16,762,43601
1991-01-17,796,43591
1991-01-18,826,43623
1991-01-19,814,43651
1991-01-21,796,43640
1991-01-22,773,43623
1991-01-23,773,43601
1991-01-24,785,43601
1991-01-25,779,43612
1991-01-26,779,43607
1991-01-28,773,43607
1991-01-29,791,43601
1991-01-30,791,43618
1991-01-31,779,43618
1991-02-01,785,43607
1991-02-02,785,43612
1991-02-04,767,43612
1991-02-05,779,43595
1991-02-06,785,43607
1991-02-07,779,43612
1991-02-08,767,43607
1991-02-09,779,43595
1991-02-11,779,43607
1991-02-12,791,43607
1991-02-13,779,43618
1991-02-18,814,43607
1991-02-19,796,43640
1991-02-20,814,43623
1991-02-21,831,43640
1991-02-22,831,43656
1991-02-23,849,43656
1991-02-25,855,43673
1991-02-26,849,43679
1991-02-27,849,43673
1991-02-28,849,43673
1991-03-02,843,43673
1991-03-04,814,43668
1991-03-05,820,43640
1991-03-06,843,43646
1991-03-07,831,43668
1991-03-08,849,43656
1991-03-09,872,43673
1991-03-11,878,43695
1991-03-12,890,43701
1991-03-13,872,43712
1991-03-14,866,43695
1991-03-15,861,43689
1991-03-16,849,43685
1991-03-18,826,43673
1991-03-19,820,43651
1991-03-20,826,43646
1991-03-21,814,43651
1991-03-22,831,43640
1991-03-23,826,43656
1991-03-25,837,43651
1991-03-27,826,43662
1991-03-28,826,43651
1991-03-29,826,43651
1991-03-30,843,43651
1991-04-01,814,43668
1991-04-02,802,43640
1991-04-03,814,43629
1991-04-04,814,43640
1991-04-06,820,43640
1991-04-08,814,43646
1991-04-09,808,43640
1991-04-10,814,43634
1991-04-11,814,43640
1991-04-12,814,43640
1991-04-13,826,43640
1991-04-15,826,43651
1991-04-16,814,43651
1991-04-17,814,43640
1991-04-18,808,43640
1991-04-19,808,43634
1991-04-20,802,43634
1991-04-22,779,43629
1991-04-23,808,43607
1991-04-24,808,43634
1991-04-25,802,43634
1991-04-26,796,43629
1991-04-27,796,43623
1991-04-29,826,43623
1991-04-30,820,43651
1991-05-01,814,43646
1991-05-02,808,43640
1991-05-03,808,43634
1991-05-04,802,43634
1991-05-06,802,43629
1991-05-07,791,43629
1991-05-08,796,43618
1991-05-09,814,43623
1991-05-10,814,43640
1991-05-11,802,43640
1991-05-13,785,43629
1991-05-14,791,43612
1991-05-15,791,43618
1991-05-16,802,43618
1991-05-17,802,43629
1991-05-18,802,43629
1991-05-20,796,43629
1991-05-22,791,43623
1991-05-23,773,43618
1991-05-24,785,43601
1991-05-25,785,43612
1991-05-27,785,43612
1991-05-28,785,43612
1991-05-29,779,43612
1991-05-30,779,43607
1991-05-31,779,43607
1991-06-01,762,43607
1991-06-03,756,43591
1991-06-04,762,43585
1991-06-05,762,43591
1991-06-07,762,43591
1991-06-08,762,43591
1991-06-10,762,43591
1991-06-11,773,43591
1991-06-12,779,43601
1991-06-13,785,43607
1991-06-14,785,43612
1991-06-15,785,43612
1991-06-17,785,43612
1991-06-18,785,43612
1991-06-19,785,43612
1991-06-21,779,43612
1991-06-22,779,43607
1991-06-24,767,43607
1991-06-25,773,43595
1991-06-26,773,43601
1991-06-27,773,43601
1991-06-28,762,43601
1991-06-29,773,43591
1991-07-01,785,43601
1991-07-02,785,43612
1991-07-03,779,43612
1991-07-04,779,43607
1991-07-05,785,43607
1991-07-06,785,43612
1991-07-08,785,43612
1991-07-09,785,43612
1991-07-10,762,43612
1991-07-11,773,43591
1991-07-12,773,43601
1991-07-13,773,43601
1991-07-15,779,43601
1991-07-16,773,43607
1991-07-18,802,43601
1991-07-19,826,43629
1991-07-20,814,43651
1991-07-22,796,43640
1991-07-23,779,43623
1991-07-24,785,43607
1991-07-25,779,43612
1991-07-26,791,43607
1991-07-27,808,43618
1991-07-29,826,43634
1991-07-30,855,43651
1991-07-31,820,43679
1991-08-01,820,43646
1991-08-02,802,43646
1991-08-03,808,43629
1991-08-05,837,43634
1991-08-06,837,43662
1991-08-07,808,43662
1991-08-08,791,43634
1991-08-09,796,43618
1991-08-10,785,43623
1991-08-12,779,43612
1991-08-13,767,43607
1991-08-14,756,43595
1991-08-16,767,43585
1991-08-17,756,43595
1991-08-19,721,43585
1991-08-20,750,43552
1991-08-21,750,43579
1991-08-22,767,43579
1991-08-23,744,43595
1991-08-24,732,43574
1991-08-26,738,43562
1991-08-27,715,43568
1991-08-28,715,43546
1991-08-29,709,43546
1991-08-30,697,43540
1991-08-31,709,43529
1991-09-02,697,43540
1991-09-03,709,43529
1991-09-04,697,43540
1991-09-05,686,43529
1991-09-06,686,43519
1991-09-07,686,43519
1991-09-09,697,43519
1991-09-10,709,43529
1991-09-11,715,43540
1991-09-12,721,43546
1991-09-13,709,43552
1991-09-14,709,43540
1991-09-16,709,43540
1991-09-17,709,43540
1991-09-18,727,43540
1991-09-19,721,43557
1991-09-20,744,43552
1991-09-24,721,43574
1991-09-25,732,43552
1991-09-26,721,43562
1991-09-27,715,43552
1991-09-28,727,43546
1991-09-30,727,43557
1991-10-01,727,43557
1991-10-02,721,43557
1991-10-04,727,43552
1991-10-05,727,43557
1991-10-07,732,43557
1991-10-08,744,43562
1991-10-09,732,43574
1991-10-10,732,43562
1991-10-11,732,43562
1991-10-12,727,43562
1991-10-14,721,43557
1991-10-15,709,43552
1991-10-16,697,43540
1991-10-17,697,43529
1991-10-18,709,43529
1991-10-19,721,43540
1991-10-21,738,43552
1991-10-22,738,43568
1991-10-23,732,43568
1991-10-24,721,43562
1991-10-25,715,43552
1991-10-26,715,43546
1991-10-28,703,43546
1991-10-29,686,43535
1991-10-30,721,43519
1991-10-31,756,43552
1991-11-01,721,43585
1991-11-02,709,43552
1991-11-04,709,43540
1991-11-05,692,43540
1991-11-06,692,43524
1991-11-07,727,43524
1991-11-08,709,43557
1991-11-09,709,43540
1991-11-11,721,43540
1991-11-12,727,43552
