Date,Actual Closing Price,Forecast Closing Price
2000-07-12,87800,94855
2000-07-13,98300,106502
2000-07-14,110000,119487
2000-07-18,123000,133909
2000-07-19,137500,149854
2000-07-20,121000,167506
2000-07-21,112000,147407
2000-07-24,99900,136368
2000-07-25,111500,121463
2000-07-26,104000,135754
2000-07-27,97000,126521
2000-07-28,90500,117881
2000-07-31,93200,109844
2000-08-01,104000,113184
2000-08-02,103000,126521
2000-08-03,106500,125288
2000-08-04,102000,129601
2000-08-07,101500,124054
2000-08-08,106000,123437
2000-08-09,104500,128985
2000-08-10,101500,127137
2000-08-11,95700,123437
2000-08-14,94000,116275
2000-08-16,95300,114173
2000-08-17,90900,115780
2000-08-18,88900,110339
2000-08-21,82700,107864
2000-08-22,86000,100185
2000-08-23,84500,104273
2000-08-24,81600,102415
2000-08-25,81100,98822
2000-08-28,90800,98202
2000-08-29,94000,110215
2000-08-30,100500,114173
2000-08-31,97600,122203
2000-09-01,100000,118622
2000-09-04,112000,121586
2000-09-05,117500,136368
2000-09-06,116000,143120
2000-09-07,114500,141280
2000-09-08,107000,139439
2000-09-14,103500,130217
2000-09-15,98800,125904
2000-09-18,87400,120105
2000-09-19,90400,106007
2000-09-20,101000,109720
2000-09-21,100000,122820
2000-09-22,92000,121586
2000-09-25,102500,111700
2000-09-26,101500,124671
2000-09-27,107000,123437
2000-09-28,106500,130217
2000-09-29,119000,129601
2000-10-02,128000,144958
2000-10-04,127500,155958
2000-10-05,123500,155348
2000-10-06,122000,150465
2000-10-09,116000,148631
2000-10-10,121000,141280
2000-10-11,114000,147407
2000-10-12,115000,138825
2000-10-13,103000,140053
2000-10-16,109500,125288
2000-10-17,96500,133294
2000-10-18,99900,117263
2000-10-19,101000,121463
2000-10-20,101500,122820
2000-10-23,97600,123437
2000-10-24,97300,118622
2000-10-25,96800,118252
2000-10-26,92600,117634
2000-10-27,96900,112442
2000-10-30,88300,117758
2000-10-31,88300,107121
2000-11-01,88500,107121
2000-11-02,89800,107368
2000-11-03,92000,108978
2000-11-06,92800,111700
2000-11-07,91000,112689
2000-11-08,89000,110463
2000-11-09,88700,107987
2000-11-10,90400,107616
2000-11-13,87500,109720
2000-11-14,88400,106130
2000-11-15,92000,107245
2000-11-16,92800,111700
2000-11-17,91200,112689
2000-11-20,90000,110710
2000-11-21,87600,109225
2000-11-22,86700,106254
2000-11-23,81900,105140
2000-11-24,85200,99193
2000-11-27,86500,103282
2000-11-28,82300,104892
2000-11-29,72600,99689
2000-11-30,68000,87662
2000-12-01,68700,81957
2000-12-04,67400,82825
2000-12-05,70000,81212
2000-12-06,71400,84437
2000-12-07,70000,86174
2000-12-08,72000,84437
2000-12-11,79400,86918
2000-12-12,76000,96095
2000-12-13,80500,91879
2000-12-14,82100,97458
2000-12-15,78700,99441
2000-12-18,76700,95227
2000-12-19,72100,92747
2000-12-20,65400,87042
2000-12-21,58200,78731
2000-12-22,52100,69801
2000-12-26,53500,62240
2001-01-02,59900,63975
2001-01-03,62000,71910
2001-01-04,69400,74514
2001-01-05,76200,83693
2001-01-08,76100,92127
2001-01-09,76500,92003
2001-01-10,68800,92499
2001-01-11,76500,82949
2001-01-12,85600,92499
2001-01-15,95800,103777
2001-01-16,93200,116398
2001-01-17,89500,113184
2001-01-18,89500,108606
2001-01-19,92000,108606
2001-01-22,99000,111700
2001-01-26,89500,120351
2001-01-29,86000,108606
2001-01-30,85500,104273
2001-01-31,88000,103654
2001-02-01,96100,106749
2001-02-02,100000,116769
2001-02-05,93500,121586
2001-02-06,93400,113555
2001-02-07,92500,113431
2001-02-08,94400,112318
2001-02-09,96000,114668
2001-02-12,96000,116646
2001-02-13,97000,116646
2001-02-14,96000,117881
2001-02-15,107500,116646
2001-02-16,116500,130833
2001-02-19,116500,141894
2001-02-20,110000,141894
2001-02-21,105500,133909
2001-02-22,98000,128369
2001-02-23,93900,119117
2001-02-26,105000,114050
2001-02-27,99000,127753
2001-02-28,95100,120351
2001-03-02,88500,115533
2001-03-05,88000,107368
2001-03-06,89000,106749
2001-03-07,94500,107987
2001-03-08,95100,114791
2001-03-09,95500,115533
2001-03-12,91000,116028
2001-03-13,85500,110463
2001-03-14,92500,103654
2001-03-15,90600,112318
2001-03-16,91400,109968
2001-03-19,89500,110957
2001-03-20,88900,108606
2001-03-21,91600,107864
2001-03-22,90900,111205
2001-03-23,91500,110339
2001-03-26,95500,111081
2001-03-27,93100,116028
2001-03-28,90500,113060
2001-03-29,87900,109844
2001-03-30,86600,106626
2001-04-02,86000,105016
2001-04-03,85500,104273
2001-04-04,86800,103654
2001-04-06,90000,105264
2001-04-09,87000,109225
2001-04-10,86400,105511
2001-04-11,91000,104768
2001-04-12,93500,110463
2001-04-13,92900,113555
2001-04-16,94700,112813
2001-04-17,94300,115039
2001-04-18,100000,114544
2001-04-19,112000,121586
2001-04-20,107000,136368
2001-04-23,108000,130217
2001-04-24,104500,131448
2001-04-25,117000,127137
2001-04-26,117000,142507
2001-04-27,120000,142507
2001-04-30,120000,146183
2001-05-02,122500,146183
2001-05-03,119000,149242
2001-05-04,118000,144958
2001-05-07,114500,143733
2001-05-08,102000,139439
2001-05-09,99000,124054
2001-05-10,99900,120351
2001-05-11,107000,121463
2001-05-14,108000,130217
2001-05-15,116500,131448
2001-05-16,116000,141894
2001-05-17,129500,141280
2001-05-18,145000,157786
2001-05-21,139000,176570
2001-05-22,141000,169323
2001-05-23,141000,171742
2001-05-24,133500,171742
2001-05-25,130000,162652
2001-05-28,125500,158395
2001-05-29,130000,152908
2001-05-30,131000,158395
2001-05-31,130000,159612
2001-06-01,131000,158395
2001-06-04,128000,159612
2001-06-05,128000,155958
2001-06-07,122000,155958
2001-06-08,124500,148631
2001-06-11,121500,151687
2001-06-12,121500,148019
2001-06-13,122000,148019
2001-06-14,127500,148631
2001-06-15,129000,155348
2001-06-18,126500,157177
2001-06-19,123000,154129
