Date,Actual Closing Price,Forecast Closing Price
2019-02-14,16000,15211
2019-02-15,15650,15881
2019-02-18,15750,15547
2019-02-19,15550,15643
2019-02-20,15250,15451
2019-02-21,15100,15163
2019-02-22,14850,15017
2019-02-25,14900,14774
2019-02-26,14700,14823
2019-02-27,14800,14627
2019-02-28,14800,14725
2019-03-04,14400,14725
2019-03-05,14250,14333
2019-03-06,14350,14184
2019-03-07,14200,14283
2019-03-08,14000,14135
2019-03-11,14150,13937
2019-03-12,14400,14086
2019-03-13,14550,14333
2019-03-14,14350,14480
2019-03-15,14850,14283
2019-03-18,14950,14774
2019-03-19,14900,14871
2019-03-20,15000,14823
2019-03-21,14650,14920
2019-03-22,14050,14578
2019-03-25,13400,13986
2019-03-26,13350,13337
2019-03-27,13500,13287
2019-03-28,13550,13437
2019-03-29,13750,13487
2019-04-01,14150,13688
2019-04-02,14250,14086
2019-04-03,14400,14184
2019-04-04,14450,14333
2019-04-05,14400,14382
2019-04-08,14300,14333
2019-04-09,14350,14234
2019-04-10,14350,14283
2019-04-11,14350,14283
2019-04-12,14300,14283
2019-04-15,14300,14234
2019-04-16,14200,14234
2019-04-17,14150,14135
2019-04-18,14000,14086
2019-04-19,13950,13937
2019-04-22,13850,13887
2019-04-23,14000,13787
2019-04-24,13850,13937
2019-04-25,14000,13787
2019-04-26,13850,13937
2019-04-29,14000,13787
2019-04-30,13850,13937
2019-05-02,14200,13787
2019-05-03,13950,14135
2019-05-07,14050,13887
2019-05-08,14050,13986
2019-05-09,13850,13986
2019-05-10,13800,13787
2019-05-13,13600,13737
2019-05-14,13700,13538
2019-05-15,13850,13638
2019-05-16,13800,13787
2019-05-17,13700,13737
2019-05-20,13750,13638
2019-05-21,13850,13688
2019-05-22,14050,13787
2019-05-23,13950,13986
2019-05-24,14250,13887
2019-05-27,14100,14184
2019-05-28,14150,14036
2019-05-29,14000,14086
2019-05-30,14100,13937
2019-05-31,13900,14036
2019-06-03,14000,13837
2019-06-04,14100,13937
2019-06-05,13850,14036
2019-06-07,13750,13787
2019-06-10,13850,13688
2019-06-11,13900,13787
2019-06-12,14000,13837
2019-06-13,14000,13937
2019-06-14,13950,13937
2019-06-17,14100,13887
2019-06-18,14100,14036
2019-06-19,14400,14036
2019-06-20,14400,14333
2019-06-21,14000,14333
2019-06-24,14050,13937
2019-06-25,13950,13986
2019-06-26,14000,13887
2019-06-27,14100,13937
2019-06-28,14050,14036
2019-07-01,14000,13986
2019-07-02,14050,13937
2019-07-03,13900,13986
2019-07-04,14000,13837
2019-07-05,14050,13937
2019-07-08,13850,13986
2019-07-09,13700,13787
2019-07-10,13650,13638
2019-07-11,13900,13588
2019-07-12,13850,13837
