Date,Actual Closing Price,Forecast Closing Price
2011-06-13,225000,224286
2011-06-14,222000,225864
2011-06-15,243000,222707
2011-06-16,230500,244671
2011-06-17,233000,231637
2011-06-20,228500,234254
2011-06-21,232000,229540
2011-06-22,231000,233207
2011-06-23,229500,232160
2011-06-24,235000,230588
2011-06-27,245000,236344
2011-06-28,245000,246744
2011-06-29,245000,246744
2011-06-30,244500,246744
2011-07-01,240000,246226
2011-07-04,245500,241555
2011-07-05,243000,247261
2011-07-06,245000,244671
2011-07-07,256500,246744
2011-07-08,261000,258573
2011-07-11,263000,263158
2011-07-12,255500,265186
2011-07-13,255500,257551
2011-07-14,250500,257551
2011-07-15,258500,252420
2011-07-18,278500,260614
2011-07-19,274500,280706
2011-07-20,273500,276737
2011-07-21,273000,275741
2011-07-22,275000,275242
2011-07-25,274000,277234
2011-07-26,273000,276239
2011-07-27,277000,275242
2011-07-28,273000,279220
2011-07-29,275000,275242
2011-08-01,273500,277234
2011-08-02,269500,275741
2011-08-03,262500,271740
2011-08-04,268000,264680
2011-08-05,262000,270233
2011-08-08,256000,264173
2011-08-09,246000,258062
2011-08-10,265000,247778
2011-08-11,262000,267209
2011-08-12,279000,264173
2011-08-16,274000,281200
2011-08-17,275000,276239
2011-08-18,292000,277234
2011-08-19,289000,293896
2011-08-22,291000,290993
2011-08-23,302000,292931
2011-08-24,292500,303449
2011-08-25,282000,294379
2011-08-26,291000,284156
2011-08-29,288000,292931
2011-08-30,289000,290022
2011-08-31,316000,290993
2011-09-01,309500,316488
2011-09-02,304000,310485
2011-09-05,296500,305337
2011-09-06,297000,298219
2011-09-07,306000,298697
2011-09-08,296500,307216
2011-09-09,301000,298219
2011-09-14,303000,302503
2011-09-15,322000,304394
2011-09-16,321000,321950
2011-09-19,325500,321045
2011-09-20,331000,325101
2011-09-21,329000,329998
2011-09-22,315000,328225
2011-09-23,293000,315570
2011-09-26,302000,294860
2011-09-27,310500,303449
2011-09-28,318000,311414
2011-09-29,324000,318317
2011-09-30,298000,323754
2011-10-04,302000,299652
2011-10-05,289500,303449
2011-10-06,268000,291478
2011-10-07,288000,270233
2011-10-10,293500,290022
2011-10-11,280000,295342
2011-10-12,285000,282187
2011-10-13,289000,287097
2011-10-14,300000,290993
2011-10-17,300000,301554
2011-10-18,299500,301554
2011-10-19,297000,301079
2011-10-20,304000,298697
2011-10-21,300000,305337
2011-10-24,299000,301554
2011-10-25,297000,300604
2011-10-26,297500,298697
2011-10-27,297000,299175
2011-10-28,287500,298697
2011-10-31,289500,289536
2011-11-01,294000,291478
2011-11-02,306500,295822
2011-11-03,294000,307684
2011-11-04,290000,295822
2011-11-07,288500,291963
2011-11-08,292500,290508
2011-11-09,295500,294379
2011-11-10,293000,297262
2011-11-11,296500,294860
2011-11-14,298000,298219
2011-11-15,295500,299652
2011-11-16,298500,297262
2011-11-17,302000,300128
2011-11-18,288500,303449
2011-11-21,292500,290508
2011-11-22,282000,294379
2011-11-23,288500,284156
2011-11-24,305000,290508
2011-11-25,294000,306277
2011-11-28,293500,295822
2011-11-29,296500,295342
2011-11-30,289000,298219
2011-12-01,288500,290993
2011-12-02,285000,290508
2011-12-05,282000,287097
2011-12-06,283000,284156
2011-12-07,287500,285138
2011-12-08,287500,289536
2011-12-09,277500,289536
2011-12-12,276500,279716
2011-12-13,275500,278725
2011-12-14,281500,277732
2011-12-15,285500,283665
2011-12-16,284000,287586
2011-12-19,271500,286119
2011-12-20,263000,273743
2011-12-21,276000,265186
2011-12-22,277500,278228
2011-12-23,269000,279716
2011-12-26,270500,271238
2011-12-27,265000,272742
2011-12-28,274500,267209
2011-12-29,279000,276737
2012-01-02,270500,281200
2012-01-03,282500,272742
2012-01-04,280000,284648
2012-01-05,276500,282187
2012-01-06,275000,278725
2012-01-09,272000,277234
2012-01-10,268500,274243
2012-01-11,266000,270735
2012-01-12,265000,268219
2012-01-13,261500,267209
2012-01-16,257000,263665
2012-01-17,264000,259084
2012-01-18,264000,266198
2012-01-19,272500,266198
2012-01-20,268500,274743
2012-01-25,262000,270735
2012-01-26,265000,264173
2012-01-27,269000,267209
2012-01-30,265000,271238
2012-01-31,271500,267209
2012-02-01,273000,273743
2012-02-02,274000,275242
2012-02-03,273500,276239
2012-02-06,283000,275741
2012-02-07,283500,285138
2012-02-08,273000,285629
2012-02-09,256000,275242
2012-02-10,257000,258062
2012-02-13,261500,259084
2012-02-14,260000,263665
2012-02-15,258000,262141
2012-02-16,257500,260104
2012-02-17,261000,259594
2012-02-20,259500,263158
2012-02-21,259500,261632
2012-02-22,265500,261632
2012-02-23,264000,267714
2012-02-24,261500,266198
2012-02-27,261000,263665
2012-02-28,261500,263158
2012-02-29,271500,263665
2012-03-02,270000,273743
2012-03-05,270000,272241
2012-03-06,267000,272241
2012-03-07,260000,269226
2012-03-08,258500,262141
2012-03-09,257000,260614
2012-03-12,250500,259084
2012-03-13,254500,252420
2012-03-14,259500,256527
2012-03-15,258000,261632
2012-03-16,254000,260104
2012-03-19,259500,256015
2012-03-20,257500,261632
2012-03-21,249000,259594
2012-03-22,247500,250876
2012-03-23,243000,249328
2012-03-26,235500,244671
2012-03-27,239500,236866
2012-03-28,240000,241035
2012-03-29,242000,241555
2012-03-30,250000,243634
2012-04-02,248500,251906
2012-04-03,253500,250360
2012-04-04,252000,255502
2012-04-05,249500,253963
2012-04-06,251000,251391
2012-04-09,255500,252935
2012-04-10,265500,257551
2012-04-12,272500,267714
2012-04-13,278000,274743
2012-04-16,270500,280211
2012-04-17,267500,272742
2012-04-18,267000,269730
2012-04-19,270000,269226
2012-04-20,271000,272241
2012-04-23,270000,273243
2012-04-24,263500,272241
2012-04-25,261000,265692
2012-04-26,269500,263158
2012-04-27,261000,271740
2012-04-30,268500,263158
2012-05-02,274000,270735
2012-05-03,264500,276239
2012-05-04,274000,266704
2012-05-07,275500,276239
2012-05-08,278500,277732
2012-05-09,283000,280706
2012-05-10,284500,285138
2012-05-11,287000,286608
2012-05-14,269000,289049
2012-05-15,261000,271238
2012-05-16,260000,263158
2012-05-17,263000,262141
2012-05-18,262000,265186
2012-05-21,251000,264173
2012-05-22,247000,252935
2012-05-23,253500,248812
2012-05-24,251000,255502
2012-05-25,254500,252935
2012-05-29,260500,256527
2012-05-30,265500,262649
2012-05-31,264000,267714
2012-06-01,250000,266198
2012-06-04,240500,251906
2012-06-05,237500,242075
2012-06-07,250500,238953
2012-06-08,254500,252420
2012-06-11,249000,256527
2012-06-12,247500,250876
2012-06-13,247500,249328
2012-06-14,256500,249328
2012-06-15,259500,258573
2012-06-18,254000,261632
2012-06-19,249000,256015
2012-06-20,254000,250876
