Date,Actual Closing Price,Forecast Closing Price
1998-03-04,652,528
1998-03-05,730,614
1998-03-06,816,712
1998-03-07,915,819
1998-03-09,1024,942
1998-03-10,1145,1078
1998-03-11,1283,1229
1998-03-12,1436,1401
1998-03-13,1608,1591
1998-03-14,1800,1804
1998-03-16,2016,2042
1998-03-17,2257,2309
1998-03-18,2081,2606
1998-03-19,2331,2389
1998-03-20,2601,2698
1998-03-21,2913,3029
1998-03-23,3251,3412
1998-03-24,3641,3824
1998-03-25,4071,4298
1998-03-26,3641,4817
1998-03-27,3460,4298
1998-03-28,3589,4079
1998-03-30,3160,4235
1998-03-31,2783,3713
1998-04-01,3108,3253
1998-04-02,2757,3650
1998-04-03,2471,3221
1998-04-04,2367,2870
1998-04-06,2205,2742
1998-04-07,2445,2542
1998-04-08,2367,2838
1998-04-09,2354,2742
1998-04-10,2380,2726
1998-04-11,2367,2758
1998-04-13,2315,2742
1998-04-14,2086,2678
1998-04-15,2133,2395
1998-04-16,2159,2453
1998-04-17,2107,2486
1998-04-18,2003,2421
1998-04-20,1763,2293
1998-04-21,1901,1996
1998-04-22,1872,2167
1998-04-23,1766,2131
1998-04-24,1766,2000
1998-04-25,1740,2000
1998-04-27,1560,1968
1998-04-28,1587,1745
1998-04-29,1613,1778
1998-04-30,1805,1810
1998-05-02,2021,2048
1998-05-04,2006,2315
1998-05-06,1766,2297
1998-05-07,1898,2000
1998-05-08,1795,2163
1998-05-09,1717,2036
1998-05-11,1603,1939
1998-05-12,1571,1798
1998-05-13,1623,1758
1998-05-14,1639,1823
1998-05-15,1545,1843
1998-05-16,1547,1726
1998-05-18,1592,1728
1998-05-19,1631,1784
1998-05-20,1826,1833
1998-05-21,1696,2074
1998-05-22,1753,1913
1998-05-23,1680,1984
1998-05-25,1558,1893
1998-05-26,1524,1742
1998-05-27,1534,1700
1998-05-28,1600,1712
1998-05-29,1587,1794
1998-05-30,1547,1778
1998-06-01,1592,1728
1998-06-02,1542,1784
1998-06-03,1560,1722
1998-06-05,1513,1745
1998-06-08,1513,1686
1998-06-09,1482,1686
1998-06-10,1399,1648
1998-06-11,1275,1545
1998-06-12,1122,1391
1998-06-13,1035,1200
1998-06-15,913,1092
1998-06-16,858,940
1998-06-17,961,871
1998-06-18,1075,1000
1998-06-19,1204,1142
1998-06-20,1249,1302
1998-06-22,1170,1358
1998-06-23,1066,1260
1998-06-24,1126,1131
1998-06-25,1074,1205
1998-06-26,1040,1141
1998-06-27,1038,1098
1998-06-29,991,1096
1998-06-30,1015,1037
1998-07-01,1135,1067
1998-07-02,1121,1216
1998-07-03,1098,1199
1998-07-04,1082,1170
1998-07-06,1100,1150
1998-07-07,1157,1173
1998-07-08,1144,1244
1998-07-09,1129,1228
1998-07-10,1092,1209
1998-07-11,1079,1163
1998-07-13,1079,1147
1998-07-14,1105,1147
1998-07-15,1105,1179
1998-07-16,1131,1179
1998-07-18,1183,1211
1998-07-20,1249,1276
1998-07-21,1397,1358
1998-07-22,1384,1542
1998-07-23,1219,1526
1998-07-24,1209,1321
1998-07-25,1131,1309
1998-07-27,1149,1211
1998-07-28,1131,1234
1998-07-29,1144,1211
1998-07-30,1144,1228
1998-07-31,1118,1228
1998-08-01,1116,1195
1998-08-03,1085,1193
1998-08-04,1092,1154
1998-08-05,1040,1163
1998-08-06,1025,1098
1998-08-07,1033,1079
1998-08-08,1015,1089
1998-08-10,981,1067
1998-08-11,983,1025
1998-08-12,959,1027
1998-08-13,963,997
1998-08-14,1004,1002
1998-08-17,968,1053
1998-08-18,911,1008
1998-08-19,955,937
1998-08-20,991,992
1998-08-21,963,1037
1998-08-22,937,1002
1998-08-24,944,970
1998-08-25,938,979
1998-08-26,950,971
1998-08-27,1020,986
1998-08-28,989,1073
1998-08-29,963,1035
1998-08-31,960,1002
1998-09-01,986,998
1998-09-02,965,1031
1998-09-03,1081,1005
1998-09-04,1064,1149
1998-09-05,1040,1128
1998-09-07,1092,1098
1998-09-08,1074,1163
1998-09-09,1061,1141
1998-09-10,1053,1124
1998-09-11,1077,1114
1998-09-12,1072,1144
1998-09-14,1082,1138
1998-09-15,1072,1150
1998-09-16,1046,1138
1998-09-17,1027,1106
1998-09-18,976,1082
1998-09-19,999,1018
1998-09-21,954,1047
1998-09-22,902,991
1998-09-23,911,926
1998-09-24,994,937
1998-09-25,950,1041
1998-09-26,937,986
1998-09-28,911,970
1998-09-29,926,937
1998-09-30,916,956
1998-10-01,916,944
1998-10-02,963,944
1998-10-07,957,1002
1998-10-08,937,995
1998-10-09,989,970
1998-10-10,989,1035
1998-10-12,1040,1035
1998-10-13,1002,1098
1998-10-14,989,1051
1998-10-15,1090,1035
1998-10-16,1040,1160
1998-10-17,1040,1098
1998-10-19,1015,1098
1998-10-20,1040,1067
1998-10-21,1033,1098
1998-10-22,1035,1089
1998-10-23,1002,1092
1998-10-24,1002,1051
1998-10-26,1121,1051
1998-10-27,1157,1199
1998-10-28,1105,1244
1998-10-29,1105,1179
1998-10-30,1136,1179
1998-10-31,1126,1218
1998-11-02,1186,1205
1998-11-03,1165,1280
1998-11-04,1144,1254
1998-11-05,1155,1228
1998-11-06,1134,1241
1998-11-07,1134,1215
1998-11-09,1108,1215
1998-11-10,1103,1183
1998-11-11,1147,1177
1998-11-12,1147,1231
1998-11-13,1209,1231
1998-11-14,1233,1309
1998-11-16,1309,1338
1998-11-17,1366,1433
1998-11-18,1366,1504
1998-11-19,1433,1504
1998-11-20,1605,1587
1998-11-21,1797,1800
1998-11-23,1836,2038
1998-11-24,1687,2087
1998-11-25,1747,1902
1998-11-26,1683,1976
1998-11-27,1698,1897
1998-11-28,1689,1916
1998-11-30,1612,1905
1998-12-01,1566,1809
1998-12-02,1586,1752
1998-12-03,1638,1777
1998-12-04,1739,1841
1998-12-05,1687,1966
1998-12-07,1743,1902
1998-12-08,1687,1971
1998-12-09,1668,1902
1998-12-10,1724,1878
1998-12-11,1687,1948
1998-12-14,1650,1902
1998-12-15,1650,1856
1998-12-16,1866,1856
1998-12-17,1780,2124
1998-12-18,1724,2017
1998-12-21,1950,1948
1998-12-22,1911,2227
1998-12-23,2196,2179
1998-12-24,2234,2531
1998-12-28,2099,2578
1999-01-04,2200,2412
1999-01-05,2256,2536
1999-01-06,2226,2605
1999-01-07,2306,2568
1999-01-08,2399,2667
1999-01-11,2429,2781
1999-01-12,2362,2818
1999-01-13,2249,2736
1999-01-14,2174,2597
1999-01-15,2174,2504
1999-01-18,2174,2504
1999-01-19,2287,2504
1999-01-20,2211,2643
1999-01-21,2133,2550
1999-01-22,1950,2453
1999-01-25,1870,2227
1999-01-26,1795,2129
1999-01-27,1821,2036
1999-01-28,1931,2068
1999-01-29,1915,2204
1999-02-01,2099,2184
1999-02-02,1994,2412
1999-02-03,1911,2282
1999-02-04,2024,2179
1999-02-05,2136,2319
1999-02-08,2099,2457
1999-02-09,1950,2412
1999-02-10,1953,2227
1999-02-11,1950,2231
1999-02-12,1987,2227
1999-02-18,1904,2273
1999-02-19,1855,2171
1999-02-22,1803,2110
1999-02-23,1773,2046
1999-02-24,1687,2009
1999-02-25,1653,1902
1999-02-26,1743,1860
1999-03-02,1762,1971
1999-03-03,1724,1995
1999-03-04,1713,1948
1999-03-05,1762,1934
1999-03-08,1780,1995
