Date,Actual Closing Price,Forecast Closing Price
2021-08-09,78500,70471
2021-08-10,71400,79142
2021-08-11,74400,72072
2021-08-12,73800,75066
2021-08-13,76600,74468
2021-08-17,87400,77256
2021-08-18,84500,87911
2021-08-19,92000,85066
2021-08-20,91000,92395
2021-08-23,89800,91424
2021-08-24,85400,90255
2021-08-25,82100,85950
2021-08-26,83400,82703
2021-08-27,83800,83984
2021-08-30,81900,84378
2021-08-31,83900,82505
2021-09-01,88800,84476
2021-09-02,81900,89279
2021-09-03,80800,82505
2021-09-06,77400,81419
2021-09-07,73000,78051
2021-09-08,72300,73670
2021-09-09,72000,72971
2021-09-10,68900,72672
2021-09-13,64600,69569
2021-09-14,69700,65250
2021-09-15,69000,70371
2021-09-16,67100,69669
2021-09-17,68000,67763
2021-09-23,66400,68667
2021-09-24,69000,67060
2021-09-27,69700,69669
2021-09-28,70600,70371
2021-09-29,69300,71272
2021-09-30,68400,69970
2021-10-01,65500,69068
2021-10-05,60000,66156
2021-10-06,58000,60614
2021-10-07,60000,58594
2021-10-08,57000,60614
2021-10-12,55300,57583
2021-10-13,55900,55863
2021-10-14,59000,56470
2021-10-15,60100,59604
2021-10-18,60000,60715
2021-10-19,61300,60614
2021-10-20,59700,61926
2021-10-21,60200,60311
2021-10-22,60100,60816
2021-10-25,59900,60715
2021-10-26,61900,60513
2021-10-27,62000,62531
2021-10-28,64600,62632
2021-10-29,63100,65250
2021-11-01,63900,63740
2021-11-02,64100,64546
2021-11-03,59400,64747
2021-11-04,60000,60008
2021-11-05,57200,60614
2021-11-08,55600,57785
2021-11-09,57000,56167
2021-11-10,58600,57583
2021-11-11,59100,59200
2021-11-12,62100,59705
2021-11-15,62400,62733
2021-11-16,62500,63035
2021-11-17,63100,63136
2021-11-18,64500,63740
2021-11-19,65000,65150
2021-11-22,64000,65653
2021-11-23,64900,64647
2021-11-24,64700,65552
2021-11-25,67900,65351
2021-11-26,68200,68566
2021-11-29,70300,68867
2021-11-30,65600,70971
2021-12-01,65200,66256
2021-12-02,65000,65854
2021-12-03,67500,65653
2021-12-06,65700,68165
2021-12-07,67500,66357
2021-12-08,67500,68165
2021-12-09,64200,68165
2021-12-10,63400,64848
2021-12-13,63400,64042
2021-12-14,63000,64042
2021-12-15,62600,63640
2021-12-16,63100,63236
2021-12-17,63900,63740
2021-12-20,62300,64546
2021-12-21,61400,62934
2021-12-22,60900,62027
2021-12-23,60500,61522
2021-12-24,60200,61119
2021-12-27,59300,60816
2021-12-28,60300,59907
2021-12-29,59800,60917
2021-12-30,59000,60412
2022-01-03,59100,59604
2022-01-04,57300,59705
2022-01-05,55600,57886
2022-01-06,56000,56167
2022-01-07,55000,56571
2022-01-10,51100,55559
2022-01-11,49350,51609
2022-01-12,49300,49835
2022-01-13,48850,49784
2022-01-14,46300,49328
2022-01-17,45100,46742
2022-01-18,43300,45524
2022-01-19,41800,43698
2022-01-20,42750,42177
2022-01-21,43800,43140
2022-01-24,42000,44205
2022-01-25,40250,42379
2022-01-26,40550,40604
2022-01-27,39650,40909
2022-01-28,41000,39996
2022-02-03,41350,41365
2022-02-04,42100,41720
2022-02-07,42350,42481
2022-02-08,44650,42734
2022-02-09,44200,45068
2022-02-10,42800,44611
2022-02-11,42150,43191
2022-02-14,43950,42532
2022-02-15,44200,44358
2022-02-16,46450,44611
2022-02-17,49400,46894
2022-02-18,49350,49886
2022-02-21,48900,49835
2022-02-22,47250,49379
2022-02-23,47100,47705
2022-02-24,46900,47553
2022-02-25,47750,47350
2022-02-28,48000,48212
2022-03-02,47900,48466
2022-03-03,48600,48365
2022-03-04,48700,49075
2022-03-07,47350,49176
2022-03-08,48000,47807
2022-03-10,48150,48466
2022-03-11,48900,48618
2022-03-14,49800,49379
2022-03-15,52500,50291
2022-03-16,52600,53028
2022-03-17,52100,53129
2022-03-18,52800,52623
2022-03-21,50500,53332
2022-03-22,50900,51001
2022-03-23,52300,51406
2022-03-24,51400,52825
2022-03-25,51000,51913
2022-03-28,50000,51508
2022-03-29,49750,50494
2022-03-30,50300,50241
2022-03-31,51600,50798
2022-04-01,50900,52116
2022-04-04,50800,51406
2022-04-05,49800,51305
2022-04-06,48350,50291
2022-04-07,46200,48821
2022-04-08,46100,46640
2022-04-11,45350,46539
2022-04-12,45300,45778
2022-04-13,46850,45727
2022-04-14,46700,47300
2022-04-15,46200,47147
2022-04-18,45400,46640
2022-04-19,45600,45829
2022-04-20,45150,46032
2022-04-21,45050,45575
2022-04-22,43600,45474
2022-04-25,42450,44003
2022-04-26,43250,42836
2022-04-27,42250,43647
2022-04-28,42950,42633
2022-04-29,42350,43343
2022-05-02,41100,42734
2022-05-03,41250,41466
2022-05-04,41450,41619
2022-05-06,40100,41821
2022-05-09,40900,40452
2022-05-10,40050,41264
2022-05-11,40100,40402
2022-05-12,37950,40452
2022-05-13,38450,38272
2022-05-16,38850,38779
2022-05-17,40000,39185
2022-05-18,39400,40351
2022-05-19,38650,39742
2022-05-20,39950,38982
2022-05-23,40000,40300
2022-05-24,39400,40351
2022-05-25,40150,39742
2022-05-26,40650,40503
2022-05-27,41250,41010
2022-05-30,41300,41619
2022-05-31,40650,41669
2022-06-02,39850,41010
2022-06-03,41150,40199
2022-06-07,41500,41517
2022-06-08,40400,41872
2022-06-09,41050,40757
2022-06-10,39150,41416
2022-06-13,36000,39489
2022-06-14,35350,36296
2022-06-15,35800,35638
2022-06-16,36450,36093
2022-06-17,36150,36752
2022-06-20,35600,36448
2022-06-21,36100,35891
2022-06-22,34000,36397
2022-06-23,33750,34271
2022-06-24,34800,34017
2022-06-27,34550,35081
2022-06-28,33750,34827
2022-06-29,31100,34017
2022-06-30,30250,31337
2022-07-01,28950,30477
2022-07-04,29450,29164
2022-07-05,30600,29669
2022-07-06,31300,30831
2022-07-07,31750,31539
2022-07-08,31300,31994
2022-07-11,31200,31539
2022-07-12,30000,31438
2022-07-13,31600,30225
2022-07-14,30900,31842
2022-07-15,29900,31134
2022-07-18,30600,30124
2022-07-19,30600,30831
2022-07-20,30850,30831
2022-07-21,31300,31084
2022-07-22,30900,31539
2022-07-25,30450,31134
2022-07-26,30050,30680
2022-07-27,29900,30275
2022-07-28,30050,30124
2022-07-29,30900,30275
2022-08-01,30800,31134
2022-08-02,30350,31033
2022-08-03,31400,30578
2022-08-04,32900,31640
2022-08-05,32300,33157
2022-08-08,32000,32550
2022-08-09,33200,32247
2022-08-10,31550,33461
2022-08-11,33150,31792
2022-08-12,32950,33410
2022-08-16,32400,33208
2022-08-17,32400,32651
2022-08-18,31200,32651
2022-08-19,28650,31438
2022-08-22,28050,28861
2022-08-23,27800,28256
2022-08-24,28300,28003
2022-08-25,28300,28508
2022-08-26,28100,28508
2022-08-29,26950,28306
2022-08-30,27300,27146
2022-08-31,27300,27499
2022-09-01,26100,27499
2022-09-02,25850,26289
2022-09-05,25600,26037
2022-09-06,25600,25785
2022-09-07,24850,25785
2022-09-08,25000,25030
2022-09-13,26800,25181
2022-09-14,26250,26995
2022-09-15,25600,26440
2022-09-16,25250,25785
2022-09-19,25000,25433
2022-09-20,25250,25181
2022-09-21,25050,25433
2022-09-22,24050,25231
2022-09-23,23450,24224
2022-09-26,21800,23621
2022-09-27,21500,21962
2022-09-28,21900,21661
2022-09-29,20600,22063
2022-09-30,20050,20758
2022-10-04,20350,20206
2022-10-05,20000,20507
2022-10-06,20250,20156
2022-10-07,18350,20407
2022-10-11,17800,18503
2022-10-12,17750,17952
2022-10-13,16550,17902
2022-10-14,17500,16702
2022-10-17,16600,17652
2022-10-18,17200,16752
2022-10-19,17400,17352
2022-10-20,16850,17552
2022-10-21,16750,17002
2022-10-24,16750,16902
2022-10-25,16350,16902
2022-10-26,15950,16502
2022-10-27,16250,16103
