Date,Actual Closing Price,Forecast Closing Price
2021-11-04,169000,191543
2021-11-05,170000,167928
2021-11-08,153500,168916
2021-11-09,147000,152579
2021-11-10,150500,146124
2021-11-11,145500,149601
2021-11-12,157500,144633
2021-11-15,163000,156546
2021-11-16,166500,161994
2021-11-17,171000,165457
2021-11-18,172500,169903
2021-11-19,173500,171384
2021-11-22,170000,172371
2021-11-23,177000,168916
2021-11-24,183000,175822
2021-11-25,216500,181729
2021-11-26,222500,214438
2021-11-29,238500,220241
2021-11-30,218000,235620
2021-12-01,207500,215891
2021-12-02,208000,205700
2021-12-03,204500,206187
2021-12-06,201500,202779
2021-12-07,194500,199853
2021-12-08,202000,193012
2021-12-09,208500,200341
2021-12-10,196000,206673
2021-12-13,190000,194480
2021-12-14,178500,188603
2021-12-15,180000,177300
2021-12-16,184500,178777
2021-12-17,177000,183204
2021-12-20,172500,175822
2021-12-21,171000,171384
2021-12-22,167500,169903
2021-12-23,174500,166445
2021-12-24,169000,173358
2021-12-27,168500,167928
2021-12-28,181500,167434
2021-12-29,176500,180254
2021-12-30,174500,175330
2022-01-03,176500,173358
2022-01-04,169000,175330
2022-01-05,158000,167928
2022-01-06,152000,157041
2022-01-07,153500,151090
2022-01-10,148500,152579
2022-01-11,149500,147614
2022-01-12,154500,148607
2022-01-13,147000,153571
2022-01-14,143500,146124
2022-01-17,139500,142644
2022-01-18,134000,138665
2022-01-19,128000,133189
2022-01-20,136000,127210
2022-01-21,145000,135181
2022-01-24,146500,144136
2022-01-25,137500,145627
2022-01-26,137000,136674
2022-01-27,128000,136177
2022-01-28,126000,127210
2022-02-03,124500,125216
2022-02-04,133000,123720
2022-02-07,128000,132193
2022-02-08,130500,127210
2022-02-09,126500,129702
2022-02-10,128000,125715
2022-02-11,126500,127210
2022-02-14,128500,125715
2022-02-15,127500,127709
2022-02-16,132500,126712
2022-02-17,133500,131695
2022-02-18,140000,132691
2022-02-21,140500,139163
2022-02-22,139000,139660
2022-02-23,139500,138167
2022-02-24,135000,138665
2022-02-25,144000,134185
2022-02-28,149500,143142
2022-03-02,148000,148607
2022-03-03,147000,147117
2022-03-04,143500,146124
2022-03-07,134000,142644
2022-03-08,128500,133189
2022-03-10,135000,127709
2022-03-11,135000,134185
2022-03-14,136000,134185
2022-03-15,138000,135181
2022-03-16,141500,137172
2022-03-17,142500,140655
2022-03-18,145500,141650
2022-03-21,139500,144633
2022-03-22,140000,138665
2022-03-23,140500,139163
2022-03-24,141500,139660
2022-03-25,141500,140655
2022-03-28,140000,140655
2022-03-29,142000,139163
2022-03-30,150000,141153
2022-03-31,148500,149104
2022-04-01,143500,147614
2022-04-04,144500,142644
2022-04-05,142500,143639
2022-04-06,138000,141650
2022-04-07,133500,137172
2022-04-08,134000,132691
2022-04-11,128500,133189
2022-04-12,132500,127709
