Date,Actual Closing Price,Forecast Closing Price
1998-05-11,346,2519
1998-05-12,346,2519
1998-05-13,319,2519
1998-05-14,319,2485
1998-05-15,294,2485
1998-05-16,318,2454
1998-05-18,319,2484
1998-05-19,344,2485
1998-05-20,339,2516
1998-05-21,339,2510
1998-05-22,312,2510
1998-05-23,312,2477
1998-05-25,298,2477
1998-05-26,298,2459
1998-05-27,298,2459
1998-05-28,291,2459
1998-05-29,277,2451
1998-05-30,277,2433
1998-06-01,277,2433
1998-06-02,277,2433
1998-06-03,277,2433
1998-06-05,277,2433
1998-06-08,277,2433
1998-06-09,277,2433
1998-06-10,277,2433
1998-06-11,305,2433
1998-06-12,305,2468
1998-06-13,305,2468
1998-06-15,305,2468
1998-06-16,305,2468
1998-06-17,298,2468
1998-06-18,298,2459
1998-06-19,298,2459
1998-06-20,298,2459
1998-06-22,298,2459
1998-06-23,332,2459
1998-06-24,332,2501
1998-06-25,325,2501
1998-06-26,325,2493
1998-06-27,364,2493
1998-06-29,346,2541
1998-06-30,325,2519
1998-07-01,319,2493
1998-07-02,319,2485
1998-07-03,319,2485
1998-07-04,357,2485
1998-07-06,315,2532
1998-07-07,284,2480
1998-07-08,256,2442
1998-07-09,263,2407
1998-07-10,277,2416
1998-07-11,277,2433
1998-07-13,277,2433
1998-07-14,277,2433
1998-07-15,291,2433
1998-07-16,305,2451
1998-07-18,339,2468
1998-07-20,339,2510
1998-07-21,346,2510
1998-07-22,367,2519
1998-07-23,367,2545
1998-07-25,360,2545
1998-07-27,360,2536
1998-07-28,360,2536
1998-07-29,346,2536
1998-07-30,346,2519
1998-07-31,346,2519
1998-08-01,346,2519
1998-08-03,346,2519
1998-08-04,353,2519
1998-08-05,353,2527
1998-08-06,360,2527
1998-08-07,367,2536
1998-08-08,367,2545
1998-08-10,367,2545
1998-08-11,346,2545
1998-08-12,346,2519
1998-08-13,319,2519
1998-08-14,319,2485
1998-08-17,319,2485
1998-08-18,281,2485
1998-08-19,314,2438
1998-08-20,346,2479
1998-08-21,346,2519
1998-08-22,346,2519
1998-08-24,378,2519
1998-08-25,360,2558
1998-08-26,317,2536
1998-08-27,281,2483
1998-08-28,312,2438
1998-09-01,332,2477
1998-09-02,360,2501
1998-09-03,360,2536
1998-09-04,346,2536
1998-09-05,368,2519
1998-09-07,367,2546
1998-09-08,367,2545
1998-09-09,367,2545
1998-09-10,353,2545
1998-09-11,346,2527
1998-09-12,346,2519
1998-09-14,360,2519
1998-09-15,367,2536
1998-09-16,325,2545
1998-09-17,339,2493
1998-09-18,339,2510
1998-09-19,332,2510
1998-09-21,332,2501
1998-09-22,325,2501
1998-09-23,325,2493
1998-09-24,346,2493
1998-09-25,346,2519
1998-09-26,346,2519
1998-09-28,346,2519
1998-09-29,346,2519
1998-09-30,346,2519
1998-10-01,346,2519
1998-10-02,339,2519
1998-10-07,332,2510
1998-10-08,332,2501
1998-10-09,312,2501
1998-10-10,312,2477
1998-10-12,332,2477
1998-10-13,346,2501
1998-10-14,373,2519
1998-10-15,373,2552
1998-10-16,373,2552
1998-10-17,346,2552
1998-10-19,346,2519
1998-10-20,346,2519
1998-10-21,346,2519
1998-10-22,346,2519
1998-10-23,353,2519
1998-10-24,346,2527
1998-10-26,325,2519
1998-10-27,325,2493
1998-10-28,325,2493
1998-10-29,325,2493
1998-10-30,364,2493
1998-10-31,353,2541
1998-11-02,312,2527
1998-11-03,349,2477
1998-11-04,312,2523
1998-11-05,349,2477
1998-11-06,373,2523
1998-11-07,381,2552
1998-11-09,353,2562
1998-11-10,346,2527
1998-11-11,319,2519
1998-11-12,331,2485
1998-11-13,346,2500
1998-11-14,360,2519
1998-11-16,402,2536
1998-11-17,448,2588
1998-11-18,475,2645
1998-11-19,478,2679
1998-11-20,421,2682
1998-11-21,402,2612
1998-11-23,402,2588
1998-11-24,388,2588
1998-11-25,388,2571
1998-11-26,382,2571
1998-11-27,360,2563
1998-11-28,361,2536
1998-11-30,374,2537
1998-12-01,381,2554
1998-12-02,416,2562
1998-12-03,450,2606
1998-12-04,397,2648
1998-12-05,416,2582
1998-12-07,436,2606
1998-12-08,416,2630
1998-12-09,416,2606
1998-12-10,416,2606
1998-12-11,416,2606
1998-12-14,416,2606
1998-12-15,450,2606
1998-12-16,416,2648
1998-12-17,423,2606
1998-12-18,416,2614
1998-12-21,416,2606
1998-12-22,419,2606
1998-12-23,450,2609
1998-12-24,450,2648
1998-12-28,454,2648
1999-01-04,471,2653
1999-01-05,471,2674
1999-01-06,485,2674
1999-01-07,485,2691
1999-01-08,534,2691
1999-01-11,534,2752
1999-01-12,540,2752
1999-01-13,554,2759
1999-01-14,551,2777
1999-01-15,534,2773
1999-01-18,554,2752
1999-01-19,561,2777
1999-01-20,563,2785
1999-01-21,554,2788
1999-01-22,554,2777
1999-01-25,554,2777
1999-01-26,540,2777
1999-01-27,534,2759
1999-01-28,520,2752
1999-01-29,520,2734
1999-02-01,561,2734
1999-02-02,554,2785
1999-02-03,554,2777
1999-02-04,552,2777
1999-02-05,552,2774
1999-02-08,554,2774
1999-02-09,522,2777
1999-02-10,557,2737
1999-02-11,554,2780
1999-02-12,554,2777
1999-02-18,534,2777
1999-02-19,485,2752
1999-02-22,502,2691
1999-02-23,498,2712
1999-02-24,457,2707
1999-02-25,430,2656
1999-02-26,478,2623
1999-03-02,485,2682
1999-03-03,506,2691
1999-03-04,520,2717
1999-03-05,520,2734
1999-03-08,506,2734
1999-03-09,506,2717
1999-03-10,485,2717
1999-03-11,486,2691
1999-03-12,519,2692
1999-03-15,530,2733
1999-03-16,527,2747
1999-03-17,527,2743
1999-03-18,525,2743
1999-03-19,506,2741
1999-03-22,506,2717
1999-03-23,506,2717
1999-03-24,506,2717
1999-03-25,506,2717
1999-03-26,534,2717
1999-03-29,503,2752
1999-03-30,520,2713
1999-03-31,520,2734
1999-04-01,540,2734
1999-04-02,540,2759
1999-04-06,554,2759
1999-04-07,540,2777
1999-04-08,540,2759
1999-04-09,602,2759
1999-04-12,674,2836
1999-04-13,735,2925
1999-04-14,735,3001
1999-04-15,742,3001
1999-04-16,742,3010
1999-04-19,728,3010
1999-04-20,804,2992
1999-04-21,797,3087
1999-04-22,742,3078
1999-04-23,700,3010
1999-04-26,762,2958
1999-04-27,700,3035
1999-04-28,686,2958
1999-04-29,762,2940
1999-04-30,735,3035
1999-05-03,821,3001
1999-05-04,918,3108
1999-05-06,1026,3228
1999-05-07,1109,3363
1999-05-10,1012,3466
1999-05-11,1026,3345
1999-05-12,971,3363
1999-05-13,1033,3294
1999-05-14,1061,3371
1999-05-17,1036,3406
1999-05-18,984,3375
1999-05-19,984,3310
1999-05-20,984,3310
1999-05-21,950,3310
1999-05-24,998,3268
1999-05-25,1033,3328
1999-05-26,1068,3371
1999-05-27,1130,3415
1999-05-28,1265,3492
1999-05-31,1414,3660
1999-06-01,1581,3845
1999-06-02,1463,4053
1999-06-03,1352,3906
1999-06-04,1324,3768
1999-06-07,1480,3733
1999-06-08,1522,3927
1999-06-09,1387,3980
1999-06-10,1553,3812
1999-06-11,1737,4018
1999-06-14,1945,4248
