Date,Actual Closing Price,Forecast Closing Price
2021-08-11,407000,454033
2021-08-12,406000,407709
2021-08-13,437000,406719
2021-08-17,451500,437325
2021-08-18,469000,451579
2021-08-19,492500,468723
2021-08-20,491500,491632
2021-08-23,484500,490660
2021-08-24,460000,483848
2021-08-25,451000,459915
2021-08-26,469500,451089
2021-08-27,497000,469212
2021-08-30,497000,496002
2021-08-31,491500,496002
2021-09-01,507000,490660
2021-09-02,491500,505696
2021-09-03,509000,490660
2021-09-06,482500,507631
2021-09-07,464500,481900
2021-09-08,483500,464321
2021-09-09,475000,482874
2021-09-10,447000,474585
2021-09-13,451500,447160
2021-09-14,478000,451579
2021-09-15,493500,477513
2021-09-16,492000,492603
2021-09-17,493500,491146
2021-09-23,500000,492603
2021-09-24,493000,498913
2021-09-27,498000,492117
2021-09-28,500000,496973
2021-09-29,500000,498913
2021-09-30,502000,498913
2021-10-01,498000,500853
2021-10-05,463000,496973
2021-10-06,454000,462853
2021-10-07,474000,454033
2021-10-08,470000,473609
2021-10-12,484000,469701
2021-10-13,488000,483361
2021-10-14,478500,487255
2021-10-15,472500,478000
2021-10-18,486000,472144
2021-10-19,493500,485309
2021-10-20,487000,492603
2021-10-21,493000,486282
2021-10-22,488000,492117
2021-10-25,488000,487255
2021-10-26,498000,487255
2021-10-27,489500,496973
2021-10-28,475000,488715
2021-10-29,469500,474585
2021-11-01,478000,469212
2021-11-02,483500,477513
2021-11-03,472000,482874
2021-11-04,468000,471655
2021-11-05,451000,467745
2021-11-08,441500,451089
2021-11-09,465500,441753
2021-11-10,484500,465300
2021-11-11,540000,483848
2021-11-12,547000,537483
2021-11-15,548000,544183
2021-11-16,547000,545139
2021-11-17,567000,544183
2021-11-18,543000,563241
2021-11-19,542000,540356
2021-11-22,516000,539399
2021-11-23,505000,514397
2021-11-24,509000,503759
2021-11-25,504000,507631
2021-11-26,506000,502791
2021-11-29,510000,504728
2021-11-30,503000,508599
2021-12-01,489000,501822
2021-12-02,502000,488228
2021-12-03,500000,500853
2021-12-06,472500,498913
2021-12-07,465000,472144
2021-12-08,464500,464811
2021-12-09,479000,464321
2021-12-10,489500,478488
2021-12-13,489500,488715
2021-12-14,493000,488715
2021-12-15,485000,492117
2021-12-16,484000,484335
2021-12-17,494500,483361
2021-12-20,471000,493575
2021-12-21,466500,470678
2021-12-22,470500,466278
2021-12-23,464000,470189
2021-12-24,463000,463832
2021-12-27,450500,462853
2021-12-28,462000,450598
2021-12-29,467000,461874
2021-12-30,460000,466767
2022-01-03,460000,459915
2022-01-04,444000,459915
2022-01-05,417000,444212
2022-01-06,402000,417598
2022-01-07,394500,402758
2022-01-10,381500,395325
2022-01-11,365000,382424
2022-01-12,367500,366019
2022-01-13,346500,368506
2022-01-14,343500,347593
2022-01-17,341000,344602
2022-01-18,340500,342110
2022-01-19,324500,341611
2022-01-20,325000,325648
2022-01-21,310000,326147
2022-01-24,302000,311172
2022-01-25,291000,303182
2022-01-26,276500,292195
2022-01-27,264000,277712
2022-01-28,274500,265230
2022-02-03,275500,275714
2022-02-04,288500,276713
2022-02-07,305000,289698
2022-02-08,299500,306178
2022-02-09,297000,300685
2022-02-10,297000,298188
2022-02-11,259000,298188
2022-02-14,267500,260238
2022-02-15,281000,268724
2022-02-16,277500,282206
2022-02-17,273000,278711
2022-02-18,274000,274216
2022-02-21,273500,275215
2022-02-22,273500,274716
2022-02-23,286000,274716
2022-02-24,285500,287200
2022-02-25,284000,286701
2022-02-28,295000,285203
2022-03-02,298000,296190
2022-03-03,298500,299187
2022-03-04,282500,299686
2022-03-07,271000,283705
2022-03-08,273500,272219
2022-03-10,295000,274716
2022-03-11,285000,296190
2022-03-14,281000,286202
2022-03-15,277500,282206
2022-03-16,281500,278711
2022-03-17,284000,282706
2022-03-18,286000,285203
2022-03-21,276000,287200
2022-03-22,279000,277212
2022-03-23,283000,280209
2022-03-24,280500,284204
2022-03-25,278500,281707
2022-03-28,271500,279709
2022-03-29,273000,272718
2022-03-30,272500,274216
