Date,Actual Closing Price,Forecast Closing Price
2001-03-26,2739,2536
2001-03-27,2328,2043
2001-03-28,1983,1622
2001-03-29,1738,1270
2001-03-30,1482,1020
2001-04-02,1374,760
2001-04-03,1228,650
2001-04-04,1209,502
2001-04-06,1303,482
2001-04-09,1492,578
2001-04-10,1388,770
2001-04-11,1350,664
2001-04-12,1548,626
2001-04-13,1780,827
2001-04-16,1837,1063
2001-04-17,1563,1121
2001-04-18,1520,842
2001-04-19,1464,798
2001-04-20,1383,741
2001-04-23,1540,659
2001-04-24,1474,819
2001-04-25,1487,752
2001-04-26,1487,765
2001-04-27,1596,765
2001-04-30,1573,876
2001-05-02,1553,852
2001-05-03,1586,832
2001-05-04,1573,866
2001-05-07,1644,852
2001-05-08,1672,925
2001-05-09,1614,953
2001-05-10,1856,894
2001-05-11,1785,1141
2001-05-14,1851,1068
2001-05-15,1941,1136
2001-05-16,1804,1227
2001-05-17,1771,1088
2001-05-18,1756,1054
2001-05-21,1842,1039
2001-05-22,1814,1126
2001-05-23,1842,1098
2001-05-24,1851,1126
2001-05-25,1903,1136
2001-05-28,1903,1189
2001-05-29,1880,1189
2001-05-30,1856,1165
2001-05-31,1756,1141
2001-06-01,1710,1039
2001-06-04,1705,992
2001-06-05,1766,987
2001-06-07,1898,1049
2001-06-08,1983,1183
2001-06-11,2012,1270
2001-06-12,2030,1300
2001-06-13,2049,1318
2001-06-14,2356,1337
2001-06-15,2404,1651
2001-06-18,2762,1700
2001-06-19,3174,2066
2001-06-20,2701,2488
2001-06-21,2786,2004
2001-06-22,2928,2091
2001-06-25,2781,2236
2001-06-26,2417,2086
2001-06-27,2389,1713
2001-06-28,2744,1685
2001-06-29,2767,2048
2001-07-02,2956,2071
2001-07-03,2833,2265
2001-07-04,2946,2139
2001-07-05,2942,2255
2001-07-06,2777,2251
2001-07-09,2361,2082
2001-07-10,2470,1656
2001-07-11,2366,1767
2001-07-12,2531,1661
2001-07-13,2389,1830
2001-07-16,2342,1685
2001-07-18,2247,1637
2001-07-19,2267,1540
2001-07-20,2177,1560
2001-07-23,2049,1468
2001-07-24,2115,1337
2001-07-25,1974,1405
2001-07-26,1941,1261
2001-07-27,1993,1227
2001-07-30,1889,1280
2001-07-31,2172,1174
2001-08-01,2191,1463
2001-08-02,2148,1482
2001-08-03,2134,1438
2001-08-06,2125,1424
2001-08-07,2201,1415
2001-08-08,2224,1493
2001-08-09,2214,1516
2001-08-10,2191,1506
2001-08-13,2313,1482
2001-08-14,2313,1607
2001-08-16,2333,1607
2001-08-17,2257,1627
2001-08-20,2111,1550
2001-08-21,2078,1401
