Date,Actual Closing Price,Forecast Closing Price
2001-11-02,1028,12668
2001-11-05,906,12600
2001-11-06,897,12539
2001-11-07,840,12534
2001-11-08,840,12506
2001-11-09,759,12506
2001-11-12,749,12465
2001-11-13,775,12460
2001-11-14,791,12473
2001-11-15,767,12481
2001-11-16,798,12469
2001-11-19,791,12485
2001-11-20,764,12481
2001-11-21,764,12468
2001-11-22,779,12468
2001-11-23,764,12475
2001-11-26,743,12468
2001-11-27,735,12457
2001-11-28,748,12453
2001-11-29,775,12460
2001-11-30,812,12473
2001-12-03,798,12492
2001-12-04,850,12485
2001-12-05,840,12511
2001-12-06,817,12506
2001-12-07,818,12494
2001-12-10,808,12495
2001-12-11,840,12490
2001-12-12,855,12506
2001-12-13,845,12513
2001-12-14,883,12508
2001-12-17,892,12527
2001-12-18,822,12532
2001-12-19,756,12497
2001-12-20,779,12464
2001-12-21,817,12475
2001-12-24,784,12494
2001-12-26,794,12478
2001-12-27,758,12483
2001-12-28,770,12465
2002-01-02,770,12471
2002-01-03,779,12471
2002-01-04,764,12475
2002-01-07,761,12468
2002-01-08,749,12466
2002-01-09,764,12460
2002-01-10,758,12468
2002-01-11,764,12465
2002-01-14,756,12468
2002-01-15,751,12464
2002-01-16,752,12461
2002-01-17,742,12462
2002-01-18,742,12457
2002-01-21,740,12457
2002-01-22,740,12456
2002-01-23,728,12456
2002-01-24,718,12450
2002-01-25,701,12445
2002-01-28,716,12437
2002-01-29,747,12444
2002-01-30,772,12459
2002-01-31,786,12472
2002-02-01,761,12479
2002-02-04,723,12466
2002-02-05,726,12448
2002-02-06,729,12449
2002-02-07,719,12451
2002-02-08,728,12446
2002-02-14,760,12450
2002-02-15,751,12466
2002-02-18,742,12461
2002-02-19,723,12457
2002-02-20,728,12448
2002-02-21,720,12450
2002-02-22,725,12446
2002-02-25,740,12449
2002-02-26,736,12456
2002-02-27,763,12454
2002-02-28,753,12467
2002-03-04,779,12462
2002-03-05,789,12475
2002-03-06,776,12480
2002-03-07,759,12474
2002-03-08,758,12465
2002-03-11,798,12465
2002-03-12,817,12485
2002-03-13,845,12494
2002-03-14,944,12508
2002-03-15,948,12558
2002-03-18,958,12560
2002-03-19,934,12565
2002-03-20,932,12553
2002-03-21,936,12552
2002-03-22,892,12554
2002-03-25,862,12532
2002-03-26,963,12517
2002-03-27,1075,12567
2002-03-28,1202,12623
2002-03-29,1239,12687
2002-04-01,1094,12705
2002-04-02,1127,12633
2002-04-03,1005,12649
2002-04-04,1033,12588
2002-04-08,1000,12602
2002-04-09,1052,12586
2002-04-10,958,12612
2002-04-11,958,12565
2002-04-12,916,12565
2002-04-15,913,12544
2002-04-16,944,12542
2002-04-17,948,12558
2002-04-18,944,12560
2002-04-19,902,12558
2002-04-22,873,12537
2002-04-23,855,12522
2002-04-24,836,12513
2002-04-25,808,12504
2002-04-26,803,12490
2002-04-29,789,12487
2002-04-30,797,12480
2002-05-02,836,12484
2002-05-03,817,12504
2002-05-06,789,12494
2002-05-07,784,12480
2002-05-08,779,12478
2002-05-09,783,12475
2002-05-10,767,12477
2002-05-13,776,12469
2002-05-14,770,12474
2002-05-15,766,12471
2002-05-16,759,12469
2002-05-17,769,12465
2002-05-20,798,12470
2002-05-21,771,12485
2002-05-22,790,12471
2002-05-23,808,12481
2002-05-24,794,12490
2002-05-27,794,12483
2002-05-28,798,12483
2002-05-29,788,12485
2002-05-30,766,12480
2002-05-31,762,12469
2002-06-03,762,12467
2002-06-04,761,12467
2002-06-05,767,12466
2002-06-07,756,12469
2002-06-10,764,12464
2002-06-11,769,12468
2002-06-12,779,12470
2002-06-14,807,12475
2002-06-17,814,12489
2002-06-18,795,12493
2002-06-19,733,12483
2002-06-20,732,12452
2002-06-21,751,12452
2002-06-24,717,12461
2002-06-25,718,12445
2002-06-26,661,12445
2002-06-27,648,12417
2002-06-28,677,12410
2002-07-02,690,12425
2002-07-03,684,12431
2002-07-04,688,12428
2002-07-05,702,12430
2002-07-08,703,12437
2002-07-09,728,12438
2002-07-10,718,12450
2002-07-11,717,12445
2002-07-12,718,12445
2002-07-15,731,12445
2002-07-16,706,12452
2002-07-18,704,12439
2002-07-19,669,12438
2002-07-22,651,12421
2002-07-23,652,12412
2002-07-24,638,12412
2002-07-25,643,12405
2002-07-26,643,12408
2002-07-29,657,12408
2002-07-30,670,12415
2002-07-31,657,12421
2002-08-01,643,12415
2002-08-02,652,12408
2002-08-05,685,12412
2002-08-06,662,12429
2002-08-07,663,12417
2002-08-08,681,12418
2002-08-09,676,12427
2002-08-12,710,12424
2002-08-13,714,12441
2002-08-14,718,12443
2002-08-16,719,12445
2002-08-19,753,12446
2002-08-20,749,12462
2002-08-21,734,12460
2002-08-22,784,12453
2002-08-23,770,12478
2002-08-26,722,12471
2002-08-27,705,12447
2002-08-28,703,12439
2002-08-29,696,12438
2002-08-30,704,12434
2002-09-02,707,12438
2002-09-03,701,12440
2002-09-04,687,12437
2002-09-05,695,12430
2002-09-06,676,12434
2002-09-09,661,12424
2002-09-10,670,12417
2002-09-11,677,12421
2002-09-12,688,12425
2002-09-13,681,12430
2002-09-16,680,12427
2002-09-17,702,12426
2002-09-18,683,12437
2002-09-19,704,12428
2002-09-23,711,12438
2002-09-24,723,12442
2002-09-25,714,12448
2002-09-26,714,12443
2002-09-27,720,12443
2002-09-30,723,12446
2002-10-01,733,12448
2002-10-02,723,12452
2002-10-04,714,12448
2002-10-07,714,12443
2002-10-08,746,12443
2002-10-09,764,12459
2002-10-10,751,12468
2002-10-11,725,12461
2002-10-14,734,12449
2002-10-15,735,12453
2002-10-16,742,12453
2002-10-17,765,12457
2002-10-18,788,12468
2002-10-21,770,12480
2002-10-22,766,12471
2002-10-23,786,12469
2002-10-24,779,12479
2002-10-25,784,12475
2002-10-28,794,12478
2002-10-29,794,12483
2002-10-30,779,12483
2002-10-31,773,12475
2002-11-01,783,12472
2002-11-04,789,12477
2002-11-05,779,12480
2002-11-06,788,12475
2002-11-07,779,12480
2002-11-08,774,12475
2002-11-11,765,12473
