Date,Actual Closing Price,Forecast Closing Price
2005-12-13,49506,45763
2005-12-14,47326,45721
2005-12-15,46582,43883
2005-12-16,45145,43242
2005-12-19,46334,41984
2005-12-20,46582,43027
2005-12-21,46087,43242
2005-12-22,45195,42812
2005-12-23,45492,42029
2005-12-26,44600,42290
2005-12-27,44650,41501
2005-12-28,46450,41546
2005-12-29,46200,43128
2006-01-02,46550,42910
2006-01-03,45600,43214
2006-01-04,46000,42385
2006-01-05,46000,42736
2006-01-06,47400,42736
2006-01-09,46900,43947
2006-01-10,48000,43517
2006-01-11,47400,44458
2006-01-12,48500,43947
2006-01-13,48350,44881
2006-01-16,47500,44754
2006-01-17,46400,44032
2006-01-18,46400,43084
2006-01-19,46700,43084
2006-01-20,47000,43344
2006-01-23,44950,43603
2006-01-24,46000,41812
2006-01-25,47250,42736
2006-01-26,46000,43818
2006-01-27,47750,42736
2006-01-31,47300,44245
2006-02-01,45750,43861
2006-02-02,45650,42517
2006-02-03,45000,42429
2006-02-06,45050,41856
2006-02-07,45150,41900
2006-02-08,44250,41989
2006-02-09,45350,41189
2006-02-10,45050,42165
2006-02-13,43650,41900
2006-02-14,43000,40650
2006-02-15,41100,40062
2006-02-16,41800,38318
2006-02-17,43650,38965
2006-02-20,42950,40650
2006-02-21,42250,40017
2006-02-22,41250,39378
2006-02-23,42300,38457
2006-02-24,42000,39424
2006-02-27,42100,39149
2006-02-28,41500,39241
2006-03-02,42800,38689
2006-03-03,42800,39881
2006-03-06,44900,39881
2006-03-07,44350,41768
2006-03-08,44150,41278
2006-03-09,43700,41099
2006-03-10,44000,40695
2006-03-13,45600,40965
2006-03-14,46200,42385
2006-03-15,48350,42910
2006-03-16,46750,44754
2006-03-17,44750,43387
2006-03-20,44250,41634
2006-03-21,44800,41189
2006-03-22,45000,41679
2006-03-23,45000,41856
2006-03-24,45750,41856
2006-03-27,46100,42517
2006-03-28,45000,42823
2006-03-29,44850,41856
2006-03-30,44500,41723
2006-03-31,46000,41412
2006-04-03,45800,42736
2006-04-04,45200,42561
2006-04-05,44500,42033
2006-04-06,44750,41412
2006-04-07,44750,41634
2006-04-10,44400,41634
2006-04-11,44150,41323
2006-04-12,43050,41099
2006-04-13,43400,40108
2006-04-14,44950,40425
2006-04-17,44750,41812
2006-04-18,44650,41634
2006-04-19,44100,41546
2006-04-20,43850,41055
2006-04-21,44900,40830
2006-04-24,43750,41768
2006-04-25,44600,40740
2006-04-26,46000,41501
2006-04-27,46800,42736
2006-04-28,46300,43431
2006-05-02,49000,42997
2006-05-03,51500,45300
2006-05-04,50500,47348
2006-05-08,50200,46539
2006-05-09,50700,46294
2006-05-10,50500,46702
2006-05-11,50500,46539
2006-05-12,50500,46539
2006-05-15,48500,46539
2006-05-16,46850,44881
2006-05-17,47300,43474
2006-05-18,47800,43861
2006-05-19,47350,44288
2006-05-22,46550,43904
2006-05-23,45350,43214
2006-05-24,45400,42165
2006-05-25,43100,42209
2006-05-26,44150,40153
2006-05-29,44300,41099
