Date,Actual Closing Price,Forecast Closing Price
2020-10-16,198495,219471
2020-10-19,187110,177042
2020-10-20,180675,168515
2020-10-21,177210,163691
2020-10-22,178200,161093
2020-10-23,170775,161835
2020-10-26,154440,156265
2020-10-27,160875,144003
2020-10-28,156915,148835
2020-10-29,155430,145862
2020-10-30,140580,144747
2020-11-02,142065,133594
2020-11-03,150480,134710
2020-11-04,147510,141030
2020-11-05,162360,138799
2020-11-06,160380,149950
2020-11-09,161370,148463
2020-11-10,166320,149207
2020-11-11,162360,152922
2020-11-12,155925,149950
2020-11-13,158400,145118
2020-11-16,169785,146977
2020-11-17,177705,155523
2020-11-18,179685,161464
2020-11-19,178200,162949
2020-11-20,182655,161835
2020-11-23,178200,165176
2020-11-24,179190,161835
2020-11-25,172260,162578
2020-11-26,174240,157380
2020-11-27,176220,158865
2020-11-30,177705,160350
2020-12-01,179190,161464
2020-12-02,180180,162578
2020-12-03,187605,163320
2020-12-04,185625,168886
2020-12-07,178695,167402
2020-12-08,180180,162207
2020-12-09,178200,163320
2020-12-10,179685,161835
2020-12-11,178695,162949
2020-12-14,173745,162207
2020-12-15,170280,158494
2020-12-16,171270,155894
2020-12-17,159885,156637
2020-12-18,160380,148092
2020-12-21,156915,148463
2020-12-22,152955,145862
2020-12-23,151470,142888
2020-12-24,156420,141773
2020-12-28,154935,145490
2020-12-29,156915,144375
2020-12-30,158400,145862
2021-01-04,156420,146977
2021-01-05,156915,145490
2021-01-06,156915,145862
2021-01-07,155430,145862
2021-01-08,158895,144747
2021-01-11,152955,147348
2021-01-12,151965,142888
2021-01-13,166815,142145
2021-01-14,164340,153294
2021-01-15,155430,151436
2021-01-18,163845,144747
2021-01-19,171765,151064
2021-01-20,174240,157008
2021-01-21,171270,158865
2021-01-22,190575,156637
2021-01-25,201465,171111
2021-01-26,208395,179265
2021-01-27,205425,184449
2021-01-28,217800,182228
2021-01-29,202455,191475
2021-02-01,215325,180006
2021-02-02,230175,189627
2021-02-03,230175,200706
2021-02-04,239085,200706
2021-02-05,240570,207340
2021-02-08,243045,208444
2021-02-09,228690,210284
2021-02-10,229185,199599
2021-02-15,224235,199968
2021-02-16,245520,196278
2021-02-17,246510,212124
2021-02-18,239085,212859
2021-02-19,232155,207340
2021-02-22,224730,202181
2021-02-23,226215,196647
2021-02-24,208890,197754
2021-02-25,209880,184819
2021-02-26,204435,185559
2021-03-02,204930,181487
2021-03-03,210375,181857
2021-03-04,210870,185929
2021-03-05,205425,186299
2021-03-08,205920,182228
2021-03-09,198000,182598
2021-03-10,191070,176672
2021-03-11,209385,171482
2021-03-12,225720,185189
2021-03-15,215820,197385
2021-03-16,216810,189997
2021-03-17,228690,190736
2021-03-18,231660,199599
2021-03-19,223740,201812
2021-03-22,227700,195908
2021-03-23,219780,198861
2021-03-24,216810,192953
2021-03-25,233145,190736
2021-03-26,239580,202918
2021-03-29,234135,207708
2021-03-30,240075,203655
2021-03-31,240570,208076
2021-04-01,236610,208444
2021-04-02,240570,205498
2021-04-05,245520,208444
2021-04-06,256410,212124
2021-04-07,273240,220205
2021-04-08,264330,232655
2021-04-09,255420,226070
2021-04-12,249975,219471
2021-04-13,249975,215432
2021-04-14,233145,215432
2021-04-15,247500,202918
2021-04-16,249000,213594
2021-04-19,241500,214708
2021-04-20,242000,209136
2021-04-21,242000,209507
2021-04-22,255000,209507
2021-04-23,258500,219160
2021-04-26,259000,221754
2021-04-27,256000,222124
2021-04-28,244000,219901
2021-04-29,243500,210994
2021-04-30,243000,210623
2021-05-03,236500,210251
2021-05-04,239500,205416
2021-05-06,251000,207648
2021-05-07,252500,216193
2021-05-10,258500,217306
2021-05-11,259000,221754
2021-05-12,246000,222124
2021-05-13,240500,212480
2021-05-14,242500,208392
2021-05-17,248500,209879
2021-05-18,260500,214337
2021-05-20,266000,223235
2021-05-21,261500,227306
2021-05-24,263500,223976
2021-05-25,260500,225456
2021-05-26,259000,223235
2021-05-27,253000,222124
2021-05-28,261000,217677
2021-05-31,265000,223606
2021-06-01,261000,226566
2021-06-02,263500,223606
2021-06-03,269500,225456
2021-06-04,266000,229893
2021-06-07,265500,227306
2021-06-08,265000,226936
2021-06-09,262000,226566
2021-06-10,272500,224346
2021-06-11,275500,232109
2021-06-14,282000,234323
2021-06-15,289000,239114
2021-06-16,292000,244264
2021-06-17,297000,246469
2021-06-18,313000,250138
2021-06-21,308000,261841
2021-06-22,324500,258190
2021-06-23,321500,270213
2021-06-24,322000,268032
2021-06-25,314000,268396
2021-06-28,312000,262570
2021-06-29,289000,261111
2021-06-30,292500,244264
2021-07-01,302000,246836
2021-07-02,303000,253801
2021-07-05,306500,254533
2021-07-06,302000,257094
2021-07-07,297500,253801
2021-07-08,294000,250504
2021-07-09,308000,247937
2021-07-12,307000,258190
2021-07-13,309000,257459
2021-07-14,319000,258920
2021-07-15,319500,266213
2021-07-16,317500,266577
2021-07-19,315000,265121
2021-07-20,306000,263299
2021-07-21,298500,256728
2021-07-22,301500,251237
2021-07-23,303000,253435
2021-07-26,299000,254533
2021-07-27,298500,251604
2021-07-28,299000,251237
2021-07-29,297000,251604
2021-07-30,289500,250138
2021-08-02,294500,244632
2021-08-03,291500,248304
2021-08-04,295500,246101
2021-08-05,298500,249038
