Date,Actual Closing Price,Forecast Closing Price
1990-01-04,21200,22461
1990-01-05,20400,22625
1990-01-06,20300,21975
1990-01-08,20700,21895
1990-01-09,20800,22217
1990-01-10,20500,22298
1990-01-11,20300,22056
1990-01-12,20300,21895
1990-01-13,20200,21895
1990-01-15,20100,21816
1990-01-16,20000,21736
1990-01-17,19800,21657
1990-01-18,19800,21499
1990-01-19,20200,21499
1990-01-20,20100,21816
1990-01-22,20500,21736
1990-01-23,20100,22056
1990-01-24,20300,21736
1990-01-25,20700,21895
1990-01-29,20400,22217
1990-01-30,20200,21975
1990-01-31,20300,21816
1990-02-01,20100,21895
1990-02-02,20200,21736
1990-02-03,19900,21816
1990-02-05,20100,21578
1990-02-06,20000,21736
1990-02-07,19900,21657
1990-02-08,19800,21578
1990-02-09,19800,21499
1990-02-10,19800,21499
1990-02-12,19700,21499
1990-02-13,19600,21421
1990-02-14,20000,21342
1990-02-15,19700,21657
1990-02-16,19700,21421
1990-02-17,19500,21421
1990-02-19,19300,21264
1990-02-20,19200,21109
1990-02-21,19000,21032
1990-02-22,18900,20879
1990-02-23,18900,20803
1990-02-24,18900,20803
1990-02-26,18600,20803
1990-02-27,19100,20575
1990-02-28,19000,20955
1990-03-02,18808,20879
1990-03-03,18614,20733
1990-03-05,18226,20586
1990-03-06,18032,20296
1990-03-07,17838,20152
1990-03-08,17838,20009
1990-03-09,17741,20009
1990-03-12,17644,19939
1990-03-13,17450,19868
1990-03-14,17547,19727
1990-03-15,17450,19798
1990-03-16,17547,19727
1990-03-17,17547,19798
1990-03-19,17450,19798
1990-03-20,17644,19727
1990-03-21,17450,19868
1990-03-22,17257,19727
1990-03-23,17450,19589
1990-03-24,17257,19727
1990-03-26,16966,19589
1990-03-27,16772,19382
1990-03-28,16481,19245
1990-03-29,16481,19042
1990-03-30,17257,19042
1990-03-31,16966,19589
1990-04-02,16869,19382
1990-04-03,16772,19313
1990-04-04,16675,19245
1990-04-06,16481,19177
1990-04-07,16384,19042
1990-04-09,16287,18975
1990-04-10,16093,18908
1990-04-11,15996,18775
1990-04-12,15802,18709
1990-04-13,15705,18577
1990-04-14,15608,18512
1990-04-16,15221,18447
1990-04-17,15608,18190
1990-04-18,15318,18447
1990-04-19,15221,18254
1990-04-20,15318,18190
1990-04-21,15608,18254
1990-04-23,15511,18447
1990-04-24,15318,18382
1990-04-25,15124,18254
1990-04-26,14639,18127
1990-04-27,15414,17813
1990-04-28,14736,18318
1990-04-30,13960,17875
1990-05-01,14542,17384
1990-05-03,15318,17750
1990-05-04,16093,18254
1990-05-07,16869,18775
1990-05-08,17644,19313
1990-05-09,18226,19868
1990-05-10,17838,20296
1990-05-11,17644,20009
1990-05-12,17063,19868
1990-05-14,16772,19450
1990-05-15,16481,19245
1990-05-16,17257,19042
1990-05-17,18032,19589
1990-05-18,17838,20152
1990-05-19,17547,20009
1990-05-21,17644,19798
1990-05-22,18032,19868
1990-05-23,17935,20152
1990-05-24,18032,20081
1990-05-25,18226,20152
1990-05-26,18032,20296
1990-05-28,18226,20152
1990-05-29,18226,20296
1990-05-30,18032,20296
1990-05-31,18032,20152
1990-06-01,18226,20152
1990-06-02,18226,20296
1990-06-04,18129,20296
1990-06-05,18032,20224
1990-06-07,18129,20152
1990-06-08,18323,20224
1990-06-09,18129,20368
1990-06-11,17935,20224
1990-06-12,17935,20081
1990-06-13,18032,20081
1990-06-14,18129,20152
1990-06-15,18129,20224
1990-06-16,18323,20224
1990-06-18,17935,20368
1990-06-19,17741,20081
1990-06-20,17450,19939
1990-06-21,17547,19727
