Date,Actual Closing Price,Forecast Closing Price
2012-10-05,47800,50078
2012-10-08,49750,49286
2012-10-09,49950,51207
2012-10-10,49750,51402
2012-10-11,50400,51207
2012-10-12,49600,51839
2012-10-15,47950,51060
2012-10-16,47900,49435
2012-10-17,46800,49386
2012-10-18,48300,48289
2012-10-19,48500,49782
2012-10-22,48050,49979
2012-10-23,47600,49534
2012-10-24,46600,49088
2012-10-25,48300,48089
2012-10-26,46700,49782
2012-10-29,43900,48189
2012-10-30,45000,45357
2012-10-31,46000,46476
2012-11-01,44150,47486
2012-11-02,44950,45612
2012-11-05,43350,46425
2012-11-06,45100,44795
2012-11-07,44350,46577
2012-11-08,44850,45816
2012-11-09,43400,46324
2012-11-12,42350,44846
2012-11-13,41150,43768
2012-11-14,40100,42530
2012-11-15,41950,41441
2012-11-16,42700,43356
2012-11-19,41600,44128
2012-11-20,42000,42995
2012-11-21,41450,43408
2012-11-22,41100,42840
2012-11-23,43400,42478
2012-11-26,43650,44846
2012-11-27,44650,45102
2012-11-28,44550,46121
2012-11-29,46400,46019
2012-11-30,45850,47888
2012-12-03,45700,47335
2012-12-04,45600,47184
2012-12-05,48000,47083
2012-12-06,47000,49485
2012-12-07,46950,48489
2012-12-10,46450,48439
2012-12-11,48000,47939
2012-12-12,47950,49485
2012-12-13,47100,49435
2012-12-14,47050,48589
2012-12-17,45200,48539
2012-12-18,46700,46678
2012-12-20,47300,48189
2012-12-21,45500,48789
2012-12-24,46950,46982
2012-12-26,46500,48439
2012-12-27,47100,47989
2012-12-28,47000,48589
2013-01-02,47300,48489
2013-01-03,44400,48789
2013-01-04,44500,45866
2013-01-07,45700,45968
2013-01-08,46650,47184
2013-01-09,46050,48139
2013-01-10,46600,47537
2013-01-11,46550,48089
2013-01-14,44750,48039
2013-01-15,45950,46222
2013-01-16,46450,47436
2013-01-17,46200,47939
2013-01-18,46550,47687
2013-01-21,46050,48039
2013-01-22,46200,47537
2013-01-23,45650,47687
2013-01-24,45900,47133
2013-01-25,45600,47385
2013-01-28,44750,47083
2013-01-29,45250,46222
2013-01-30,44600,46729
2013-01-31,44700,46070
2013-02-01,44600,46171
2013-02-04,43550,46070
2013-02-05,43900,44999
2013-02-06,43250,45357
2013-02-07,43200,44692
2013-02-08,44150,44641
2013-02-12,44450,45612
2013-02-13,44500,45917
2013-02-14,44500,45968
2013-02-15,44350,45968
2013-02-18,44400,45816
2013-02-19,44850,45866
2013-02-20,46550,46324
2013-02-21,46800,48039
2013-02-22,47850,48289
2013-02-25,46700,49336
2013-02-26,47650,48189
2013-02-27,48550,49137
2013-02-28,49300,50029
2013-03-04,49400,50766
2013-03-05,48500,50864
2013-03-06,47700,49979
2013-03-07,47600,49187
2013-03-08,49000,49088
2013-03-11,48250,50472
2013-03-12,48150,49732
2013-03-13,48300,49633
2013-03-14,49400,49782
2013-03-15,48900,50864
2013-03-18,49350,50374
2013-03-19,49350,50815
2013-03-20,48800,50815
2013-03-21,47850,50275
2013-03-22,48800,49336
2013-03-25,49400,50275
2013-03-26,49600,50864
2013-03-27,48000,51060
2013-03-28,48050,49485
2013-03-29,48100,49534
2013-04-01,48100,49584
2013-04-02,48200,49584
2013-04-03,48600,49683
2013-04-04,47500,50078
2013-04-05,46500,48988
2013-04-08,46100,47989
2013-04-09,46350,47587
2013-04-10,47400,47838
2013-04-11,47500,48888
2013-04-12,48200,48988
2013-04-15,46500,49683
2013-04-16,46350,47989
2013-04-17,46950,47838
2013-04-18,46600,48439
2013-04-19,46550,48089
2013-04-22,46900,48039
2013-04-23,47250,48389
2013-04-24,47000,48739
2013-04-25,48100,48489
2013-04-26,49900,49584
2013-04-29,48200,51353
2013-04-30,47900,49683
2013-05-02,49400,49386
2013-05-03,49550,50864
2013-05-06,49800,51011
2013-05-07,48350,51255
2013-05-08,48550,49831
2013-05-09,48800,50029
2013-05-10,48250,50275
2013-05-13,48350,49732
2013-05-14,51300,49831
2013-05-15,49950,52708
2013-05-16,51200,51402
2013-05-20,52800,52612
2013-05-21,53300,54139
2013-05-22,52500,54611
2013-05-23,52900,53855
2013-05-24,53100,54233
2013-05-27,53400,54422
2013-05-28,53100,54705
2013-05-29,52900,54422
2013-05-30,54400,54233
2013-05-31,52800,55639
2013-06-03,52200,54139
2013-06-04,53200,53569
2013-06-05,51600,54516
2013-06-07,50700,52996
2013-06-10,51600,52130
2013-06-11,53000,52996
2013-06-12,52100,54328
2013-06-13,51100,53474
2013-06-14,52900,52516
2013-06-17,52000,54233
2013-06-18,53600,53379
2013-06-19,52500,54892
2013-06-20,52100,53855
2013-06-21,50500,53474
2013-06-24,50600,51936
2013-06-25,49600,52033
2013-06-26,50000,51060
2013-06-27,51300,51450
2013-06-28,52800,52708
2013-07-01,53100,54139
2013-07-02,53500,54422
2013-07-03,53500,54798
2013-07-04,52300,54798
2013-07-05,52300,53665
2013-07-08,51600,53665
2013-07-09,53200,52996
2013-07-10,55400,54516
2013-07-11,56000,56562
2013-07-12,55900,57110
2013-07-15,54800,57019
2013-07-16,56500,56009
2013-07-17,57000,57563
2013-07-18,56500,58014
2013-07-19,58800,57563
2013-07-22,59100,59611
2013-07-23,60000,59874
2013-07-24,59100,60654
2013-07-25,57000,59874
2013-07-26,58700,58014
2013-07-29,57000,59524
2013-07-30,58800,58014
2013-07-31,60200,59611
2013-08-01,60600,60826
2013-08-02,59600,61168
2013-08-05,59000,60308
2013-08-06,58400,59786
2013-08-07,57500,59260
2013-08-08,56900,58462
2013-08-09,58200,57924
2013-08-12,58200,59083
2013-08-13,57300,59083
2013-08-14,57400,58283
2013-08-16,58600,58373
2013-08-19,57500,59436
2013-08-20,56500,58462
2013-08-21,56100,57563
2013-08-22,57500,57201
2013-08-23,58400,58462
2013-08-26,58300,59260
2013-08-27,57000,59172
2013-08-28,57300,58014
2013-08-29,58700,58283
2013-08-30,57600,59524
2013-09-02,60200,58551
2013-09-03,61400,60826
2013-09-04,60300,61847
2013-09-05,62400,60911
2013-09-06,63800,62683
2013-09-09,64900,63831
2013-09-10,63800,64715
2013-09-11,63900,63831
2013-09-12,63200,63912
2013-09-13,63700,63342
2013-09-16,63700,63750
