Date,Actual Closing Price,Forecast Closing Price
2011-07-01,22750,25088
2011-07-04,22850,25491
2011-07-05,24550,25559
2011-07-06,25650,26715
2011-07-07,25400,27472
2011-07-08,26100,27299
2011-07-11,28500,27784
2011-07-12,29300,29464
2011-07-13,25250,30031
2011-07-14,25600,27196
2011-07-15,28600,27437
2011-07-18,29250,29535
2011-07-19,29300,29995
2011-07-20,27750,30031
2011-07-21,27050,28935
2011-07-22,27600,28445
2011-07-25,25600,28830
2011-07-26,26000,27437
2011-07-27,28000,27714
2011-07-28,27200,29111
2011-07-29,27700,28550
2011-08-01,28650,28900
2011-08-02,28200,29570
2011-08-03,28750,29252
2011-08-04,27700,29641
2011-08-05,26100,28900
2011-08-08,23400,27784
2011-08-09,24800,25931
2011-08-10,26100,26887
2011-08-11,28200,27784
2011-08-12,27050,29252
2011-08-16,27800,28445
2011-08-17,30150,28971
2011-08-18,30600,30637
2011-08-19,29200,30960
2011-08-22,29000,29960
2011-08-23,28200,29818
2011-08-24,27300,29252
2011-08-25,26200,28620
2011-08-26,27850,27853
2011-08-29,29000,29006
2011-08-30,29400,29818
2011-08-31,29500,30102
2011-09-01,28700,30173
2011-09-02,31950,29605
2011-09-05,31550,31934
2011-09-06,32650,31644
2011-09-07,33000,32442
2011-09-08,33400,32698
2011-09-09,33450,32990
2011-09-14,30950,33027
2011-09-15,33800,31211
2011-09-16,34350,33283
2011-09-19,33500,33688
2011-09-20,34200,33063
2011-09-21,34000,33578
2011-09-22,34000,33430
2011-09-23,32000,33430
2011-09-26,30150,31970
2011-09-27,32900,30637
2011-09-28,32100,32625
2011-09-29,33600,32042
2011-09-30,35450,33137
2011-10-04,36500,34502
2011-10-05,35850,35284
2011-10-06,31600,34799
2011-10-07,32300,31680
2011-10-10,32250,32188
2011-10-11,33700,32151
2011-10-12,33350,33210
2011-10-13,33500,32953
2011-10-14,33750,33063
2011-10-17,38250,33247
2011-10-18,38350,36599
2011-10-19,39000,36675
2011-10-20,37400,37167
2011-10-21,39900,35959
2011-10-24,39750,37852
2011-10-25,38600,37738
2011-10-26,39200,36864
2011-10-27,39550,37319
2011-10-28,39000,37585
2011-10-31,37400,37167
2011-11-01,37150,35959
2011-11-02,38150,35771
2011-11-03,37500,36524
2011-11-04,38650,36034
2011-11-07,38450,36902
2011-11-08,37350,36750
2011-11-09,38400,35921
