Date,Actual Closing Price,Forecast Closing Price
1990-01-04,376,-9646
1990-01-05,380,-9634
1990-01-06,371,-9630
1990-01-08,383,-9638
1990-01-09,392,-9628
1990-01-10,387,-9621
1990-01-11,378,-9625
1990-01-12,383,-9632
1990-01-13,378,-9628
1990-01-15,376,-9632
1990-01-16,374,-9634
1990-01-17,372,-9635
1990-01-18,372,-9637
1990-01-19,363,-9637
1990-01-20,369,-9644
1990-01-22,383,-9639
1990-01-23,374,-9628
1990-01-24,381,-9635
1990-01-25,383,-9629
1990-01-29,383,-9628
1990-01-30,378,-9628
1990-01-31,381,-9632
1990-02-01,378,-9629
1990-02-02,387,-9632
1990-02-03,383,-9625
1990-02-05,383,-9628
1990-02-06,388,-9628
1990-02-07,388,-9624
1990-02-08,408,-9624
1990-02-09,414,-9608
1990-02-10,412,-9603
1990-02-12,410,-9604
1990-02-13,410,-9606
1990-02-14,410,-9606
1990-02-15,416,-9606
1990-02-16,405,-9601
1990-02-17,412,-9610
1990-02-19,416,-9604
1990-02-20,412,-9601
1990-02-21,410,-9604
1990-02-22,414,-9606
1990-02-23,418,-9603
1990-02-24,416,-9599
1990-02-26,414,-9601
1990-02-27,418,-9603
1990-02-28,421,-9599
1990-03-02,420,-9597
1990-03-03,408,-9598
1990-03-05,409,-9608
1990-03-06,406,-9607
1990-03-07,406,-9609
1990-03-08,400,-9609
1990-03-09,393,-9614
1990-03-12,387,-9620
1990-03-13,381,-9625
1990-03-14,387,-9629
1990-03-15,390,-9625
1990-03-16,396,-9622
1990-03-17,396,-9617
1990-03-19,396,-9617
1990-03-20,397,-9617
1990-03-21,393,-9616
1990-03-22,396,-9620
1990-03-23,396,-9617
1990-03-24,387,-9617
1990-03-26,387,-9625
1990-03-27,379,-9625
1990-03-28,379,-9631
1990-03-29,381,-9631
1990-03-30,381,-9629
1990-03-31,381,-9629
1990-04-02,381,-9629
1990-04-03,381,-9629
1990-04-04,387,-9629
1990-04-06,393,-9625
1990-04-07,387,-9620
1990-04-09,382,-9625
1990-04-10,382,-9629
1990-04-11,382,-9629
1990-04-12,382,-9629
1990-04-13,382,-9629
1990-04-14,382,-9629
1990-04-16,382,-9629
1990-04-17,379,-9629
1990-04-18,379,-9631
1990-04-19,364,-9631
1990-04-20,364,-9643
1990-04-21,364,-9643
1990-04-23,364,-9643
1990-04-24,347,-9643
1990-04-25,362,-9657
1990-04-26,359,-9645
1990-04-27,359,-9647
1990-04-28,359,-9647
1990-04-30,343,-9647
1990-05-01,349,-9660
1990-05-03,365,-9655
1990-05-04,368,-9642
1990-05-07,367,-9640
1990-05-08,364,-9641
1990-05-09,357,-9643
1990-05-10,341,-9649
1990-05-11,341,-9662
1990-05-12,341,-9662
1990-05-14,337,-9662
1990-05-15,352,-9665
1990-05-16,368,-9653
1990-05-17,352,-9640
1990-05-18,347,-9653
1990-05-19,359,-9657
1990-05-21,350,-9647
1990-05-22,352,-9655
1990-05-23,341,-9653
1990-05-24,343,-9662
1990-05-25,343,-9660
1990-05-26,343,-9660
1990-05-28,343,-9660
1990-05-29,343,-9660
1990-05-30,343,-9660
1990-05-31,350,-9660
1990-06-01,359,-9655
1990-06-02,359,-9647
1990-06-04,359,-9647
1990-06-05,359,-9647
1990-06-07,357,-9647
1990-06-08,347,-9649
1990-06-09,347,-9657
1990-06-11,350,-9657
1990-06-12,347,-9655
1990-06-13,347,-9657
1990-06-14,347,-9657
1990-06-15,349,-9657
1990-06-16,349,-9655
1990-06-18,349,-9655
1990-06-19,347,-9655
1990-06-20,347,-9657
1990-06-21,335,-9657
1990-06-22,326,-9667
1990-06-23,328,-9674
1990-06-25,328,-9673
1990-06-26,322,-9673
1990-06-27,322,-9677
1990-06-28,322,-9677
1990-06-29,318,-9677
1990-06-30,318,-9681
1990-07-02,318,-9681
1990-07-03,331,-9681
1990-07-04,331,-9670
1990-07-05,330,-9670
