Date,Actual Closing Price,Forecast Closing Price
1996-08-01,98,1098
1996-08-02,98,1101
1996-08-03,104,1101
1996-08-05,110,1104
1996-08-06,110,1108
1996-08-07,110,1108
1996-08-08,117,1108
1996-08-09,123,1112
1996-08-10,123,1116
1996-08-12,123,1116
1996-08-13,123,1116
1996-08-14,123,1116
1996-08-16,123,1116
1996-08-17,123,1116
1996-08-19,123,1116
1996-08-20,123,1116
1996-08-21,123,1116
1996-08-22,123,1116
1996-08-23,131,1116
1996-08-24,139,1121
1996-08-26,147,1126
1996-08-27,156,1131
1996-08-28,165,1137
1996-08-29,175,1142
1996-08-30,185,1149
1996-08-31,196,1155
1996-09-02,196,1162
1996-09-03,207,1162
1996-09-04,207,1169
1996-09-05,207,1169
1996-09-06,220,1169
1996-09-07,233,1177
1996-09-09,246,1185
1996-09-10,261,1194
1996-09-11,276,1203
1996-09-12,292,1213
1996-09-13,292,1223
1996-09-14,292,1223
1996-09-16,292,1223
1996-09-17,292,1223
1996-09-18,292,1223
1996-09-19,308,1223
1996-09-20,308,1233
1996-09-21,308,1233
1996-09-23,308,1233
1996-09-24,308,1233
1996-09-25,308,1233
1996-09-30,308,1233
1996-10-01,308,1233
1996-10-02,308,1233
1996-10-04,308,1233
1996-10-05,308,1233
1996-10-07,308,1233
1996-10-08,308,1233
1996-10-09,308,1233
1996-10-10,308,1233
1996-10-11,308,1233
1996-10-12,308,1233
1996-10-14,308,1233
1996-10-15,308,1233
1996-10-16,326,1233
1996-10-17,326,1245
1996-10-18,326,1245
1996-10-19,326,1245
1996-10-21,326,1245
1996-10-22,326,1245
1996-10-23,326,1245
1996-10-24,326,1245
1996-10-25,326,1245
1996-10-26,326,1245
1996-10-28,326,1245
1996-10-29,326,1245
1996-10-30,326,1245
1996-10-31,326,1245
1996-11-01,326,1245
1996-11-02,326,1245
1996-11-04,326,1245
1996-11-05,326,1245
1996-11-06,326,1245
1996-11-07,326,1245
1996-11-08,326,1245
1996-11-09,326,1245
1996-11-11,326,1245
1996-11-12,326,1245
1996-11-13,326,1245
1996-11-14,326,1245
1996-11-15,326,1245
1996-11-16,326,1245
1996-11-18,326,1245
1996-11-19,326,1245
1996-11-20,326,1245
1996-11-21,326,1245
1996-11-22,326,1245
1996-11-25,326,1245
1996-11-26,326,1245
1996-11-27,326,1245
1996-11-28,326,1245
1996-11-29,326,1245
1996-11-30,326,1245
1996-12-02,326,1245
1996-12-03,326,1245
1996-12-04,338,1245
1996-12-05,338,1252
1996-12-06,338,1252
1996-12-07,338,1252
1996-12-09,338,1252
1996-12-10,338,1252
1996-12-11,338,1252
1996-12-12,364,1252
1996-12-13,364,1269
1996-12-14,364,1269
1996-12-16,364,1269
1996-12-17,364,1269
1996-12-18,364,1269
1996-12-19,364,1269
1996-12-20,364,1269
1996-12-21,364,1269
1996-12-23,364,1269
1996-12-24,364,1269
1996-12-26,364,1269
1996-12-27,364,1269
1997-01-03,373,1269
1997-01-04,403,1275
1997-01-06,434,1294
1997-01-07,434,1315
1997-01-08,425,1315
1997-01-09,413,1309
1997-01-10,413,1301
1997-01-11,415,1301
1997-01-13,429,1302
1997-01-14,441,1311
1997-01-15,455,1319
1997-01-16,489,1328
1997-01-17,522,1351
1997-01-18,548,1373
1997-01-20,592,1390
1997-01-21,555,1419
1997-01-22,547,1394
1997-01-23,566,1389
1997-01-24,564,1402
1997-01-25,555,1400
1997-01-27,521,1394
1997-01-28,507,1372
1997-01-29,505,1363
1997-01-30,512,1361
1997-01-31,552,1366
1997-02-01,522,1392
1997-02-03,529,1373
1997-02-04,517,1377
1997-02-05,519,1369
1997-02-06,519,1371
1997-02-10,528,1371
1997-02-11,535,1377
1997-02-12,535,1381
1997-02-13,528,1381
1997-02-14,510,1377
1997-02-15,512,1365
1997-02-17,512,1366
1997-02-18,502,1366
1997-02-19,502,1359
1997-02-20,509,1359
1997-02-21,489,1364
1997-02-22,460,1351
1997-02-24,463,1332
1997-02-25,476,1334
1997-02-26,482,1342
1997-02-27,469,1346
1997-02-28,486,1338
1997-03-03,493,1349
1997-03-04,474,1353
1997-03-05,472,1341
1997-03-06,470,1340
1997-03-07,482,1338
1997-03-08,489,1346
1997-03-10,482,1351
1997-03-11,469,1346
1997-03-12,472,1338
1997-03-13,439,1340
1997-03-14,441,1318
1997-03-15,446,1319
1997-03-17,465,1322
1997-03-18,455,1335
1997-03-19,444,1328
1997-03-20,446,1321
1997-03-21,436,1322
1997-03-22,434,1316
1997-03-24,434,1315
1997-03-25,446,1315
1997-03-26,460,1322
1997-03-27,474,1332
1997-03-28,463,1341
1997-03-29,469,1334
1997-03-31,463,1338
1997-04-01,476,1334
1997-04-02,463,1342
1997-04-03,470,1334
1997-04-04,463,1338
1997-04-07,462,1334
1997-04-08,476,1333
1997-04-09,474,1342
1997-04-10,467,1341
1997-04-11,465,1336
1997-04-12,474,1335
1997-04-14,463,1341
1997-04-15,465,1334
1997-04-16,469,1335
1997-04-17,498,1338
1997-04-18,486,1357
1997-04-19,500,1349
1997-04-21,486,1358
1997-04-22,472,1349
1997-04-23,472,1340
1997-04-24,477,1340
1997-04-25,469,1343
1997-04-26,465,1338
1997-04-28,469,1335
1997-04-29,467,1338
1997-04-30,463,1336
1997-05-02,465,1334
1997-05-03,465,1335
1997-05-06,467,1335
1997-05-07,453,1336
1997-05-08,444,1327
1997-05-09,448,1321
1997-05-10,443,1324
1997-05-12,439,1321
1997-05-13,446,1318
1997-05-15,448,1322
1997-05-16,444,1324
1997-05-17,462,1321
1997-05-19,489,1333
1997-05-20,519,1351
1997-05-21,538,1371
1997-05-22,521,1383
1997-05-23,541,1372
1997-05-24,521,1385
1997-05-26,528,1372
1997-05-27,529,1377
1997-05-28,538,1377
1997-05-29,538,1383
1997-05-30,547,1383
1997-05-31,538,1389
1997-06-02,538,1383
1997-06-03,526,1383
1997-06-04,507,1375
1997-06-05,517,1363
1997-06-07,503,1369
1997-06-09,509,1360
1997-06-10,512,1364
