Date,Actual Closing Price,Forecast Closing Price
1990-01-04,14735,14337
1990-01-05,14373,14397
1990-01-06,14373,14034
1990-01-08,14373,14034
1990-01-09,14494,14034
1990-01-10,14312,14156
1990-01-11,14191,13973
1990-01-12,14070,13852
1990-01-13,13949,13731
1990-01-15,13828,13611
1990-01-16,14070,13490
1990-01-17,13828,13731
1990-01-18,13769,13490
1990-01-19,13406,13431
1990-01-20,13527,13068
1990-01-22,13949,13189
1990-01-23,13949,13611
1990-01-24,14131,13611
1990-01-25,14131,13792
1990-01-29,14131,13792
1990-01-30,14010,13792
1990-01-31,14252,13671
1990-02-01,14010,13913
1990-02-02,13769,13671
1990-02-03,13648,13431
1990-02-05,13709,13310
1990-02-06,13889,13371
1990-02-07,13769,13551
1990-02-08,13889,13431
1990-02-09,13769,13551
1990-02-10,13709,13431
1990-02-12,13588,13371
1990-02-13,13648,13250
1990-02-14,13709,13310
1990-02-15,13769,13371
1990-02-16,13828,13431
1990-02-17,13648,13490
1990-02-19,13709,13310
1990-02-20,13828,13371
1990-02-21,13889,13490
1990-02-22,13769,13551
1990-02-23,13709,13431
1990-02-24,13648,13371
1990-02-26,13406,13310
1990-02-27,13709,13068
1990-02-28,13467,13371
1990-03-02,13709,13129
1990-03-03,13709,13371
1990-03-05,13648,13371
1990-03-06,13588,13310
1990-03-07,13527,13250
1990-03-08,13467,13189
1990-03-09,13406,13129
1990-03-12,13588,13068
1990-03-13,13286,13250
1990-03-14,13346,12949
1990-03-15,13346,13009
1990-03-16,13286,13009
1990-03-17,13286,12949
1990-03-19,13467,12949
1990-03-20,13648,13129
1990-03-21,13648,13310
1990-03-22,13588,13310
1990-03-23,13467,13250
1990-03-24,13406,13129
1990-03-26,13346,13068
1990-03-27,13467,13009
1990-03-28,13165,13129
1990-03-29,13104,12828
1990-03-30,13467,12767
1990-03-31,13346,13129
1990-04-02,13346,13009
1990-04-03,13406,13009
1990-04-04,13225,13068
1990-04-06,13286,12888
1990-04-07,13165,12949
1990-04-09,13165,12828
1990-04-10,13104,12828
1990-04-11,13045,12767
1990-04-12,12984,12708
1990-04-13,12803,12648
1990-04-14,12501,12467
1990-04-16,12198,12167
1990-04-17,12440,11866
1990-04-18,12079,12106
1990-04-19,11655,11748
1990-04-20,11534,11327
1990-04-21,11655,11207
1990-04-23,11474,11327
1990-04-24,11595,11147
1990-04-25,11413,11267
1990-04-26,10930,11087
1990-04-27,11173,10609
1990-04-28,10750,10849
1990-04-30,10267,10431
1990-05-01,10750,9954
1990-05-03,11233,10431
1990-05-04,11715,10909
1990-05-07,11715,11386
1990-05-08,11534,11386
1990-05-09,11474,11207
1990-05-10,11112,11147
1990-05-11,10689,10789
1990-05-12,10750,10371
1990-05-14,10629,10431
1990-05-15,10387,10311
1990-05-16,10869,10072
1990-05-17,10991,10549
1990-05-18,11052,10669
1990-05-19,11112,10730
1990-05-21,11173,10789
1990-05-22,11474,10849
1990-05-23,11595,11147
1990-05-24,11595,11267
1990-05-25,11655,11267
1990-05-26,11474,11327
1990-05-28,11413,11147
1990-05-29,11353,11087
1990-05-30,11474,11027
1990-05-31,11534,11147
1990-06-01,11595,11207
1990-06-02,11655,11267
1990-06-04,12139,11327
1990-06-05,11958,11807
1990-06-07,12259,11627
1990-06-08,12259,11926
1990-06-09,12198,11926
1990-06-11,11897,11866
1990-06-12,11958,11567
1990-06-13,12079,11627
1990-06-14,12018,11748
1990-06-15,12198,11687
1990-06-16,12259,11866
1990-06-18,11958,11926
1990-06-19,11837,11627
1990-06-20,11897,11507
1990-06-21,12079,11567
1990-06-22,12139,11748
1990-06-23,12139,11807
1990-06-25,12018,11807
1990-06-26,12018,11687
1990-06-27,12079,11687
1990-06-28,12079,11748
1990-06-29,11534,11748
1990-06-30,11474,11207
1990-07-02,11715,11147
1990-07-03,12198,11386
1990-07-04,11837,11866
1990-07-05,11655,11507
1990-07-06,11534,11327
1990-07-07,11595,11207
1990-07-09,11474,11267
1990-07-10,11534,11147
1990-07-11,11413,11207
1990-07-12,11233,11087
1990-07-13,10930,10909
1990-07-14,10869,10609
1990-07-16,10869,10549
1990-07-18,10930,10549
1990-07-19,10869,10609
1990-07-20,10869,10549
1990-07-21,9964,10549
1990-07-23,9783,9655
1990-07-24,9662,9477
1990-07-25,9844,9358
1990-07-26,9481,9537
1990-07-27,9361,9180
1990-07-28,9301,9062
1990-07-30,9240,9003
1990-07-31,9240,8943
1990-08-01,9481,8943
1990-08-02,9541,9180
1990-08-03,9361,9239
1990-08-04,9179,9062
1990-08-06,8757,8883
1990-08-07,9058,8470
1990-08-08,8878,8765
1990-08-09,8878,8588
1990-08-10,8997,8588
1990-08-11,8938,8705
1990-08-13,8696,8647
1990-08-14,8515,8410
1990-08-16,8456,8233
1990-08-17,8333,8175
1990-08-18,8333,8054
1990-08-20,8152,8054
1990-08-21,7851,7877
1990-08-22,7669,7584
1990-08-23,7307,7406
1990-08-24,7006,7053
1990-08-25,7246,6761
1990-08-27,7609,6994
1990-08-28,7972,7348
1990-08-29,8032,7702
1990-08-30,8212,7760
1990-08-31,7851,7936
1990-09-01,7972,7584
1990-09-03,8333,7702
1990-09-04,8212,8054
1990-09-05,8212,7936
1990-09-06,8212,7936
1990-09-07,8333,7936
1990-09-08,8333,8054
1990-09-10,8456,8054
1990-09-11,8333,8175
1990-09-12,8395,8054
1990-09-13,8456,8115
1990-09-14,8456,8175
1990-09-15,8333,8175
1990-09-17,7972,8054
1990-09-18,8333,7702
1990-09-19,8333,8054
1990-09-20,8333,8054
1990-09-21,8273,8054
1990-09-22,8333,7996
1990-09-24,8333,8054
1990-09-25,8273,8054
1990-09-26,8333,7996
1990-09-27,8333,8054
1990-09-28,8333,8054
1990-09-29,8395,8054
1990-10-05,8757,8115
1990-10-06,8757,8470
1990-10-08,8817,8470
1990-10-10,8636,8528
1990-10-11,8636,8351
1990-10-12,8696,8351
1990-10-13,8456,8410
1990-10-15,8757,8175
1990-10-16,8456,8470
1990-10-17,8575,8175
1990-10-18,8575,8291
1990-10-19,8938,8291
1990-10-20,9301,8647
1990-10-22,9723,9003
1990-10-23,10207,9418
1990-10-24,10689,9895
1990-10-25,10207,10371
1990-10-26,9723,9895
1990-10-27,9240,9418
1990-10-29,9421,8943
1990-10-30,9421,9121
1990-10-31,9240,9121
1990-11-01,9723,8943
1990-11-02,9541,9418
1990-11-03,9240,9239
1990-11-05,9301,8943
1990-11-06,9240,9003
1990-11-07,9361,8943
1990-11-08,9118,9062
1990-11-09,8878,8824
1990-11-10,8878,8588
1990-11-12,8817,8588
1990-11-13,8817,8528
1990-11-14,8757,8528
1990-11-15,8817,8470
1990-11-16,8878,8528
1990-11-17,8817,8588
1990-11-19,8696,8528
1990-11-20,8696,8410
1990-11-21,8696,8410
