Date,Actual Closing Price,Forecast Closing Price
2005-12-27,56200,81064
2005-12-28,59800,84769
2005-12-29,60000,86635
2006-01-02,69000,86739
2006-01-03,79300,91493
2006-01-04,77500,97105
2006-01-05,82400,96110
2006-01-06,83100,98832
2006-01-09,75100,99225
2006-01-10,72500,94793
2006-01-11,72300,93379
2006-01-12,69800,93270
2006-01-13,70500,91922
2006-01-16,71400,92299
2006-01-17,69000,92784
2006-01-18,65500,91493
2006-01-19,65500,89629
2006-01-20,59600,89629
2006-01-23,56700,86530
2006-01-24,55700,85027
2006-01-25,57300,84511
2006-01-26,61000,85337
2006-01-27,66100,87261
2006-01-31,63500,89947
2006-02-01,61500,88572
2006-02-02,62500,87522
2006-02-03,58900,88047
2006-02-06,59800,86166
2006-02-07,58900,86635
2006-02-08,58000,86166
2006-02-09,56900,85699
2006-02-10,56900,85130
2006-02-13,56800,85130
2006-02-14,59000,85078
2006-02-15,58800,86218
2006-02-16,58000,86114
2006-02-17,56200,85699
2006-02-20,54900,84769
2006-02-21,55000,84099
2006-02-22,54500,84151
2006-02-23,56500,83894
2006-02-24,55700,84923
2006-02-27,58700,84511
2006-02-28,59600,86062
2006-03-02,58500,86530
2006-03-03,55400,85959
2006-03-06,56100,84356
2006-03-07,55000,84717
2006-03-08,54200,84151
2006-03-09,55000,83740
2006-03-10,54400,84151
2006-03-13,55100,83842
2006-03-14,57800,84202
2006-03-15,57300,85596
2006-03-16,57600,85337
2006-03-17,56900,85492
2006-03-20,55400,85130
2006-03-21,54600,84356
2006-03-22,54000,83945
2006-03-23,50200,83637
2006-03-24,47000,81698
2006-03-27,39950,80079
2006-03-28,39200,76550
2006-03-29,38000,76178
2006-03-30,38550,75583
2006-03-31,41650,75855
2006-04-03,41600,77397
2006-04-04,44000,77372
2006-04-05,43550,78571
2006-04-06,41950,78346
2006-04-07,40600,77546
2006-04-10,41000,76874
2006-04-11,40400,77073
2006-04-12,39850,76774
2006-04-13,41700,76501
2006-04-14,42400,77422
2006-04-17,41550,77771
2006-04-18,41750,77347
2006-04-19,35500,77447
2006-04-20,35550,74347
2006-04-21,34000,74371
2006-04-24,31850,73607
2006-04-25,33100,72550
2006-04-26,33900,73164
2006-04-27,33500,73558
2006-04-28,33800,73361
2006-05-02,31250,73509
2006-05-03,30700,72256
2006-05-04,35300,71986
2006-05-08,39950,74248
2006-05-09,37950,76550
2006-05-10,36800,75558
2006-05-11,39000,74989
2006-05-12,37900,76079
2006-05-15,36700,75533
2006-05-16,37000,74939
2006-05-17,36300,75088
2006-05-18,34100,74742
2006-05-19,34700,73657
2006-05-22,33000,73952
2006-05-23,32850,73115
2006-05-24,32400,73041
2006-05-25,31850,72820
2006-05-26,33000,72550
2006-05-29,34650,73115
2006-05-30,33900,73928
2006-06-01,33350,73558
2006-06-02,32950,73287
2006-06-05,32100,73091
2006-06-07,30700,72673
2006-06-08,30000,71986
2006-06-09,31700,71643
2006-06-12,31800,72477
2006-06-13,30550,72526
2006-06-14,31100,71912
2006-06-15,31450,72182
2006-06-16,33800,72354
2006-06-19,33150,73509
2006-06-20,31000,73189
2006-06-21,31550,72133
2006-06-22,31050,72403
2006-06-23,31500,72158
2006-06-26,31000,72378
2006-06-27,30950,72133
2006-06-28,33500,72108
2006-06-29,33500,73361
2006-06-30,33650,73361
2006-07-03,32950,73435
2006-07-04,34750,73091
2006-07-05,33750,73977
2006-07-06,32600,73484
2006-07-07,33700,72919
2006-07-10,34400,73460
2006-07-11,35000,73804
2006-07-12,34300,74100
2006-07-13,33550,73755
2006-07-14,32250,73386
2006-07-18,31000,72747
2006-07-19,30750,72133
2006-07-20,31650,72010
2006-07-21,32400,72452
2006-07-24,32750,72820
2006-07-25,32350,72992
2006-07-26,32750,72796
2006-07-27,32650,72992
2006-07-28,31900,72943
2006-07-31,31750,72575
2006-08-01,31600,72501
2006-08-02,31950,72427
2006-08-03,32150,72599
2006-08-04,32400,72697
2006-08-07,32000,72820
2006-08-08,31800,72624
2006-08-09,31950,72526
2006-08-10,31400,72599
2006-08-11,31800,72329
2006-08-14,31800,72526
2006-08-16,31800,72526
2006-08-17,32650,72526
2006-08-18,32500,72943
2006-08-21,31650,72869
2006-08-22,31750,72452
2006-08-23,31800,72501
2006-08-24,31300,72526
2006-08-25,31250,72280
2006-08-28,31100,72256
2006-08-29,31200,72182
2006-08-30,31100,72231
2006-08-31,31650,72182
2006-09-01,34550,72452
2006-09-04,34350,73878
2006-09-05,35250,73780
2006-09-06,35100,74223
2006-09-07,34500,74149
2006-09-08,35900,73854
2006-09-11,32650,74544
2006-09-12,31850,72943
2006-09-13,31750,72550
2006-09-14,32350,72501
2006-09-15,32650,72796
2006-09-18,32950,72943
2006-09-19,33150,73091
2006-09-20,32850,73189
2006-09-21,32950,73041
2006-09-22,31950,73091
2006-09-25,31800,72599
2006-09-26,31400,72526
2006-09-27,31300,72329
2006-09-28,31450,72280
2006-09-29,32500,72354
2006-10-02,32000,72869
2006-10-04,31400,72624
2006-10-09,28900,72329
2006-10-10,29400,71104
2006-10-11,28650,71349
2006-10-12,29000,70982
2006-10-13,29900,71153
2006-10-16,29700,71594
2006-10-17,29100,71496
2006-10-18,29200,71202
2006-10-19,28950,71251
2006-10-20,29150,71129
2006-10-23,29700,71226
2006-10-24,29650,71496
2006-10-25,29500,71471
2006-10-26,29600,71398
2006-10-27,29500,71447
2006-10-30,29300,71398
2006-10-31,29450,71300
2006-11-01,30300,71373
2006-11-02,30150,71790
2006-11-03,30050,71716
2006-11-06,30000,71667
2006-11-07,30200,71643
2006-11-08,29850,71741
2006-11-09,30000,71569
2006-11-10,29900,71643
2006-11-13,29700,71594
2006-11-14,30200,71496
2006-11-15,30600,71741
2006-11-16,31750,71937
2006-11-17,31800,72501
2006-11-20,31100,72526
2006-11-21,30800,72182
2006-11-22,31150,72035
2006-11-23,30700,72207
2006-11-24,30950,71986
2006-11-27,30800,72108
2006-11-28,30400,72035
2006-11-29,30400,71839
2006-11-30,30400,71839
2006-12-01,30450,71839
2006-12-04,29900,71863
2006-12-05,29850,71594
2006-12-06,29250,71569
2006-12-07,29300,71275
2006-12-08,28800,71300
2006-12-11,28800,71055
2006-12-12,28650,71055
2006-12-13,28900,70982
2006-12-14,29300,71104
2006-12-15,29450,71300
2006-12-18,29950,71373
2006-12-19,29600,71618
2006-12-20,29500,71447
2006-12-21,29050,71398
2006-12-22,29200,71177
2006-12-26,28650,71251
2006-12-27,28050,70982
2006-12-28,28050,70688
2007-01-02,27650,70688
2007-01-03,27550,70493
2007-01-04,27000,70444
2007-01-05,26500,70175
2007-01-08,26800,69931
2007-01-09,26350,70077
2007-01-10,25200,69858
2007-01-11,25450,69296
2007-01-12,25550,69418
2007-01-15,25350,69467
2007-01-16,25500,69369
2007-01-17,25450,69443
2007-01-18,24650,69418
2007-01-19,23200,69028
2007-01-22,21600,68321
2007-01-23,21500,67542
2007-01-24,22200,67493
2007-01-25,23100,67834
2007-01-26,24000,68272
2007-01-29,24000,68711
2007-01-30,24450,68711
2007-01-31,24950,68930
2007-02-01,25550,69174
2007-02-02,27000,69467
2007-02-05,26800,70175
2007-02-06,25600,70077
2007-02-07,26200,69491
2007-02-08,26800,69784
2007-02-09,26800,70077
2007-02-12,25800,70077
2007-02-13,26200,69589
2007-02-14,26000,69784
2007-02-15,25450,69687
2007-02-16,25550,69418
2007-02-20,25900,69467
2007-02-21,25800,69638
2007-02-22,26100,69589
2007-02-23,26950,69735
2007-02-26,27450,70151
2007-02-27,27050,70395
2007-02-28,26350,70199
2007-03-02,26000,69858
2007-03-05,25100,69687
2007-03-06,25700,69247
2007-03-07,25900,69540
2007-03-08,26850,69638
2007-03-09,27000,70102
2007-03-12,27350,70175
2007-03-13,27100,70346
2007-03-14,26800,70224
2007-03-15,27100,70077
2007-03-16,27200,70224
2007-03-19,27450,70273
2007-03-20,27250,70395
2007-03-21,26950,70297
2007-03-22,26900,70151
2007-03-23,26250,70126
2007-03-26,26200,69809
2007-03-27,26000,69784
2007-03-28,27000,69687
2007-03-29,28500,70175
2007-03-30,28200,70908
2007-04-02,29650,70762
2007-04-03,31000,71471
2007-04-04,31600,72133
2007-04-05,30750,72427
2007-04-06,30650,72010
2007-04-09,30400,71961
2007-04-10,30300,71839
2007-04-11,30650,71790
2007-04-12,30650,71961
2007-04-13,30550,71961
2007-04-16,30200,71912
2007-04-17,29700,71741
2007-04-18,29900,71496
2007-04-19,28900,71594
2007-04-20,28950,71104
2007-04-23,28400,71129
2007-04-24,28200,70859
2007-04-25,27750,70762
2007-04-26,28300,70542
2007-04-27,27400,70810
2007-04-30,27850,70370
2007-05-02,28450,70590
2007-05-03,28350,70884
2007-05-04,28600,70835
2007-05-07,28100,70957
2007-05-08,27750,70713
2007-05-09,27500,70542
2007-05-10,29200,70419
2007-05-11,33550,71251
2007-05-14,38150,73386
2007-05-15,35000,75657
2007-05-16,36700,74100
2007-05-17,37400,74939
2007-05-18,39450,75286
2007-05-21,40250,76302
2007-05-22,40350,76700
2007-05-23,43000,76749
2007-05-25,46500,78071
2007-05-28,47000,79827
2007-05-29,45700,80079
2007-05-30,48450,79424
2007-05-31,48000,80811
2007-06-01,44650,80584
2007-06-04,43600,78897
2007-06-05,44350,78371
2007-06-07,44600,78747
2007-06-08,43100,78872
2007-06-11,45400,78121
2007-06-12,45200,79274
2007-06-13,43650,79173
2007-06-14,43900,78396
2007-06-15,43200,78521
2007-06-18,42800,78171
2007-06-19,41000,77971
2007-06-20,43400,77073
2007-06-21,43600,78271
2007-06-22,42100,78371
2007-06-25,41350,77621
2007-06-26,40000,77247
2007-06-27,40100,76575
2007-06-28,41100,76625
2007-06-29,41550,77123
2007-07-02,45950,77347
2007-07-03,48500,79550
2007-07-04,49950,80836
2007-07-05,49500,81571
2007-07-06,56000,81343
2007-07-09,58000,84665
2007-07-10,57000,85699
2007-07-11,56000,85182
2007-07-12,58300,84665
2007-07-13,58500,85855
2007-07-16,58500,85959
2007-07-18,59800,85959
2007-07-19,60200,86635
2007-07-20,61300,86843
2007-07-23,61400,87418
2007-07-24,61900,87470
2007-07-25,61600,87732
2007-07-26,61000,87575
2007-07-27,58500,87261
2007-07-30,58000,85959
2007-07-31,61200,85699
2007-08-01,59900,87365
2007-08-02,62900,86687
2007-08-03,63900,88257
2007-08-06,64500,88783
2007-08-07,65000,89100
2007-08-08,65000,89364
2007-08-09,64800,89364
2007-08-10,63200,89258
2007-08-13,61400,88414
2007-08-14,60000,87470
2007-08-16,51000,86739
2007-08-17,48500,82105
2007-08-20,54900,80836
2007-08-21,55900,84099
2007-08-22,57800,84614
2007-08-23,59300,85596
2007-08-24,58000,86374
2007-08-27,58000,85699
2007-08-28,58000,85699
2007-08-29,58300,85699
2007-08-30,58300,85855
2007-08-31,58500,85855
2007-09-03,57400,85959
2007-09-04,56100,85388
2007-09-05,56500,84717
2007-09-06,58900,84923
2007-09-07,57300,86166
2007-09-10,54500,85337
2007-09-11,52600,83894
2007-09-12,52500,82921
2007-09-13,53600,82870
2007-09-14,54700,83432
2007-09-17,55100,83997
2007-09-18,57200,84202
2007-09-19,58000,85285
2007-09-20,56800,85699
2007-09-21,58700,85078
2007-09-27,58200,86062
2007-09-28,60000,85803
2007-10-01,62900,86739
2007-10-02,63500,88257
2007-10-04,64400,88572
2007-10-05,63000,89047
2007-10-08,61500,88309
2007-10-09,61500,87522
2007-10-10,60800,87522
2007-10-11,65900,87156
2007-10-12,67200,89841
2007-10-15,69400,90532
2007-10-16,70100,91708
2007-10-17,74900,92084
2007-10-18,77500,94684
2007-10-19,76000,96110
2007-10-22,71300,95286
2007-10-23,73000,92730
2007-10-24,72800,93650
2007-10-25,76900,93541
2007-10-26,80400,95780
2007-10-29,80200,97716
2007-10-30,78900,97604
2007-10-31,78900,96883
2007-11-01,75500,96883
2007-11-02,75200,95012
2007-11-05,75500,94848
2007-11-06,78600,95012
2007-11-07,77900,96717
2007-11-08,74000,96331
2007-11-09,70800,94193
2007-11-12,66000,92460
2007-11-13,67000,89894
2007-11-14,66800,90425
2007-11-15,66000,90319
2007-11-16,65500,89894
2007-11-19,66000,89629
2007-11-20,65000,89894
2007-11-21,63300,89364
2007-11-22,60000,88467
2007-11-23,57100,86739
2007-11-26,60300,85233
2007-11-27,60200,86895
2007-11-28,59500,86843
2007-11-29,59500,86478
2007-11-30,63400,86478
2007-12-03,63000,88520
2007-12-04,62800,88309
2007-12-05,63500,88204
2007-12-06,64100,88572
2007-12-07,63000,88889
2007-12-10,59000,88309
2007-12-11,58300,86218
2007-12-12,56600,85855
2007-12-13,59900,84975
2007-12-14,65000,86687
2007-12-17,61600,89364
2007-12-18,62900,87575
2007-12-20,59900,88257
2007-12-21,59500,86687
2007-12-24,62400,86478
2007-12-26,60600,87994
2007-12-27,62000,87052
2007-12-28,63500,87784
2008-01-02,61100,88572
2008-01-03,61600,87313
2008-01-04,64300,87575
2008-01-07,63400,88994
2008-01-08,64000,88520
2008-01-09,62900,88836
2008-01-10,62200,88257
2008-01-11,60900,87889
2008-01-14,59000,87208
2008-01-15,54400,86218
2008-01-16,50000,83842
2008-01-17,50000,81597
2008-01-18,50000,81597
2008-01-21,48500,81597
2008-01-22,47500,80836
2008-01-23,50300,80331
2008-01-24,57500,81749
2008-01-25,58700,85440
2008-01-28,58300,86062
2008-01-29,56500,85855
2008-01-30,55900,84923
2008-01-31,57800,84614
2008-02-01,55800,85596
2008-02-04,55600,84562
2008-02-05,55800,84459
2008-02-11,56400,84562
2008-02-12,56500,84872
2008-02-13,57000,84923
2008-02-14,58000,85182
2008-02-15,57500,85699
2008-02-18,57100,85440
2008-02-19,57500,85233
2008-02-20,55000,85440
2008-02-21,54600,84151
2008-02-22,53600,83945
2008-02-25,55000,83432
2008-02-26,53600,84151
2008-02-27,53400,83432
2008-02-28,54000,83330
2008-02-29,53900,83637
2008-03-03,53300,83586
2008-03-04,52100,83279
2008-03-05,51800,82665
2008-03-06,51400,82512
2008-03-07,49900,82309
2008-03-10,47700,81546
2008-03-11,47550,80432
2008-03-12,50800,80356
2008-03-13,48050,82003
2008-03-14,48050,80609
2008-03-17,49400,80609
2008-03-18,52500,81292
2008-03-19,54100,82870
2008-03-20,55100,83689
2008-03-21,56000,84202
2008-03-24,55300,84665
2008-03-25,55300,84305
2008-03-26,57100,84305
2008-03-27,56400,85233
2008-03-28,55800,84872
2008-03-31,55800,84562
2008-04-01,54700,84562
2008-04-02,55500,83997
2008-04-03,55200,84408
2008-04-04,54200,84254
2008-04-07,54900,83740
2008-04-08,54500,84099
2008-04-10,56000,83894
2008-04-11,58100,84665
2008-04-14,59100,85751
2008-04-15,59100,86270
2008-04-16,59000,86270
2008-04-17,59800,86218
2008-04-18,58800,86635
2008-04-21,60800,86114
2008-04-22,60500,87156
2008-04-23,61600,87000
2008-04-24,60800,87575
2008-04-25,64900,87156
2008-04-28,63600,89311
2008-04-29,64000,88625
2008-04-30,64900,88836
2008-05-02,64600,89311
2008-05-06,63300,89153
2008-05-07,64700,88467
2008-05-08,64900,89205
2008-05-09,63000,89311
2008-05-13,65400,88309
2008-05-14,67600,89576
2008-05-15,68000,90745
2008-05-16,68300,90959
2008-05-19,66700,91119
2008-05-20,66800,90266
2008-05-21,62700,90319
2008-05-22,61600,88152
2008-05-23,62700,87575
2008-05-26,61000,88152
2008-05-27,63200,87261
2008-05-28,63100,88414
2008-05-29,63400,88362
2008-05-30,62800,88520
2008-06-02,63500,88204
2008-06-03,60600,88572
2008-06-04,62000,87052
2008-06-05,61500,87784
2008-06-09,60500,87522
2008-06-10,57800,87000
2008-06-11,60500,85596
2008-06-12,61100,87000
2008-06-13,60000,87313
2008-06-16,62400,86739
2008-06-17,63000,87994
2008-06-18,62400,88309
2008-06-19,61100,87994
2008-06-20,61000,87313
2008-06-23,61700,87261
2008-06-24,62500,87627
2008-06-25,63300,88047
2008-06-26,62700,88467
2008-06-27,61600,88152
2008-06-30,61200,87575
2008-07-01,60300,87365
2008-07-02,57900,86895
2008-07-03,61500,85647
2008-07-04,60500,87522
2008-07-07,59200,87000
2008-07-08,57800,86322
2008-07-09,56100,85596
2008-07-10,57100,84717
2008-07-11,60000,85233
2008-07-14,58900,86739
2008-07-15,55300,86166
2008-07-16,59400,84305
2008-07-17,60400,86426
2008-07-18,60000,86947
2008-07-21,60900,86739
2008-07-22,61400,87208
2008-07-23,63000,87470
2008-07-24,63700,88309
2008-07-25,63100,88678
2008-07-28,65100,88362
2008-07-29,64600,89417
2008-07-30,64900,89153
2008-07-31,66300,89311
2008-08-01,66100,90053
2008-08-04,64700,89947
2008-08-05,66400,89205
2008-08-06,66900,90106
2008-08-07,66800,90372
2008-08-08,66800,90319
2008-08-11,68100,90319
2008-08-12,68500,91012
2008-08-13,68200,91226
2008-08-14,68100,91065
2008-08-18,65600,91012
2008-08-19,65800,89682
2008-08-20,66700,89788
2008-08-21,65800,90266
2008-08-22,64900,89788
2008-08-25,66600,89311
2008-08-26,67100,90213
2008-08-27,67900,90479
2008-08-28,67000,90905
2008-08-29,68000,90425
2008-09-01,65400,90959
2008-09-02,64500,89576
2008-09-03,64500,89100
2008-09-04,64500,89100
2008-09-05,64600,89100
2008-09-08,65800,89153
2008-09-09,65800,89788
2008-09-10,66000,89788
2008-09-11,68400,89894
2008-09-12,68500,91172
2008-09-16,64400,91226
2008-09-17,66800,89047
2008-09-18,66500,90319
2008-09-19,66200,90159
2008-09-22,64800,90000
2008-09-23,64800,89258
2008-09-24,66000,89258
2008-09-25,66300,89894
2008-09-26,65700,90053
2008-09-29,66700,89735
2008-09-30,67000,90266
2008-10-01,67300,90425
2008-10-02,67500,90585
2008-10-06,65300,90692
2008-10-07,66400,89523
2008-10-08,64500,90106
2008-10-09,63400,89100
2008-10-10,65000,88520
2008-10-13,64600,89364
2008-10-14,64100,89153
2008-10-15,62700,88889
2008-10-16,58000,88152
2008-10-17,57900,85699
2008-10-20,56400,85647
2008-10-21,55700,84872
2008-10-22,52900,84511
2008-10-23,52900,83074
2008-10-24,45000,83074
2008-10-27,45500,79073
2008-10-28,52300,79324
2008-10-29,47000,82767
2008-10-30,54000,80079
2008-10-31,56700,83637
2008-11-03,57900,85027
2008-11-04,56600,85647
2008-11-05,55000,84975
2008-11-06,50500,84151
2008-11-07,52000,81851
2008-11-10,50000,82614
2008-11-11,50100,81597
2008-11-12,49500,81647
2008-11-13,47500,81343
2008-11-14,47900,80331
2008-11-17,46900,80533
2008-11-18,46900,80029
2008-11-19,46100,80029
2008-11-20,45000,79626
2008-11-21,51700,79073
2008-11-24,50500,82461
2008-11-25,48000,81851
2008-11-26,45000,80584
2008-11-27,46100,79073
2008-11-28,46100,79626
2008-12-01,43800,79626
2008-12-02,39000,78471
2008-12-03,37550,76079
2008-12-04,39350,75360
2008-12-05,41100,76252
2008-12-08,45200,77123
2008-12-09,42000,79173
2008-12-10,44300,77571
2008-12-11,43500,78722
2008-12-12,42350,78321
2008-12-15,44500,77746
2008-12-16,46900,78822
2008-12-17,46500,80029
2008-12-18,47900,79827
2008-12-19,47500,80533
2008-12-22,47000,80331
2008-12-23,44000,80079
2008-12-24,42800,78571
2008-12-26,42000,77971
2008-12-29,43750,77571
2008-12-30,46700,78446
2009-01-02,45500,79928
2009-01-05,45500,79324
2009-01-06,45500,79324
2009-01-07,45650,79324
2009-01-08,43950,79399
2009-01-09,44750,78546
2009-01-12,43250,78947
2009-01-13,42500,78196
2009-01-14,44750,77821
2009-01-15,42800,78947
2009-01-16,42400,77971
2009-01-19,42900,77771
2009-01-20,42800,78021
2009-01-21,43900,77971
2009-01-22,43600,78521
2009-01-23,44100,78371
2009-01-28,48500,78621
2009-01-29,48000,80836
2009-01-30,48800,80584
2009-02-02,48700,80988
2009-02-03,49400,80938
2009-02-04,51000,81292
2009-02-05,49700,82105
2009-02-06,48400,81444
2009-02-09,48400,80786
