Date,Actual Closing Price,Forecast Closing Price
1990-01-04,30100,48540
1990-01-05,29000,48205
1990-01-06,29000,47590
1990-01-08,29000,47590
1990-01-09,28500,47590
1990-01-10,29100,47311
1990-01-11,28300,47646
1990-01-12,28600,47199
1990-01-13,28700,47367
1990-01-15,28700,47422
1990-01-16,28200,47422
1990-01-17,27800,47143
1990-01-18,27900,46920
1990-01-19,28000,46976
1990-01-20,28300,47032
1990-01-22,28500,47199
1990-01-23,28700,47311
1990-01-24,29200,47422
1990-01-25,29400,47702
1990-01-29,29500,47813
1990-01-30,29500,47869
1990-01-31,28900,47869
1990-02-01,28900,47534
1990-02-02,28300,47534
1990-02-03,28100,47199
1990-02-05,28100,47088
1990-02-06,28400,47088
1990-02-07,28300,47255
1990-02-08,28400,47199
1990-02-09,28500,47255
1990-02-10,28500,47311
1990-02-12,28300,47311
1990-02-13,28300,47199
1990-02-14,28400,47199
1990-02-15,28200,47255
1990-02-16,28100,47143
1990-02-17,28100,47088
1990-02-19,28000,47088
1990-02-20,28000,47032
1990-02-21,28000,47032
1990-02-22,28300,47032
1990-02-23,28000,47199
1990-02-24,28000,47032
1990-02-26,27400,47032
1990-02-27,28000,46697
1990-02-28,28200,47032
1990-03-02,13164,47143
1990-03-03,12849,38781
1990-03-05,12894,38606
1990-03-06,12984,38631
1990-03-07,12984,38681
1990-03-08,12894,38681
1990-03-09,12849,38631
1990-03-12,12623,38606
1990-03-13,12398,38480
1990-03-14,12398,38354
1990-03-15,12398,38354
1990-03-16,12398,38354
1990-03-17,12308,38354
1990-03-19,12533,38304
1990-03-20,12759,38429
1990-03-21,12714,38555
1990-03-22,12533,38530
1990-03-23,12533,38429
1990-03-24,12398,38429
1990-03-26,12353,38354
1990-03-27,12353,38329
1990-03-28,12172,38329
1990-03-29,12082,38228
1990-03-30,12308,38178
1990-03-31,12172,38304
1990-04-02,12263,38228
1990-04-03,12623,38279
1990-04-04,12668,38480
1990-04-06,12533,38505
1990-04-07,12398,38429
1990-04-09,12398,38354
1990-04-10,12172,38354
1990-04-11,12172,38228
1990-04-12,12218,38228
1990-04-13,12037,38254
1990-04-14,11947,38152
1990-04-16,11812,38102
1990-04-17,11902,38027
1990-04-18,11947,38077
1990-04-19,11496,38102
1990-04-20,11181,37850
1990-04-21,11631,37674
1990-04-23,11541,37926
1990-04-24,11136,37875
1990-04-25,11045,37649
1990-04-26,10595,37598
1990-04-27,11045,37346
1990-04-28,11000,37598
1990-04-30,10549,37573
1990-05-01,11000,37321
1990-05-03,11451,37573
1990-05-04,11902,37825
1990-05-07,11947,38077
1990-05-08,11857,38102
1990-05-09,11722,38052
1990-05-10,11677,37977
1990-05-11,11541,37951
1990-05-12,11631,37875
1990-05-14,11406,37926
1990-05-15,11271,37800
1990-05-16,11722,37724
1990-05-17,11947,37977
1990-05-18,12037,38102
1990-05-19,12037,38152
1990-05-21,11722,38152
1990-05-22,12082,37977
1990-05-23,12127,38178
1990-05-24,12037,38203
1990-05-25,12037,38152
1990-05-26,12037,38152
1990-05-28,12037,38152
1990-05-29,12127,38152
1990-05-30,12533,38203
1990-05-31,12172,38429
1990-06-01,12353,38228
1990-06-02,12398,38329
1990-06-04,12578,38354
1990-06-05,12443,38454
1990-06-07,12533,38379
1990-06-08,12668,38429
1990-06-09,12668,38505
1990-06-11,12578,38505
1990-06-12,12488,38454
1990-06-13,12488,38404
1990-06-14,12488,38404
1990-06-15,12488,38404
1990-06-16,12578,38404
1990-06-18,12623,38454
1990-06-19,12488,38480
1990-06-20,12398,38404
1990-06-21,12533,38354
1990-06-22,12623,38429
1990-06-23,12218,38480
1990-06-25,12398,38254
1990-06-26,12533,38354
1990-06-27,12398,38429
1990-06-28,12488,38354
1990-06-29,12533,38404
1990-06-30,12533,38429
1990-07-02,12578,38429
1990-07-03,13029,38454
1990-07-04,12984,38706
1990-07-05,13029,38681
1990-07-06,13029,38706
1990-07-07,12714,38706
1990-07-09,12849,38530
1990-07-10,12894,38606
1990-07-11,12714,38631
1990-07-12,12668,38530
1990-07-13,12353,38505
1990-07-14,11902,38329
1990-07-16,11902,38077
1990-07-18,12037,38077
1990-07-19,11722,38152
1990-07-20,11496,37977
1990-07-21,11361,37850
