Date,Actual Closing Price,Forecast Closing Price
1990-01-04,29600,76479
1990-01-05,29000,76743
1990-01-06,28900,76346
1990-01-08,29300,76279
1990-01-09,29500,76545
1990-01-10,29200,76677
1990-01-11,28800,76479
1990-01-12,28900,76212
1990-01-13,28600,76279
1990-01-15,28400,76077
1990-01-16,28400,75942
1990-01-17,28200,75942
1990-01-18,28100,75806
1990-01-19,27900,75738
1990-01-20,28000,75601
1990-01-22,28700,75669
1990-01-23,28900,76145
1990-01-24,29900,76279
1990-01-25,29600,76939
1990-01-29,29300,76743
1990-01-30,29000,76545
1990-01-31,29000,76346
1990-02-01,28400,76346
1990-02-02,28000,75942
1990-02-03,27900,75669
1990-02-05,28100,75601
1990-02-06,28800,75738
1990-02-07,28700,76212
1990-02-08,29000,76145
1990-02-09,28800,76346
1990-02-10,28500,76212
1990-02-12,28200,76010
1990-02-13,28300,75806
1990-02-14,28600,75874
1990-02-15,29000,76077
1990-02-16,28900,76346
1990-02-17,28500,76279
1990-02-19,28600,76010
1990-02-20,28700,76077
1990-02-21,28800,76145
1990-02-22,28700,76212
1990-02-23,28300,76145
1990-02-24,28200,75874
1990-02-26,27900,75806
1990-02-27,28600,75601
1990-02-28,28200,76077
1990-03-02,16908,75806
1990-03-03,16849,66722
1990-03-05,16673,66666
1990-03-06,16614,66498
1990-03-07,16496,66442
1990-03-08,16378,66329
1990-03-09,16437,66216
1990-03-12,16437,66273
1990-03-13,16201,66273
1990-03-14,16201,66045
1990-03-15,16378,66045
1990-03-16,16496,66216
1990-03-17,16260,66329
1990-03-19,16496,66102
1990-03-20,16790,66329
1990-03-21,16790,66610
1990-03-22,16790,66610
1990-03-23,16673,66610
1990-03-24,16614,66498
1990-03-26,16555,66442
1990-03-27,16437,66386
1990-03-28,16201,66273
1990-03-29,16260,66045
1990-03-30,16790,66102
1990-03-31,16790,66610
1990-04-02,16614,66610
1990-04-03,16614,66442
1990-04-04,16319,66442
1990-04-06,16142,66159
1990-04-07,16142,65988
1990-04-09,16024,65988
1990-04-10,15789,65874
1990-04-11,15848,65644
1990-04-12,15612,65702
1990-04-13,15376,65471
1990-04-14,14964,65238
1990-04-16,14611,64827
1990-04-17,14964,64471
1990-04-18,14728,64827
1990-04-19,14375,64589
1990-04-20,14316,64230
1990-04-21,14611,64170
1990-04-23,14493,64471
1990-04-24,14198,64351
1990-04-25,13904,64049
1990-04-26,13314,63746
1990-04-27,13786,63129
1990-04-28,13197,63623
1990-04-30,12607,63006
1990-05-01,13197,62376
1990-05-03,13786,63006
1990-05-04,14375,63623
1990-05-07,14257,64230
1990-05-08,14316,64110
1990-05-09,14198,64170
1990-05-10,13609,64049
1990-05-11,13314,63439
1990-05-12,13138,63129
1990-05-14,12902,62943
1990-05-15,12607,62692
1990-05-16,13197,62376
1990-05-17,13491,63006
1990-05-18,13550,63315
1990-05-19,13373,63377
1990-05-21,13550,63191
1990-05-22,13962,63377
1990-05-23,14021,63806
1990-05-24,14021,63867
1990-05-25,14139,63867
1990-05-26,13904,63988
1990-05-28,13727,63746
1990-05-29,13962,63562
1990-05-30,14139,63806
1990-05-31,14434,63988
1990-06-01,14375,64291
1990-06-02,14375,64230
1990-06-04,14669,64230
1990-06-05,14669,64529
1990-06-07,14552,64529
1990-06-08,14611,64411
1990-06-09,14611,64471
1990-06-11,14257,64471
1990-06-12,14139,64110
1990-06-13,14021,63988
1990-06-14,13668,63867
1990-06-15,13786,63500
1990-06-16,13845,63623
1990-06-18,13668,63685
1990-06-19,13550,63500
1990-06-20,13314,63377
1990-06-21,13373,63129
1990-06-22,13432,63191
1990-06-23,13373,63253
1990-06-25,13255,63191
1990-06-26,13138,63067
1990-06-27,13020,62943
1990-06-28,12843,62818
1990-06-29,12843,62629
1990-06-30,12784,62629
1990-07-02,12902,62566
1990-07-03,13491,62692
1990-07-04,13491,63315
1990-07-05,13373,63315
1990-07-06,13138,63191
1990-07-07,13138,62943
1990-07-09,13314,62943
1990-07-10,13432,63129
1990-07-11,13373,63253
1990-07-12,13373,63191
1990-07-13,13255,63191
1990-07-14,13079,63067
1990-07-16,12843,62880
1990-07-18,12961,62629
1990-07-19,12961,62755
1990-07-20,12961,62755
1990-07-21,12784,62755
1990-07-23,12548,62566
1990-07-24,12372,62312
1990-07-25,12372,62122
1990-07-26,12136,62122
1990-07-27,11841,61865
1990-07-28,11900,61541
1990-07-30,11783,61606
1990-07-31,11959,61477
1990-08-01,12431,61671
1990-08-02,12372,62185
1990-08-03,12077,62122
1990-08-04,11841,61800
1990-08-06,11783,61541
1990-08-07,11488,61477
1990-08-08,11017,61150
1990-08-09,10840,60622
1990-08-10,11076,60421
1990-08-11,11017,60688
1990-08-13,10663,60622
1990-08-14,10192,60220
1990-08-16,9838,59678
1990-08-17,9721,59266
1990-08-18,9779,59129
1990-08-20,9544,59197
1990-08-21,9249,58921
1990-08-22,9249,58572
1990-08-23,9249,58572
1990-08-24,9249,58572
1990-08-25,9721,58572
1990-08-27,10192,59129
1990-08-28,10663,59678
1990-08-29,11076,60220
1990-08-30,11017,60688
1990-08-31,10899,60622
1990-09-01,10899,60488
1990-09-03,11370,60488
1990-09-04,11370,61018
1990-09-05,11370,61018
1990-09-06,11193,61018
1990-09-07,11193,60820
1990-09-08,11193,60820
1990-09-10,11311,60820
1990-09-11,11429,60952
1990-09-12,11547,61084
1990-09-13,11547,61216
1990-09-14,11547,61216
1990-09-15,11370,61216
1990-09-17,10958,61018
1990-09-18,11429,60555
1990-09-19,11429,61084
1990-09-20,11429,61084
1990-09-21,11252,61084
1990-09-22,11252,60886
1990-09-24,11311,60886
1990-09-25,11311,60952
1990-09-26,11311,60952
1990-09-27,11311,60952
1990-09-28,11311,60952
1990-09-29,11311,60952
1990-10-05,11783,60952
1990-10-06,11724,61477
1990-10-08,11783,61412
1990-10-10,12372,61477
1990-10-11,12784,62122
1990-10-12,12843,62566
1990-10-13,12607,62629
1990-10-15,13079,62376
1990-10-16,12548,62880
1990-10-17,12784,62312
1990-10-18,12784,62566
1990-10-19,13373,62566
1990-10-20,13432,63191
1990-10-22,13727,63253
1990-10-23,14316,63562
1990-10-24,14905,64170
1990-10-25,14316,64767
1990-10-26,13727,64170
1990-10-27,13668,63562
1990-10-29,13550,63500
1990-10-30,13373,63377
1990-10-31,13255,63191
1990-11-01,13668,63067
1990-11-02,13138,63500
1990-11-03,12961,62943
1990-11-05,12607,62755
1990-11-06,12666,62376
1990-11-07,12725,62439
1990-11-08,12372,62502
1990-11-09,12372,62122
1990-11-10,12372,62122
1990-11-12,12490,62122
1990-11-13,12548,62249
1990-11-14,12431,62312
1990-11-15,12313,62185
1990-11-16,12077,62057
1990-11-17,11959,61800
1990-11-19,11783,61671
1990-11-20,11724,61477
1990-11-21,11724,61412
1990-11-22,11783,61412
1990-11-23,11783,61477
1990-11-24,11783,61477
1990-11-26,11841,61477
1990-11-27,12077,61541
1990-11-28,12195,61800
1990-11-29,11900,61929
1990-11-30,11900,61606
1990-12-01,12195,61606
