Date,Actual Closing Price,Forecast Closing Price
1991-03-13,10536,37112
1991-03-14,10981,37297
1991-03-15,11426,37484
1991-03-16,12020,37672
1991-03-18,12613,37927
1991-03-19,13207,38184
1991-03-20,13800,38445
1991-03-21,14394,38709
1991-03-22,14988,38976
1991-03-23,15730,39247
1991-03-25,16471,39591
1991-03-27,16471,39940
1991-03-28,16471,39940
1991-03-29,17213,39940
1991-03-30,17955,40294
1991-04-01,18697,40655
1991-04-02,19439,41020
1991-04-03,20181,41392
1991-04-04,20923,41770
1991-04-06,20923,42153
1991-04-08,21665,42153
1991-04-09,20923,42542
1991-04-10,20181,42153
1991-04-11,19439,41770
1991-04-12,19439,41392
1991-04-13,19439,41392
1991-04-15,19439,41392
1991-04-16,19439,41392
1991-04-17,19439,41392
1991-04-18,19439,41392
1991-04-19,19439,41392
1991-04-20,19439,41392
1991-04-22,19439,41392
1991-04-23,19439,41392
1991-04-24,19439,41392
1991-04-25,19439,41392
1991-04-26,18697,41392
1991-04-27,18697,41020
1991-04-29,18697,41020
1991-04-30,18697,41020
1991-05-01,18697,41020
1991-05-02,18697,41020
1991-05-03,18697,41020
1991-05-04,18697,41020
1991-05-06,18697,41020
1991-05-07,18697,41020
1991-05-08,18697,41020
1991-05-09,18697,41020
1991-05-10,18697,41020
1991-05-11,18697,41020
1991-05-13,18697,41020
1991-05-14,18697,41020
1991-05-15,18697,41020
1991-05-16,18697,41020
1991-05-17,18697,41020
1991-05-18,18697,41020
1991-05-20,18697,41020
1991-05-22,18697,41020
1991-05-23,18697,41020
1991-05-24,18697,41020
1991-05-25,18697,41020
1991-05-27,18697,41020
1991-05-28,18697,41020
1991-05-29,18697,41020
1991-05-30,18697,41020
1991-05-31,18697,41020
1991-06-01,18697,41020
1991-06-03,18697,41020
1991-06-04,18697,41020
1991-06-05,18697,41020
1991-06-07,18697,41020
1991-06-08,18697,41020
1991-06-10,18697,41020
1991-06-11,17955,41020
1991-06-12,17213,40655
1991-06-13,17213,40294
1991-06-14,17213,40294
1991-06-15,16471,40294
1991-06-17,16471,39940
1991-06-18,16471,39940
1991-06-19,15730,39940
1991-06-21,15730,39591
1991-06-22,15730,39591
1991-06-24,15730,39591
1991-06-25,15730,39591
1991-06-26,15730,39591
1991-06-27,15730,39591
1991-06-28,15730,39591
1991-06-29,15730,39591
1991-07-01,14988,39591
1991-07-02,14246,39247
1991-07-03,13652,38909
1991-07-04,13652,38642
1991-07-05,13652,38642
1991-07-06,13058,38642
1991-07-08,13058,38379
1991-07-09,13058,38379
1991-07-10,13058,38379
1991-07-11,13058,38379
1991-07-12,13355,38379
1991-07-13,13355,38510
1991-07-15,13355,38510
1991-07-16,13355,38510
1991-07-18,13355,38510
1991-07-19,13355,38510
1991-07-20,13504,38510
1991-07-22,13504,38576
1991-07-23,13504,38576
1991-07-24,13504,38576
1991-07-25,13504,38576
1991-07-26,13504,38576
1991-07-27,13504,38576
1991-07-29,13504,38576
1991-07-30,14097,38576
1991-07-31,14097,38842
1991-08-01,14097,38842
1991-08-02,14097,38842
1991-08-03,14320,38842
1991-08-05,14320,38943
1991-08-06,14320,38943
1991-08-07,14320,38943
1991-08-08,14320,38943
1991-08-09,14913,38943
1991-08-10,14913,39213
1991-08-12,14913,39213
1991-08-13,14913,39213
1991-08-14,14913,39213
1991-08-16,14839,39213
1991-08-17,14839,39179
1991-08-19,14839,39179
1991-08-20,14839,39179
1991-08-21,14839,39179
1991-08-22,15210,39179
1991-08-23,14839,39350
1991-08-24,14839,39179
1991-08-26,14839,39179
1991-08-27,14839,39179
1991-08-28,14839,39179
1991-08-29,14097,39179
1991-08-30,14097,38842
1991-08-31,14097,38842
1991-09-02,14097,38842
1991-09-03,14097,38842
1991-09-04,14097,38842
1991-09-05,14097,38842
1991-09-06,14097,38842
1991-09-07,14097,38842
1991-09-09,14097,38842
1991-09-10,14097,38842
1991-09-11,13504,38842
1991-09-12,12910,38576
1991-09-13,12316,38314
1991-09-14,12316,38055
1991-09-16,12910,38055
1991-09-17,12910,38314
1991-09-18,12910,38314
1991-09-19,12910,38314
1991-09-20,12910,38314
1991-09-24,12910,38314
1991-09-25,12910,38314
1991-09-26,12910,38314
1991-09-27,12910,38314
1991-09-28,12910,38314
1991-09-30,12910,38314
1991-10-01,12910,38314
1991-10-02,12910,38314
1991-10-04,12910,38314
1991-10-05,12910,38314
1991-10-07,12910,38314
1991-10-08,12910,38314
1991-10-09,12910,38314
1991-10-10,12910,38314
1991-10-11,12910,38314
1991-10-12,12762,38314
1991-10-14,12762,38249
1991-10-15,12762,38249
1991-10-16,12762,38249
1991-10-17,12762,38249
1991-10-18,12762,38249
1991-10-19,12762,38249
1991-10-21,13355,38249
1991-10-22,13355,38510
1991-10-23,13355,38510
1991-10-24,13355,38510
1991-10-25,13355,38510
1991-10-26,13355,38510
1991-10-28,13355,38510
1991-10-29,13355,38510
1991-10-30,13949,38510
1991-10-31,14542,38775
1991-11-01,14542,39043
1991-11-02,14542,39043
1991-11-04,14542,39043
1991-11-05,14542,39043
1991-11-06,14542,39043
1991-11-07,14097,39043
1991-11-08,13504,38842
1991-11-09,12910,38576
1991-11-11,12762,38314
1991-11-12,12613,38249
1991-11-13,12613,38184
1991-11-14,12613,38184
1991-11-15,12613,38184
1991-11-16,12613,38184
1991-11-18,12613,38184
1991-11-19,12613,38184
1991-11-20,12613,38184
1991-11-21,12539,38184
1991-11-22,12539,38152
1991-11-23,12242,38152
1991-11-25,12242,38023
1991-11-26,12242,38023
1991-11-27,12242,38023
1991-11-28,12242,38023
1991-11-29,12242,38023
1991-11-30,12242,38023
1991-12-02,12613,38023
1991-12-03,12613,38184
1991-12-04,12613,38184
1991-12-05,12613,38184
1991-12-06,12613,38184
1991-12-07,12613,38184
1991-12-09,12539,38184
1991-12-10,12539,38152
1991-12-11,12539,38152
1991-12-12,12539,38152
1991-12-13,12539,38152
1991-12-14,12391,38152
1991-12-16,11797,38087
1991-12-17,11278,37831
1991-12-18,11278,37610
1991-12-19,11278,37610
1991-12-20,11278,37610
1991-12-21,11278,37610
1991-12-23,11278,37610
1991-12-24,11278,37610
1991-12-26,11352,37610
