,날짜,언론사,기사제목,링크
0, 2024.05.09 11:20,뉴시스,"임지훈 카카오 전 대표, '수백억 성과급 재판' 증인에 김범수·정신아 ...",https://finance.naver.com/item/news_read.naver?article_id=0012536247&office_id=003&code=035720&page=3&sm=
1, 2024.05.09 09:48,조선비즈,"“598억 성과급 달라” 임지훈 전 카카오 대표, 항소심 증인에 김범...",https://finance.naver.com/item/news_read.naver?article_id=0000991320&office_id=366&code=035720&page=3&sm=
2, 2024.05.09 11:15,한겨레,"카카오 “임원 보수, 주가상승율과 연동할 것”",https://finance.naver.com/item/news_read.naver?article_id=0002688613&office_id=028&code=035720&page=3&sm=
3, 2024.05.09 11:11,한국경제,"코스피, 엇갈린 美 금리전망 2730선 공방중…외인 '팔자' 돌아서",https://finance.naver.com/item/news_read.naver?article_id=0004982515&office_id=015&code=035720&page=3&sm=
4, 2024.05.09 11:01,한국일보,"잘 키운 IP 업고 나는 K웹툰, 해외 공략 속도 높이는 네카오",https://finance.naver.com/item/news_read.naver?article_id=0000800393&office_id=469&code=035720&page=3&sm=
5, 2024.05.09 10:57,서울경제,오늘의 증시 메모[5월 10일],https://finance.naver.com/item/news_read.naver?article_id=0004338490&office_id=011&code=035720&page=3&sm=
6, 2024.05.09 10:55,디지털데일리,"[컨콜] 카카오 정신아 “中알리·테무 마케팅 확대 움직임, 선제적 대응...",https://finance.naver.com/item/news_read.naver?article_id=0002172924&office_id=138&code=035720&page=3&sm=
7, 2024.05.09 10:44,서울경제,"카카오, 中 이커머스 신규 고객으로 확보…광고 수익 증가",https://finance.naver.com/item/news_read.naver?article_id=0004338474&office_id=011&code=035720&page=3&sm=
8, 2024.05.09 10:26,파이낸셜뉴스,[카카오 컨콜] 中알리·테무 광고 집행에 카카오 수혜,https://finance.naver.com/item/news_read.naver?article_id=0005182817&office_id=014&code=035720&page=3&sm=
9, 2024.05.09 10:03,뉴시스,中 알리·테무 광고비 쏟자…카카오 광고 매출 성장,https://finance.naver.com/item/news_read.naver?article_id=0012535798&office_id=003&code=035720&page=3&sm=
10, 2024.05.09 09:53,뉴스1,"[IR] 정신아 카카오 대표 ""알리·테무 마케팅 집행 광고 수익 개선...",https://finance.naver.com/item/news_read.naver?article_id=0007529110&office_id=421&code=035720&page=3&sm=
11, 2024.05.09 10:36,경향신문,"여전히 단단한 유리천장…30대 그룹 중 20곳, 여성 사내이사 ‘단 한...",https://finance.naver.com/item/news_read.naver?article_id=0003295257&office_id=032&code=035720&page=3&sm=
12, 2024.05.09 10:34,서울경제,"카카오 ""올해 사업 개선·신뢰 회복 원년…계열사 128개로 감소""",https://finance.naver.com/item/news_read.naver?article_id=0004338458&office_id=011&code=035720&page=3&sm=
13, 2024.05.09 10:14,아이뉴스24,"[컨콜] 카카오 ""올해 사업 개선·신뢰 회복 원년…거버넌스 개편 지속...",https://finance.naver.com/item/news_read.naver?article_id=0000835092&office_id=031&code=035720&page=3&sm=
14, 2024.05.09 10:28,서울경제,"카카오 ""AI 사업 위해 카카오브레인 영업양수…빠른 시일 내 서비스 선...",https://finance.naver.com/item/news_read.naver?article_id=0004338451&office_id=011&code=035720&page=3&sm=
15, 2024.05.09 10:03,디지털데일리,"[컨콜] 정신아 대표 “카카오 AI 관련 서비스 출시, 시장 기대보다...",https://finance.naver.com/item/news_read.naver?article_id=0002172901&office_id=138&code=035720&page=3&sm=
16, 2024.05.09 10:02,파이낸셜뉴스,"[카카오 컨콜] ""AI 늦은 것은 사실‥빠른 시일 내 서비스 가시화""",https://finance.naver.com/item/news_read.naver?article_id=0005182770&office_id=014&code=035720&page=3&sm=
17, 2024.05.09 09:56,아이뉴스24,"[컨콜] 정신아 카카오 대표 ""AI 콘텐츠 구독·상담 서비스 준비 중...",https://finance.naver.com/item/news_read.naver?article_id=0000835080&office_id=031&code=035720&page=3&sm=
18, 2024.05.09 09:43,뉴시스,"""친구랑 채팅하듯이"" 카톡 AI 상담 서비스 나온다",https://finance.naver.com/item/news_read.naver?article_id=0012535695&office_id=003&code=035720&page=3&sm=
