Date,Actual Closing Price,Forecast Closing Price
2017-12-08,248500,193635
2017-12-11,235000,245640
2017-12-12,235000,232986
2017-12-13,234000,232986
2017-12-14,236500,232041
2017-12-15,238000,234401
2017-12-18,227000,235814
2017-12-19,225500,225404
2017-12-20,220500,223976
2017-12-21,219500,219204
2017-12-22,219000,218247
2017-12-26,212500,217768
2017-12-27,210000,211529
2017-12-28,210500,209122
2018-01-02,202500,209603
2018-01-03,200500,201878
2018-01-04,200000,199941
2018-01-05,199000,199457
2018-01-08,206000,198488
2018-01-09,210500,205262
2018-01-10,208500,209603
2018-01-11,201500,207675
2018-01-12,206000,200910
2018-01-15,210000,205262
2018-01-16,218000,209122
2018-01-17,221000,216810
2018-01-18,215000,219682
2018-01-19,209000,213932
2018-01-22,214000,208158
2018-01-23,219000,212971
2018-01-24,218500,217768
2018-01-25,220000,217289
2018-01-26,227000,218725
2018-01-29,217500,225404
2018-01-30,220000,216331
2018-01-31,218000,218725
2018-02-01,214000,216810
2018-02-02,212000,212971
2018-02-05,209500,211048
2018-02-06,206500,208640
2018-02-07,206000,205745
2018-02-08,210500,205262
2018-02-09,210500,209603
2018-02-12,199000,209603
2018-02-13,187000,198488
2018-02-14,188000,186826
2018-02-19,186000,187800
2018-02-20,187000,185852
2018-02-21,178000,186826
2018-02-22,178000,178053
2018-02-23,172000,178053
2018-02-26,170000,172197
2018-02-27,174000,170245
2018-02-28,169000,174149
2018-03-02,167000,169268
2018-03-05,161500,167316
2018-03-06,157000,161948
2018-03-07,158500,157558
2018-03-08,163500,159021
2018-03-09,167500,163900
2018-03-12,168500,167804
2018-03-13,164500,168780
2018-03-14,167500,164876
2018-03-15,169500,167804
2018-03-16,164000,169756
2018-03-19,162500,164388
2018-03-20,163000,162924
2018-03-21,165500,163412
2018-03-22,161500,165852
2018-03-23,155500,161948
2018-03-26,155000,156095
2018-03-27,154500,155608
2018-03-28,152500,155120
2018-03-29,169000,153172
2018-03-30,169500,169268
2018-04-02,179000,169756
2018-04-03,176500,179028
2018-04-04,171500,176589
2018-04-05,174500,171709
2018-04-06,186500,174637
2018-04-09,178000,186339
2018-04-10,179000,178053
2018-04-11,179000,179028
2018-04-12,176500,179028
