Date,Actual Closing Price,Forecast Closing Price
2007-09-28,220000,246616
2007-10-01,245000,237083
2007-10-02,255000,260998
2007-10-04,252500,270631
2007-10-05,247000,268220
2007-10-08,239000,262922
2007-10-09,252000,255234
2007-10-10,256500,267738
2007-10-11,271000,272078
2007-10-12,273500,286096
2007-10-15,273000,288516
2007-10-16,268000,288032
2007-10-17,289500,283192
2007-10-18,289500,304019
2007-10-19,285000,304019
2007-10-22,297500,299658
2007-10-23,290500,311772
2007-10-24,291500,304988
2007-10-25,307500,305958
2007-10-26,302000,321456
2007-10-29,300000,316131
2007-10-30,298500,314194
2007-10-31,309500,312741
2007-11-01,299000,323391
2007-11-02,299500,313225
2007-11-05,290000,313710
2007-11-06,300000,304504
2007-11-07,275500,314194
2007-11-08,296500,290453
2007-11-09,287000,310803
2007-11-12,281000,301596
2007-11-13,281500,295781
2007-11-14,274000,296266
2007-11-15,276500,289000
2007-11-16,280000,291422
2007-11-19,268500,294812
2007-11-20,262500,283676
2007-11-21,267000,277873
2007-11-22,265000,282225
2007-11-23,265000,280290
2007-11-26,254000,280290
2007-11-27,265500,269666
2007-11-28,277000,280774
2007-11-29,282000,291906
2007-11-30,282500,296750
2007-12-03,282500,297235
2007-12-04,285000,297235
2007-12-05,282500,299658
2007-12-06,278000,297235
2007-12-07,285000,292875
2007-12-10,284500,299658
2007-12-11,283000,299173
2007-12-12,290000,297719
2007-12-13,288500,304504
2007-12-14,280000,303050
2007-12-17,288000,294812
2007-12-18,285000,302565
2007-12-20,285000,299658
2007-12-21,289000,299658
2007-12-24,294000,303535
2007-12-26,295000,308381
2007-12-27,296000,309350
2007-12-28,290500,310319
2008-01-02,297000,304988
2008-01-03,297000,311288
2008-01-04,285000,311288
2008-01-07,285000,299658
2008-01-08,284000,299658
2008-01-09,284500,298689
2008-01-10,272000,299173
2008-01-11,268500,287064
2008-01-14,270000,283676
2008-01-15,270500,285128
2008-01-16,270500,285612
2008-01-17,270500,285612
2008-01-18,269000,285612
2008-01-21,264000,284160
2008-01-22,276500,279323
2008-01-23,269000,291422
2008-01-24,259000,284160
2008-01-25,260500,274492
2008-01-28,269500,275941
2008-01-29,275500,284644
2008-01-30,288000,290453
2008-01-31,283500,302565
2008-02-01,295000,298204
2008-02-04,287000,309350
2008-02-05,286500,301596
2008-02-11,289500,301112
2008-02-12,289000,304019
2008-02-13,277000,303535
2008-02-14,273500,291906
2008-02-15,268500,288516
2008-02-18,275000,283676
2008-02-19,280000,289969
2008-02-20,283000,294812
2008-02-21,282000,297719
2008-02-22,275000,296750
2008-02-25,270500,289969
2008-02-26,272500,285612
2008-02-27,268000,287548
2008-02-28,268500,283192
2008-02-29,259000,283676
2008-03-03,259500,274492
2008-03-04,266500,274975
2008-03-05,260000,281741
2008-03-06,258000,275458
2008-03-07,264000,273526
2008-03-10,260000,279323
2008-03-11,252500,275458
2008-03-12,245000,268220
2008-03-13,232500,260998
2008-03-14,225500,249006
2008-03-17,222000,242320
2008-03-18,226500,238985
2008-03-19,224500,243274
2008-03-20,222000,241367
2008-03-21,229000,238985
2008-03-24,218500,245660
2008-03-25,221000,235657
2008-03-26,219500,238034
2008-03-27,215500,236607
2008-03-28,220000,232810
2008-03-31,223500,237083
2008-04-01,217500,240414
2008-04-02,213500,234707
2008-04-03,222000,230914
2008-04-04,225000,238985
2008-04-07,226000,241843
2008-04-08,232000,242797
2008-04-10,235000,248528
2008-04-11,236500,251400
2008-04-14,235000,252837
2008-04-15,236000,251400
2008-04-16,233000,252358
2008-04-17,236500,249485
2008-04-18,241000,252837
2008-04-21,245000,257154
2008-04-22,244000,260998
2008-04-23,242500,260037
2008-04-24,245500,258595
2008-04-25,248500,261479
2008-04-28,251000,264366
2008-04-29,255000,266774
2008-04-30,259000,270631
2008-05-02,246000,274492
2008-05-06,245000,261960
2008-05-07,244000,260998
2008-05-08,246000,260037
2008-05-09,249500,261960
2008-05-13,250500,265329
2008-05-14,269500,266292
2008-05-15,277000,284644
2008-05-16,274000,291906
2008-05-19,275500,289000
2008-05-20,266500,290453
2008-05-21,272500,281741
2008-05-22,265000,287548
2008-05-23,263000,280290
2008-05-26,266500,278357
2008-05-27,264500,281741
2008-05-28,268500,279807
2008-05-29,266500,283676
2008-05-30,269000,281741
2008-06-02,265000,284160
2008-06-03,265000,280290
2008-06-04,264000,280290
2008-06-05,257500,279323
2008-06-09,255500,273044
2008-06-10,258000,271113
2008-06-11,258000,273526
2008-06-12,269000,273526
2008-06-13,272000,284160
2008-06-16,268500,287064
2008-06-17,271000,283676
2008-06-18,269000,286096
2008-06-19,267000,284160
2008-06-20,264500,282225
2008-06-23,263000,279807
2008-06-24,271000,278357
2008-06-25,269000,286096
2008-06-26,276000,284160
2008-06-27,273500,290937
2008-06-30,274000,288516
2008-07-01,270000,289000
2008-07-02,262500,285128
2008-07-03,265000,277873
2008-07-04,260000,280290
2008-07-07,247500,275458
2008-07-08,241000,263403
2008-07-09,260000,257154
2008-07-10,259000,275458
2008-07-11,248500,274492
2008-07-14,241000,264366
2008-07-15,249000,257154
2008-07-16,250500,264848
2008-07-17,253000,266292
2008-07-18,248500,268702
2008-07-21,245000,264366
2008-07-22,242500,260998
2008-07-23,238000,258595
2008-07-24,233000,254275
2008-07-25,237000,249485
2008-07-28,243000,253316
2008-07-29,235000,259075
2008-07-30,234500,251400
2008-07-31,246000,250921
2008-08-01,244000,261960
2008-08-04,251000,260037
2008-08-05,255500,266774
2008-08-06,261500,271113
2008-08-07,258000,276907
2008-08-08,264000,273526
2008-08-11,261500,279323
2008-08-12,260000,276907
2008-08-13,255000,275458
2008-08-14,262000,270631
2008-08-18,260000,277390
2008-08-19,260000,275458
2008-08-20,257000,275458
2008-08-21,256500,272561
2008-08-22,252000,272078
2008-08-25,245000,267738
2008-08-26,242500,260998
2008-08-27,239500,258595
2008-08-28,238000,255714
2008-08-29,243000,254275
2008-09-01,239500,259075
2008-09-02,238500,255714
2008-09-03,235000,254755
2008-09-04,239500,251400
2008-09-05,239500,255714
2008-09-08,231000,255714
2008-09-09,231500,247572
2008-09-10,220500,248050
2008-09-11,225500,237558
2008-09-12,214000,242320
2008-09-16,212000,231388
2008-09-17,195500,229494
2008-09-18,203000,213963
2008-09-19,193500,221001
2008-09-22,208500,212092
2008-09-23,211500,226185
2008-09-24,211500,229021
2008-09-25,215500,229021
2008-09-26,203000,232810
2008-09-29,192500,221001
2008-09-30,199000,211158
2008-10-01,200500,217243
2008-10-02,203500,218651
2008-10-06,198000,221471
2008-10-07,186500,216305
2008-10-08,177000,205568
2008-10-09,182500,196772
2008-10-10,180000,201856
2008-10-13,193000,199542
2008-10-14,190000,211625
2008-10-15,197500,208826
2008-10-16,180000,215836
2008-10-17,169000,199542
2008-10-20,163000,189421
2008-10-21,139000,183942
2008-10-22,133000,162350
2008-10-23,113500,157037
2008-10-24,101000,140024
2008-10-27,115000,129331
2008-10-28,130500,141319
2008-10-29,150000,154834
2008-10-30,148000,172180
2008-10-31,156500,170384
2008-11-03,155500,178042
2008-11-04,158500,177138
2008-11-05,135000,179853
2008-11-06,132000,158804
2008-11-07,135000,156155
2008-11-10,143000,158804
2008-11-11,146000,165911
2008-11-12,139500,168592
2008-11-13,141000,162794
2008-11-14,146000,164128
2008-11-17,135000,168592
2008-11-18,134000,158804
2008-11-19,140000,157920
2008-11-20,145000,163239
2008-11-21,142000,167697
2008-11-24,155000,165019
2008-11-25,166000,176686
2008-11-26,165000,186678
2008-11-27,169000,185765
2008-11-28,148500,189421
2008-12-01,148500,170833
2008-12-02,155000,170833
2008-12-03,142000,176686
2008-12-04,149000,165019
2008-12-05,160000,171282
2008-12-08,169000,181214
2008-12-09,176000,189421
2008-12-10,171500,195851
2008-12-11,171500,191712
2008-12-12,171500,191712
2008-12-15,184000,191712
2008-12-16,192500,203247
2008-12-17,191000,211158
2008-12-18,182000,209758
2008-12-19,181000,201393
2008-12-22,184000,200467
2008-12-23,186000,203247
2008-12-24,178500,205104
2008-12-26,184000,198157
2008-12-29,179000,203247
2008-12-30,175000,198618
2009-01-02,174500,194930
2009-01-05,172000,194469
2009-01-06,165000,192171
2009-01-07,160500,185765
2009-01-08,161000,181668
2009-01-09,167500,182123
2009-01-12,168000,188048
2009-01-13,168500,188505
2009-01-14,150000,188963
2009-01-15,157500,172180
2009-01-16,161000,178947
2009-01-19,156000,182123
2009-01-20,159500,177590
2009-01-21,161000,180760
2009-01-22,159500,182123
2009-01-23,160000,180760
2009-01-28,159000,181214
2009-01-29,155000,180307
2009-01-30,151000,176686
2009-02-02,147500,173079
2009-02-03,146500,169936
2009-02-04,148500,169040
2009-02-05,148500,170833
2009-02-06,145500,170833
2009-02-09,145000,168145
2009-02-10,142000,167697
2009-02-11,143500,165019
2009-02-12,147000,166357
2009-02-13,142500,169488
2009-02-16,130000,165465
2009-02-17,127000,154394
2009-02-18,130000,151761
2009-02-19,124500,154394
2009-02-20,134500,149573
2009-02-23,134000,158362
2009-02-24,130500,157920
2009-02-25,126000,154834
2009-02-26,126000,150885
2009-02-27,120000,150885
2009-03-02,128000,145651
2009-03-03,127000,152638
2009-03-04,126500,151761
2009-03-05,132000,151323
2009-03-06,141500,156155
2009-03-09,144500,164574
2009-03-10,147000,167250
2009-03-11,135000,169488
2009-03-12,142000,158804
2009-03-13,145000,165019
2009-03-16,147000,167697
2009-03-17,143000,169488
2009-03-18,144000,165911
2009-03-19,143000,166804
2009-03-20,146500,165911
2009-03-23,154500,169040
2009-03-24,153500,176234
2009-03-25,157000,175332
2009-03-26,150000,178495
2009-03-27,143000,172180
2009-03-30,144000,165911
2009-03-31,141000,166804
2009-04-01,145500,164128
2009-04-02,152000,168145
2009-04-03,154000,173980
2009-04-06,152500,175783
2009-04-07,144500,174430
2009-04-08,148500,167250
2009-04-09,153000,170833
2009-04-10,155000,174881
2009-04-13,149500,176686
2009-04-14,143500,171731
2009-04-15,148500,166357
2009-04-16,146500,170833
2009-04-17,141500,169040
2009-04-20,142500,164574
2009-04-21,139500,165465
2009-04-22,139000,162794
2009-04-23,141500,162350
2009-04-24,144000,164574
2009-04-27,145500,166804
2009-04-28,155000,168145
2009-04-29,158000,176686
2009-04-30,162500,179400
2009-05-04,158000,183487
2009-05-06,169500,179400
2009-05-07,170000,189879
2009-05-08,167000,190337
2009-05-11,170000,187591
2009-05-12,169000,190337
2009-05-13,162500,189421
2009-05-14,162500,183487
2009-05-15,158000,183487
2009-05-18,170000,179400
2009-05-19,170000,190337
2009-05-20,167000,190337
2009-05-21,169500,187591
2009-05-22,172000,189879
2009-05-25,168000,192171
2009-05-26,168000,188505
2009-05-27,165500,188505
2009-05-28,161000,186221
2009-05-29,160500,182123
2009-06-01,160000,181668
2009-06-02,163500,181214
2009-06-03,160500,184397
2009-06-04,165500,181668
2009-06-05,166500,186221
2009-06-08,166000,187134
2009-06-09,171000,186678
2009-06-10,167500,191254
2009-06-11,162500,188048
2009-06-12,154000,183487
2009-06-15,153500,175783
2009-06-16,154000,175332
2009-06-17,152000,175783
2009-06-18,154500,173980
2009-06-19,155000,176234
2009-06-22,149500,176686
2009-06-23,145500,171731
2009-06-24,151000,168145
2009-06-25,150500,173079
2009-06-26,147500,172630
2009-06-29,149500,169936
2009-06-30,150000,171731
2009-07-01,149500,172180
2009-07-02,148500,171731
2009-07-03,148500,170833
2009-07-06,147000,170833
2009-07-07,148500,169488
2009-07-08,157000,170833
2009-07-09,159500,178495
2009-07-10,156000,180760
2009-07-13,154000,177590
2009-07-14,159500,175783
2009-07-15,159500,180760
2009-07-16,160000,180760
2009-07-17,164000,181214
2009-07-20,164500,184853
2009-07-21,163000,185309
2009-07-22,167500,183942
2009-07-23,172000,188048
2009-07-24,171500,192171
2009-07-27,170000,191712
2009-07-28,174500,190337
2009-07-29,174000,194469
2009-07-30,176000,194009
2009-07-31,176000,195851
2009-08-03,168000,195851
2009-08-04,162000,188505
2009-08-05,164500,183032
2009-08-06,166500,185309
2009-08-07,164000,187134
2009-08-10,164000,184853
2009-08-11,163500,184853
2009-08-12,167000,184397
2009-08-13,166000,187591
2009-08-14,165000,186678
2009-08-17,168000,185765
2009-08-18,165000,188505
2009-08-19,166000,185765
2009-08-20,159000,186678
2009-08-21,157500,180307
2009-08-24,160000,178947
2009-08-25,160000,181214
2009-08-26,159000,181214
2009-08-27,167000,180307
2009-08-28,167000,187591
2009-08-31,169500,187591
2009-09-01,166000,189879
2009-09-02,169000,186678
2009-09-03,171000,189421
2009-09-04,173500,191254
2009-09-07,167000,193550
2009-09-08,169000,187591
2009-09-09,178000,189421
2009-09-10,183500,197695
2009-09-11,186500,202783
2009-09-14,185000,205568
2009-09-15,185000,204175
2009-09-16,194500,204175
2009-09-17,194000,213027
2009-09-18,200500,212560
2009-09-21,200000,218651
2009-09-22,195000,218181
2009-09-23,200500,213495
2009-09-24,214500,218651
2009-09-25,214000,231862
2009-09-28,205500,231388
2009-09-29,207500,223355
2009-09-30,196000,225241
2009-10-01,199000,214431
2009-10-05,191500,217243
2009-10-06,204000,210225
2009-10-07,205500,221942
2009-10-08,205500,223355
2009-10-09,205500,223355
2009-10-12,202500,223355
2009-10-13,197500,220531
2009-10-14,206500,215836
2009-10-15,212000,224298
2009-10-16,211500,229494
2009-10-19,212500,229021
2009-10-20,211000,229967
2009-10-21,203000,228548
2009-10-22,209500,221001
2009-10-23,214500,227130
2009-10-26,213000,231862
2009-10-27,210000,230441
2009-10-28,205000,227602
2009-10-29,203500,222884
2009-10-30,202500,221471
2009-11-02,201000,220531
2009-11-03,203000,219120
2009-11-04,200000,221001
2009-11-05,201500,218181
2009-11-06,202500,219590
2009-11-09,203500,220531
2009-11-10,213000,221471
2009-11-11,207000,230441
2009-11-12,206000,224769
2009-11-13,219500,223826
2009-11-16,220000,236607
2009-11-17,221000,237083
2009-11-18,233000,238034
2009-11-19,223500,249485
2009-11-20,216500,240414
2009-11-23,220000,233758
2009-11-24,225000,237083
2009-11-25,226500,241843
2009-11-26,222500,243274
2009-11-27,219500,239461
2009-11-30,216500,236607
2009-12-01,222000,233758
2009-12-02,225000,238985
2009-12-03,228500,241843
2009-12-04,222500,245183
2009-12-07,225000,239461
2009-12-08,223000,241843
2009-12-09,224500,239937
2009-12-10,218000,241367
