Date,Actual Closing Price,Forecast Closing Price
1990-01-03,1020,5634
1990-01-04,1030,5625
1990-01-05,1040,5634
1990-01-06,1050,5643
1990-01-08,1060,5652
1990-01-09,1070,5661
1990-01-10,1080,5670
1990-01-11,1090,5680
1990-01-12,1100,5689
1990-01-13,1100,5698
1990-01-15,1090,5698
1990-01-16,1090,5689
1990-01-17,1100,5689
1990-01-18,1110,5698
1990-01-19,1120,5707
1990-01-20,1130,5716
1990-01-22,1140,5725
1990-01-23,1150,5734
1990-01-24,1160,5744
1990-01-25,1170,5753
1990-01-29,1180,5762
1990-01-30,1190,5771
1990-01-31,1200,5780
1990-02-01,1200,5789
1990-02-02,1200,5789
1990-02-03,1200,5789
1990-02-05,1210,5789
1990-02-06,1220,5799
1990-02-07,1230,5808
1990-02-08,1240,5817
1990-02-09,1250,5826
1990-02-10,1260,5835
1990-02-12,1270,5844
1990-02-13,1280,5853
1990-02-14,1290,5863
1990-02-15,1290,5872
1990-02-16,1280,5872
1990-02-17,1270,5863
1990-02-19,1260,5853
1990-02-20,1250,5844
1990-02-21,1240,5835
1990-02-22,1230,5826
1990-02-23,1220,5817
1990-02-24,1210,5808
1990-02-26,1200,5799
1990-02-27,1190,5789
1990-02-28,1080,5780
1990-03-02,1071,5680
1990-03-03,1080,5671
1990-03-05,1071,5680
1990-03-06,1061,5671
1990-03-07,1052,5662
1990-03-08,1043,5654
1990-03-09,1034,5646
1990-03-12,1043,5638
1990-03-13,1034,5646
1990-03-14,1043,5638
1990-03-15,1034,5646
1990-03-16,1025,5638
1990-03-17,1016,5629
1990-03-19,1006,5621
1990-03-20,1006,5612
1990-03-21,1016,5612
1990-03-22,1025,5621
1990-03-23,1016,5629
1990-03-24,1006,5621
1990-03-26,997,5612
1990-03-27,1006,5604
1990-03-28,1016,5612
1990-03-29,1025,5621
1990-03-30,1034,5629
1990-03-31,1043,5638
1990-04-02,1052,5646
1990-04-03,1061,5654
1990-04-04,1052,5662
1990-04-06,1043,5654
1990-04-07,1052,5646
1990-04-09,1043,5654
1990-04-10,1034,5646
1990-04-11,1025,5638
1990-04-12,1016,5629
1990-04-13,1006,5621
1990-04-14,997,5612
1990-04-16,988,5604
1990-04-17,979,5595
1990-04-18,970,5587
1990-04-19,961,5579
1990-04-20,952,5571
1990-04-21,942,5563
1990-04-23,933,5553
1990-04-24,924,5545
1990-04-25,915,5537
1990-04-26,906,5529
1990-04-27,897,5521
1990-04-28,887,5512
1990-04-30,878,5503
1990-05-01,887,5495
1990-05-03,897,5503
