Date,Actual Closing Price,Forecast Closing Price
2021-05-21,89000,75662
2021-05-24,86000,80803
2021-05-25,87300,78424
2021-05-26,87300,79454
2021-05-27,89400,79454
2021-05-28,89900,81121
2021-05-31,98500,81519
2021-06-01,96600,88401
2021-06-02,99400,86874
2021-06-03,97000,89126
2021-06-04,96600,87195
2021-06-07,97500,86874
2021-06-08,101600,87597
2021-06-09,106400,90901
2021-06-10,103200,94788
2021-06-11,101000,92194
2021-06-14,103200,90416
2021-06-15,100600,92194
2021-06-16,98500,90093
2021-06-17,103800,88401
2021-06-18,105000,92680
2021-06-21,110000,93652
2021-06-22,113400,97716
2021-06-23,108800,100492
2021-06-24,107600,96739
2021-06-25,110600,95763
2021-06-28,112400,98205
2021-06-29,112000,99674
2021-06-30,108800,99348
2021-07-01,106200,96739
2021-07-02,105000,94625
2021-07-05,105000,93652
2021-07-06,104000,93652
2021-07-07,101600,92842
2021-07-08,105400,90901
2021-07-09,107000,93976
2021-07-12,109600,95275
2021-07-13,109800,97390
2021-07-14,109000,97553
2021-07-15,105000,96902
2021-07-16,107800,93652
2021-07-19,115400,95925
2021-07-20,118800,102128
2021-07-21,119800,104917
2021-07-22,122800,105738
2021-07-23,123400,108207
2021-07-26,120600,108701
2021-07-27,117200,106396
2021-07-28,120200,103603
2021-07-29,120000,106067
2021-07-30,122600,105903
2021-08-02,122800,108042
2021-08-03,123600,108207
2021-08-04,127000,108866
2021-08-05,125600,111671
2021-08-06,126800,110516
2021-08-09,124800,111506
2021-08-10,127200,109856
2021-08-11,131000,111837
2021-08-12,132000,114979
2021-08-13,137000,115807
2021-08-17,145000,119953
2021-08-18,140600,126600
2021-08-19,135800,122942
2021-08-20,136600,118957
2021-08-23,140200,119621
2021-08-24,143200,122610
2021-08-25,147200,125103
2021-08-26,148400,128430
2021-08-27,148400,129428
2021-08-30,144600,129428
2021-08-31,143400,126267
2021-09-01,146400,125269
2021-09-02,148200,127764
2021-09-03,145600,129262
2021-09-06,149600,127099
2021-09-07,151000,130427
2021-09-08,150400,131592
2021-09-09,154600,131092
2021-09-10,151800,134587
2021-09-13,147000,132257
2021-09-14,147800,128263
2021-09-15,144600,128929
2021-09-16,142400,126267
2021-09-17,139600,124438
2021-09-23,146200,122111
2021-09-24,144800,127598
2021-09-27,140000,126433
2021-09-28,135600,122444
2021-09-29,141800,118791
2021-09-30,145800,123939
2021-10-01,152400,127265
2021-10-05,150000,132757
2021-10-06,153000,130760
2021-10-07,160000,133256
2021-10-08,165000,139079
2021-10-12,168200,143235
2021-10-13,177600,145891
2021-10-14,177400,153672
2021-10-15,173600,153507
2021-10-18,173400,150365
2021-10-19,170000,150200
2021-10-20,176200,147383
2021-10-21,176000,152515
2021-10-22,172000,152350
2021-10-25,171600,149041
2021-10-26,172200,148709
2021-10-27,174600,149206
2021-10-28,173600,151192
2021-10-29,176400,150365
2021-11-01,177400,152681
2021-11-02,172600,153507
2021-11-03,178400,149537
2021-11-04,189000,154332
2021-11-05,191400,163048
2021-11-08,193800,165012
2021-11-09,187200,166971
2021-11-10,187400,161573
2021-11-11,184400,161737
2021-11-12,179400,159274
2021-11-15,182600,155157
2021-11-16,177800,157794
2021-11-17,179600,153837
2021-11-18,179000,155322
2021-11-19,176200,154827
2021-11-22,177600,152515
2021-11-23,178600,153672
2021-11-24,173000,154497
2021-11-25,169000,149869
2021-11-26,168000,146554
2021-11-29,166000,145725
2021-11-30,165000,144065
2021-12-01,167800,143235
2021-12-02,180000,145559
2021-12-03,176200,155652
2021-12-06,174200,152515
2021-12-07,174800,150862
2021-12-08,175800,151358
2021-12-09,173800,152185
2021-12-10,172600,150531
2021-12-13,173000,149537
2021-12-14,174000,149869
2021-12-15,178000,150696
2021-12-16,181400,154002
2021-12-17,179800,156806
2021-12-20,177000,155487
2021-12-21,177000,153176
2021-12-22,176000,153176
2021-12-23,176000,152350
2021-12-24,179000,152350
2021-12-27,189400,154827
2021-12-28,195800,163376
2021-12-29,189000,168600
2021-12-30,189000,163048
2022-01-03,183800,163048
2022-01-04,181800,158781
2022-01-05,174600,157135
2022-01-06,181600,151192
2022-01-07,173200,156970
2022-01-10,176200,150034
2022-01-11,177400,152515
2022-01-12,181600,153507
2022-01-13,181600,156970
2022-01-14,175600,156970
2022-01-17,177000,152019
2022-01-18,175600,153176
2022-01-19,179800,152019
2022-01-20,175600,155487
2022-01-21,167800,152019
2022-01-24,164800,145559
2022-01-25,164400,143069
2022-01-26,157400,142736
2022-01-27,163600,136917
2022-01-28,165200,142072
2022-02-03,168400,143401
2022-02-04,166400,146057
2022-02-07,173800,144397
2022-02-08,178200,150531
2022-02-09,178200,154167
2022-02-10,181600,154167
2022-02-11,182400,156970
2022-02-14,176000,157629
2022-02-15,172600,152350
2022-02-16,168200,149537
2022-02-17,168600,145891
2022-02-18,165200,146223
2022-02-21,161200,143401
2022-02-22,167200,140077
2022-02-23,163600,145061
2022-02-24,168600,142072
2022-02-25,178000,146223
2022-02-28,171400,154002
2022-03-02,172800,148544
2022-03-03,169200,149703
2022-03-04,164000,146720
2022-03-07,164400,142404
2022-03-08,163000,142736
2022-03-10,159800,141573
2022-03-11,141000,138913
2022-03-14,137800,123274
2022-03-15,139000,120617
2022-03-16,142000,121613
2022-03-17,149600,124105
2022-03-18,146600,130427
2022-03-21,152400,127931
2022-03-22,151800,132757
2022-03-23,154600,132257
2022-03-24,153800,134587
2022-03-25,150000,133922
2022-03-28,147800,130760
2022-03-29,146000,128929
2022-03-30,149000,127432
2022-03-31,156000,129927
2022-04-01,154200,135752
2022-04-04,150000,134255
2022-04-05,149000,130760
2022-04-06,154000,129927
2022-04-07,154000,134088
2022-04-08,154000,134088
2022-04-11,154000,134088
2022-04-12,146000,134088
2022-04-13,146500,127432
2022-04-14,150000,127847
2022-04-15,152000,130760
2022-04-18,149500,132424
2022-04-19,147000,130343
2022-04-20,143000,128263
2022-04-21,140000,124937
2022-04-22,126500,122444
2022-04-25,128000,111259
2022-04-26,134000,112498
2022-04-27,134000,117464
2022-04-28,141000,117464
2022-04-29,141500,123274
2022-05-02,140500,123690
2022-05-03,136000,122859
2022-05-04,132000,119123
2022-05-06,125000,115807
2022-05-09,124500,110021
2022-05-10,125000,109608
2022-05-11,123000,110021
2022-05-12,126000,108372
2022-05-13,133000,110846
2022-05-16,131500,116635
2022-05-17,142000,115393
2022-05-18,136000,124105
2022-05-19,138000,119123
2022-05-20,135500,120783
2022-05-23,141000,118708
2022-05-24,140000,123274
2022-05-25,139500,122444
2022-05-26,141000,122028
2022-05-27,141500,123274
2022-05-30,146000,123690
2022-05-31,146500,127432
2022-06-02,145500,127847
2022-06-03,137000,127016
2022-06-07,137000,119953
2022-06-08,130000,119953
2022-06-09,130500,114151
2022-06-10,125500,114565
2022-06-13,126000,110433
2022-06-14,127000,110846
2022-06-15,131500,111671
2022-06-16,138500,115393
2022-06-17,136500,121198
2022-06-20,141000,119538
2022-06-21,134500,123274
2022-06-22,133000,117879
2022-06-23,137500,116635
2022-06-24,140500,120368
2022-06-27,141000,122859
2022-06-28,145500,123274
2022-06-29,134500,127016
2022-06-30,127500,117879
2022-07-01,129000,112084
2022-07-04,134500,113324
2022-07-05,133000,117879
2022-07-06,137500,116635
2022-07-07,138000,120368
2022-07-08,133000,120783
2022-07-11,129500,116635
2022-07-12,137500,113738
2022-07-13,136000,120368
2022-07-14,140500,119123
2022-07-15,139000,122859
2022-07-18,139500,121613
2022-07-19,140000,122028
2022-07-20,143000,122444
2022-07-21,142000,124937
2022-07-22,145000,124105
2022-07-25,149000,126600
2022-07-26,149000,129927
2022-07-27,150500,129927
2022-07-28,149500,131176
2022-07-29,160000,130343
2022-08-01,160000,139079
2022-08-02,158500,139079
2022-08-03,158500,137832
2022-08-04,156000,137832
2022-08-05,152500,135752
2022-08-08,156000,132840
2022-08-09,151500,135752
2022-08-10,152500,132008
2022-08-11,149500,132840
2022-08-12,147500,130343
2022-08-16,149500,128679
2022-08-17,149000,130343
2022-08-18,151500,129927
2022-08-19,147500,132008
2022-08-22,144500,128679
2022-08-23,143000,126184
2022-08-24,146000,124937
2022-08-25,143000,127432
2022-08-26,137000,124937
2022-08-29,140000,119953
2022-08-30,142500,122444
2022-08-31,135000,124521
2022-09-01,139000,118293
2022-09-02,136000,121613
2022-09-05,145500,119123
2022-09-06,143500,127016
2022-09-07,146500,125352
2022-09-08,151000,127847
2022-09-13,147500,131592
2022-09-14,150500,128679
2022-09-15,154000,131176
2022-09-16,151000,134088
2022-09-19,156000,131592
2022-09-20,154000,135752
2022-09-21,154500,134088
2022-09-22,150000,134504
2022-09-23,145000,130760
2022-09-26,146000,126600
2022-09-27,143000,127432
2022-09-28,143000,124937
2022-09-29,137500,124937
2022-09-30,142500,120368
2022-10-04,145500,124521
2022-10-05,147000,127016
2022-10-06,145500,128263
2022-10-07,136000,127016
2022-10-11,139000,119123
2022-10-12,135000,121613
2022-10-13,139000,118293
2022-10-14,139000,121613
2022-10-17,139000,121613
2022-10-18,138000,121613
2022-10-19,140000,120783
2022-10-20,136000,122444
2022-10-21,137500,119123
2022-10-24,138000,120368
2022-10-25,133500,120783
2022-10-26,137000,117050
2022-10-27,143500,119953
2022-10-28,145500,125352
2022-10-31,148500,127016
2022-11-01,146500,129511
2022-11-02,143000,127847
2022-11-03,153500,124937
2022-11-04,148000,133672
2022-11-07,150500,129095
2022-11-08,150500,131176
2022-11-09,152000,131176
2022-11-10,157500,132424
2022-11-11,157000,137000
2022-11-14,158500,136584
2022-11-15,156500,137832
2022-11-16,156000,136168
2022-11-17,159000,135752
2022-11-18,151000,138248
2022-11-21,148500,131592
2022-11-22,148000,129511
2022-11-23,148000,129095
2022-11-24,146000,129095
2022-11-25,143000,127432
2022-11-28,149500,124937
2022-11-29,151500,130343
2022-11-30,154000,132008
2022-12-01,150500,134088
2022-12-02,161000,131176
2022-12-05,155000,139911
2022-12-06,157000,134920
2022-12-07,154500,136584
2022-12-08,150500,134504
2022-12-09,144500,131176
2022-12-12,144000,126184
2022-12-13,143500,125768
2022-12-14,139000,125352
2022-12-15,140500,121613
2022-12-16,137000,122859
2022-12-19,137000,119953
2022-12-20,139500,119953
2022-12-21,142000,122028
2022-12-22,139500,124105
2022-12-23,143000,122028
2022-12-26,147000,124937
2022-12-27,147500,128263
2022-12-28,144500,128679
2022-12-29,140000,126184
2023-01-02,139000,122444
2023-01-03,136000,121613
2023-01-04,135500,119123
2023-01-05,126000,118708
2023-01-06,131500,110846
2023-01-09,134000,115393
2023-01-10,131500,117464
2023-01-11,134500,115393
2023-01-12,133000,117879
2023-01-13,131000,116635
2023-01-16,131000,114979
2023-01-17,141000,114979
2023-01-18,141500,123274
2023-01-19,142000,123690
2023-01-20,148100,124105
2023-01-25,145900,129179
2023-01-26,147000,127348
2023-01-27,148300,128263
2023-01-30,151700,129345
2023-01-31,151000,132174
2023-02-01,152600,131592
2023-02-02,152500,132923
2023-02-03,150300,132840
2023-02-06,150200,131009
2023-02-07,149900,130926
2023-02-08,148600,130676
2023-02-09,153000,129595
2023-02-10,151100,133256
2023-02-13,151900,131675
2023-02-14,147700,132341
2023-02-15,149700,128846
2023-02-16,146600,130510
2023-02-17,147700,127931
2023-02-20,144800,128846
2023-02-21,142400,126433
2023-02-22,141400,124438
2023-02-23,142900,123607
2023-02-24,140700,124854
2023-02-27,138900,123025
2023-02-28,143500,121530
2023-03-02,142600,125352
2023-03-03,144000,124604
2023-03-06,140000,125768
2023-03-07,142000,122444
2023-03-08,142800,124105
2023-03-09,141100,124770
2023-03-10,140000,123358
2023-03-13,134500,122444
2023-03-14,132300,117879
2023-03-15,129900,116056
2023-03-16,130000,114069
2023-03-17,131300,114151
2023-03-20,133200,115227
2023-03-21,132700,116801
2023-03-22,131100,116387
2023-03-23,134400,115062
2023-03-24,136000,117796
2023-03-27,139500,119123
2023-03-28,138000,122028
2023-03-29,138000,120783
2023-03-30,139500,120783
2023-03-31,140600,122028
2023-04-03,143400,122942
2023-04-04,140400,125269
