Date,Actual Closing Price,Forecast Closing Price
2004-08-05,23400,24678
2004-08-06,22700,23232
2004-08-09,23150,22537
2004-08-10,23050,22984
2004-08-11,22900,22884
2004-08-12,22950,22735
2004-08-13,22000,22785
2004-08-16,22000,21843
2004-08-17,21350,21843
2004-08-18,22000,21200
2004-08-19,22200,21843
2004-08-20,22000,22041
2004-08-23,21700,21843
2004-08-24,21600,21546
2004-08-25,21700,21447
2004-08-26,22300,21546
2004-08-27,21750,22140
2004-08-30,21600,21596
2004-08-31,21950,21447
2004-09-01,22150,21794
2004-09-02,21500,21992
2004-09-03,21000,21349
2004-09-06,21550,20855
2004-09-07,22200,21398
2004-09-08,22100,22041
2004-09-09,22300,21942
2004-09-10,22600,22140
2004-09-13,22250,22438
2004-09-14,21700,22091
2004-09-15,21800,21546
2004-09-16,22300,21645
2004-09-17,22900,22140
2004-09-20,23500,22735
2004-09-21,23150,23332
2004-09-22,23250,22984
2004-09-23,23700,23083
2004-09-24,24650,23531
2004-09-30,24300,24478
2004-10-01,24500,24129
2004-10-04,23850,24328
2004-10-05,23300,23680
2004-10-06,24200,23133
2004-10-07,24400,24029
2004-10-08,25050,24228
2004-10-11,24850,24878
2004-10-12,24800,24678
2004-10-13,24950,24628
2004-10-14,24550,24778
2004-10-15,24300,24378
2004-10-18,24550,24129
2004-10-19,23850,24378
2004-10-20,23350,23680
2004-10-21,23350,23183
2004-10-22,22900,23183
2004-10-25,23200,22735
2004-10-26,23000,23033
2004-10-27,23600,22835
2004-10-28,23800,23431
2004-10-29,23450,23630
2004-11-01,23150,23282
2004-11-02,23700,22984
2004-11-03,23800,23531
2004-11-04,23250,23630
2004-11-05,22550,23083
2004-11-08,22250,22388
2004-11-09,22750,22091
2004-11-10,23200,22587
2004-11-11,23000,23033
2004-11-12,22750,22835
2004-11-15,22400,22587
2004-11-16,22350,22239
2004-11-17,21400,22190
2004-11-18,21800,21250
2004-11-19,21350,21645
2004-11-22,22250,21200
2004-11-23,22950,22091
2004-11-24,23000,22785
2004-11-25,22250,22835
2004-11-26,22100,22091
2004-11-29,22550,21942
2004-11-30,23000,22388
2004-12-01,23000,22835
2004-12-02,22950,22835
2004-12-03,22550,22785
2004-12-06,22700,22388
2004-12-07,22550,22537
2004-12-08,22300,22388
2004-12-09,22000,22140
2004-12-10,21500,21843
2004-12-13,21800,21349
2004-12-14,22750,21645
2004-12-15,22900,22587
2004-12-16,22900,22735
2004-12-17,22800,22735
2004-12-20,23100,22636
2004-12-21,22750,22934
2004-12-22,22450,22587
2004-12-23,22300,22289
2004-12-24,21900,22140
2004-12-27,22100,21744
2004-12-28,22050,21942
2004-12-29,22400,21893
2004-12-30,22250,22239
2005-01-03,21950,22091
2005-01-04,21600,21794
2005-01-05,21700,21447
2005-01-06,21350,21546
2005-01-07,21450,21200
2005-01-10,21450,21299
2005-01-11,21450,21299
2005-01-12,22350,21299
2005-01-13,22700,22190
2005-01-14,22450,22537
2005-01-17,22000,22289
2005-01-18,22600,21843
2005-01-19,22300,22438
2005-01-20,21950,22140
2005-01-21,22000,21794
2005-01-24,22000,21843
2005-01-25,23000,21843
2005-01-26,22800,22835
