Date,Actual Closing Price,Forecast Closing Price
2011-12-23,23800,30346
2011-12-26,23900,31106
2011-12-27,22650,31160
2011-12-28,23150,30482
2011-12-29,23000,30753
2012-01-02,21700,30672
2012-01-03,21400,29967
2012-01-04,24000,29805
2012-01-05,23000,31214
2012-01-06,23450,30672
2012-01-09,22700,30916
2012-01-10,22500,30509
2012-01-11,23000,30401
2012-01-12,22900,30672
2012-01-13,22400,30617
2012-01-16,22300,30346
2012-01-17,21850,30292
2012-01-18,21400,30048
2012-01-19,21300,29805
2012-01-20,20400,29750
2012-01-25,21700,29264
2012-01-26,21650,29967
2012-01-27,22250,29940
2012-01-30,22900,30265
2012-01-31,23250,30617
2012-02-01,23500,30807
2012-02-02,23950,30943
2012-02-03,23400,31187
2012-02-06,23050,30889
2012-02-07,23350,30699
2012-02-08,23250,30862
2012-02-09,24150,30807
2012-02-10,24000,31296
2012-02-13,24100,31214
2012-02-14,24000,31269
2012-02-15,24700,31214
2012-02-16,25900,31594
2012-02-17,25500,32245
2012-02-20,24750,32028
2012-02-21,24450,31621
2012-02-22,24700,31458
2012-02-23,24900,31594
2012-02-24,23900,31703
2012-02-27,23900,31160
2012-02-28,24150,31160
2012-02-29,24000,31296
2012-03-02,23500,31214
2012-03-05,23000,30943
2012-03-06,23500,30672
2012-03-07,24050,30943
2012-03-08,23750,31241
2012-03-09,24050,31079
2012-03-12,24800,31241
2012-03-13,24400,31648
2012-03-14,24600,31431
2012-03-15,25100,31540
2012-03-16,24000,31811
2012-03-19,23450,31214
2012-03-20,24050,30916
2012-03-21,23150,31241
2012-03-22,23150,30753
2012-03-23,22500,30753
2012-03-26,22500,30401
2012-03-27,22600,30401
2012-03-28,22900,30455
2012-03-29,23550,30617
2012-03-30,23200,30970
2012-04-02,23250,30780
2012-04-03,23200,30807
2012-04-04,22150,30780
2012-04-05,24000,30211
2012-04-06,24100,31214
2012-04-09,24450,31269
2012-04-10,24000,31458
2012-04-12,24450,31214
2012-04-13,25900,31458
2012-04-16,25500,32245
2012-04-17,25650,32028
2012-04-18,24000,32110
2012-04-19,24550,31214
2012-04-20,24400,31513
2012-04-23,24100,31431
2012-04-24,23350,31269
2012-04-25,23900,30862
2012-04-26,23600,31160
2012-04-27,23850,30997
2012-04-30,23400,31133
2012-05-02,23100,30889
2012-05-03,24200,30726
2012-05-04,23850,31323
2012-05-07,24000,31133
2012-05-08,24900,31214
2012-05-09,24000,31703
2012-05-10,24300,31214
