Date,Actual Closing Price,Forecast Closing Price
1999-08-23,51706,72411
1999-08-24,55303,55423
1999-08-25,53205,58750
1999-08-26,52531,56809
1999-08-27,50956,56186
1999-08-30,49608,54731
1999-08-31,49608,53486
1999-09-01,46235,53486
1999-09-02,44588,50376
1999-09-03,46835,48860
1999-09-06,47060,50929
1999-09-07,45561,51136
1999-09-08,45861,49756
1999-09-09,47135,50032
1999-09-10,46461,51205
1999-09-13,45861,50584
1999-09-14,45337,50032
1999-09-15,44212,49549
1999-09-16,43763,48514
1999-09-17,44062,48101
1999-09-20,43913,48376
1999-09-21,42189,48239
1999-09-22,40840,46654
1999-09-27,41290,45415
1999-09-28,41664,45829
1999-09-29,40840,46172
1999-09-30,39717,45415
1999-10-01,38142,44385
1999-10-04,33721,42941
1999-10-05,35595,38894
1999-10-06,39717,40608
1999-10-07,39641,44385
1999-10-08,39341,44315
1999-10-11,39867,44040
1999-10-12,39717,44522
1999-10-13,39717,44385
1999-10-14,39341,44385
1999-10-15,37918,44040
1999-10-18,37169,42735
1999-10-19,37468,42049
1999-10-20,38667,42323
1999-10-21,37843,43422
1999-10-22,35932,42667
1999-10-25,35895,40917
1999-10-26,35595,40883
1999-10-27,36719,40608
1999-10-28,35969,41637
1999-10-29,37243,40950
1999-11-01,38142,42117
1999-11-02,38068,42941
1999-11-03,39641,42873
1999-11-04,42564,44315
1999-11-05,40273,46999
1999-11-08,40273,44895
1999-11-09,38536,44895
1999-11-10,38694,43302
1999-11-11,37825,43447
1999-11-12,36798,42650
1999-11-15,35772,41709
1999-11-16,34587,40770
1999-11-17,36325,39686
1999-11-18,37904,41276
1999-11-19,39800,42722
1999-11-22,39562,44461
1999-11-23,38141,44243
1999-11-24,36325,42940
1999-11-25,36167,41276
1999-11-26,36206,41132
1999-11-29,38378,41167
1999-11-30,38299,43157
1999-12-01,36798,43084
1999-12-02,36759,41709
1999-12-03,37904,41674
1999-12-06,36641,42722
1999-12-07,37430,41566
1999-12-08,38260,42288
1999-12-09,37785,43049
1999-12-10,36798,42613
1999-12-13,35614,41709
1999-12-14,34982,40626
1999-12-15,34193,40047
1999-12-16,35062,39326
1999-12-17,36245,40121
1999-12-20,34520,41203
1999-12-21,32430,39625
1999-12-22,33793,37715
1999-12-23,38834,38960
1999-12-24,37245,43575
1999-12-27,39062,42119
1999-12-28,39516,43784
2000-01-04,39335,44200
2000-01-05,37245,44034
2000-01-06,36245,42119
2000-01-07,36337,41203
2000-01-10,35610,41287
2000-01-11,33657,40622
2000-01-12,33157,38836
2000-01-13,32703,38379
2000-01-14,32430,37964
2000-01-17,34156,37715
2000-01-18,32612,39292
2000-01-19,31704,37881
2000-01-20,31749,37052
2000-01-21,31749,37093
2000-01-24,30887,37093
2000-01-25,30887,36307
2000-01-26,32340,36307
2000-01-27,32885,37633
2000-01-28,33066,38131
2000-01-31,33157,38296
2000-02-01,35019,38379
2000-02-02,35883,40081
2000-02-03,35883,40872
2000-02-07,34974,40872
2000-02-08,32658,40040
2000-02-09,30887,37923
2000-02-10,30523,36307
2000-02-11,30341,35975
2000-02-14,29069,35809
2000-02-15,29069,34649
2000-02-16,28525,34649
2000-02-17,28706,34154
2000-02-18,28525,34319
2000-02-21,28570,34154
2000-02-22,29932,34195
2000-02-23,28115,35436
2000-02-24,27525,33781
2000-02-25,27889,33243
2000-02-28,28615,33575
2000-02-29,29750,34236
2000-03-02,29069,35270
2000-03-03,29887,34649
2000-03-06,30159,35395
2000-03-07,31340,35643
2000-03-08,30841,36720
2000-03-09,32249,36265
2000-03-10,31658,37550
2000-03-13,32885,37010
2000-03-14,32975,38131
2000-03-15,33021,38213
2000-03-16,34293,38255
2000-03-17,33975,39417
2000-03-20,33611,39127
2000-03-21,33611,38794
2000-03-22,33248,38794
2000-03-23,31613,38462
2000-03-24,29932,36969
2000-03-27,28843,35436
2000-03-28,29614,34444
2000-03-29,28887,35146
2000-03-30,29342,34484
2000-03-31,29296,34898
2000-04-03,31840,34856
2000-04-04,31295,37176
2000-04-06,33157,36679
2000-04-07,33157,38379
2000-04-10,31658,38379
2000-04-11,28615,37010
2000-04-12,29069,34236
2000-04-14,24709,34649
2000-04-17,25345,30683
2000-04-18,24618,31261
2000-04-19,24799,30600
2000-04-20,25618,30765
2000-04-21,24618,31509
2000-04-24,23346,30600
2000-04-25,21757,29445
2000-04-26,19985,28004
2000-04-27,20712,26399
2000-04-28,20530,27057
2000-05-02,21030,26892
2000-05-03,21121,27345
2000-05-04,20894,27428
2000-05-08,20258,27222
2000-05-09,22620,26646
2000-05-10,22710,28787
2000-05-12,20894,28868
2000-05-15,20530,27222
2000-05-16,18532,26892
2000-05-17,17987,25084
2000-05-18,18532,24591
2000-05-19,18532,25084
2000-05-22,18668,25084
2000-05-23,18168,25207
2000-05-24,20167,24754
2000-05-25,17214,26563
2000-05-26,15806,23892
2000-05-29,16715,22620
2000-05-30,19168,23441
2000-05-31,18804,25659
2000-06-01,19803,25330
2000-06-02,20803,26234
2000-06-05,20212,27139
2000-06-07,18895,26604
2000-06-08,19894,25412
2000-06-09,21166,26316
2000-06-12,20803,27468
2000-06-13,20258,27139
2000-06-14,18532,26646
2000-06-15,18305,25084
2000-06-16,18123,24878
2000-06-19,18441,24714
2000-06-20,18441,25001
2000-06-21,18895,25001
2000-06-22,19077,25412
2000-06-23,19168,25577
2000-06-26,20394,25659
2000-06-27,19622,26769
2000-06-28,19077,26070
2000-06-29,19077,25577
2000-06-30,19258,25577
2000-07-03,18895,25740
2000-07-04,18804,25412
2000-07-05,18713,25330
2000-07-06,20167,25247
2000-07-07,20439,26563
2000-07-10,19531,26810
2000-07-11,19077,25988
2000-07-12,19077,25577
2000-07-13,18804,25577
2000-07-14,19077,25330
2000-07-18,18668,25577
2000-07-19,18441,25207
2000-07-20,18259,25001
2000-07-21,17260,24837
2000-07-24,16806,23934
2000-07-25,16351,23523
2000-07-26,17169,23113
2000-07-27,18441,23851
2000-07-28,18168,25001
2000-07-31,19077,24754
2000-08-01,20621,25577
2000-08-02,21530,26975
2000-08-03,20803,27798
2000-08-04,19349,27139
2000-08-07,19168,25823
2000-08-08,22029,25659
2000-08-09,21802,28251
2000-08-10,21256,28045
2000-08-11,20621,27550
2000-08-14,20712,26975
2000-08-16,19803,27057
2000-08-17,19803,26234
2000-08-18,19213,26234
2000-08-21,19486,25700
2000-08-22,18986,25947
2000-08-23,19077,25494
2000-08-24,19531,25577
2000-08-25,19531,25988
2000-08-28,20258,25988
2000-08-29,20258,26646
2000-08-30,19985,26646
2000-08-31,19985,26399
2000-09-01,19985,26399
2000-09-04,20167,26399
2000-09-05,19985,26563
2000-09-06,19622,26399
2000-09-07,19894,26070
2000-09-08,19077,26316
2000-09-14,19258,25577
2000-09-15,18077,25740
2000-09-18,17715,24672
2000-09-19,17850,24345
2000-09-20,17214,24467
2000-09-21,16033,23892
2000-09-22,17169,22825
2000-09-25,17078,23851
2000-09-26,17987,23769
2000-09-27,17805,24591
2000-09-28,18168,24426
2000-09-29,17715,24754
2000-10-02,17850,24345
2000-10-04,17896,24467
2000-10-05,17896,24509
2000-10-06,17896,24509
2000-10-09,18441,24509
2000-10-10,18577,25001
2000-10-11,18123,25124
2000-10-12,17578,24714
2000-10-13,18123,24221
2000-10-16,17759,24714
2000-10-17,17441,24385
2000-10-18,16351,24097
2000-10-19,16896,23113
2000-10-20,17078,23605
2000-10-23,18168,23769
2000-10-24,18123,24754
2000-10-25,17715,24714
2000-10-26,17896,24345
2000-10-27,17896,24509
2000-10-30,18032,24509
2000-10-31,18032,24631
2000-11-01,17715,24631
2000-11-02,17715,24345
2000-11-03,17532,24345
2000-11-06,17441,24179
2000-11-07,17260,24097
2000-11-08,17169,23934
2000-11-09,17260,23851
2000-11-10,16942,23934
2000-11-13,17260,23646
2000-11-14,16987,23934
2000-11-15,16896,23687
2000-11-16,16987,23605
2000-11-17,16896,23687
2000-11-20,16987,23605
2000-11-21,17397,23687
2000-11-22,17260,24057
2000-11-23,17351,23934
2000-11-24,17896,24016
2000-11-27,17305,24509
2000-11-28,17078,23974
2000-11-29,16806,23769
2000-11-30,16896,23523
2000-12-01,16488,23605
2000-12-04,16806,23236
2000-12-05,16896,23523
2000-12-06,17124,23605
2000-12-07,17033,23811
2000-12-08,17351,23729
2000-12-11,17214,24016
2000-12-12,17260,23892
2000-12-13,15988,23934
2000-12-14,16261,22785
2000-12-15,16397,23031
2000-12-18,16124,23154
2000-12-19,14625,22908
2000-12-20,15125,21555
2000-12-21,15806,22006
2000-12-22,16806,22620
2000-12-26,16624,23523
2001-01-02,17078,23359
2001-01-03,18895,23769
2001-01-04,18895,25412
2001-01-05,19349,25412
2001-01-08,19349,25823
2001-01-09,17759,25823
2001-01-10,17351,24385
2001-01-11,17896,24016
2001-01-12,20167,24509
2001-01-15,21530,26563
2001-01-16,20894,27798
2001-01-17,22529,27222
2001-01-18,24437,28704
2001-01-19,24437,30436
2001-01-22,22256,30436
2001-01-26,22892,28456
2001-01-29,23165,29033
2001-01-30,23982,29281
2001-01-31,25572,30023
2001-02-01,25527,31467
2001-02-02,25254,31426
2001-02-05,25481,31178
2001-02-06,24346,31384
2001-02-07,25799,30353
2001-02-08,25435,31673
2001-02-09,25435,31343
2001-02-12,25254,31343
2001-02-13,24936,31178
2001-02-14,25163,30889
2001-02-15,24799,31095
2001-02-16,24300,30765
2001-02-19,25345,30311
2001-02-20,24982,31261
2001-02-21,24346,30931
2001-02-22,24709,30353
2001-02-23,24618,30683
2001-02-26,24346,30600
2001-02-27,24437,30353
2001-02-28,24164,30436
2001-03-02,23437,30188
2001-03-05,24073,29528
2001-03-06,23801,30105
2001-03-07,24755,29858
2001-03-08,24755,30725
2001-03-09,24845,30725
2001-03-12,24481,30806
2001-03-13,24891,30476
2001-03-14,24982,30848
2001-03-15,24346,30931
2001-03-16,24346,30353
2001-03-19,24527,30353
2001-03-20,24799,30518
2001-03-21,24527,30765
2001-03-22,26708,30518
2001-03-23,27071,32500
2001-03-26,26253,32830
2001-03-27,25618,32086
2001-03-28,25708,31509
2001-03-29,25435,31591
2001-03-30,24982,31343
2001-04-02,25072,30931
2001-04-03,25572,31013
2001-04-04,25435,31467
2001-04-06,25163,31343
2001-04-09,24982,31095
2001-04-10,24572,30931
2001-04-11,23801,30558
2001-04-12,20258,29858
2001-04-13,20303,26646
2001-04-16,20803,26687
2001-04-17,21393,27139
2001-04-18,21256,27674
2001-04-19,21302,27550
2001-04-20,22029,27592
2001-04-23,22347,28251
2001-04-24,22620,28539
2001-04-25,22529,28787
2001-04-26,22256,28704
2001-04-27,22892,28456
2001-04-30,24073,29033
2001-05-02,23801,30105
2001-05-03,24799,29858
2001-05-04,24845,30765
2001-05-07,24982,30806
