Date,Actual Closing Price,Forecast Closing Price
2017-05-10,77500,76778
2017-05-11,75900,76297
2017-05-12,72100,74754
2017-05-15,69500,71071
2017-05-16,70300,68537
2017-05-17,70000,69318
2017-05-18,72900,69025
2017-05-19,74900,71849
2017-05-22,79400,73788
2017-05-23,83000,78121
2017-05-24,83200,81554
2017-05-25,86400,81743
2017-05-26,84000,84764
2017-05-29,80800,82501
2017-05-30,81600,79460
2017-05-31,82700,80223
2017-06-01,82400,81269
2017-06-02,79500,80984
2017-06-05,80200,78217
2017-06-07,84000,78887
2017-06-08,84000,82501
2017-06-09,82400,82501
2017-06-12,78100,80984
2017-06-13,84700,76874
2017-06-14,84100,83163
2017-06-15,81000,82596
2017-06-16,80200,79651
2017-06-19,78800,78887
2017-06-20,78200,77546
2017-06-21,74100,76970
2017-06-22,75100,73013
2017-06-23,76400,73981
2017-06-26,76600,75237
2017-06-27,76200,75430
2017-06-28,76100,75044
2017-06-29,77300,74947
2017-06-30,79600,76104
2017-07-03,80000,78313
2017-07-04,80000,78695
2017-07-05,80600,78695
2017-07-06,82800,79269
2017-07-07,81500,81364
2017-07-10,79300,80127
2017-07-11,77600,78025
2017-07-12,78600,76393
2017-07-13,79800,77354
2017-07-14,80600,78504
2017-07-17,79900,79269
2017-07-18,80400,78600
2017-07-19,82600,79078
2017-07-20,84200,81174
2017-07-21,82200,82690
2017-07-24,82400,80794
2017-07-25,85100,80984
2017-07-26,85700,83540
2017-07-27,85300,84105
2017-07-28,88100,83729
2017-07-31,92700,86356
2017-08-01,95800,90617
2017-08-02,94800,93447
2017-08-03,97200,92538
2017-08-04,92100,94713
2017-08-07,94400,90065
2017-08-08,95000,92173
2017-08-09,95200,92720
2017-08-10,95500,92902
2017-08-11,96000,93174
2017-08-14,92900,93628
2017-08-16,90000,90800
2017-08-17,87800,88124
2017-08-18,89900,86075
2017-08-21,90100,88031
2017-08-22,87200,88217
2017-08-23,86800,85514
2017-08-24,88300,85139
2017-08-25,87900,86542
2017-08-28,88500,86169
2017-08-29,88200,86729
2017-08-30,88600,86449
2017-08-31,88100,86822
2017-09-01,87000,86356
2017-09-04,85800,85327
2017-09-05,82500,84200
2017-09-06,82700,81079
2017-09-07,80900,81269
2017-09-08,81500,79555
2017-09-11,85000,80127
2017-09-12,85400,83446
2017-09-13,87000,83823
2017-09-14,87100,85327
2017-09-15,86400,85420
2017-09-18,88100,84764
2017-09-19,88100,86356
2017-09-20,85700,86356
2017-09-21,83100,84105
2017-09-22,83400,81649
2017-09-25,84900,81933
2017-09-26,84900,83352
2017-09-27,84300,83352
2017-09-28,85200,82785
2017-09-29,86900,83634
2017-10-10,87500,85233
2017-10-11,88100,85795
2017-10-12,88000,86356
2017-10-13,91700,86262
2017-10-16,92700,89696
2017-10-17,92200,90617
2017-10-18,92100,90157
2017-10-19,90400,90065
2017-10-20,88900,88495
2017-10-23,87600,87102
2017-10-24,89200,85888
2017-10-25,86000,87381
2017-10-26,86100,84388
2017-10-27,87200,84482
2017-10-30,90300,85514
2017-10-31,88100,88402
2017-11-01,85700,86356
2017-11-02,86400,84105
2017-11-03,85900,84764
2017-11-06,86800,84294
2017-11-07,83800,85139
2017-11-08,82300,82312
2017-11-09,81200,80889
2017-11-10,78200,79841
2017-11-13,79200,76970
2017-11-14,75600,77929
2017-11-15,76200,74464
2017-11-16,78000,75044
2017-11-17,76900,76778
2017-11-20,77100,75719
2017-11-21,76700,75912
2017-11-22,76100,75526
2017-11-23,75800,74947
2017-11-24,76000,74658
2017-11-27,78900,74851
2017-11-28,80300,77642
2017-11-29,79800,78982
2017-11-30,80100,78504
2017-12-01,82200,78791
2017-12-04,83000,80794
2017-12-05,79000,81554
2017-12-06,76800,77738
2017-12-07,76500,75622
2017-12-08,77400,75333
2017-12-11,77600,76200
2017-12-12,79700,76393
2017-12-13,79800,78408
2017-12-14,78300,78504
2017-12-15,76700,77066
2017-12-18,76600,75526
2017-12-19,76500,75430
2017-12-20,75100,75333
2017-12-21,73800,73981
2017-12-22,74900,72722
2017-12-26,72100,73788
2017-12-27,76200,71071
2017-12-28,82900,75044
2018-01-02,83400,81459
2018-01-03,86900,81933
2018-01-04,88600,85233
2018-01-05,87500,86822
2018-01-08,88700,85795
2018-01-09,91000,86915
2018-01-10,90500,89050
2018-01-11,90000,88588
2018-01-12,88200,88124
2018-01-15,88300,86449
2018-01-16,87800,86542
2018-01-17,86600,86075
2018-01-18,85500,84951
2018-01-19,86400,83917
2018-01-22,90200,84764
2018-01-23,90100,88310
2018-01-24,92400,88217
2018-01-25,93400,90341
2018-01-26,97600,91259
2018-01-29,94300,95074
2018-01-30,91400,92082
2018-01-31,92600,89420
2018-02-01,91100,90525
2018-02-02,89100,89143
2018-02-05,88800,87288
2018-02-06,86900,87009
2018-02-07,90100,85233
2018-02-08,85300,88217
2018-02-09,85000,83729
2018-02-12,78500,83446
2018-02-13,79700,77258
2018-02-14,82400,78408
2018-02-19,81200,80984
2018-02-20,82100,79841
2018-02-21,82300,80699
2018-02-22,83700,80889
2018-02-23,86900,82217
2018-02-26,87900,85233
2018-02-27,88500,86169
2018-02-28,85200,86729
2018-03-02,84300,83634
2018-03-05,89000,82785
2018-03-06,86500,87195
2018-03-07,88600,84857
2018-03-08,89000,86822
2018-03-09,89300,87195
2018-03-12,85400,87474
2018-03-13,85100,83823
2018-03-14,85000,83540
2018-03-15,85000,83446
2018-03-16,84100,83446
2018-03-19,82900,82596
2018-03-20,83300,81459
2018-03-21,86300,81838
2018-03-22,83400,84670
2018-03-23,85400,81933
2018-03-26,85000,83823
2018-03-27,85500,83446
2018-03-28,85200,83917
2018-03-29,87300,83634
2018-03-30,85200,85608
2018-04-02,83400,83634
2018-04-03,81800,81933
2018-04-04,83400,80413
2018-04-05,83400,81933
2018-04-06,80800,81933
2018-04-09,81600,79460
2018-04-10,84300,80223
2018-04-11,85300,82785
2018-04-12,84300,83729
2018-04-13,85200,82785
2018-04-16,85500,83634
2018-04-17,85000,83917
2018-04-18,83400,83446
2018-04-19,82200,81933
2018-04-20,82600,80794
2018-04-23,82700,81174
2018-04-24,80500,81269
2018-04-25,84200,79173
2018-04-26,84200,82690
2018-04-27,84500,82690
2018-04-30,84000,82974
2018-05-02,82200,82501
2018-05-03,82800,80794
2018-05-04,82000,81364
2018-05-08,81700,80604
2018-05-09,86600,80318
2018-05-10,87400,84951
2018-05-11,88100,85701
2018-05-14,86200,86356
2018-05-15,86300,84576
2018-05-16,84200,84670
2018-05-17,85900,82690
2018-05-18,84700,84294
2018-05-21,81900,83163
2018-05-23,81700,80508
2018-05-24,81200,80318
2018-05-25,80700,79841
2018-05-28,79400,79364
2018-05-29,76000,78121
2018-05-30,77600,74851
2018-05-31,77100,76393
2018-06-01,78800,75912
2018-06-04,77300,77546
2018-06-05,78200,76104
2018-06-07,75400,76970
2018-06-08,76300,74271
2018-06-11,77100,75140
2018-06-12,73100,75912
2018-06-14,74800,72043
2018-06-15,73800,73691
2018-06-18,70600,72722
2018-06-19,73200,69611
2018-06-20,73500,72140
2018-06-21,73500,72431
2018-06-22,73800,72431
2018-06-25,70900,72722
2018-06-26,68400,69903
2018-06-27,68200,67463
2018-06-28,70700,67267
2018-06-29,67800,69708
2018-07-02,68100,66876
2018-07-03,66600,67169
2018-07-04,68200,65701
2018-07-05,69300,67267
2018-07-06,68100,68342
2018-07-09,68000,67169
2018-07-10,68800,67071
2018-07-11,70000,67854
2018-07-12,69500,69025
2018-07-13,70700,68537
2018-07-16,68400,69708
2018-07-17,68300,67463
2018-07-18,67200,67365
2018-07-19,67500,66289
2018-07-20,69500,66582
2018-07-23,69700,68537
2018-07-24,69700,68733
2018-07-25,66100,68733
2018-07-26,65600,65211
2018-07-27,65200,64721
2018-07-30,67100,64328
2018-07-31,69800,66191
2018-08-01,68000,68830
2018-08-02,72100,67071
2018-08-03,73200,71071
2018-08-06,75000,72140
2018-08-07,73700,73884
2018-08-08,74500,72625
2018-08-09,73300,73400
2018-08-10,72700,72237
2018-08-13,75300,71654
2018-08-14,74400,74174
2018-08-16,75800,73303
2018-08-17,77200,74658
2018-08-20,77000,76008
2018-08-21,77200,75815
2018-08-22,78300,76008
2018-08-23,75700,77066
2018-08-24,74600,74561
2018-08-27,75500,73497
2018-08-28,77300,74368
2018-08-29,77400,76104
2018-08-30,75500,76200
2018-08-31,76800,74368
2018-09-03,74100,75622
2018-09-04,71500,73013
2018-09-05,72900,70487
2018-09-06,73300,71849
2018-09-07,74000,72237
2018-09-10,74300,72916
2018-09-11,74600,73207
2018-09-12,76600,73497
2018-09-13,78000,75430
2018-09-14,77700,76778
2018-09-17,77900,76489
2018-09-18,76900,76681
2018-09-19,77400,75719
2018-09-20,76900,76200
2018-09-21,79900,75719
2018-09-27,81000,78600
2018-09-28,82700,79651
2018-10-01,84300,81269
2018-10-02,81800,82785
2018-10-04,82600,80413
2018-10-05,78800,81174
2018-10-08,79000,77546
2018-10-10,75000,77738
2018-10-11,76200,73884
2018-10-12,76400,75044
2018-10-15,75700,75237
2018-10-16,77200,74561
2018-10-17,77300,76008
2018-10-18,74800,76104
2018-10-19,73500,73691
2018-10-22,71600,72431
2018-10-23,71800,70585
2018-10-24,72200,70779
2018-10-25,68800,71168
2018-10-26,68100,67854
2018-10-29,69300,67169
2018-10-30,71300,68342
2018-10-31,69300,70293
2018-11-01,73600,68342
2018-11-02,74400,72528
2018-11-05,77600,73303
2018-11-06,76000,76393
2018-11-07,76200,74851
2018-11-08,75300,75044
2018-11-09,75400,74174
2018-11-12,73700,74271
2018-11-13,71500,72625
2018-11-14,73900,70487
2018-11-15,75300,72819
2018-11-16,75200,74174
2018-11-19,77800,74078
2018-11-20,77300,76585
2018-11-21,77300,76104
2018-11-22,78000,76104
2018-11-23,78000,76778
2018-11-26,78400,76778
2018-11-27,79500,77162
2018-11-28,79100,78217
2018-11-29,79000,77833
2018-11-30,79000,77738
2018-12-03,78600,77738
2018-12-04,80200,77354
2018-12-05,79500,78887
2018-12-06,80100,78217
2018-12-07,78700,78791
2018-12-10,77900,77450
2018-12-11,79500,76681
2018-12-12,79500,78217
2018-12-13,77800,78217
2018-12-14,77300,76585
2018-12-17,77200,76104
2018-12-18,75100,76008
2018-12-19,75100,73981
2018-12-20,73700,73981
2018-12-21,72200,72625
2018-12-24,71300,71168
2018-12-26,70200,70293
2018-12-27,69200,69220
2018-12-28,67500,68244
2019-01-02,68200,66582
2019-01-03,70200,67267
2019-01-04,72400,69220
2019-01-07,71900,71363
2019-01-08,71600,70877
2019-01-09,71200,70585
2019-01-10,70900,70195
2019-01-11,71100,69903
2019-01-14,71400,70098
2019-01-15,71100,70390
2019-01-16,72800,70098
2019-01-17,73100,71751
2019-01-18,73500,72043
2019-01-21,72500,72431
2019-01-22,71800,71460
2019-01-23,72500,70779
2019-01-24,73100,71460
2019-01-25,75900,72043
2019-01-28,75600,74754
2019-01-29,75100,74464
2019-01-30,71800,73981
2019-01-31,69800,70779
2019-02-01,69400,68830
2019-02-07,70000,68440
2019-02-08,71300,69025
2019-02-11,71300,70293
2019-02-12,70800,70293
2019-02-13,70100,69805
2019-02-14,69000,69123
2019-02-15,70100,68049
2019-02-18,70100,69123
2019-02-19,70900,69123
2019-02-20,71700,69903
2019-02-21,72200,70682
2019-02-22,71800,71168
2019-02-25,71800,70779
2019-02-26,72800,70779
2019-02-27,72200,71751
2019-02-28,70800,71168
2019-03-04,71700,69805
2019-03-05,70700,70682
2019-03-06,71000,69708
2019-03-07,69400,70000
2019-03-08,69200,68440
2019-03-11,69800,68244
2019-03-12,69500,68830
2019-03-13,69700,68537
2019-03-14,70200,68733
2019-03-15,70500,69220
2019-03-18,70200,69513
2019-03-19,70400,69220
2019-03-20,69000,69416
2019-03-21,68000,68049
2019-03-22,66400,67071
2019-03-25,67300,65505
2019-03-26,66200,66386
2019-03-27,66400,65309
2019-03-28,66600,65505
2019-03-29,67900,65701
2019-04-01,68400,66974
2019-04-02,68700,67463
2019-04-03,68300,67756
2019-04-04,68400,67365
2019-04-05,68100,67463
2019-04-08,67600,67169
2019-04-09,68200,66680
2019-04-10,68400,67267
2019-04-11,67900,67463
2019-04-12,69200,66974
2019-04-15,69500,68244
2019-04-16,69300,68537
2019-04-17,68700,68342
2019-04-18,68600,67756
2019-04-19,68100,67658
2019-04-22,69000,67169
2019-04-23,68200,68049
2019-04-24,67800,67267
2019-04-25,67500,66876
2019-04-26,68300,66582
2019-04-29,68400,67365
2019-04-30,68100,67463
2019-05-02,66200,67169
2019-05-03,63600,65309
2019-05-07,62600,62758
2019-05-08,60400,61775
2019-05-09,62000,59612
2019-05-10,61500,61186
2019-05-13,61400,60694
2019-05-14,62400,60596
2019-05-15,61600,61579
2019-05-16,62300,60792
2019-05-17,61800,61481
2019-05-20,61100,60989
2019-05-21,61200,60301
2019-05-22,62300,60399
2019-05-23,61600,61481
2019-05-24,61300,60792
2019-05-27,62900,60497
2019-05-28,61400,62070
2019-05-29,61600,60596
2019-05-30,63200,60792
2019-05-31,63400,62365
2019-06-03,62000,62561
2019-06-04,61800,61186
2019-06-05,61900,60989
2019-06-07,62400,61087
2019-06-10,62400,61579
2019-06-11,62800,61579
2019-06-12,63700,61972
2019-06-13,63800,62856
2019-06-14,64200,62954
2019-06-17,66300,63347
2019-06-18,65900,65407
2019-06-19,65100,65015
2019-06-20,63700,64230
2019-06-21,66000,62856
2019-06-24,65200,65113
2019-06-25,64600,64328
2019-06-26,64400,63740
2019-06-27,64800,63543
2019-06-28,65000,63936
2019-07-01,65100,64132
2019-07-02,64400,64230
2019-07-03,67400,63543
2019-07-04,66800,66484
2019-07-05,64900,65897
2019-07-08,65100,64034
2019-07-09,65700,64230
2019-07-10,67200,64819
2019-07-11,67400,66289
2019-07-12,66800,66484
2019-07-15,66700,65897
2019-07-16,66200,65799
2019-07-17,65800,65309
2019-07-18,66200,64917
2019-07-19,66600,65309
2019-07-22,67300,65701
2019-07-23,67400,66386
2019-07-24,64500,66484
2019-07-25,64600,63642
2019-07-26,64700,63740
2019-07-29,63900,63838
2019-07-30,65200,63052
2019-07-31,63700,64328
2019-08-01,62900,62856
2019-08-02,62400,62070
2019-08-05,61400,61579
2019-08-06,60400,60596
2019-08-07,61100,59612
2019-08-08,61800,60301
2019-08-09,61100,60989
2019-08-12,60300,60301
2019-08-13,60300,59514
2019-08-14,59900,59514
2019-08-16,62500,59120
2019-08-19,63300,61677
2019-08-20,63900,62463
2019-08-21,63500,63052
2019-08-22,64500,62660
2019-08-23,64500,63642
2019-08-26,65400,63642
2019-08-27,64100,64525
2019-08-28,63900,63249
2019-08-29,66300,63052
2019-08-30,65600,65407
2019-09-02,65600,64721
2019-09-03,66300,64721
2019-09-04,66000,65407
2019-09-05,67000,65113
2019-09-06,67600,66093
2019-09-09,68700,66680
2019-09-10,69800,67756
2019-09-11,71100,68830
2019-09-16,71600,70098
2019-09-17,70900,70585
2019-09-18,71200,69903
2019-09-19,72200,70195
2019-09-20,71200,71168
2019-09-23,71000,70195
2019-09-24,70200,70000
2019-09-25,70400,69220
2019-09-26,69200,69416
2019-09-27,69900,68244
2019-09-30,69600,68928
2019-10-01,68600,68635
2019-10-02,68300,67658
2019-10-04,67900,67365
2019-10-07,69000,66974
2019-10-08,69600,68049
2019-10-10,69500,68635
2019-10-11,71100,68537
2019-10-14,70900,70098
2019-10-15,70800,69903
2019-10-16,70600,69805
2019-10-17,69700,69611
2019-10-18,69300,68733
2019-10-21,71000,68342
2019-10-22,70400,70000
2019-10-23,70700,69416
2019-10-24,70600,69708
2019-10-25,70700,69611
2019-10-28,70400,69708
2019-10-29,68900,69416
2019-10-30,68300,67951
2019-10-31,67700,67365
2019-11-01,68800,66778
2019-11-04,70200,67854
2019-11-05,68700,69220
2019-11-06,68900,67756
2019-11-07,69700,67951
2019-11-08,69100,68733
2019-11-11,69200,68147
2019-11-12,68000,68244
2019-11-13,68500,67071
2019-11-14,68500,67560
2019-11-15,68400,67560
2019-11-18,68000,67463
2019-11-19,67000,67071
2019-11-20,66600,66093
2019-11-21,66100,65701
2019-11-22,66800,65211
2019-11-25,68800,65897
2019-11-26,68900,67854
2019-11-27,69000,67951
2019-11-28,69200,68049
2019-11-29,69000,68244
2019-12-02,68700,68049
2019-12-03,68300,67756
2019-12-04,68200,67365
