Date,Actual Closing Price,Forecast Closing Price
2021-09-17,99100,112264
2021-09-23,99200,100128
2021-09-24,97000,100225
2021-09-27,100000,98079
2021-09-28,107500,101007
2021-09-29,115500,108344
2021-09-30,113500,116187
2021-10-01,104500,114226
2021-10-05,107000,105406
2021-10-06,109500,107854
2021-10-07,104500,110304
2021-10-08,101000,105406
2021-10-12,102000,101984
2021-10-13,102000,102961
2021-10-14,105000,102961
2021-10-15,101500,105896
2021-10-18,101500,102472
2021-10-19,100500,102472
2021-10-20,100500,101495
2021-10-21,101000,101495
2021-10-22,106000,101984
2021-10-25,108500,106875
2021-10-26,113500,109324
2021-10-27,112000,114226
2021-10-28,117000,112755
2021-10-29,118500,117658
2021-11-01,116000,119130
2021-11-02,116500,116678
2021-11-03,112500,117168
2021-11-04,113500,113245
2021-11-05,112000,114226
2021-11-08,109500,112755
2021-11-09,111000,110304
2021-11-10,112000,111774
2021-11-11,112000,112755
2021-11-12,114000,112755
2021-11-15,111500,114716
2021-11-16,108500,112264
2021-11-17,106000,109324
2021-11-18,109000,106875
2021-11-19,109000,109814
2021-11-22,111000,109814
2021-11-23,112500,111774
2021-11-24,114000,113245
2021-11-25,111500,114716
2021-11-26,108500,112264
2021-11-29,106500,109324
2021-11-30,108000,107364
2021-12-01,113500,108834
2021-12-02,111000,114226
2021-12-03,112500,111774
2021-12-06,110000,113245
2021-12-07,108000,110794
2021-12-08,107000,108834
2021-12-09,107500,107854
2021-12-10,106000,108344
2021-12-13,101000,106875
2021-12-14,98900,101984
2021-12-15,95700,99933
2021-12-16,91500,96812
2021-12-17,91900,92726
2021-12-20,94000,93115
2021-12-21,92700,95157
2021-12-22,92300,93892
2021-12-23,92700,93504
2021-12-24,92700,93892
2021-12-27,92700,93892
2021-12-28,93700,93892
2021-12-29,95200,94865
2021-12-30,97600,96325
2022-01-03,101500,98664
2022-01-04,104000,102472
2022-01-05,111000,104917
2022-01-06,112000,111774
2022-01-07,111500,112755
2022-01-10,107000,112264
2022-01-11,108500,107854
2022-01-12,105500,109324
2022-01-13,106000,106385
2022-01-14,102000,106875
2022-01-17,103000,102961
2022-01-18,102000,103939
2022-01-19,103500,102961
2022-01-20,105500,104428
2022-01-21,101500,106385
2022-01-24,97700,102472
2022-01-25,96600,98762
2022-01-26,93400,97689
2022-01-27,99300,94573
2022-01-28,102000,100323
2022-02-03,102000,102961
2022-02-04,101500,102961
2022-02-07,98000,102472
2022-02-08,103000,99054
2022-02-09,101000,103939
2022-02-10,97800,101984
2022-02-11,95600,98859
2022-02-14,96200,96715
2022-02-15,98000,97299
2022-02-16,98300,99054
2022-02-17,99200,99347
2022-02-18,99900,100225
2022-02-21,102000,100909
2022-02-22,109500,102961
2022-02-23,105500,110304
2022-02-24,109500,106385
2022-02-25,109500,110304
2022-02-28,116500,110304
2022-03-02,113000,117168
2022-03-03,114000,113735
2022-03-04,116500,114716
2022-03-07,113500,117168
2022-03-08,112000,114226
2022-03-10,112000,112755
2022-03-11,113500,112755
2022-03-14,109500,114226
2022-03-15,110000,110304
2022-03-16,108000,110794
2022-03-17,108500,108834
2022-03-18,108500,109324
2022-03-21,114000,109324
2022-03-22,115500,114716
2022-03-23,117000,116187
2022-03-24,117500,117658
2022-03-25,122500,118149
2022-03-28,123000,123052
2022-03-29,117500,123542
2022-03-30,119500,118149
2022-03-31,119000,120110
2022-04-01,121000,119620
2022-04-04,126500,121581
2022-04-05,127000,126970
2022-04-06,121500,127460
2022-04-07,124000,122071
2022-04-08,127500,124522
2022-04-11,129500,127949
2022-04-12,136500,129906
2022-04-13,139000,136738
2022-04-14,148000,139171
2022-04-15,142500,147886
2022-04-18,153500,142569
2022-04-19,149000,153170
2022-04-20,145500,148849
2022-04-21,140000,145472
2022-04-22,139500,140143
2022-04-25,140500,139657
2022-04-26,144000,140628
2022-04-27,144000,144022
2022-04-28,140000,144022
2022-04-29,140000,140143
2022-05-02,137500,140143
2022-05-03,133500,137712
2022-05-04,133500,133814
2022-05-06,131500,133814
2022-05-09,130500,131861
2022-05-10,125000,130884
2022-05-11,124000,125501
2022-05-12,125500,124522
2022-05-13,127000,125991
2022-05-16,121500,127460
2022-05-17,117000,122071
2022-05-18,114500,117658
2022-05-19,115000,115206
2022-05-20,115000,115697
2022-05-23,113000,115697
2022-05-24,113000,113735
2022-05-25,119000,113735
2022-05-26,123000,119620
2022-05-27,119500,123542
2022-05-30,119000,120110
2022-05-31,119500,119620
2022-06-02,126500,120110
2022-06-03,129500,126970
