Date,Actual Closing Price,Forecast Closing Price
1995-10-05,67930,55646
1995-10-06,71727,59031
1995-10-07,75905,62427
1995-10-09,80451,66176
1995-10-10,85004,70269
1995-10-11,89938,74382
1995-10-12,95252,78852
1995-10-13,100942,83682
1995-10-14,106644,88869
1995-10-16,112714,94080
1995-10-17,119166,99640
1995-10-18,117635,105561
1995-10-19,110815,104155
1995-10-20,110054,97899
1995-10-21,105126,97202
1995-10-23,109298,92691
1995-10-24,107394,96509
1995-10-25,110441,94766
1995-10-26,108917,97556
1995-10-27,110054,96160
1995-10-28,107781,97202
1995-10-30,105126,95120
1995-10-31,106263,92691
1995-11-01,106263,93731
1995-11-02,105876,93731
1995-11-03,105126,93377
1995-11-04,103597,92691
1995-11-06,101698,91293
1995-11-07,102085,89559
1995-11-08,97907,89912
1995-11-09,99424,86100
1995-11-10,100567,87484
1995-11-11,98668,88526
1995-11-13,96389,86794
1995-11-14,90700,84717
1995-11-15,91081,79544
1995-11-16,96389,79890
1995-11-17,97532,84717
1995-11-18,93360,85759
1995-11-20,91455,81961
1995-11-21,94871,80230
1995-11-22,94497,83335
1995-11-23,96777,82995
1995-11-24,96009,85071
1995-11-25,95633,84371
1995-11-27,97532,84029
1995-11-28,97532,85759
1995-11-29,96389,85759
1995-11-30,94871,84717
1995-12-01,91455,83335
1995-12-02,94497,80230
1995-12-04,96389,82995
1995-12-05,100567,84717
1995-12-06,102459,88526
1995-12-07,98668,90254
1995-12-08,98668,86794
1995-12-09,96777,86794
1995-12-11,93735,85071
1995-12-12,93360,82302
1995-12-13,92599,81961
1995-12-14,94116,81269
1995-12-15,92599,82648
1995-12-16,88051,81269
1995-12-18,89563,77141
1995-12-19,88051,78512
1995-12-20,90325,77141
1995-12-21,90325,79204
1995-12-22,92980,79204
1995-12-23,89189,81615
1995-12-26,88802,78173
1995-12-27,93784,77822
1996-01-03,88414,82346
1996-01-04,83443,77470
1996-01-05,84211,72970
1996-01-06,81140,73665
1996-01-08,82676,70891
1996-01-09,81140,72277
1996-01-10,81908,70891
1996-01-11,86509,71584
1996-01-12,84592,75744
1996-01-13,82301,74009
1996-01-15,81908,71939
1996-01-16,79616,71584
1996-01-17,77317,69517
1996-01-18,77317,67446
1996-01-19,75794,67446
1996-01-20,75026,66077
1996-01-22,76556,65387
1996-01-23,77317,66762
1996-01-24,76937,67446
1996-01-25,77698,67104
1996-01-26,76937,67789
1996-01-27,78466,67104
1996-01-29,81527,68480
1996-01-30,78848,71240
1996-01-31,77698,68825
1996-02-01,75794,67789
1996-02-02,76556,66077
1996-02-03,75794,66762
1996-02-05,74258,66077
1996-02-06,73109,64697
1996-02-07,71199,63666
1996-02-08,70811,61955
1996-02-09,71960,61607
1996-02-10,70055,62636
1996-02-12,68895,60931
1996-02-13,72722,59893
1996-02-14,76937,63319
1996-02-15,77317,67104
1996-02-16,75401,67446
1996-02-17,73877,65724
1996-02-21,71579,64355
1996-02-22,70424,62295
1996-02-23,71960,61261
1996-02-24,68513,62636
1996-02-26,68895,59552
1996-02-27,67751,59893
1996-02-28,67364,58872
1996-02-29,66977,58526
1996-03-02,67364,58181
1996-03-04,66609,58526
1996-03-05,66609,57852
1996-03-06,64692,57852
1996-03-07,63549,56144
1996-03-08,65460,55127
1996-03-09,64311,56828
1996-03-11,63156,55805
1996-03-12,61239,54777
1996-03-13,62781,53074
1996-03-14,66228,54444
1996-03-15,66228,57513
1996-03-16,64311,57513
1996-03-18,68132,55805
1996-03-19,71199,59212
1996-03-20,71579,61955
1996-03-21,68895,62295
1996-03-22,70811,59893
1996-03-23,69281,61607
1996-03-25,68132,60238
1996-03-26,68132,59212
1996-03-27,69663,59212
1996-03-28,68895,60580
1996-03-29,70811,59893
1996-03-30,71579,61607
1996-04-01,70811,62295
1996-04-02,71579,61607
1996-04-03,72722,62295
1996-04-04,71579,63319
1996-04-06,72722,62295
1996-04-08,70811,63319
1996-04-09,72341,61607
1996-04-10,72722,62978
1996-04-12,75401,63319
1996-04-13,74639,65724
1996-04-15,73877,65039
1996-04-16,74258,64355
1996-04-17,76556,64697
1996-04-18,81140,66762
1996-04-19,78848,70891
1996-04-20,79991,68825
1996-04-22,78085,69855
1996-04-23,78085,68137
1996-04-24,76556,68137
1996-04-25,75026,66762
1996-04-26,76556,65387
1996-04-27,76937,66762
1996-04-29,75401,67104
1996-04-30,79616,65724
1996-05-02,78466,69517
1996-05-03,77698,68480
1996-05-04,77698,67789
1996-05-06,81140,67789
1996-05-07,77698,70891
1996-05-08,78085,67789
1996-05-09,78466,68137
1996-05-10,79616,68480
1996-05-11,81527,69517
1996-05-13,80378,71240
1996-05-14,78085,70203
1996-05-15,76175,68137
1996-05-16,73877,66419
1996-05-17,72722,64355
1996-05-18,73109,63319
1996-05-20,70424,63666
1996-05-21,70424,61261
1996-05-22,70424,61261
1996-05-23,68895,61261
1996-05-25,69281,59893
1996-05-27,69663,60238
1996-05-28,69663,60580
1996-05-29,69281,60580
1996-05-30,71579,60238
1996-05-31,71960,62295
1996-06-01,70424,62636
1996-06-03,71579,61261
1996-06-04,71199,62295
1996-06-05,71199,61955
1996-06-07,70055,61955
1996-06-08,67751,60931
1996-06-10,66228,58872
1996-06-11,63549,57513
1996-06-12,62394,55127
1996-06-13,63156,54100
1996-06-14,66228,54777
1996-06-15,66609,57513
1996-06-17,63549,57852
1996-06-18,62394,55127
1996-06-19,62394,54100
1996-06-20,61239,54100
1996-06-21,60477,53074
1996-06-22,58559,52398
1996-06-24,57404,50699
1996-06-25,57404,49677
1996-06-26,56268,49677
1996-06-27,55887,48673
1996-06-28,54738,48336
1996-06-29,57036,47322
1996-07-01,57404,49351
1996-07-02,56649,49677
1996-07-03,56649,49009
1996-07-04,55887,49009
1996-07-05,56268,48336
1996-07-06,56268,48673
1996-07-08,56649,48673
1996-07-09,58179,49009
1996-07-10,56649,50362
1996-07-11,54738,49009
1996-07-12,54351,47322
1996-07-13,51673,46981
1996-07-15,50142,44624
1996-07-16,50910,43279
1996-07-18,51673,43953
1996-07-19,51673,44624
1996-07-20,51285,44624
1996-07-22,50910,44283
1996-07-23,50523,43953
1996-07-24,49761,43613
1996-07-25,48999,42944
1996-07-26,48999,42276
1996-07-27,48231,42276
1996-07-29,47082,41603
1996-07-30,47463,40597
1996-07-31,48612,40931
1996-08-01,48612,41937
1996-08-02,47838,41937
1996-08-03,48612,41259
1996-08-05,50142,41937
1996-08-06,51285,43279
1996-08-07,52434,44283
1996-08-08,51285,45293
1996-08-09,52060,44283
1996-08-10,52821,44964
1996-08-12,52060,45633
1996-08-13,51673,44964
1996-08-14,49374,44624
1996-08-16,49761,42605
1996-08-17,48612,42944
1996-08-19,48612,41937
1996-08-20,47082,41937
1996-08-21,47463,40597
1996-08-22,47463,40931
1996-08-23,46695,40931
1996-08-24,47838,40259
1996-08-26,47838,41259
1996-08-27,48612,41259
1996-08-28,49761,41937
1996-08-29,51673,42944
1996-08-30,51285,44624
1996-08-31,50523,44283
1996-09-02,51285,43613
1996-09-03,50910,44283
1996-09-04,51285,43953
1996-09-05,50142,44283
1996-09-06,50142,43279
1996-09-07,50910,43279
1996-09-09,51285,43953
1996-09-10,50523,44283
1996-09-11,48612,43613
1996-09-12,47838,41937
1996-09-13,48999,41259
1996-09-14,48231,42276
1996-09-16,47838,41603
1996-09-17,47463,41259
1996-09-18,45934,40931
1996-09-19,44017,39594
1996-09-20,46308,37921
1996-09-21,46308,39920
1996-09-23,45166,39920
