Date,Actual Closing Price,Forecast Closing Price
2008-10-10,49556,43249
2008-10-13,51902,46894
2008-10-14,49850,49239
2008-10-15,42421,47189
2008-10-16,37143,39687
2008-10-17,38169,34372
2008-10-20,38316,35399
2008-10-21,37632,35547
2008-10-22,35970,34861
2008-10-23,35970,33202
2008-10-24,39098,33202
2008-10-27,36752,36332
2008-10-28,31278,33981
2008-10-29,34211,28589
2008-10-30,31278,31459
2008-10-31,32305,28589
2008-11-03,34992,29588
2008-11-04,35677,32231
2008-11-05,30398,32911
2008-11-06,31229,27738
2008-11-07,32842,28541
2008-11-10,31962,30113
2008-11-11,31376,29254
2008-11-12,29763,28684
2008-11-13,31425,27127
2008-11-14,31669,28731
2008-11-17,29421,28968
2008-11-18,28199,26799
2008-11-19,23996,25634
2008-11-20,24436,21716
2008-11-21,22286,22119
2008-11-24,23459,20164
2008-11-25,26977,21226
2008-11-26,29323,24480
2008-11-27,29519,26705
2008-11-28,28346,26893
2008-12-01,27368,25774
2008-12-02,28639,24848
2008-12-03,28541,26052
2008-12-04,29763,25959
2008-12-05,32256,27127
2008-12-08,32451,29540
2008-12-09,34699,29731
2008-12-10,35872,31941
2008-12-11,30545,33104
2008-12-12,32256,27880
2008-12-15,33380,29540
2008-12-16,35432,30641
2008-12-17,35432,32667
2008-12-18,34992,32667
2008-12-19,35726,32231
2008-12-22,33771,32959
2008-12-23,32256,31025
2008-12-24,33380,29540
2008-12-26,33722,30641
2008-12-29,33700,30977
2008-12-30,33135,30955
2009-01-02,37925,30400
2009-01-05,39098,35155
2009-01-06,39195,36332
2009-01-07,37338,36430
2009-01-08,36165,34567
2009-01-09,34797,33396
2009-01-12,36019,32038
2009-01-13,37876,33251
2009-01-14,34406,35105
2009-01-15,34553,31651
2009-01-16,34797,31797
2009-01-19,32940,32038
2009-01-20,31376,30209
2009-01-21,32695,28684
2009-01-22,31180,29969
2009-01-23,34602,28494
2009-01-28,35970,31845
2009-01-29,36165,33202
2009-01-30,34357,33396
2009-02-02,35188,31603
2009-02-03,34992,32425
2009-02-04,33233,32231
2009-02-05,34748,30496
2009-02-06,34944,31989
2009-02-09,35090,32183
2009-02-10,33771,32328
2009-02-11,31962,31025
2009-02-12,32647,29254
2009-02-13,31425,29922
2009-02-16,29910,28731
2009-02-17,27857,27268
2009-02-18,27662,25310
2009-02-19,26733,25126
2009-02-20,27808,24251
2009-02-23,26538,25264
2009-02-24,27026,24069
2009-02-25,27173,24526
2009-02-26,28737,24665
2009-02-27,27466,26146
2009-03-02,27417,24941
2009-03-03,28248,24895
2009-03-04,27368,25681
2009-03-05,26293,24848
2009-03-06,26244,23840
2009-03-09,29323,23794
2009-03-10,31474,26705
2009-03-11,31278,28779
2009-03-12,30887,28589
2009-03-13,31767,28210
2009-03-16,33917,29064
2009-03-17,33135,31169
2009-03-18,31376,30400
2009-03-19,31180,28684
2009-03-20,32744,28494
2009-03-23,34259,30017
2009-03-24,34406,31506
2009-03-25,35872,31651
2009-03-26,35383,33104
2009-03-27,33038,32619
2009-03-30,32207,30305
2009-03-31,33673,29492
2009-04-01,35970,30929
2009-04-02,36947,33202
2009-04-03,37045,34176
2009-04-06,36214,34274
2009-04-07,34553,33445
2009-04-08,37045,31797
2009-04-09,37289,34274
2009-04-10,38218,34518
2009-04-13,38365,35448
2009-04-14,36654,35596
2009-04-15,36165,33883
2009-04-16,36165,33396
2009-04-17,37632,33396
2009-04-20,36459,34861
2009-04-21,36898,33689
2009-04-22,36605,34127
2009-04-23,37143,33835
2009-04-24,36165,34372
2009-04-27,34602,33396
2009-04-28,36605,31845
2009-04-29,38853,33835
2009-04-30,44669,36086
2009-05-04,44327,41962
2009-05-06,45256,41616
2009-05-07,44523,42557
2009-05-08,44914,41815
2009-05-11,42812,42210
2009-05-12,43643,40082
2009-05-13,41541,40924
2009-05-14,43301,38797
2009-05-15,43985,40577
2009-05-18,46722,41270
2009-05-19,45940,44039
2009-05-20,45744,43249
2009-05-21,44376,43050
2009-05-22,43985,41666
2009-05-25,42128,41270
2009-05-26,41883,39390
2009-05-27,40662,39142
2009-05-28,39098,37909
2009-05-29,41688,36332
2009-06-01,42030,38945
2009-06-02,41395,39291
2009-06-03,39391,38649
2009-06-04,40320,36627
2009-06-05,39244,37563
2009-06-08,38120,36479
2009-06-09,40564,35350
2009-06-10,41541,37810
2009-06-11,41346,38797
2009-06-12,41053,38599
2009-06-15,40857,38303
2009-06-16,39391,38105
2009-06-17,38462,36627
2009-06-18,39098,35693
2009-06-19,41492,36332
2009-06-22,39977,38747
2009-06-23,40662,37218
2009-06-24,41786,37909
2009-06-25,41786,39044
2009-06-26,41297,39044
2009-06-29,41835,38550
2009-06-30,45451,39094
2009-07-01,45109,42754
2009-07-02,45109,42408
2009-07-03,44180,42408
2009-07-06,43447,41467
2009-07-07,43203,40725
2009-07-08,44669,40478
2009-07-09,45891,41962
2009-07-10,43643,43199
2009-07-13,44767,40924
2009-07-14,47895,42062
2009-07-15,48628,45223
2009-07-16,49165,45962
2009-07-17,52195,46502
2009-07-20,52586,49530
2009-07-21,52000,49918
2009-07-22,52000,49337
2009-07-23,50800,49337
2009-07-24,53000,48140
2009-07-27,54800,50328
2009-07-28,55400,52101
2009-07-29,54500,52687
2009-07-30,53100,51806
2009-07-31,53600,50427
2009-08-03,52700,50921
2009-08-04,53900,50031
2009-08-05,55200,51217
2009-08-06,56500,52492
2009-08-07,56200,53756
2009-08-10,55800,53465
2009-08-11,53600,53077
2009-08-12,52600,50921
2009-08-13,54000,49932
2009-08-14,51400,51315
2009-08-17,50700,48739
2009-08-18,50700,48040
2009-08-19,53800,48040
2009-08-20,54500,51118
2009-08-21,56000,51806
2009-08-24,54400,53271
2009-08-25,54700,51708
2009-08-26,53800,52003
2009-08-27,53200,51118
2009-08-28,51500,50526
2009-08-31,53000,48839
2009-09-01,52900,50328
2009-09-02,55000,50229
2009-09-03,55800,52296
2009-09-04,54300,53077
2009-09-07,54400,51610
2009-09-08,54400,51708
2009-09-09,56500,51708
2009-09-10,58800,53756
2009-09-11,58200,55965
2009-09-14,59000,55392
2009-09-15,61000,56155
2009-09-16,61900,58038
2009-09-17,60500,58874
2009-09-18,61000,57570
2009-09-21,60500,58038
2009-09-22,61400,57570
2009-09-23,60600,58410
2009-09-24,59500,57664
2009-09-25,58300,56628
2009-09-28,59800,55488
2009-09-29,60500,56912
2009-09-30,60600,57570
2009-10-01,58600,57664
2009-10-05,57700,55774
2009-10-06,59700,54913
2009-10-07,60500,56817
2009-10-08,61600,57570
2009-10-09,60300,58596
2009-10-12,60100,57382
2009-10-13,60400,57194
2009-10-14,61000,57476
2009-10-15,61200,58038
2009-10-16,61900,58224
2009-10-19,63000,58874
2009-10-20,62900,59885
2009-10-21,61700,59794
2009-10-22,62000,58688
2009-10-23,62400,58966
2009-10-26,62500,59335
2009-10-27,61300,59427
2009-10-28,59700,58317
2009-10-29,58800,56817
2009-10-30,58400,55965
2009-11-02,57100,55583
2009-11-03,58100,54336
2009-11-04,57900,55297
2009-11-05,58900,55105
2009-11-06,59000,56060
2009-11-09,59300,56155
2009-11-10,59200,56439
2009-11-11,57800,56344
2009-11-12,59500,55009
2009-11-13,59700,56628
2009-11-16,60600,56817
2009-11-17,61300,57664
2009-11-18,62400,58317
2009-11-19,62300,59335
2009-11-20,63200,59243
2009-11-23,62800,60068
2009-11-24,61700,59702
2009-11-25,60700,58688
2009-11-26,56400,57757
2009-11-27,58000,53659
2009-11-30,59000,55201
2009-12-01,60300,56155
2009-12-02,60800,57382
2009-12-03,60700,57851
2009-12-04,61000,57757
2009-12-07,61000,58038
2009-12-08,60800,58038
2009-12-09,62600,57851
2009-12-10,61700,59519
2009-12-11,61200,58688
2009-12-14,62400,58224
2009-12-15,62200,59335
2009-12-16,60800,59151
2009-12-17,59000,57851
2009-12-18,58400,56155
2009-12-21,58900,55583
2009-12-22,58700,56060
2009-12-23,59700,55869
2009-12-24,60300,56817
2009-12-28,59500,57382
2009-12-29,59700,56628
2009-12-30,59400,56817
2010-01-04,58700,56534
2010-01-05,58500,55869
2010-01-06,57800,55679
2010-01-07,57900,55009
2010-01-08,59100,55105
2010-01-11,58800,56250
2010-01-12,57700,55965
2010-01-13,57400,54913
2010-01-14,57300,54625
2010-01-15,55900,54529
2010-01-18,56500,53174
2010-01-19,55900,53756
2010-01-20,56200,53174
2010-01-21,54100,53465
2010-01-22,52700,51414
2010-01-25,51800,50031
2010-01-26,49650,49138
2010-01-27,52300,46989
2010-01-28,50600,49635
2010-01-29,51900,47940
2010-02-01,52200,49237
2010-02-02,52100,49535
2010-02-03,50400,49436
2010-02-04,47000,47740
2010-02-05,45900,44320
2010-02-08,48350,43208
2010-02-09,48850,45682
